Semaine;Nice (FR);Mallorca (ES);Benidorm (ES);reta (SI);Agadir (MA);Ibiza (ES);Djerba (TN);Lloret de Mar (ES);Corfu (GR);Santorini Island (GR);Marbella (ES);Faro (PT);Málaga (ES);Bodrum (TR);Mykonos (GR);Biarritz (FR);Ars en Ré (FR);Saint Malo (FR);Le Cap d Agde (FR);Cefalù (IT);Fréjus (FR);Amalfi (IT);Cannes (FR);Dubrovnik (HR);Antibes (FR);Le Touquet (BE);Torremolinos (ES);Le Barcarès (FR);Deauville (FR);Portofino (IT);Porto Vecchio (FR);Lacanau (FR);Palavas les Flots (FR);Sitges (ES);Argelès sur Mer (FR);Carnac (FR);Arcachon (FR);Le Grau du Roi (FR);Cap Ferret (FR);Biscarrosse (FR);La Baule Escoublac (FR);Saint Jean de Monts (FR);Plage de la Palmyre (FR)
2019-01-06;44,00;124,35;68,87;0,00;44,00;63,41;37,53;24,59;31,06;25,00;44,00;19,00;12,00;6,11;12,22;19,56;12,22;6,14;19,44;12,28;19,44;0,00;0,00;19,00;12,00;6,00;0,00;12,00;6,00;0,00;0,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-13;38,00;98,80;38,00;0,00;49,40;38,00;44,55;19,66;6,55;25,00;50,00;25,00;19,00;0,00;19,61;6,13;12,26;6,16;31,84;0,00;6,16;6,00;6,00;6,00;6,00;0,00;0,00;19,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-20;48,00;84,48;78,72;0,00;42,24;54,49;60,97;6,49;29,84;42,00;48,00;24,00;12,00;6,00;18,00;0,00;24,00;0,00;12,26;6,13;6,13;0,00;0,00;18,00;6,00;6,00;0,00;0,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-27;31,00;87,19;81,38;0,00;25,19;73,63;31,00;18,08;12,92;0,00;12,00;0,00;25,00;12,40;12,40;6,20;18,60;6,20;0,00;18,60;6,20;6,00;6,00;0,00;0,00;0,00;12,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-03;32,00;126,12;75,29;0,00;37,65;70,40;83,20;19,20;12,80;13,00;6,00;13,00;51,00;5,93;0,00;0,00;32,00;19,00;6,00;13,00;0,00;0,00;0,00;6,00;6,00;6,00;0,00;0,00;0,00;13,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-10;38,00;100,70;70,30;0,00;62,70;38,00;69,67;25,33;25,33;51,00;51,00;13,00;32,00;5,94;24,94;24,94;19,00;0,00;25,00;6,00;0,00;13,00;13,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-17;32,00;120,47;50,82;0,00;50,82;32,00;44,80;44,80;25,60;45,00;6,00;13,00;26,00;18,96;13,04;13,04;5,93;0,00;6,00;6,00;13,00;26,00;0,00;0,00;6,00;6,00;0,00;0,00;6,00;6,00;19,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-24;64,00;69,65;88,47;0,00;37,65;44,80;38,40;19,20;19,20;26,00;19,00;26,00;19,00;13,28;0,00;6,04;19,32;13,21;13,21;0,00;6,10;13,00;0,00;0,00;0,00;6,00;6,00;6,00;6,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-03;39,00;58,50;52,65;0,00;52,65;26,00;39,00;13,00;19,50;6,00;19,00;58,00;32,00;6,09;13,41;0,00;6,09;26,68;19,50;0,00;6,16;0,00;6,00;13,00;13,00;19,00;0,00;6,00;6,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00
2019-03-10;32,00;67,76;48,94;0,00;18,82;57,60;64,00;12,80;32,00;13,00;45,00;0,00;13,00;0,00;13,54;6,15;19,69;0,00;13,42;6,19;6,19;6,00;6,00;19,00;6,00;0,00;0,00;6,00;0,00;6,00;6,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
