Semaine;Chamonix (FR);Val Thorens (FR);Alpe d Huez (FR);Les Deux Alpes (FR);Ischgl (AT);Tignes (FR);Les Arcs (FR);Saalbach (AT);Les Ménuires (FR);Avoriaz (FR);La Plagne (FR);Sankt Anton (AT);Zermatt (CH);Flachau (AT);La Clusaz (FR);Verbier (CH);Zillertal (AT);Morzine (FR);Châtel (FR);St Moritz (DE);Les Gets (FR);Val Cenis (FR);Courchevel (FR);Mayrhofen (AT);Val Gardena (IT);Serre Chevalier (FR);Samoëns (FR);Valloire (FR);Méribel (FR);Val d Isère (FR);Megève (FR);Kitzbuhel (AT);Vars (FR);Garmisch (DE);Schladming (AT);Grand Bornand (FR);Brixental (AT);Sestriere (IT);Gstaad (CH);Font Romeu (FR);St Lary (FR);Barèges (FR);La Mongie (FR);Peyragudes (FR)
2019-01-06;50,00;69,64;80,36;50,00;30,36;79,00;99,00;49,00;49,00;50,00;30,00;40,00;0,00;40,00;40,00;10,00;60,00;30,00;30,00;20,00;20,00;20,00;20,00;10,00;0,00;20,00;10,00;30,00;20,00;0,00;0,00;0,00;0,00;0,00;0,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-13;100,00;40,35;49,12;70,18;40,35;30,00;89,00;60,00;79,00;20,00;20,00;30,00;20,00;20,00;40,00;0,00;10,00;20,00;20,00;10,00;10,00;0,00;0,00;10,00;0,00;20,00;0,00;10,00;10,00;30,00;10,00;10,00;0,00;0,00;10,00;0,00;0,00;0,00;10,00;0,00;0,00;0,00;0,00;0,00
2019-01-20;29,00;97,88;77,94;48,94;77,94;19,00;28,00;47,00;28,00;10,00;29,00;29,00;10,00;0,00;0,00;10,00;29,00;19,00;48,00;19,00;19,00;0,00;10,00;29,00;0,00;19,00;10,00;0,00;10,00;0,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-27;20,00;70,91;70,91;60,00;30,91;41,05;51,58;20,00;30,53;49,00;20,00;10,00;20,00;20,00;39,00;10,00;10,00;10,00;10,00;0,00;0,00;10,00;10,00;10,00;0,00;0,00;10,00;10,00;10,00;20,00;39,00;0,00;0,00;0,00;10,00;0,00;0,00;0,00;0,00;10,00;0,00;0,00;0,00;0,00
2019-02-03;10,00;58,33;48,33;58,33;38,33;20,00;41,00;10,00;10,00;20,00;31,00;31,00;10,00;20,00;31,00;10,00;0,00;20,00;10,00;10,00;20,00;10,00;0,00;0,00;0,00;0,00;31,00;20,00;20,00;0,00;10,00;10,00;0,00;10,00;0,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-10;0,00;17,00;40,00;35,00;29,00;20,00;10,00;20,00;20,00;20,00;10,00;20,00;20,00;41,00;0,00;10,00;20,00;10,00;20,00;10,00;0,00;0,00;10,00;20,00;0,00;10,00;20,00;10,00;0,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-17;31,00;41,94;41,94;41,94;52,88;10,00;10,00;0,00;20,00;10,00;0,00;10,00;10,00;10,00;10,00;0,00;41,00;21,00;10,00;0,00;0,00;20,00;0,00;10,00;0,00;0,00;10,00;0,00;0,00;0,00;10,00;0,00;0,00;10,00;0,00;0,00;10,00;20,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-24;20,00;68,33;48,33;0,00;20,00;71,00;81,00;0,00;81,00;31,00;0,00;31,00;10,00;20,00;41,00;20,00;31,00;20,00;51,00;0,00;10,00;0,00;20,00;10,00;10,00;41,00;0,00;10,00;10,00;20,00;20,00;0,00;0,00;0,00;10,00;0,00;0,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-03;0,00;17,00;52,00;35,00;6,00;31,00;41,00;0,00;71,00;31,00;31,00;10,00;10,00;10,00;31,00;10,00;21,00;0,00;21,00;10,00;10,00;0,00;10,00;21,00;0,00;10,00;0,00;0,00;21,00;31,00;0,00;21,00;0,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-10;20,00;41,82;94,55;83,64;41,82;60,00;70,00;30,00;60,00;20,00;30,00;20,00;20,00;0,00;0,00;20,00;20,00;10,00;0,00;0,00;0,00;0,00;10,00;10,00;0,00;10,00;0,00;10,00;0,00;0,00;10,00;0,00;0,00;0,00;0,00;0,00;10,00;20,00;0,00;0,00;0,00;0,00;0,00;0,00
