Semaine;Nice (FR);Paris (FR);London (GB);Amsterdam (NL);Barcelona (ES);Roma (IT);Lille (FR);Madrid (ES);Lisbon (PT);Prague (CZ);Berlin (DE);Milano (IT);stanbul (TR);Budapest (HU);Venezia (IT);Wien (AT);Strasbourg (FR);Athens (GR);Dublin (IE);Lyon (FR);Frankfurt am Main (DE);Marseille (FR);München (DE);Stockholm (SE);Copenhagen (DK);Bordeaux (FR);Genève (CH);Tours (FR);Hamburg (DE);Toulouse (FR);Montpellier (FR);Nantes (FR);Avignon (FR);Monaco (MC);Dijon (FR);Aix en Provence (FR)
2019-01-06;44,00;330,00;308,00;242,00;154,00;121,52;88,00;152,95;44,00;37,93;63,72;44,00;63,72;63,25;88,00;19,25;13,75;44,00;44,00;37,00;50,00;6,60;31,90;18,70;25,30;25,00;31,00;12,00;19,00;19,00;12,00;6,00;12,00;0,00;6,00;0,00
2019-01-13;38,00;361,00;228,00;190,00;209,00;128,78;90,78;71,78;57,00;25,84;89,68;44,08;95,76;57,00;67,86;32,57;51,57;38,00;13,00;31,00;75,00;38,00;24,97;18,46;24,97;0,00;6,00;19,00;19,00;13,00;13,00;13,00;0,00;0,00;6,00;0,00
2019-01-20;48,00;320,00;128,00;160,00;112,00;114,78;104,35;133,57;91,83;48,00;54,00;36,00;54,00;34,67;53,33;24,00;40,00;78,00;48,00;24,00;48,00;54,55;18,55;24,00;12,00;18,00;36,00;12,00;6,00;12,00;0,00;18,00;6,00;12,00;0,00;0,00
2019-01-27;31,00;201,50;186,00;108,50;155,00;173,60;80,60;105,40;136,40;44,95;63,55;57,35;75,95;25,36;64,82;25,36;5,64;25,00;61,00;25,00;31,00;18,82;12,18;18,82;12,18;37,00;31,00;0,00;6,00;6,00;0,00;6,00;0,00;6,00;0,00;0,00
2019-02-03;32,00;256,00;288,00;224,00;128,00;106,00;50,00;112,00;94,00;85,33;111,24;59,43;85,33;56,00;125,33;18,67;32,00;26,00;45,00;58,00;32,00;26,48;19,86;19,86;19,86;19,00;26,00;6,00;19,00;6,00;13,00;6,00;6,00;6,00;6,00;6,00
2019-02-10;38,00;247,00;323,00;247,00;152,00;74,00;124,00;100,00;80,00;74,54;62,85;74,54;74,54;57,00;57,00;43,43;38,00;51,00;51,00;19,00;32,00;13,03;19,54;31,49;19,54;13,00;38,00;0,00;19,00;32,00;19,00;0,00;19,00;0,00;0,00;0,00
2019-02-17;32,00;304,00;176,00;144,00;112,00;50,00;112,00;88,00;88,00;13,71;45,71;85,33;99,05;18,67;64,00;13,33;24,00;51,00;26,00;13,00;19,00;19,86;6,62;33,10;33,10;13,00;26,00;13,00;6,00;6,00;19,00;26,00;6,00;6,00;0,00;0,00
2019-02-24;64,00;362,67;277,33;277,33;277,33;134,19;51,61;128,00;103,23;58,05;44,65;31,26;89,30;18,67;88,00;24,00;37,33;26,00;58,00;19,00;32,00;37,97;13,02;13,02;19,53;38,00;38,00;6,00;13,00;6,00;0,00;13,00;6,00;6,00;6,00;0,00
2019-03-03;39,00;351,00;234,00;312,00;156,00;141,63;78,00;141,63;90,32;39,00;45,00;33,00;129,00;39,00;58,50;27,86;19,50;64,00;58,00;45,00;32,00;39,00;19,50;6,50;13,00;26,00;32,00;0,00;6,00;6,00;19,00;6,00;19,00;6,00;0,00;6,00
2019-03-10;32,00;272,00;192,00;176,00;144,00;104,53;98,13;104,53;78,93;51,81;57,90;57,90;71,62;32,00;61,33;24,00;56,00;32,00;38,00;38,00;25,00;32,00;32,00;6,62;13,24;19,00;13,00;0,00;13,00;6,00;0,00;13,00;13,00;6,00;6,00;13,00
2019-03-17;33,00;247,50;214,50;198,00;132,00;66,00;78,38;105,19;78,38;39,00;72,00;64,50;78,00;66,00;79,75;5,50;13,75;52,00;32,00;32,00;26,00;33,00;13,20;19,80;13,20;0,00;19,00;0,00;6,00;13,00;13,00;7,00;6,00;20,00;0,00;0,00
2019-03-24;7,00;280,00;224,00;154,00;112,00;98,00;128,33;119,00;119,00;61,25;47,25;31,50;140,00;7,00;101,50;59,50;35,00;53,00;60,00;26,00;40,00;43,17;0,00;28,00;21,00;40,00;7,00;7,00;26,00;13,00;0,00;0,00;26,00;0,00;0,00;7,00
2019-03-31;63,00;378,00;273,00;231,00;294,00;147,00;96,60;56,70;50,40;37,50;88,50;51,00;88,50;43,83;57,52;13,70;19,17;50,00;19,00;44,00;38,00;38,02;38,02;18,47;13,03;25,00;25,00;25,00;19,00;6,00;0,00;0,00;6,00;6,00;0,00;13,00
2019-04-07;79,00;493,75;256,75;276,50;335,75;103,31;155,97;111,41;103,31;32,79;46,21;73,04;92,42;19,07;65,38;46,31;46,31;40,00;33,00;40,00;33,00;38,96;25,97;25,97;6,49;33,00;26,00;7,00;7,00;7,00;7,00;7,00;26,00;27,00;0,00;13,00
2019-04-14;34,00;1700,00;204,00;255,00;170,00;106,00;106,00;158,00;92,00;39,91;66,52;87,22;60,61;52,31;39,23;39,23;20,92;41,00;20,00;27,00;20,00;27,42;41,68;6,58;27,42;27,00;20,00;14,00;14,00;14,00;7,00;14,00;27,00;0,00;0,00;0,00
2019-04-21;58,00;270,67;270,67;232,00;212,67;103,57;130,50;91,14;58,00;38,67;102,62;50,56;108,56;46,95;71,81;19,33;13,81;58,00;39,00;26,00;13,00;51,43;19,70;19,70;32,83;51,00;19,00;13,00;6,00;13,00;6,00;13,00;0,00;0,00;13,00;0,00
2019-04-28;42,00;294,00;273,00;231,00;126,00;86,10;115,50;134,40;92,40;36,00;108,00;84,00;72,00;30,80;67,20;25,20;11,20;78,00;24,00;18,00;60,00;23,69;18,31;11,85;35,54;54,00;12,00;12,00;0,00;12,00;6,00;12,00;18,00;6,00;12,00;0,00
2019-05-05;42,00;315,00;189,00;168,00;231,00;98,70;92,40;153,30;73,50;36,00;66,00;42,00;36,00;25,20;67,20;30,80;25,20;54,00;36,00;18,00;48,00;23,69;47,38;18,31;0,00;6,00;18,00;6,00;42,00;0,00;12,00;0,00;24,00;0,00;12,00;0,00
2019-05-12;81,00;344,25;243,00;101,25;202,50;93,46;93,46;137,08;99,69;37,50;25,50;81,00;63,00;29,70;67,50;18,90;24,30;68,00;50,00;25,00;31,00;55,82;31,74;18,61;12,04;50,00;25,00;0,00;12,00;25,00;0,00;6,00;6,00;6,00;6,00;19,00
2019-05-19;42,00;315,00;231,00;252,00;168,00;82,00;94,00;82,00;128,00;42,00;48,00;54,00;42,00;5,25;57,75;23,63;18,38;66,00;48,00;42,00;36,00;35,54;35,54;6,46;11,85;30,00;6,00;12,00;24,00;18,00;12,00;0,00;12,00;0,00;0,00;0,00
2019-05-26;30,00;225,00;135,00;120,00;150,00;100,00;112,00;94,00;54,00;42,00;61,50;24,00;36,00;24,55;79,09;30,00;43,64;42,00;30,00;30,00;18,00;41,79;11,79;18,21;23,57;30,00;24,00;12,00;6,00;24,00;36,00;6,00;6,00;6,00;0,00;6,00
2019-06-02;62,00;310,00;186,00;206,67;186,00;62,00;74,40;107,47;84,73;33,95;50,19;72,33;38,38;26,96;83,57;62,00;35,04;28,00;34,00;34,00;23,00;45,68;22,84;22,84;33,72;11,00;17,00;23,00;17,00;17,00;34,00;23,00;11,00;11,00;17,00;6,00
