Semaine;Martinique (LC);Guadeloupe (GP);Saint Martin (ile d Amérique du nord) (MF);Republique Dominicaine (DO);Sainte Lucie (LC);Barbade (BB)
2019-01-06;44,00;44,00;17,37;53,26;0,00;9,00
2019-01-13;9,00;25,88;9,00;42,75;9,00;0,00
2019-01-20;9,00;9,00;0,00;28,29;9,00;0,00
2019-01-27;26,00;43,73;17,73;26,00;0,00;17,00
2019-02-03;18,00;34,88;0,00;52,88;0,00;9,00
2019-02-10;9,00;25,88;18,00;52,88;9,00;0,00
2019-02-17;18,00;52,88;9,00;34,88;27,00;0,00
2019-02-24;0,00;47,00;8,00;16,00;0,00;0,00
2019-03-03;18,00;43,88;9,00;27,00;0,00;28,00
2019-03-10;27,00;27,00;18,78;9,39;0,00;0,00
2019-03-17;18,00;9,00;0,00;27,00;0,00;0,00
2019-03-24;19,00;28,50;9,50;19,00;0,00;0,00
2019-03-31;44,00;35,89;9,26;53,26;0,00;0,00
2019-04-07;28,00;57,17;0,00;37,33;0,00;0,00
2019-04-14;0,00;8,00;0,00;33,00;17,00;0,00
2019-04-21;46,00;18,87;9,44;28,31;9,44;0,00
2019-04-28;0,00;15,00;0,00;29,00;0,00;0,00
2019-05-05;9,00;19,29;0,00;37,29;9,00;9,00
2019-05-12;18,00;36,00;9,60;54,00;0,00;9,00
2019-05-19;26,00;52,00;8,27;8,27;8,27;9,00
2019-05-26;0,00;30,00;0,00;15,00;7,00;0,00
2019-06-02;16,00;24,00;8,00;16,00;8,00;0,00
2019-06-09;8,00;33,14;0,00;16,00;16,00;25,00
2019-06-16;9,00;47,57;0,00;47,57;0,00;0,00
2019-06-23;28,00;37,33;0,00;18,67;9,33;19,00
2019-06-30;18,00;27,00;0,00;36,00;0,00;0,00
2019-07-07;9,00;43,88;9,00;18,00;9,00;0,00
2019-07-14;39,00;59,09;0,00;20,09;0,00;0,00
2019-07-21;20,00;30,59;10,59;30,59;0,00;10,00
2019-07-28;29,00;29,00;0,00;0,00;0,00;20,00
2019-08-04;9,00;18,00;0,00;9,00;0,00;0,00
2019-08-11;27,00;27,00;0,00;18,00;0,00;0,00
2019-08-18;9,00;18,00;9,00;9,00;0,00;0,00
2019-08-25;27,00;36,39;0,00;9,39;0,00;0,00
2019-09-01;26,00;50,87;0,00;9,04;0,00;9,00
2019-09-08;9,00;9,00;9,00;0,00;0,00;9,00
2019-09-15;35,00;26,83;0,00;43,17;0,00;0,00
2019-09-22;17,00;17,00;17,00;26,71;0,00;25,00
2019-09-29;8,00;33,14;8,00;16,00;0,00;0,00
2019-10-06;34,00;50,41;16,41;16,41;0,00;0,00
2019-10-13;25,00;56,82;25,00;7,95;7,95;8,00
2019-10-20;34,00;25,79;8,21;8,21;8,21;8,00
2019-10-27;8,00;41,14;0,00;50,29;8,00;17,00
2019-11-03;25,00;33,33;8,33;33,33;0,00;8,00
2019-11-10;8,00;49,14;0,00;16,00;8,00;0,00
2019-11-17;25,00;32,95;0,00;15,91;0,00;8,00
2019-11-24;32,00;32,00;0,00;24,00;8,00;0,00
2019-12-01;66,00;66,00;8,11;8,11;16,21;0,00
2019-12-08;8,00;48,00;0,00;16,00;8,00;16,00
2019-12-15;97,00;49,08;8,18;32,72;8,18;0,00
2019-12-22;26,00;101,74;16,96;16,96;0,00;9,00
2019-12-29;17,00;83,87;7,93;17,00;0,00;26,00
2020-01-05;46,00;115,00;8,05;31,05;0,00;8,00
2020-01-12;23,00;67,85;8,05;44,85;8,05;15,00
2020-01-19;47,00;47,00;0,00;15,28;0,00;16,00
2020-01-26;24,00;24,00;0,00;24,00;0,00;24,00
