Semaine;Réunion (RE);Mayotte (YT);Maurice (MU);Seychelles (SC);Zanzibar (TZ);Madagascar (MG)
2019-01-06;47,00;0,00;54,00;20,00;13,00;13,00
2019-01-13;68,00;0,00;74,00;27,00;0,00;0,00
2019-01-20;13,00;0,00;97,00;19,00;0,00;6,00
2019-01-27;20,00;7,00;26,00;20,00;7,00;0,00
2019-02-03;28,00;7,00;35,00;7,00;0,00;0,00
2019-02-10;14,00;0,00;41,00;0,00;0,00;0,00
2019-02-17;21,00;0,00;35,00;7,00;7,00;0,00
2019-02-24;28,00;0,00;42,00;28,00;0,00;34,00
2019-03-03;42,00;0,00;56,00;35,00;0,00;14,00
2019-03-10;68,00;0,00;69,00;48,00;7,00;7,00
2019-03-17;28,00;0,00;49,00;7,00;0,00;7,00
2019-03-24;14,00;7,00;50,00;14,00;0,00;14,00
2019-03-31;27,00;0,00;20,00;20,00;0,00;7,00
2019-04-07;43,00;0,00;57,00;0,00;7,00;0,00
2019-04-14;29,00;15,00;7,00;0,00;0,00;7,00
2019-04-21;7,00;0,00;42,00;14,00;0,00;0,00
2019-04-28;32,00;0,00;39,00;13,00;0,00;6,00
2019-05-05;13,00;6,00;65,00;6,00;0,00;13,00
2019-05-12;53,00;0,00;54,00;13,00;13,00;0,00
2019-05-19;32,00;0,00;26,00;7,00;7,00;0,00
2019-05-26;33,00;7,00;52,00;26,00;7,00;7,00
2019-06-02;43,00;0,00;55,00;6,00;24,00;0,00
2019-06-09;44,00;0,00;19,00;13,00;6,00;13,00
2019-06-16;20,00;7,00;59,00;20,00;0,00;13,00
2019-06-23;42,00;7,00;43,00;7,00;0,00;0,00
2019-06-30;21,00;0,00;63,00;14,00;14,00;14,00
2019-07-07;48,00;0,00;55,00;35,00;7,00;7,00
2019-07-14;37,00;0,00;66,00;15,00;7,00;7,00
2019-07-21;54,00;0,00;61,00;8,00;8,00;23,00
2019-07-28;22,00;0,00;75,00;22,00;7,00;15,00
2019-08-04;36,00;14,00;22,00;22,00;7,00;7,00
2019-08-11;48,00;7,00;69,00;14,00;21,00;28,00
2019-08-18;21,00;0,00;65,00;14,00;0,00;7,00
2019-08-25;55,00;7,00;68,00;34,00;14,00;0,00
2019-09-01;13,00;0,00;74,00;20,00;7,00;20,00
2019-09-08;40,00;0,00;54,00;0,00;0,00;7,00
2019-09-15;33,00;0,00;66,00;7,00;7,00;26,00
2019-09-22;13,00;0,00;25,00;6,00;0,00;6,00
2019-09-29;38,00;0,00;25,00;13,00;0,00;6,00
2019-10-06;45,00;0,00;70,00;19,00;13,00;13,00
2019-10-13;19,00;6,00;32,00;0,00;6,00;0,00
2019-10-20;64,00;6,00;57,00;6,00;6,00;19,00
2019-10-27;51,00;0,00;58,00;32,00;0,00;6,00
2019-11-03;38,00;0,00;50,00;6,00;31,00;6,00
2019-11-10;13,00;6,00;83,00;13,00;0,00;6,00
2019-11-17;32,00;0,00;32,00;19,00;0,00;19,00
2019-11-24;30,00;0,00;67,00;6,00;0,00;6,00
2019-12-01;31,00;0,00;38,00;13,00;13,00;6,00
2019-12-08;31,00;0,00;80,00;25,00;0,00;6,00
2019-12-15;49,00;0,00;73,00;18,00;6,00;6,00
2019-12-22;13,00;0,00;33,00;7,00;7,00;13,00
2019-12-29;52,00;0,00;58,00;26,00;6,00;13,00
2020-01-05;18,00;6,00;71,00;18,00;6,00;18,00
2020-01-12;34,00;6,00;40,00;12,00;17,00;6,00
2020-01-19;41,00;6,00;36,00;12,00;6,00;12,00
2020-01-26;36,00;6,00;48,00;0,00;6,00;12,00
2020-02-02;18,00;0,00;36,00;12,00;12,00;18,00
2020-02-09;23,00;0,00;41,00;17,00;6,00;12,00
2020-02-16;52,00;6,00;35,00;18,00;18,00;12,00
2020-02-23;35,00;6,00;35,00;23,00;6,00;12,00
2020-03-01;40,00;0,00;35,00;23,00;12,00;35,00
2020-03-08;40,00;0,00;6,00;17,00;0,00;11,00
2020-03-15;62,00;0,00;40,00;6,00;0,00;6,00
2020-03-22;34,00;0,00;17,00;17,00;6,00;0,00
2020-03-29;27,00;5,00;22,00;11,00;5,00;0,00
2020-04-05;28,00;6,00;6,00;23,00;6,00;6,00
2020-04-12;11,00;0,00;39,00;17,00;0,00;0,00
2020-04-19;65,00;0,00;38,00;0,00;11,00;0,00
2020-04-26;16,00;5,00;21,00;11,00;0,00;0,00
2020-05-03;27,00;0,00;5,00;11,00;0,00;0,00
2020-05-10;27,00;5,00;27,00;5,00;11,00;0,00
2020-05-17;45,00;0,00;17,00;17,00;0,00;0,00
