Semaine;Nice (FR);Mallorca (ES);Benidorm (ES);reta (SI);Agadir (MA);Ibiza (ES);Djerba (TN);Lloret de Mar (ES);Corfu (GR);Santorini Island (GR);Marbella (ES);Faro (PT);Málaga (ES);Bodrum (TR);Mykonos (GR);Biarritz (FR);Ars en Ré (FR);Saint Malo (FR);Le Cap d Agde (FR);Cefalù (IT);Fréjus (FR);Amalfi (IT);Cannes (FR);Dubrovnik (HR);Antibes (FR);Le Touquet (BE);Torremolinos (ES);Le Barcarès (FR);Deauville (FR);Portofino (IT);Porto Vecchio (FR);Lacanau (FR);Palavas les Flots (FR);Sitges (ES);Argelès sur Mer (FR);Carnac (FR);Arcachon (FR);Le Grau du Roi (FR);Cap Ferret (FR);Biscarrosse (FR);La Baule Escoublac (FR);Saint Jean de Monts (FR);Plage de la Palmyre (FR)
2019-01-06;30,00;65,45;10,91;0,00;0,00;53,33;5,56;17,78;24,44;53,68;23,68;23,68;30,00;0,00;17,50;6,25;12,50;6,00;6,00;12,00;0,00;6,00;6,00;12,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00
2019-01-13;35,00;164,23;0,00;0,00;10,77;29,53;12,03;5,47;59,06;47,73;12,73;23,86;12,73;12,07;16,90;6,03;0,00;0,00;6,00;12,00;6,00;12,00;12,00;12,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;6,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-20;41,00;136,67;5,47;0,00;10,93;41,00;29,13;11,87;29,13;41,00;17,35;6,31;23,65;6,03;28,94;0,00;6,03;6,00;0,00;6,00;6,00;6,00;6,00;12,00;0,00;0,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-27;18,00;113,14;23,14;0,00;18,00;60,75;36,00;12,38;23,63;62,18;6,55;13,09;18,00;0,00;30,86;18,00;6,43;6,00;12,00;6,00;12,00;12,00;6,00;6,00;12,00;0,00;0,00;6,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-03;31,00;107,09;11,27;0,00;5,64;24,36;43,18;6,64;36,54;44,05;6,53;19,58;24,47;12,40;24,80;6,20;6,20;0,00;6,00;6,00;6,00;6,00;0,00;6,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;6,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-10;12,00;120,00;12,00;0,00;12,00;12,00;24,00;12,00;30,55;36,00;24,00;18,00;6,00;30,00;30,00;12,00;12,00;0,00;0,00;6,00;0,00;0,00;6,00;0,00;6,00;0,00;0,00;0,00;0,00;12,00;0,00;0,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-17;38,00;149,29;5,43;0,00;5,43;38,00;25,71;0,00;19,00;63,33;0,00;0,00;6,33;0,00;39,27;0,00;0,00;0,00;13,00;0,00;6,00;19,00;0,00;13,00;6,00;0,00;0,00;6,00;0,00;6,00;0,00;6,00;0,00;0,00;0,00;6,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00
2019-02-24;6,00;192,00;6,00;6,00;21,00;51,00;22,00;6,00;34,00;24,00;24,00;18,00;0,00;12,00;48,00;18,00;0,00;0,00;19,00;0,00;0,00;12,00;6,00;43,00;19,00;0,00;0,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-03;0,00;57,00;7,00;0,00;4,00;32,00;16,00;16,00;32,00;45,00;4,00;11,00;8,00;5,00;10,00;5,00;0,00;0,00;6,00;6,00;0,00;0,00;0,00;12,00;6,00;0,00;0,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-10;24,00;168,00;24,00;0,00;5,33;30,55;24,00;6,55;36,00;36,80;0,00;0,00;19,20;18,00;52,80;12,00;0,00;12,00;0,00;6,00;6,00;12,00;12,00;12,00;6,00;0,00;6,00;0,00;0,00;6,00;6,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-17;32,00;173,33;13,33;0,00;0,00;18,76;6,62;32,00;18,76;6,40;19,20;19,20;6,40;12,31;38,15;6,15;0,00;0,00;13,00;19,00;0,00;13,00;0,00;6,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
