Semaine;Nice (FR);Paris (FR);London (GB);Amsterdam (NL);Barcelona (ES);Roma (IT);Lille (FR);Madrid (ES);Lisbon (PT);Prague (CZ);Berlin (DE);Milano (IT);stanbul (TR);Budapest (HU);Venezia (IT);Wien (AT);Strasbourg (FR);Athens (GR);Dublin (IE);Lyon (FR);Frankfurt am Main (DE);Marseille (FR);München (DE);Stockholm (SE);Copenhagen (DK);Bordeaux (FR);Tours (FR);Hamburg (DE);Toulouse (FR);Montpellier (FR);Nantes (FR);Avignon (FR);Monaco (MC);Dijon (FR);Aix en Provence (FR)
2019-01-06;30,00;220,00;190,00;65,00;120,00;90,00;12,86;113,57;66,43;51,43;210,00;248,57;102,86;30,00;78,00;78,00;30,00;18,26;70,43;46,96;95,22;6,67;113,33;71,67;30,00;0,00;0,00;97,89;12,00;6,00;6,00;0,00;0,00;6,00;0,00
2019-01-13;35,00;170,00;145,00;95,00;135,00;80,29;6,18;86,47;86,47;27,22;190,56;194,44;108,89;11,67;93,33;64,17;35,00;35,00;64,81;23,33;93,33;6,36;74,77;46,14;22,27;16,74;0,00;76,09;24,00;12,00;6,00;18,00;0,00;6,00;0,00
2019-01-20;41,00;205,00;199,88;76,88;220,38;94,95;6,47;107,89;71,21;41,00;164,00;229,60;73,80;11,71;76,14;99,57;17,57;23,06;46,13;23,06;69,19;18,04;82,00;59,04;22,96;18,22;0,00;75,93;12,00;0,00;12,00;6,00;0,00;0,00;0,00
2019-01-27;18,00;318,00;186,00;96,00;168,00;87,75;0,00;155,25;67,50;54,00;207,00;211,50;121,50;18,00;72,00;60,00;30,00;57,86;64,29;29,57;57,86;18,00;76,91;18,00;18,00;6,55;0,00;163,64;6,00;0,00;0,00;0,00;18,00;0,00;0,00
2019-02-03;31,00;222,17;206,67;77,50;118,83;119,57;0,00;146,14;81,93;31,00;170,50;193,75;89,13;18,60;46,50;77,50;46,50;31,00;44,48;63,35;49,87;24,47;78,32;60,37;11,42;31,00;6,20;103,85;6,00;0,00;0,00;0,00;6,00;6,00;6,00
2019-02-10;12,00;342,00;264,00;114,00;156,00;70,00;12,00;128,00;82,00;12,00;172,00;184,00;100,00;18,00;114,00;51,00;39,00;37,33;50,67;32,00;106,67;34,50;51,00;16,50;16,50;6,00;0,00;90,00;12,00;6,00;6,00;6,00;6,00;0,00;0,00
2019-02-17;38,00;298,57;222,57;162,86;168,29;86,56;0,00;118,22;67,56;25,33;164,67;232,22;80,22;17,54;76,00;67,23;49,69;56,34;56,34;31,45;87,79;0,00;132,17;49,57;38,00;6,33;0,00;121,92;0,00;0,00;6,00;6,00;19,00;6,00;0,00
2019-02-24;6,00;222,00;204,00;120,00;162,00;92,00;0,00;156,00;58,00;27,00;120,00;96,00;78,00;18,00;81,00;69,00;45,00;10,80;33,60;56,40;28,80;12,00;79,50;16,50;34,50;6,00;0,00;60,00;6,00;6,00;0,00;0,00;25,00;0,00;0,00
2019-03-03;0,00;49,00;47,00;22,00;26,00;28,00;6,00;61,00;28,00;15,00;52,00;77,00;22,00;4,00;34,00;28,00;20,00;23,00;63,00;41,00;68,00;7,00;65,00;29,00;25,00;8,00;0,00;77,00;6,00;24,00;12,00;6,00;18,00;6,00;0,00
2019-03-10;24,00;273,60;192,00;96,00;240,00;80,73;0,00;93,82;93,82;32,00;116,00;248,00;120,00;36,00;93,00;69,00;57,00;35,37;29,05;41,68;93,47;17,60;76,80;11,20;28,80;24,00;0,00;118,50;0,00;0,00;0,00;6,00;30,00;6,00;6,00
2019-03-17;32,00;154,67;160,00;165,33;202,67;106,67;6,40;87,47;38,40;68,00;164,00;264,00;108,00;17,45;69,82;69,82;26,18;77,33;45,33;45,33;70,67;32,00;102,74;45,47;13,47;12,80;0,00;156,80;6,00;19,00;0,00;0,00;13,00;13,00;0,00
2019-03-24;25,00;215,00;130,00;175,00;190,00;85,42;0,00;110,42;79,17;37,50;150,00;287,50;141,67;40,63;106,25;87,50;12,50;43,42;63,16;63,16;63,16;25,00;101,67;25,00;13,33;12,50;6,25;132,81;0,00;6,00;6,00;6,00;6,00;0,00;0,00
2019-03-31;42,00;262,50;189,00;89,25;183,75;94,50;0,00;94,50;77,70;53,45;156,55;236,73;110,73;42,00;87,00;87,00;42,00;24,94;60,38;36,75;90,56;17,77;130,85;46,85;6,46;18,67;6,22;98,00;0,00;18,00;18,00;0,00;18,00;0,00;6,00
2019-04-07;40,00;260,00;185,00;125,00;160,00;124,21;6,32;134,74;73,68;56,00;172,00;240,00;52,00;45,71;154,29;117,14;65,71;52,00;58,67;81,33;76,00;23,33;110,00;35,00;11,67;16,92;16,92;113,85;6,00;11,00;6,00;6,00;11,00;11,00;11,00
2019-04-14;100,00;526,32;226,32;121,05;236,84;185,11;6,38;93,62;53,19;52,00;240,00;400,00;108,00;20,59;114,71;73,53;47,06;60,53;47,37;60,53;106,58;13,11;73,77;32,79;32,79;53,85;13,85;86,15;13,00;13,00;0,00;7,00;33,00;20,00;0,00
2019-04-21;60,00;321,82;256,36;92,73;223,64;107,14;12,86;120,00;100,71;28,00;200,00;264,00;140,00;27,00;96,00;135,00;60,00;39,13;53,48;60,00;79,57;33,33;86,67;26,67;20,00;33,85;20,00;86,15;0,00;7,00;27,00;7,00;47,00;13,00;13,00
2019-04-28;41,00;297,25;215,25;138,38;215,25;82,00;0,00;88,47;116,53;49,20;131,20;278,80;106,60;41,00;140,57;117,14;41,00;23,81;46,29;23,81;52,90;11,48;104,96;29,52;6,56;12,62;0,00;94,62;0,00;0,00;12,00;6,00;12,00;6,00;6,00
2019-05-05;29,00;314,17;183,67;96,67;241,67;147,07;0,00;182,29;72,50;37,29;211,29;261,00;95,29;58,00;121,80;81,20;40,60;59,32;52,73;40,86;112,05;45,11;62,83;29,00;51,56;29,00;0,00;109,89;12,00;0,00;23,00;12,00;6,00;0,00;12,00
2019-05-12;36,00;267,43;154,29;138,86;169,71;211,76;0,00;93,18;59,29;24,00;132,00;260,00;76,00;48,00;132,00;114,00;48,00;108,00;42,67;48,00;66,67;18,00;36,00;36,00;18,00;18,78;23,48;114,26;6,00;0,00;6,00;0,00;12,00;0,00;18,00
2019-05-19;35,00;200,00;125,00;60,00;205,00;109,12;12,35;125,59;80,29;46,67;143,89;268,33;105,00;29,17;163,33;110,83;46,67;93,33;58,33;46,67;58,33;17,50;79,55;11,14;28,64;22,83;12,17;82,17;6,00;24,00;12,00;0,00;24,00;6,00;0,00
