Semaine;Martinique (LC);Guadeloupe (GP);Saint Martin (ile d Amérique du nord) (MF);Republique Dominicaine (DO);Sainte Lucie (LC);Barbade (BB)
2019-01-06;54,00;40,50;0,00;27,00;13,50;40,00
2019-01-13;13,00;52,00;26,00;13,00;0,00;0,00
2019-01-20;0,00;26,00;0,00;26,00;13,00;54,00
2019-01-27;54,00;67,50;13,50;13,50;13,50;13,00
2019-02-03;42,00;13,65;42,00;13,65;13,65;28,00
2019-02-10;28,00;14,52;0,00;42,52;14,52;0,00
2019-02-17;0,00;0,00;14,00;28,00;0,00;28,00
2019-02-24;28,00;0,00;14,52;42,52;0,00;0,00
2019-03-03;40,00;13,33;0,00;80,00;13,33;40,00
2019-03-10;28,00;0,00;28,00;41,48;13,48;0,00
2019-03-17;14,00;14,00;0,00;14,00;0,00;14,00
2019-03-24;28,00;14,52;42,52;28,00;0,00;0,00
2019-03-31;28,00;41,48;0,00;13,48;13,48;0,00
2019-04-07;0,00;25,00;0,00;25,00;0,00;0,00
2019-04-14;15,00;15,00;0,00;29,00;15,00;0,00
2019-04-21;30,00;30,00;0,00;15,52;0,00;30,00
2019-04-28;26,00;39,52;13,52;0,00;13,52;26,00
2019-05-05;13,00;0,00;0,00;13,00;0,00;0,00
2019-05-12;27,00;13,50;0,00;13,50;0,00;13,00
2019-05-19;27,00;27,00;0,00;54,00;0,00;0,00
2019-05-26;0,00;14,00;14,00;28,00;0,00;29,00
2019-06-02;0,00;0,00;0,00;39,00;0,00;41,00
2019-06-09;0,00;0,00;0,00;13,00;0,00;0,00
2019-06-16;14,00;29,08;0,00;14,00;0,00;55,00
2019-06-23;15,00;0,00;30,00;45,00;15,00;29,00
2019-06-30;72,00;29,22;0,00;0,00;0,00;0,00
2019-07-07;14,00;14,00;14,00;42,00;0,00;0,00
2019-07-14;0,00;30,00;0,00;15,00;0,00;0,00
2019-07-21;50,00;16,67;16,67;33,33;0,00;17,00
2019-07-28;17,00;17,00;0,00;0,00;0,00;0,00
2019-08-04;15,00;44,00;0,00;30,00;0,00;0,00
2019-08-11;0,00;27,00;0,00;14,00;0,00;56,00
2019-08-18;0,00;13,00;0,00;40,00;13,00;14,00
2019-08-25;40,00;40,00;0,00;66,67;13,33;13,00
2019-09-01;26,00;26,00;0,00;52,00;0,00;0,00
2019-09-08;13,00;26,00;0,00;39,00;0,00;27,00
2019-09-15;13,00;26,00;0,00;39,00;26,00;0,00
2019-09-22;27,00;66,46;13,50;27,00;0,00;0,00
2019-09-29;54,00;40,50;0,00;27,00;0,00;54,00
2019-10-06;14,00;28,00;14,00;43,08;28,00;95,00
2019-10-13;27,00;54,00;13,50;27,00;0,00;14,00
2019-10-20;0,00;12,00;0,00;13,00;0,00;13,00
2019-10-27;39,00;39,00;0,00;25,66;0,00;13,00
2019-11-03;51,00;89,51;0,00;38,51;0,00;25,00
2019-11-10;39,00;26,35;12,65;0,00;0,00;13,00
2019-11-17;0,00;74,00;12,00;50,00;37,00;39,00
2019-11-24;25,00;51,04;0,00;25,00;12,50;13,00
2019-12-01;52,00;39,52;13,52;39,52;13,52;13,00
2019-12-08;52,00;26,00;0,00;39,52;0,00;26,00
2019-12-15;26,00;53,04;0,00;13,52;13,52;13,00
2019-12-22;31,00;91,97;0,00;15,50;0,00;31,00
2019-12-29;29,00;29,00;0,00;58,00;29,00;29,00
2020-01-05;25,00;37,50;0,00;75,00;0,00;50,00
