Semaine;Polynesie (PF);Nouvelle Caledonie (NC);Fidji (FJ);Vanuatu (VU);Iles Cook (CK)
2019-01-06;43,00;0,00;14,00;14,00;0,00
2019-01-13;43,00;14,00;71,00;0,00;14,00
2019-01-20;28,00;0,00;57,00;0,00;0,00
2019-01-27;28,00;14,00;57,00;14,00;0,00
2019-02-03;29,00;15,00;15,00;0,00;15,00
2019-02-10;45,00;15,00;30,00;0,00;15,00
2019-02-17;15,00;0,00;15,00;0,00;0,00
2019-02-24;45,00;0,00;45,00;30,00;0,00
2019-03-03;28,00;14,00;0,00;0,00;0,00
2019-03-10;0,00;0,00;15,00;0,00;0,00
2019-03-17;0,00;0,00;30,00;0,00;0,00
2019-03-24;60,00;15,00;30,00;0,00;15,00
2019-03-31;15,00;0,00;44,00;0,00;0,00
2019-04-07;41,00;0,00;14,00;0,00;0,00
2019-04-14;0,00;16,00;0,00;0,00;0,00
2019-04-21;48,00;0,00;16,00;0,00;0,00
2019-04-28;14,00;0,00;56,00;0,00;0,00
2019-05-05;42,00;0,00;14,00;0,00;0,00
2019-05-12;14,00;0,00;100,00;0,00;0,00
2019-05-19;14,00;14,00;43,00;0,00;0,00
2019-05-26;15,00;15,00;92,00;0,00;15,00
2019-06-02;14,00;0,00;0,00;0,00;0,00
2019-06-09;14,00;0,00;14,00;0,00;0,00
2019-06-16;29,00;15,00;44,00;0,00;0,00
2019-06-23;31,00;0,00;0,00;15,00;0,00
2019-06-30;46,00;0,00;30,00;0,00;0,00
2019-07-07;15,00;0,00;15,00;0,00;0,00
2019-07-14;17,00;0,00;0,00;0,00;0,00
2019-07-21;18,00;18,00;18,00;18,00;0,00
2019-07-28;0,00;0,00;53,00;0,00;0,00
2019-08-04;32,00;0,00;16,00;0,00;0,00
2019-08-11;30,00;0,00;15,00;15,00;0,00
2019-08-18;58,00;14,00;43,00;0,00;0,00
2019-08-25;43,00;14,00;14,00;14,00;0,00
2019-09-01;27,00;0,00;0,00;0,00;0,00
2019-09-08;14,00;0,00;43,00;0,00;0,00
2019-09-15;28,00;0,00;14,00;14,00;28,00
2019-09-22;14,00;0,00;14,00;0,00;0,00
2019-09-29;14,00;0,00;43,00;0,00;0,00
2019-10-06;0,00;0,00;14,00;0,00;0,00
2019-10-13;0,00;14,00;29,00;14,00;0,00
2019-10-20;14,00;0,00;14,00;0,00;0,00
2019-10-27;41,00;14,00;14,00;0,00;0,00
2019-11-03;67,00;0,00;13,00;0,00;0,00
2019-11-10;14,00;0,00;14,00;0,00;0,00
2019-11-17;14,00;14,00;27,00;14,00;14,00
2019-11-24;13,00;0,00;40,00;0,00;0,00
2019-12-01;0,00;0,00;14,00;0,00;0,00
2019-12-08;0,00;0,00;0,00;0,00;0,00
2019-12-15;42,00;0,00;0,00;14,00;0,00
2019-12-22;33,00;16,00;16,00;0,00;0,00
2019-12-29;46,00;15,00;15,00;0,00;0,00
2020-01-05;53,00;13,00;0,00;0,00;26,00
2020-01-12;0,00;0,00;0,00;0,00;13,00
2020-01-19;26,00;0,00;13,00;0,00;0,00
2020-01-26;13,00;13,00;13,00;0,00;0,00
2020-02-02;13,00;0,00;26,00;13,00;13,00
2020-02-09;26,00;0,00;65,00;0,00;0,00
2020-02-16;66,00;0,00;0,00;0,00;0,00
2020-02-23;37,00;0,00;62,00;0,00;0,00
2020-03-01;25,00;25,00;38,00;0,00;0,00
2020-03-08;12,00;0,00;24,00;0,00;0,00
2020-03-15;37,00;0,00;12,00;0,00;0,00
2020-03-22;12,00;0,00;24,00;0,00;0,00
2020-03-29;24,00;0,00;36,00;0,00;0,00
2020-04-05;13,00;0,00;13,00;0,00;0,00
2020-04-12;13,00;0,00;0,00;0,00;13,00
2020-04-19;24,00;12,00;0,00;0,00;0,00
2020-04-26;0,00;0,00;46,00;11,00;0,00
2020-05-03;0,00;0,00;37,00;12,00;0,00
2020-05-10;0,00;0,00;12,00;36,00;0,00
2020-05-17;26,00;0,00;13,00;0,00;0,00
2020-05-24;13,00;0,00;0,00;0,00;0,00
2020-05-31;0,00;0,00;0,00;0,00;0,00
2020-06-07;24,00;0,00;0,00;0,00;0,00
2020-06-14;24,00;12,00;12,00;24,00;0,00
2020-06-21;79,00;0,00;0,00;0,00;0,00
2020-06-28;13,00;0,00;13,00;0,00;0,00
2020-07-05;13,00;0,00;0,00;0,00;0,00
2020-07-12;27,00;0,00;0,00;0,00;0,00
2020-07-19;0,00;0,00;14,00;0,00;0,00
2020-07-26;14,00;14,00;0,00;0,00;0,00
2020-08-02;0,00;0,00;27,00;0,00;0,00
2020-08-09;0,00;13,00;26,00;0,00;13,00
2020-08-16;13,00;13,00;13,00;0,00;0,00
2020-08-23;0,00;0,00;13,00;0,00;0,00
2020-08-30;13,00;0,00;13,00;26,00;0,00
2020-09-06;26,00;0,00;13,00;0,00;0,00
2020-09-13;13,00;0,00;13,00;0,00;0,00
2020-09-20;50,00;0,00;0,00;13,00;0,00
2020-09-27;66,00;13,00;26,00;0,00;0,00
2020-10-04;14,00;27,00;27,00;0,00;0,00
2020-10-11;14,00;0,00;0,00;0,00;14,00
2020-10-18;27,00;0,00;0,00;0,00;0,00
2020-10-25;27,00;0,00;0,00;0,00;13,00
2020-11-01;0,00;0,00;12,00;0,00;0,00
2020-11-08;13,00;13,00;13,00;0,00;0,00
2020-11-15;13,00;0,00;0,00;0,00;0,00
2020-11-22;0,00;0,00;26,00;13,00;0,00
2020-11-29;26,00;0,00;26,00;0,00;0,00
2020-12-06;26,00;26,00;13,00;0,00;13,00
2020-12-13;0,00;13,00;26,00;13,00;0,00
2020-12-20;0,00;30,00;0,00;0,00;0,00
