Semaine;Réunion (RE);Mayotte (YT);Maurice (MU);Seychelles (SC);Zanzibar (TZ);Madagascar (MG)
2019-01-06;9,00;0,00;182,25;58,50;20,25;37,00
2019-01-13;37,00;0,00;148,00;74,00;0,00;37,00
2019-01-20;18,00;0,00;188,00;76,00;0,00;18,00
2019-01-27;28,00;8,62;109,85;64,62;0,00;9,00
2019-02-03;38,00;0,00;128,78;92,89;0,00;19,00
2019-02-10;29,00;8,92;138,31;109,31;0,00;0,00
2019-02-17;19,00;10,56;162,56;76,00;10,56;29,00
2019-02-24;19,00;0,00;130,89;57,00;0,00;0,00
2019-03-03;18,00;0,00;86,00;26,00;0,00;28,00
2019-03-10;28,00;19,38;47,38;38,77;0,00;28,00
2019-03-17;39,00;0,00;216,67;30,33;19,50;39,00
2019-03-24;39,00;10,83;78,00;39,00;0,00;0,00
2019-03-31;66,00;0,00;102,19;93,68;0,00;19,00
2019-04-07;44,00;8,38;69,14;60,76;0,00;9,00
2019-04-14;41,00;0,00;92,79;103,58;0,00;21,00
2019-04-21;21,00;0,00;79,80;60,90;0,00;21,00
2019-04-28;27,00;0,00;78,92;43,62;0,00;18,00
2019-05-05;45,00;0,00;72,86;62,14;0,00;45,00
2019-05-12;64,00;0,00;91,73;36,27;19,20;28,00
2019-05-19;18,00;0,00;86,00;34,00;0,00;9,00
2019-05-26;40,00;0,00;62,22;62,22;0,00;30,00
2019-06-02;46,00;0,00;71,09;35,55;8,36;0,00
2019-06-09;37,00;0,00;56,59;56,59;0,00;0,00
2019-06-16;9,00;0,00;128,25;69,75;9,00;9,00
2019-06-23;0,00;5,00;55,00;18,00;5,00;20,00
2019-06-30;49,00;0,00;117,17;49,00;29,83;10,00
2019-07-07;10,00;10,00;90,00;36,00;18,00;20,00
2019-07-14;11,00;0,00;129,80;33,00;0,00;11,00
2019-07-21;23,00;10,45;110,82;43,91;0,00;45,00
2019-07-28;68,00;0,00;195,23;114,06;10,97;23,00
2019-08-04;63,00;0,00;189,00;104,28;0,00;21,00
2019-08-11;29,00;8,92;138,31;29,00;8,92;19,00
2019-08-18;28,00;8,62;120,62;56,00;8,62;9,00
2019-08-25;55,00;8,46;99,42;99,42;0,00;28,00
2019-09-01;35,00;0,00;124,69;26,25;0,00;9,00
2019-09-08;18,00;0,00;102,00;52,00;0,00;18,00
2019-09-15;18,00;0,00;85,50;56,25;9,00;18,00
2019-09-22;45,00;0,00;53,57;81,43;0,00;27,00
2019-09-29;37,00;0,00;139,29;45,71;0,00;18,00
2019-10-06;19,00;0,00;173,11;73,89;0,00;9,00
2019-10-13;19,00;0,00;99,22;71,78;0,00;37,00
2019-10-20;18,00;9,00;119,25;119,25;9,00;9,00
2019-10-27;62,00;8,55;87,66;87,66;0,00;9,00
2019-11-03;52,00;26,00;78,00;60,67;0,00;26,00
2019-11-10;62,00;0,00;141,10;34,21;0,00;26,00
2019-11-17;44,00;8,80;151,80;99,00;26,40;26,00
2019-11-24;52,00;0,00;86,67;69,33;0,00;0,00
2019-12-01;9,00;0,00;101,25;27,00;9,00;18,00
2019-12-08;27,00;9,00;130,50;56,25;9,00;18,00
2019-12-15;27,00;9,00;103,50;74,25;0,00;18,00
2019-12-22;21,00;0,00;184,80;31,50;21,00;21,00
2019-12-29;40,00;0,00;173,33;71,11;11,11;20,00
2020-01-05;76,00;0,00;171,54;58,63;0,00;8,00
2020-01-12;25,00;0,00;87,50;72,92;16,67;25,00
2020-01-19;100,00;0,00;117,39;58,70;26,09;0,00
2020-01-26;8,00;0,00;154,00;38,00;8,00;17,00
2020-02-02;42,00;17,68;145,89;95,05;8,84;17,00
2020-02-09;58,00;0,00;116,00;58,00;0,00;33,00
2020-02-16;0,00;0,00;48,00;52,00;0,00;9,00
2020-02-23;16,00;0,00;84,57;50,29;0,00;16,00
2020-03-01;8,00;0,00;82,00;82,00;0,00;16,00
2020-03-08;8,00;0,00;72,00;50,00;0,00;15,00
2020-03-15;16,00;0,00;66,29;25,14;0,00;0,00
2020-03-22;23,00;0,00;43,91;29,27;0,00;38,00
2020-03-29;31,00;0,00;24,36;24,36;0,00;0,00
2020-04-05;34,00;0,00;25,50;0,00;0,00;26,00
2020-04-12;33,00;8,80;8,80;24,20;0,00;25,00
2020-04-19;24,00;0,00;24,00;8,73;0,00;16,00
2020-04-26;44,00;0,00;29,33;20,95;6,29;0,00
2020-05-03;16,00;25,14;59,43;16,00;0,00;0,00
2020-05-10;8,00;8,00;30,00;14,00;8,00;8,00
2020-05-17;25,00;0,00;50,00;16,67;0,00;17,00
2020-05-24;8,00;8,00;46,00;0,00;0,00;16,00
2020-05-31;24,00;0,00;8,73;39,27;0,00;16,00
2020-06-07;8,00;8,00;64,00;8,00;0,00;23,00
2020-06-14;23,00;0,00;52,27;8,36;14,64;0,00
2020-06-21;51,00;0,00;65,88;0,00;0,00;17,00
2020-06-28;8,00;0,00;60,00;16,00;0,00;16,00
2020-07-05;0,00;0,00;16,00;8,00;0,00;0,00
2020-07-12;18,00;0,00;9,00;18,00;9,00;0,00
2020-07-19;27,00;0,00;35,31;24,92;0,00;27,00
2020-07-26;37,00;0,00;8,71;0,00;0,00;0,00
2020-08-02;9,00;0,00;83,25;36,00;0,00;9,00
2020-08-09;0,00;0,00;66,00;16,00;0,00;25,00
2020-08-16;8,00;0,00;54,00;30,00;8,00;0,00
2020-08-23;41,00;0,00;41,00;23,74;8,63;8,00
2020-08-30;42,00;0,00;42,00;17,68;0,00;0,00
2020-09-06;25,00;8,33;31,25;47,92;0,00;8,00
2020-09-13;8,00;8,00;46,00;30,00;0,00;8,00
2020-09-20;16,00;0,00;50,29;25,14;0,00;8,00
2020-09-27;0,00;0,00;28,00;20,00;8,00;0,00
2020-10-04;26,00;0,00;43,33;52,00;0,00;0,00
2020-10-11;27,00;9,00;36,00;56,25;9,00;18,00
2020-10-18;9,00;0,00;9,00;18,00;9,00;0,00
2020-10-25;17,00;0,00;25,50;59,50;0,00;0,00
2020-11-01;24,00;8,73;8,73;32,73;0,00;0,00
2020-11-08;26,00;0,00;43,33;43,33;0,00;17,00
2020-11-15;25,00;0,00;33,33;50,00;0,00;0,00
2020-11-22;33,00;8,80;26,40;41,80;0,00;17,00
2020-11-29;17,00;0,00;25,50;25,50;0,00;0,00
2020-12-06;17,00;0,00;57,38;25,50;8,50;8,00
2020-12-13;8,00;0,00;8,00;48,00;24,00;17,00
2020-12-20;10,00;0,00;18,00;10,00;10,00;0,00
2020-12-27;19,00;0,00;27,44;57,00;0,00;29,00
2021-01-03;17,00;0,00;17,00;76,50;17,00;9,00
2021-01-10;34,00;0,00;25,50;34,00;8,50;8,00
2021-01-17;50,00;0,00;91,30;26,09;8,70;0,00
2021-01-24;49,00;0,00;66,04;40,48;17,04;0,00
2021-01-31;58,00;8,59;25,78;40,81;25,78;0,00
2021-02-07;33,00;0,00;30,94;55,69;0,00;17,00
2021-02-14;0,00;0,00;24,00;12,00;0,00;9,00
2021-02-21;95,00;0,00;51,82;34,55;25,91;17,00
2021-02-28;8,00;0,00;32,00;8,00;0,00;17,00
2021-03-07;0,00;0,00;8,00;23,00;4,00;17,00
2021-03-14;39,00;0,00;39,00;56,33;8,67;16,00
2021-03-21;17,00;0,00;34,00;34,00;0,00;0,00
2021-03-28;9,00;0,00;9,00;67,50;0,00;0,00
2021-04-04;18,00;0,00;18,00;27,00;18,00;0,00
2021-04-11;17,00;0,00;17,00;8,50;0,00;17,00
2021-04-18;17,00;8,50;42,50;34,00;0,00;9,00
2021-04-25;17,00;0,00;8,50;65,88;0,00;8,00
2021-05-02;25,00;8,33;25,00;47,92;8,33;17,00
2021-05-09;9,00;0,00;36,00;81,00;0,00;17,00
2021-05-16;25,00;0,00;16,67;72,92;0,00;0,00
2021-05-23;36,00;0,00;52,94;44,47;0,00;18,00
2021-05-30;62,00;0,00;42,76;104,76;8,55;0,00
2021-06-06;34,00;0,00;42,50;25,50;0,00;0,00
2021-06-13;9,00;0,00;36,00;27,00;0,00;0,00
2021-06-20;26,00;0,00;34,67;26,00;0,00;0,00
2021-06-27;35,00;0,00;52,50;35,00;17,50;9,00
2021-07-04;27,00;0,00;43,62;51,92;8,31;9,00
2021-07-11;45,00;0,00;36,43;36,43;0,00;0,00
2021-07-18;40,00;0,00;69,47;40,00;10,53;10,00
2021-07-25;30,00;0,00;49,29;68,57;10,71;0,00
2021-08-01;19,00;0,00;95,00;95,00;0,00;0,00
2021-08-08;30,00;0,00;60,00;40,71;30,00;10,00
2021-08-15;9,00;20,25;96,75;58,50;0,00;9,00
2021-08-22;29,00;8,92;60,23;60,23;20,08;29,00
2021-08-29;28,00;0,00;47,38;28,00;8,62;0,00
2021-09-05;19,00;0,00;54,89;92,89;19,00;9,00
2021-09-12;28,00;0,00;47,38;64,62;0,00;0,00
2021-09-19;28,00;0,00;84,00;56,00;0,00;0,00
2021-09-26;18,00;0,00;78,00;68,00;0,00;28,00
2021-10-03;28,00;0,00;84,00;90,46;12,92;14,00
2021-10-10;26,00;0,00;71,50;58,50;13,00;0,00
2021-10-17;13,00;0,00;95,33;52,00;26,00;19,00
2021-10-24;37,00;13,06;56,59;93,59;13,06;0,00
2021-10-31;6,00;0,00;80,00;46,00;34,00;18,00
2021-11-07;42,00;0,00;134,40;75,60;6,30;6,00
2021-11-14;12,00;0,00;78,00;84,00;16,00;6,00
2021-11-21;65,00;10,83;41,17;82,33;17,33;0,00
2021-11-28;58,00;0,00;92,37;75,19;17,19;6,00
2021-12-05;18,00;6,75;42,75;56,25;13,50;6,00
2021-12-12;32,00;0,00;38,40;25,60;55,47;0,00
2021-12-19;28,00;6,46;71,08;64,62;21,54;0,00
2021-12-26;26,00;0,00;78,00;104,00;17,33;26,00
