Semaine;Nice (FR);Mallorca (ES);Benidorm (ES);reta (SI);Agadir (MA);Ibiza (ES);Djerba (TN);Lloret de Mar (ES);Corfu (GR);Santorini Island (GR);Marbella (ES);Faro (PT);Málaga (ES);Bodrum (TR);Mykonos (GR);Biarritz (FR);Ars en Ré (FR);Saint Malo (FR);Le Cap d Agde (FR);Cefalù (IT);Fréjus (FR);Amalfi (IT);Cannes (FR);Dubrovnik (HR);Antibes (FR);Le Touquet (BE);Torremolinos (ES);Le Barcarès (FR);Deauville (FR);Portofino (IT);Porto Vecchio (FR);Lacanau (FR);Palavas les Flots (FR);Sitges (ES);Argelès sur Mer (FR);Carnac (FR);Arcachon (FR);Le Grau du Roi (FR);Cap Ferret (FR);Biscarrosse (FR);La Baule Escoublac (FR);Saint Jean de Monts (FR);Plage de la Palmyre (FR)
2019-01-06;48,00;928,00;16,00;0,00;96,00;130,91;39,27;52,36;257,45;162,67;24,00;80,00;42,67;33,45;64,00;0,00;2,91;10,00;7,00;10,00;7,00;20,00;14,00;31,00;10,00;0,00;0,00;0,00;0,00;0,00;7,00;14,00;0,00;7,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-13;47,00;1034,00;15,67;0,00;47,00;102,55;34,18;55,55;192,27;127,18;19,35;74,65;49,76;26,44;49,94;10,28;0,00;3,00;3,00;7,00;3,00;10,00;13,00;33,00;7,00;0,00;3,00;0,00;0,00;3,00;3,00;7,00;0,00;7,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00
2019-01-20;54,00;796,50;13,50;0,00;40,50;117,00;45,00;22,50;211,50;153,90;24,30;94,50;10,80;20,43;56,92;16,05;10,22;10,00;7,00;7,00;7,00;30,00;0,00;37,00;7,00;0,00;0,00;0,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-27;62,00;945,50;15,50;0,00;62,00;163,86;53,14;39,86;203,71;124,00;29,65;67,39;35,04;20,67;51,67;0,00;17,71;3,00;10,00;14,00;7,00;21,00;3,00;17,00;14,00;0,00;3,00;0,00;3,00;7,00;10,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-03;21,00;619,50;10,50;0,00;63,00;75,60;46,20;16,80;168,00;102,38;15,75;73,50;26,25;28,50;43,50;7,50;3,00;4,00;4,00;14,00;4,00;18,00;11,00;35,00;14,00;0,00;4,00;0,00;7,00;0,00;0,00;4,00;0,00;4,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-10;32,00;896,00;32,00;0,00;32,00;100,57;45,71;32,00;187,43;77,33;10,67;53,33;42,67;14,55;34,91;7,27;7,27;0,00;18,00;14,00;0,00;32,00;7,00;32,00;0,00;0,00;0,00;0,00;7,00;11,00;0,00;7,00;0,00;0,00;0,00;4,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-17;29,00;812,00;14,50;0,00;72,50;91,14;45,57;45,57;153,29;87,00;18,45;76,45;18,45;24,65;14,50;14,50;2,90;7,00;0,00;4,00;0,00;21,00;7,00;21,00;14,00;0,00;0,00;0,00;0,00;4,00;0,00;4,00;0,00;7,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00
2019-02-24;18,00;1044,00;18,00;0,00;72,00;81,00;36,00;22,50;162,00;118,29;7,71;77,14;38,57;20,77;45,69;4,15;4,15;7,00;11,00;4,00;0,00;18,00;11,00;15,00;0,00;0,00;4,00;0,00;0,00;4,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-03;39,00;819,00;26,00;0,00;52,00;112,67;30,33;43,33;151,67;94,71;13,93;58,50;27,86;21,00;28,50;10,50;0,00;0,00;14,00;7,00;0,00;32,00;18,00;46,00;4,00;0,00;4,00;4,00;4,00;0,00;4,00;4,00;4,00;11,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00
2019-03-10;32,00;960,00;8,00;0,00;64,00;68,57;41,14;18,29;201,14;138,67;10,67;93,33;32,00;32,00;32,00;7,27;2,91;0,00;0,00;7,00;7,00;28,00;14,00;35,00;7,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00
