Semaine;Chamonix (FR);Val Thorens (FR);Alpe d Huez (FR);Les Deux Alpes (FR);Ischgl (AT);Tignes (FR);Les Arcs (FR);Saalbach (AT);Les Ménuires (FR);Avoriaz (FR);La Plagne (FR);Sankt Anton (AT);Zermatt (CH);Flachau (AT);La Clusaz (FR);Verbier (CH);Zillertal (AT);Morzine (FR);Châtel (FR);St Moritz (DE);Les Gets (FR);Val Cenis (FR);Courchevel (FR);Mayrhofen (AT);Val Gardena (IT);Serre Chevalier (FR);Samoëns (FR);Valloire (FR);Méribel (FR);Val d Isère (FR);Megève (FR);Kitzbuhel (AT);Vars (FR);Schladming (AT);Grand Bornand (FR);Brixental (AT);Sestriere (IT);Gstaad (CH);Font Romeu (FR);St Lary (FR);Barèges (FR);La Mongie (FR);Peyragudes (FR)
2019-01-06;18,00;18,00;18,00;9,00;522,00;27,00;18,00;900,00;9,00;9,00;18,00;364,50;135,00;396,00;0,00;18,00;558,00;0,00;18,00;162,00;0,00;0,00;9,00;122,40;27,00;0,00;0,00;0,00;9,00;7,71;0,00;257,14;0,00;140,40;0,00;120,60;0,00;9,00;0,00;0,00;0,00;0,00;0,00
2019-01-13;35,00;17,50;35,00;8,75;437,50;17,50;8,75;603,75;0,00;8,75;8,75;266,88;100,63;280,00;5,83;17,50;315,00;0,00;8,75;161,88;0,00;0,00;0,00;184,21;0,00;0,00;17,00;0,00;43,00;0,00;8,08;220,77;0,00;71,75;0,00;98,00;0,00;9,00;0,00;0,00;0,00;0,00;0,00
2019-01-20;26,00;78,00;26,00;26,00;468,00;0,00;8,67;424,67;0,00;8,67;8,67;199,33;65,00;331,50;6,50;26,00;344,50;0,00;17,33;97,50;0,00;0,00;9,29;70,57;9,29;0,00;0,00;0,00;0,00;7,80;0,00;127,40;0,00;142,13;0,00;17,33;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-27;18,00;9,00;0,00;0,00;342,00;9,00;9,00;405,00;9,00;9,00;9,00;94,50;135,00;198,00;0,00;6,00;324,00;0,00;0,00;153,00;9,00;9,00;0,00;106,20;9,00;0,00;0,00;0,00;18,00;7,71;0,00;154,29;0,00;113,40;0,00;37,80;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-03;36,00;0,00;9,00;9,00;270,00;27,00;0,00;432,00;0,00;0,00;0,00;140,00;80,00;192,00;0,00;18,00;378,00;0,00;0,00;46,59;0,00;0,00;0,00;99,00;9,00;0,00;0,00;0,00;0,00;7,71;7,71;203,14;0,00;63,43;0,00;54,86;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-10;27,00;0,00;27,00;0,00;432,00;0,00;9,00;324,00;9,00;0,00;0,00;154,29;84,86;194,40;0,00;16,20;307,80;18,69;18,69;108,00;8,31;0,00;0,00;99,00;0,00;0,00;18,00;0,00;9,00;8,10;18,90;205,20;0,00;64,13;0,00;64,13;9,00;0,00;9,00;0,00;0,00;0,00;0,00
2019-02-17;28,00;28,00;28,00;28,00;364,00;18,67;9,33;448,00;0,00;0,00;8,00;180,00;116,00;212,80;0,00;11,20;229,60;8,62;0,00;114,15;8,62;0,00;9,33;37,33;0,00;19,00;0,00;0,00;0,00;8,40;8,40;145,60;0,00;47,25;0,00;19,25;0,00;0,00;9,00;0,00;0,00;0,00;0,00
2019-02-24;19,00;0,00;19,00;19,00;285,00;9,50;9,50;361,00;9,50;0,00;7,60;140,60;87,40;253,33;0,00;12,67;253,33;0,00;29,56;48,56;0,00;0,00;0,00;70,30;9,50;0,00;0,00;0,00;10,00;0,00;0,00;214,43;0,00;58,73;0,00;29,36;0,00;10,00;0,00;0,00;0,00;0,00;0,00
2019-03-03;100,00;20,00;60,00;20,00;260,00;8,33;0,00;250,00;16,67;0,00;0,00;120,83;154,17;200,00;0,00;17,65;300,00;0,00;8,33;72,92;0,00;0,00;0,00;36,36;36,36;0,00;0,00;0,00;9,00;7,89;0,00;100,00;0,00;74,14;0,00;55,17;0,00;9,00;0,00;0,00;0,00;0,00;0,00
2019-03-10;9,00;18,00;54,00;18,00;342,00;0,00;9,00;387,00;18,00;0,00;9,00;207,00;148,50;126,00;13,50;9,00;184,50;9,00;38,25;146,25;0,00;9,00;9,00;108,00;27,00;0,00;9,00;0,00;18,00;0,00;0,00;114,00;0,00;97,20;0,00;37,80;0,00;9,00;0,00;0,00;0,00;0,00;0,00
2019-03-17;0,00;2,00;1,00;1,00;14,00;1,00;0,00;23,00;0,00;2,00;2,00;39,00;16,00;21,00;0,00;2,00;27,00;0,00;0,00;45,00;0,00;0,00;5,00;21,00;5,00;0,00;0,00;0,00;10,00;0,00;0,00;36,00;0,00;0,00;0,00;17,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-24;0,00;0,00;0,00;0,00;9,00;1,00;0,00;20,00;0,00;0,00;2,00;16,00;16,00;24,00;0,00;6,00;27,00;0,00;4,00;18,00;0,00;0,00;0,00;16,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;25,00;0,00;39,00;0,00;11,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-31;18,00;9,00;18,00;18,00;180,00;0,00;9,00;63,00;0,00;9,00;9,00;90,00;81,00;30,00;0,00;0,00;108,00;0,00;0,00;44,00;0,00;0,00;9,00;81,00;0,00;0,00;0,00;9,00;0,00;7,71;0,00;87,43;0,00;8,18;0,00;8,18;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-07;46,00;23,00;0,00;0,00;161,00;9,20;0,00;46,00;9,20;8,36;0,00;62,73;62,73;28,75;0,00;0,00;166,75;8,36;8,36;81,55;0,00;0,00;0,00;46,00;0,00;0,00;0,00;9,00;9,00;0,00;0,00;56,82;0,00;27,26;8,52;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-14;0,00;0,00;0,00;0,00;10,00;1,00;0,00;12,00;0,00;0,00;2,00;33,00;26,00;3,00;2,00;0,00;33,00;5,00;0,00;14,00;0,00;0,00;0,00;22,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;19,00;0,00;6,00;0,00;12,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-21;29,00;14,50;0,00;0,00;101,50;0,00;0,00;125,67;9,67;0,00;0,00;58,00;29,00;46,40;0,00;11,60;116,00;10,36;0,00;0,00;0,00;0,00;0,00;29,00;0,00;0,00;0,00;0,00;10,00;0,00;0,00;39,55;0,00;39,24;0,00;18,76;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-28;18,00;0,00;0,00;0,00;162,00;0,00;0,00;63,00;0,00;0,00;0,00;27,00;58,50;24,00;0,00;6,00;114,00;0,00;0,00;56,25;9,00;0,00;0,00;61,20;0,00;0,00;0,00;0,00;0,00;0,00;0,00;43,71;0,00;18,00;0,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-05-05;9,00;0,00;9,00;0,00;36,00;0,00;9,00;36,00;0,00;0,00;9,00;18,00;67,50;27,00;0,00;0,00;117,00;0,00;0,00;38,25;0,00;0,00;0,00;52,20;0,00;0,00;0,00;0,00;0,00;0,00;0,00;39,00;0,00;9,00;0,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-05-12;18,00;18,00;9,00;0,00;72,00;0,00;0,00;81,00;0,00;0,00;0,00;49,50;81,00;54,00;0,00;0,00;132,00;0,00;8,00;26,00;8,00;0,00;0,00;36,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;54,00;0,00;26,18;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-05-19;18,00;0,00;18,00;0,00;54,00;9,00;0,00;63,00;0,00;0,00;0,00;49,50;40,50;36,00;0,00;12,00;102,00;0,00;0,00;52,00;8,00;0,00;9,00;9,00;0,00;0,00;0,00;0,00;9,00;0,00;0,00;43,71;0,00;19,80;0,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-05-26;18,00;0,00;0,00;0,00;36,00;0,00;0,00;90,00;0,00;0,00;0,00;18,00;18,00;54,00;0,00;12,00;120,00;0,00;0,00;62,00;0,00;0,00;0,00;72,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;25,71;0,00;44,18;0,00;18,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-06-02;54,00;0,00;0,00;0,00;90,00;0,00;0,00;135,00;0,00;0,00;0,00;108,00;74,77;48,00;0,00;12,00;144,00;0,00;0,00;27,00;0,00;0,00;0,00;54,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;43,71;0,00;27,00;0,00;18,56;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-06-09;19,00;0,00;9,50;0,00;76,00;0,00;0,00;228,00;0,00;0,00;0,00;42,75;76,00;101,33;0,00;12,67;139,33;8,44;0,00;65,44;8,44;0,00;0,00;47,50;9,50;0,00;0,00;0,00;0,00;0,00;0,00;84,14;0,00;8,64;0,00;27,64;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-06-16;37,00;0,00;9,25;0,00;74,00;9,25;0,00;185,00;0,00;0,00;16,44;45,22;28,78;55,50;0,00;0,00;148,00;0,00;0,00;37,00;0,00;0,00;0,00;66,60;0,00;0,00;0,00;9,00;0,00;0,00;0,00;92,50;0,00;18,50;0,00;26,91;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-06-23;19,00;9,50;19,00;0,00;95,00;0,00;0,00;123,50;0,00;0,00;0,00;33,25;85,50;38,00;0,00;0,00;158,33;0,00;0,00;65,44;8,44;0,00;0,00;58,90;0,00;0,00;0,00;0,00;0,00;0,00;0,00;27,14;0,00;38,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-06-30;27,00;0,00;27,00;13,50;135,00;0,00;0,00;153,00;0,00;0,00;0,00;34,71;69,43;48,60;16,20;10,80;210,60;8,31;0,00;45,69;0,00;0,00;0,00;72,00;0,00;0,00;0,00;0,00;9,00;0,00;8,10;37,80;0,00;35,44;0,00;27,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-07-07;45,00;11,25;11,25;0,00;180,00;9,00;0,00;135,00;0,00;0,00;0,00;130,91;90,00;135,00;11,25;0,00;196,88;0,00;0,00;64,29;0,00;0,00;9,38;73,13;0,00;0,00;9,00;0,00;0,00;7,94;0,00;34,41;0,00;36,35;0,00;27,69;9,00;9,00;0,00;0,00;0,00;0,00;0,00
2019-07-14;38,00;19,00;19,00;0,00;95,00;0,00;0,00;190,00;0,00;0,00;0,00;38,00;152,00;38,00;0,00;12,67;221,67;0,00;8,44;27,44;0,00;0,00;0,00;65,14;0,00;0,00;0,00;0,00;0,00;0,00;0,00;57,00;0,00;76,00;0,00;10,36;0,00;9,00;0,00;0,00;0,00;0,00;0,00
2019-07-21;39,00;39,00;19,50;19,50;97,50;0,00;0,00;156,00;7,80;0,00;0,00;112,67;125,67;122,57;0,00;16,71;239,57;0,00;0,00;18,47;0,00;0,00;0,00;47,86;0,00;0,00;0,00;59,00;0,00;10,40;0,00;28,60;0,00;88,17;0,00;0,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-07-28;19,00;19,00;19,00;19,00;114,00;0,00;0,00;218,50;0,00;0,00;0,00;106,40;79,80;101,33;0,00;19,00;196,33;0,00;0,00;38,00;0,00;0,00;9,50;49,40;9,50;0,00;0,00;0,00;10,00;19,00;0,00;59,71;0,00;77,73;0,00;10,36;0,00;19,00;0,00;0,00;0,00;0,00;0,00
2019-08-04;19,00;0,00;19,00;0,00;76,00;0,00;0,00;199,50;0,00;0,00;0,00;114,00;72,20;101,33;0,00;0,00;215,33;0,00;0,00;97,11;0,00;0,00;0,00;39,90;0,00;0,00;0,00;10,00;0,00;0,00;0,00;59,71;0,00;58,73;0,00;10,36;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-08-11;0,00;0,50;1,00;0,50;4,00;0,00;0,00;26,00;0,00;0,00;0,00;20,00;15,00;22,00;0,00;0,00;54,00;0,00;0,00;48,00;0,00;0,00;0,00;30,00;5,00;0,00;0,00;0,00;0,00;3,00;0,00;48,00;0,00;27,00;0,00;22,00;0,00;0,00;0,00;9,00;0,00;0,00;0,00
2019-08-18;28,00;0,00;0,00;0,00;140,00;9,33;0,00;205,33;0,00;0,00;0,00;56,00;56,00;72,80;0,00;28,00;201,60;8,62;8,62;38,77;8,62;0,00;0,00;48,53;18,67;0,00;0,00;0,00;0,00;0,00;10,18;63,64;0,00;96,25;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-08-25;18,00;18,00;18,00;0,00;144,00;0,00;0,00;144,00;0,00;0,00;0,00;81,00;90,00;90,00;0,00;18,00;222,00;0,00;0,00;52,00;0,00;0,00;0,00;54,00;0,00;0,00;0,00;0,00;9,00;0,00;0,00;54,00;0,00;34,36;0,00;8,18;0,00;9,00;0,00;0,00;0,00;0,00;0,00
2019-09-01;44,00;11,00;44,00;11,00;176,00;0,00;0,00;105,60;8,80;8,00;8,00;96,00;84,00;62,86;6,29;6,29;132,00;0,00;0,00;62,86;0,00;0,00;0,00;53,17;9,17;0,00;0,00;0,00;0,00;0,00;0,00;51,76;0,00;62,62;0,00;35,54;0,00;9,00;0,00;0,00;0,00;0,00;0,00
2019-09-08;9,00;0,00;0,00;0,00;72,00;0,00;9,00;108,00;0,00;0,00;0,00;27,00;126,00;63,00;0,00;13,50;211,50;0,00;0,00;76,50;0,00;0,00;0,00;45,00;9,00;9,00;0,00;0,00;0,00;0,00;0,00;81,00;0,00;57,60;0,00;19,80;0,00;18,00;0,00;0,00;0,00;0,00;0,00
2019-09-15;27,00;13,50;13,50;0,00;162,00;0,00;0,00;198,00;0,00;9,00;0,00;58,50;85,50;48,60;0,00;10,80;189,00;0,00;0,00;35,31;0,00;0,00;9,00;27,00;0,00;0,00;0,00;0,00;0,00;8,10;0,00;64,80;0,00;62,44;0,00;18,56;0,00;0,00;0,00;0,00;0,00;0,00;0,00
