Semaine;Nice (FR);Paris (FR);London (GB);Amsterdam (NL);Barcelona (ES);Roma (IT);Lille (FR);Madrid (ES);Lisbon (PT);Prague (CZ);Milano (IT);stanbul (TR);Budapest (HU);Venezia (IT);Wien (AT);Strasbourg (FR);Athens (GR);Dublin (IE);Lyon (FR);Marseille (FR);Stockholm (SE);Copenhagen (DK);Bordeaux (FR);Genève (CH);Tours (FR);Toulouse (FR);Montpellier (FR);Nantes (FR);Avignon (FR);Monaco (MC);Dijon (FR);Aix en Provence (FR)
2019-01-06;48,00;504,00;660,00;564,00;552,00;343,38;11,08;228,92;199,38;258,00;168,00;384,00;72,00;276,00;336,00;60,00;87,53;234,35;14,12;26,48;102,62;74,48;14,00;34,00;17,00;21,00;14,00;7,00;3,00;17,00;0,00;3,00
2019-01-13;47,00;587,50;681,50;517,00;517,00;300,08;18,08;195,23;177,15;270,25;123,38;428,88;70,50;246,75;282,00;117,50;102,29;212,88;30,41;40,29;102,39;63,79;10,00;20,00;13,00;13,00;17,00;7,00;0,00;17,00;0,00;3,00
2019-01-20;54,00;464,40;626,40;410,40;518,40;262,80;7,20;212,40;183,60;258,00;180,00;330,00;108,00;283,50;351,00;162,00;110,84;190,42;14,21;30,38;84,38;81,00;17,00;40,00;0,00;10,00;7,00;7,00;3,00;20,00;3,00;7,00
2019-01-27;62,00;444,33;630,33;506,33;392,67;204,24;0,00;222,47;164,12;242,36;180,36;372,00;86,80;272,80;359,60;136,40;121,18;157,82;16,91;31,84;117,30;45,24;10,00;41,00;10,00;28,00;21,00;3,00;3,00;24,00;0,00;0,00
2019-02-03;21,00;420,00;577,50;525,00;409,50;168,00;0,00;185,50;171,50;173,25;152,25;351,75;73,50;241,50;294,00;84,00;123,00;192,00;18,00;27,46;88,85;58,15;28,00;28,00;7,00;14,00;0,00;4,00;4,00;25,00;0,00;4,00
2019-02-10;32,00;448,00;597,33;384,00;288,00;128,00;0,00;199,11;128,00;186,67;149,33;410,67;42,67;213,33;277,33;117,33;116,36;235,64;11,64;25,26;133,05;89,26;11,00;43,00;0,00;7,00;18,00;11,00;7,00;14,00;0,00;0,00
2019-02-17;29,00;464,00;570,33;531,67;377,00;163,13;3,63;264,63;188,50;203,00;174,00;487,20;58,00;304,50;362,50;203,00;121,80;162,40;52,20;29,00;95,53;47,76;25,00;36,00;0,00;11,00;14,00;0,00;11,00;29,00;4,00;0,00
2019-02-24;18,00;405,00;486,00;486,00;324,00;180,00;0,00;284,40;169,20;234,00;198,00;462,00;90,00;468,00;486,00;234,00;105,43;169,71;18,00;29,45;112,91;98,18;26,00;30,00;4,00;18,00;11,00;11,00;11,00;22,00;0,00;0,00
2019-03-03;39,00;507,00;575,25;497,25;380,25;175,50;15,60;257,40;144,30;234,00;139,29;440,14;104,00;325,00;390,00;156,00;97,50;278,57;16,71;32,22;115,30;67,83;25,00;49,00;0,00;21,00;4,00;18,00;11,00;11,00;11,00;0,00
2019-03-10;32,00;618,67;586,67;522,67;394,67;216,89;10,67;248,89;241,78;272,00;160,00;389,33;53,33;213,33;288,00;149,33;130,91;212,36;17,45;35,37;102,74;85,89;32,00;32,00;7,00;14,00;0,00;18,00;0,00;21,00;0,00;0,00
2019-03-17;11,00;638,00;682,00;594,00;462,00;157,67;3,67;245,67;220,00;209,00;170,50;352,00;66,00;319,00;275,00;132,00;82,50;225,50;22,00;55,00;89,57;40,86;26,00;29,00;15,00;15,00;11,00;7,00;15,00;15,00;4,00;0,00
2019-03-24;33,00;561,00;583,00;638,00;418,00;176,00;7,33;209,00;267,67;236,50;214,50;352,00;66,00;308,00;297,00;209,00;96,25;165,00;24,75;24,75;79,20;75,90;33,00;26,00;4,00;22,00;7,00;7,00;0,00;26,00;4,00;4,00
2019-03-31;50,00;470,00;530,00;480,00;520,00;346,15;3,85;200,00;211,54;244,44;188,89;494,44;62,50;287,50;375,00;150,00;113,89;177,78;16,67;63,33;70,00;53,33;21,00;18,00;0,00;14,00;11,00;0,00;0,00;25,00;0,00;0,00
