Semaine;Martinique (LC);Guadeloupe (GP);Saint Martin (ile d Amérique du nord) (MF);Republique Dominicaine (DO);Sainte Lucie (LC);Barbade (BB)
2019-01-06;24,00;20,00;16,00;100,00;4,00;42,86
2019-01-13;35,00;8,00;8,00;71,00;8,00;38,50
2019-01-20;23,00;27,00;8,00;74,00;16,00;54,85
2019-01-27;12,00;24,00;20,00;56,00;4,00;82,29
2019-02-03;20,00;41,00;12,00;53,00;8,00;23,33
2019-02-10;21,00;21,00;17,00;50,00;4,00;24,50
2019-02-17;8,00;37,00;17,00;63,00;0,00;22,40
2019-02-24;13,00;26,00;13,00;78,00;4,00;37,14
2019-03-03;29,00;24,00;25,00;53,00;12,00;38,06
2019-03-10;25,00;16,00;16,00;86,00;8,00;25,00
2019-03-17;21,00;17,00;17,00;39,00;13,00;26,25
2019-03-24;38,00;21,00;13,00;47,00;4,00;50,09
2019-03-31;8,00;21,00;8,00;54,00;0,00;36,80
2019-04-07;12,00;12,00;12,00;62,00;4,00;36,00
2019-04-14;0,00;4,00;4,00;54,00;9,00;23,00
2019-04-21;9,00;22,00;13,00;62,00;4,00;30,60
2019-04-28;20,00;20,00;8,00;32,00;12,00;16,36
2019-05-05;8,00;27,00;4,00;87,00;8,00;32,00
2019-05-12;12,00;16,00;12,00;58,00;4,00;27,43
2019-05-19;8,00;12,00;8,00;65,00;4,00;14,40
2019-05-26;8,00;8,00;4,00;41,00;8,00;11,20
2019-06-02;4,00;16,00;8,00;53,00;4,00;70,00
2019-06-09;8,00;17,00;4,00;71,00;13,00;30,40
2019-06-16;38,00;8,00;13,00;21,00;0,00;30,76
2019-06-23;17,00;0,00;8,00;80,00;4,00;32,11
2019-06-30;16,00;12,00;12,00;58,00;12,00;21,33
2019-07-07;24,00;12,00;12,00;36,00;4,00;18,86
2019-07-14;13,00;17,00;4,00;55,00;4,00;13,00
2019-07-21;18,00;9,00;18,00;89,00;9,00;36,00
2019-07-28;21,00;43,00;4,00;60,00;4,00;35,00
2019-08-04;21,00;22,00;4,00;91,00;17,00;59,50
2019-08-11;16,00;8,00;0,00;45,00;4,00;49,78
2019-08-18;29,00;17,00;4,00;72,00;17,00;17,06
2019-08-25;12,00;21,00;0,00;58,00;8,00;24,00
2019-09-01;8,00;8,00;8,00;64,00;8,00;40,00
2019-09-08;8,00;24,00;4,00;44,00;4,00;28,80
2019-09-15;16,00;12,00;0,00;53,00;0,00;44,44
2019-09-22;20,00;8,00;8,00;71,00;4,00;29,09
2019-09-29;24,00;16,00;8,00;56,00;4,00;24,00
2019-10-06;12,00;35,00;4,00;67,00;24,00;49,71
2019-10-13;24,00;28,00;8,00;48,00;16,00;24,00
2019-10-20;8,00;27,00;0,00;66,00;12,00;40,00
2019-10-27;8,00;34,00;4,00;61,00;15,00;44,00
2019-11-03;7,00;19,00;7,00;60,00;15,00;52,50
2019-11-10;15,00;23,00;8,00;57,00;8,00;60,00
2019-11-17;15,00;11,00;8,00;72,00;4,00;36,67
2019-11-24;4,00;26,00;4,00;37,00;7,00;22,00
2019-12-01;23,00;15,00;4,00;68,00;8,00;46,00
2019-12-08;15,00;19,00;0,00;57,00;11,00;35,00
2019-12-15;19,00;27,00;4,00;70,00;8,00;44,91
2019-12-22;17,00;43,00;4,00;61,00;4,00;68,00
2019-12-29;33,00;29,00;8,00;86,00;4,00;45,16
2020-01-05;14,00;32,00;7,00;83,00;14,00;57,75
2020-01-12;21,00;21,00;4,00;60,00;14,00;52,50
2020-01-19;18,00;36,00;0,00;76,00;7,00;25,20
2020-01-26;15,00;18,00;4,00;84,00;11,00;50,63
2020-02-02;18,00;18,00;4,00;67,00;0,00;14,40
2020-02-09;7,00;14,00;0,00;81,00;4,00;52,50
2020-02-16;29,00;40,00;0,00;44,00;22,00;39,24
2020-02-23;11,00;32,00;4,00;42,00;4,00;33,00
