Semaine;Polynesie (PF);Nouvelle Caledonie (NC);Fidji (FJ);Vanuatu (VU);Iles Cook (CK)
2019-01-06;28,00;0,00;19,00;5,00;9,00
2019-01-13;27,00;9,00;32,00;5,00;5,00
2019-01-20;32,00;5,00;27,00;5,00;0,00
2019-01-27;23,00;0,00;38,00;0,00;0,00
2019-02-03;5,00;5,00;24,00;5,00;5,00
2019-02-10;34,00;0,00;14,00;0,00;14,00
2019-02-17;34,00;5,00;44,00;5,00;24,00
2019-02-24;25,00;10,00;25,00;10,00;10,00
2019-03-03;14,00;10,00;48,00;5,00;14,00
2019-03-10;24,00;5,00;34,00;0,00;0,00
2019-03-17;10,00;5,00;30,00;5,00;0,00
2019-03-24;10,00;10,00;15,00;0,00;0,00
2019-03-31;24,00;0,00;24,00;10,00;0,00
2019-04-07;24,00;5,00;14,00;0,00;14,00
2019-04-14;10,00;0,00;16,00;0,00;10,00
2019-04-21;10,00;10,00;21,00;0,00;0,00
2019-04-28;19,00;0,00;23,00;0,00;9,00
2019-05-05;23,00;9,00;23,00;0,00;14,00
2019-05-12;19,00;0,00;24,00;0,00;14,00
2019-05-19;14,00;5,00;24,00;0,00;0,00
2019-05-26;24,00;5,00;5,00;5,00;19,00
2019-06-02;19,00;0,00;24,00;0,00;5,00
2019-06-09;24,00;10,00;24,00;0,00;0,00
2019-06-16;24,00;0,00;25,00;0,00;0,00
2019-06-23;20,00;20,00;29,00;5,00;0,00
2019-06-30;24,00;0,00;24,00;0,00;24,00
2019-07-07;14,00;0,00;19,00;0,00;5,00
2019-07-14;25,00;0,00;35,00;5,00;10,00
2019-07-21;31,00;5,00;16,00;0,00;10,00
2019-07-28;15,00;5,00;30,00;0,00;10,00
2019-08-04;15,00;5,00;15,00;5,00;0,00
2019-08-11;24,00;0,00;10,00;0,00;0,00
2019-08-18;20,00;10,00;25,00;0,00;5,00
2019-08-25;29,00;15,00;10,00;14,00;5,00
2019-09-01;14,00;0,00;23,00;9,00;5,00
2019-09-08;24,00;5,00;33,00;5,00;5,00
2019-09-15;5,00;5,00;33,00;9,00;9,00
2019-09-22;37,00;5,00;41,00;9,00;0,00
2019-09-29;23,00;0,00;28,00;9,00;9,00
2019-10-06;28,00;0,00;51,00;0,00;5,00
2019-10-13;28,00;9,00;28,00;5,00;9,00
2019-10-20;22,00;0,00;45,00;0,00;0,00
2019-10-27;13,00;9,00;27,00;4,00;9,00
2019-11-03;4,00;0,00;4,00;0,00;0,00
2019-11-10;13,00;4,00;35,00;4,00;9,00
2019-11-17;4,00;4,00;35,00;9,00;4,00
2019-11-24;26,00;4,00;26,00;0,00;0,00
2019-12-01;9,00;4,00;13,00;0,00;0,00
2019-12-08;18,00;9,00;22,00;4,00;4,00
2019-12-15;18,00;0,00;9,00;5,00;0,00
2019-12-22;15,00;5,00;20,00;15,00;0,00
2019-12-29;34,00;10,00;29,00;0,00;0,00
2020-01-05;21,00;17,00;34,00;8,00;13,00
2020-01-12;29,00;8,00;41,00;0,00;8,00
2020-01-19;21,00;4,00;30,00;0,00;4,00
2020-01-26;13,00;0,00;34,00;4,00;9,00
2020-02-02;17,00;8,00;17,00;4,00;8,00
2020-02-09;16,00;4,00;53,00;4,00;0,00
2020-02-16;21,00;4,00;34,00;0,00;4,00
2020-02-23;8,00;0,00;12,00;12,00;0,00
2020-03-01;16,00;8,00;41,00;4,00;8,00
2020-03-08;8,00;4,00;27,00;4,00;0,00
2020-03-15;8,00;0,00;8,00;0,00;0,00
2020-03-22;19,00;0,00;8,00;0,00;0,00
2020-03-29;15,00;8,00;27,00;4,00;4,00
2020-04-05;8,00;0,00;17,00;4,00;4,00
2020-04-12;20,00;4,00;12,00;0,00;0,00
2020-04-19;8,00;4,00;35,00;4,00;8,00
2020-04-26;15,00;4,00;11,00;8,00;4,00
2020-05-03;11,00;4,00;19,00;8,00;4,00
2020-05-10;4,00;4,00;19,00;4,00;4,00
2020-05-17;8,00;8,00;20,00;0,00;0,00
2020-05-24;20,00;12,00;4,00;4,00;4,00
2020-05-31;19,00;4,00;42,00;4,00;0,00
2020-06-07;27,00;0,00;12,00;4,00;8,00
2020-06-14;100,00;4,00;27,00;4,00;0,00
2020-06-21;12,00;0,00;16,00;0,00;4,00
2020-06-28;28,00;0,00;24,00;0,00;0,00
2020-07-05;20,00;0,00;20,00;4,00;0,00
2020-07-12;13,00;4,00;34,00;4,00;4,00
2020-07-19;13,00;0,00;0,00;4,00;0,00
2020-07-26;0,00;0,00;18,00;4,00;0,00
2020-08-02;9,00;4,00;26,00;4,00;13,00
2020-08-09;38,00;0,00;21,00;0,00;8,00
2020-08-16;26,00;0,00;21,00;0,00;13,00
2020-08-23;21,00;4,00;26,00;4,00;0,00
2020-08-30;13,00;4,00;25,00;4,00;0,00
2020-09-06;38,00;0,00;17,00;4,00;0,00
2020-09-13;8,00;0,00;17,00;4,00;4,00
2020-09-20;12,00;4,00;13,00;0,00;0,00
2020-09-27;25,00;9,00;30,00;0,00;9,00
2020-10-04;9,00;0,00;21,00;0,00;9,00
2020-10-11;4,00;9,00;9,00;13,00;4,00
2020-10-18;0,00;0,00;22,00;4,00;0,00
2020-10-25;17,00;4,00;13,00;9,00;4,00
2020-11-01;4,00;4,00;23,00;0,00;4,00
2020-11-08;30,00;0,00;8,00;4,00;0,00
2020-11-15;13,00;8,00;17,00;4,00;0,00
2020-11-22;13,00;0,00;13,00;0,00;8,00
2020-11-29;17,00;4,00;0,00;8,00;4,00
2020-12-06;4,00;0,00;12,00;0,00;0,00
2020-12-13;12,00;0,00;16,00;4,00;0,00
2020-12-20;19,00;5,00;19,00;10,00;0,00
2020-12-27;14,00;0,00;18,00;9,00;0,00
2021-01-03;12,00;0,00;25,00;0,00;0,00
2021-01-10;16,00;0,00;28,00;4,00;0,00
2021-01-17;24,00;0,00;8,00;4,00;0,00
2021-01-24;16,00;0,00;16,00;4,00;0,00
2021-01-31;16,00;8,00;24,00;4,00;0,00
2021-02-07;12,00;8,00;24,00;4,00;4,00
2021-02-14;37,00;0,00;25,00;4,00;8,00
2021-02-21;4,00;0,00;8,00;8,00;0,00
2021-02-28;20,00;0,00;16,00;16,00;4,00
2021-03-07;8,00;4,00;4,00;0,00;0,00
2021-03-14;19,00;4,00;15,00;4,00;0,00
2021-03-21;8,00;4,00;4,00;0,00;0,00
2021-03-28;4,00;5,00;14,00;5,00;5,00
2021-04-04;21,00;8,00;8,00;4,00;0,00
2021-04-11;28,00;4,00;8,00;0,00;4,00
2021-04-18;12,00;0,00;16,00;12,00;4,00
2021-04-25;24,00;0,00;12,00;0,00;0,00
2021-05-02;4,00;0,00;12,00;0,00;4,00
2021-05-09;4,00;0,00;28,00;0,00;4,00
