Semaine;Réunion (RE);Mayotte (YT);Maurice (MU);Seychelles (SC);Zanzibar (TZ);Madagascar (MG)
2019-01-06;62,00;4,13;264,53;239,73;0,00;49,00
2019-01-13;70,00;4,12;312,94;164,71;0,00;44,00
2019-01-20;61,00;4,07;284,67;219,60;0,00;18,00
2019-01-27;18,00;9,00;274,50;198,00;0,00;36,00
2019-02-03;37,00;0,00;217,89;180,89;0,00;23,00
2019-02-10;51,00;0,00;263,50;140,25;0,00;37,00
2019-02-17;19,00;3,80;205,20;250,80;0,00;28,00
2019-02-24;43,00;3,91;183,73;113,36;0,00;49,00
2019-03-03;46,00;4,18;238,36;83,64;4,18;28,00
2019-03-10;32,00;8,00;224,00;156,00;0,00;28,00
2019-03-17;19,00;3,80;182,40;152,00;3,80;43,00
2019-03-24;43,00;4,30;206,40;94,60;0,00;53,00
2019-03-31;23,00;7,67;138,00;111,17;0,00;37,00
2019-04-07;41,00;0,00;184,50;135,30;4,10;14,00
2019-04-14;100,00;4,17;141,67;158,33;0,00;25,00
2019-04-21;54,00;0,00;191,08;124,62;0,00;10,00
2019-04-28;27,00;7,71;169,71;158,14;3,86;14,00
2019-05-05;40,00;12,00;112,00;108,00;4,00;9,00
2019-05-12;23,00;11,50;126,50;130,33;3,83;19,00
2019-05-19;45,00;4,09;159,55;69,55;4,09;32,00
2019-05-26;60,00;4,00;200,00;120,00;0,00;14,00
2019-06-02;55,00;8,46;93,08;122,69;0,00;28,00
2019-06-09;47,00;0,00;175,18;98,27;0,00;24,00
2019-06-16;70,00;0,00;189,41;148,24;0,00;9,00
2019-06-23;42,00;4,20;168,00;100,80;0,00;9,00
2019-06-30;69,00;0,00;133,94;105,53;0,00;23,00
2019-07-07;63,00;8,40;201,60;105,00;0,00;55,00
2019-07-14;29,00;4,14;140,86;178,14;0,00;29,00
2019-07-21;25,00;0,00;187,50;112,50;0,00;45,00
2019-07-28;34,00;0,00;221,00;161,50;0,00;24,00
2019-08-04;48,00;4,00;184,00;168,00;0,00;34,00
2019-08-11;51,00;0,00;225,25;157,25;0,00;47,00
2019-08-18;52,00;20,00;184,00;148,00;4,00;33,00
2019-08-25;32,00;4,00;176,00;328,00;0,00;33,00
2019-09-01;40,00;12,00;152,00;144,00;0,00;32,00
2019-09-08;59,00;0,00;198,07;223,36;0,00;27,00
2019-09-15;41,00;4,10;221,40;143,50;0,00;32,00
2019-09-22;35,00;3,89;159,44;140,00;3,89;22,00
2019-09-29;89,00;4,05;178,00;145,64;0,00;22,00
2019-10-06;49,00;8,17;159,25;138,83;0,00;22,00
2019-10-13;36,00;0,00;204,00;116,00;0,00;22,00
2019-10-20;34,00;0,00;157,25;136,00;0,00;22,00
2019-10-27;60,00;0,00;192,00;108,00;0,00;17,00
2019-11-03;67,00;0,00;205,19;138,19;0,00;21,00
2019-11-10;72,00;4,24;190,59;148,24;0,00;47,00
2019-11-17;42,00;12,60;222,60;184,80;0,00;55,00
2019-11-24;50,00;4,17;195,83;120,83;0,00;46,00
2019-12-01;30,00;4,29;141,43;85,71;0,00;21,00
2019-12-08;34,00;4,25;178,50;144,50;4,25;26,00
2019-12-15;35,00;8,75;140,00;140,00;0,00;9,00
2019-12-22;73,00;0,00;247,39;202,78;0,00;25,00
2019-12-29;74,00;4,11;271,33;156,22;0,00;32,00
2020-01-05;89,00;12,14;279,14;202,27;4,05;16,00
2020-01-12;47,00;8,55;222,18;235,00;4,27;24,00
2020-01-19;81,00;4,05;238,95;125,55;0,00;49,00
2020-01-26;37,00;12,33;300,11;168,56;0,00;16,00
2020-02-02;40,00;20,00;232,00;128,00;4,00;48,00
2020-02-09;31,00;3,88;213,13;197,63;0,00;47,00
2020-02-16;29,00;4,14;132,57;265,14;0,00;25,00
2020-02-23;36,00;0,00;160,00;164,00;0,00;16,00
2020-03-01;58,00;8,29;182,29;207,14;0,00;20,00
2020-03-08;52,00;0,00;120,00;152,00;0,00;19,00
2020-03-15;37,00;8,22;86,33;131,56;0,00;4,00
2020-03-22;18,00;4,50;49,50;99,00;4,50;19,00
2020-03-29;26,00;4,33;56,33;108,33;0,00;7,00
2020-04-05;12,00;0,00;48,00;96,00;0,00;8,00
2020-04-12;35,00;26,25;43,75;70,00;0,00;12,00
2020-04-19;26,00;8,67;30,33;60,67;0,00;26,00
2020-04-26;18,00;9,00;40,50;36,00;0,00;7,00
2020-05-03;18,00;4,50;36,00;54,00;0,00;18,00
2020-05-10;41,00;0,00;32,80;36,90;0,00;15,00
2020-05-17;35,00;8,75;70,00;78,75;8,75;20,00
2020-05-24;15,00;0,00;67,50;37,50;0,00;15,00
2020-05-31;22,00;8,80;74,80;74,80;0,00;19,00
2020-06-07;41,00;4,10;86,10;61,50;0,00;4,00
2020-06-14;22,00;0,00;57,20;52,80;0,00;19,00
2020-06-21;47,00;0,00;85,45;51,27;4,27;12,00
