Semaine;Nice (FR);reta (SI);Agadir (MA);Djerba (TN);Corfu (GR);Santorini Island (GR);Faro (PT);Bodrum (TR);Mykonos (GR);Biarritz (FR);Ars en Ré (FR);Saint Malo (FR);Le Cap d Agde (FR);Cefalù (IT);Fréjus (FR);Amalfi (IT);Cannes (FR);Dubrovnik (HR);Antibes (FR);Le Touquet (BE);Le Barcarès (FR);Deauville (FR);Portofino (IT);Porto Vecchio (FR);Lacanau (FR);Palavas les Flots (FR);Argelès sur Mer (FR);Carnac (FR);Arcachon (FR);Le Grau du Roi (FR);Cap Ferret (FR);Biscarrosse (FR);La Baule Escoublac (FR);Saint Jean de Monts (FR);Plage de la Palmyre (FR)
2019-01-06;56,00;0,00;14,00;7,64;14,00;43,08;15,08;0,00;15,27;56,00;5,09;0,00;21,00;0,00;0,00;14,52;0,00;20,74;0,00;0,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-13;40,00;0,00;27,00;6,25;13,75;98,95;33,68;0,00;40,00;25,00;0,00;0,00;0,00;0,00;7,00;13,33;6,15;66,67;0,00;0,00;6,67;0,00;0,00;0,00;7,00;0,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-20;13,00;0,00;6,00;6,50;13,00;130,00;32,50;0,00;32,50;26,00;6,50;6,00;0,00;0,00;6,00;19,50;6,50;40,08;6,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-27;39,00;0,00;13,00;12,58;18,87;125,67;54,17;0,00;43,88;39,00;0,00;0,00;13,00;0,00;0,00;19,50;6,16;45,16;19,50;0,00;0,00;0,00;6,00;0,00;0,00;0,00;6,00;6,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00
2019-02-03;28,00;0,00;7,00;14,00;21,64;49,54;36,62;16,80;28,00;67,20;16,80;0,00;21,00;0,00;0,00;0,00;0,00;28,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-10;7,00;0,00;28,00;0,00;15,40;135,33;37,33;7,00;35,00;63,00;7,00;14,00;21,00;0,00;0,00;20,00;0,00;40,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-17;14,00;0,00;14,00;0,00;34,36;138,00;46,00;0,00;18,67;18,67;14,00;7,00;21,00;7,00;0,00;14,00;7,54;21,54;0,00;0,00;0,00;0,00;14,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-24;47,00;0,00;14,00;13,61;19,79;115,36;40,59;5,22;5,22;26,11;5,22;0,00;20,00;0,00;7,00;47,00;0,00;53,13;0,00;0,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-03;14,00;0,00;49,00;7,64;49,64;66,00;20,00;0,00;51,33;37,33;0,00;0,00;0,00;0,00;7,00;14,00;7,00;41,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;7,00;0,00;0,00
2019-03-10;28,00;0,00;14,00;0,00;34,09;116,31;43,08;18,67;37,33;60,67;4,67;14,00;0,00;0,00;0,00;34,00;21,00;55,00;0,00;7,00;7,00;0,00;0,00;0,00;0,00;0,00;7,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00
