Semaine;Chamonix (FR);Val Thorens (FR);Alpe d Huez (FR);Les Deux Alpes (FR);Ischgl (AT);Tignes (FR);Les Arcs (FR);Saalbach (AT);Les Ménuires (FR);Avoriaz (FR);La Plagne (FR);Sankt Anton (AT);Zermatt (CH);Flachau (AT);La Clusaz (FR);Verbier (CH);Zillertal (AT);Morzine (FR);Châtel (FR);St Moritz (DE);Les Gets (FR);Val Cenis (FR);Courchevel (FR);Mayrhofen (AT);Val Gardena (IT);Serre Chevalier (FR);Samoëns (FR);Valloire (FR);Méribel (FR);Val d Isère (FR);Megève (FR);Kitzbuhel (AT);Vars (FR);Garmisch (DE);Schladming (AT);Grand Bornand (FR);Brixental (AT);Sestriere (IT);Gstaad (CH);Font Romeu (FR);St Lary (FR);Barèges (FR);La Mongie (FR);Peyragudes (FR)
2019-01-06;98,00;56,38;13,42;28,19;0,00;13,36;13,36;28,21;13,36;14,00;0,00;28,00;127,27;14,00;0,00;28,00;0,00;13,82;0,00;13,82;0,00;0,00;42,00;14,00;14,00;28,00;0,00;0,00;0,00;0,00;28,00;0,00;14,00;0,00;0,00;14,00;0,00;0,00;13,75;98,00;13,75;0,00;0,00;0,00
2019-01-13;67,00;0,00;13,40;0,00;13,40;0,00;0,00;13,40;0,00;13,91;0,00;40,45;53,09;0,00;0,00;13,00;0,00;13,91;13,91;13,91;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;13,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;13,74;67,00;0,00;27,00;0,00;0,00
2019-01-20;63,00;0,00;12,06;0,00;12,06;13,19;0,00;13,19;0,00;25,20;0,00;25,20;75,60;0,00;0,00;13,00;13,00;0,00;0,00;0,00;0,00;0,00;13,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;25,00;0,00;0,00;13,00;0,00;0,00;11,92;0,00;126,00;11,92;13,00;25,00;0,00
2019-01-27;52,00;0,00;0,00;52,00;0,00;38,63;0,00;0,00;0,00;0,00;0,00;0,00;26,63;0,00;0,00;26,00;0,00;12,38;0,00;0,00;0,00;0,00;0,00;13,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;78,00;0,00;0,00;26,00;26,00
2019-02-03;42,00;14,44;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;14,00;28,00;0,00;0,00;14,00;0,00;0,00;0,00;42,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;14,00;0,00;0,00;0,00;13,44;26,88;68,88;26,88;0,00;56,00;0,00
2019-02-10;55,00;0,00;13,41;13,41;0,00;28,24;0,00;13,38;0,00;0,00;0,00;0,00;28,14;0,00;0,00;0,00;0,00;0,00;0,00;13,75;0,00;0,00;0,00;0,00;0,00;0,00;14,00;0,00;0,00;14,00;14,00;14,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;68,75;27,50;0,00;14,00;14,00
2019-02-17;28,00;0,00;13,33;0,00;13,33;13,26;0,00;0,00;0,00;0,00;0,00;28,00;14,00;0,00;0,00;0,00;0,00;0,00;0,00;14,00;0,00;0,00;0,00;0,00;14,00;0,00;0,00;0,00;0,00;0,00;14,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;70,00;14,00;0,00;28,00;14,00
2019-02-24;27,00;13,50;0,00;13,50;13,50;0,00;0,00;0,00;0,00;0,00;0,00;14,14;14,14;0,00;14,00;0,00;0,00;0,00;0,00;39,27;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;14,00;0,00;0,00;0,00;0,00;0,00;27,00;13,50;0,00;14,00;0,00
2019-03-03;42,00;0,00;14,44;27,56;14,44;0,00;0,00;0,00;0,00;14,00;14,00;43,27;14,00;0,00;14,00;0,00;0,00;0,00;0,00;13,59;0,00;0,00;14,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;14,00;14,00;0,00;0,00;0,00;0,00;0,00;0,00;13,44;55,44;26,88;0,00;0,00;14,00
2019-03-10;0,00;0,00;53,00;11,00;11,00;10,00;10,00;0,00;0,00;0,00;0,00;11,00;11,00;0,00;0,00;0,00;0,00;0,00;0,00;11,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;14,00;0,00;14,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;8,00;8,00;0,00;43,00;0,00
