Semaine;London (GB);Paris (FR);Amsterdam (NL);Roma (IT);Lille (FR);Lisbon (PT);Prague (CZ);Berlin (DE);Milano (IT);stanbul (TR);Budapest (HU);Venezia (IT);Wien (AT);Strasbourg (FR);Athens (GR);Dublin (IE);Lyon (FR);Frankfurt am Main (DE);Marseille (FR);München (DE);Stockholm (SE);Copenhagen (DK);Bordeaux (FR);Genève (CH);Tours (FR);Hamburg (DE);Toulouse (FR);Montpellier (FR);Nantes (FR);Avignon (FR);Monaco (MC);Dijon (FR);Aix en Provence (FR)
2019-01-06;93,00;85,62;25,10;74,85;0,00;15,88;34,00;29,00;15,00;16,00;8,00;19,00;29,00;2,00;6,00;22,00;4,00;10,00;4,00;11,00;8,00;8,00;3,00;4,00;2,00;6,00;4,00;0,50;2,00;0,00;1,00;0,00;0,00
2019-01-13;87,00;73,73;26,54;82,42;2,29;16,03;33,00;26,00;13,00;17,00;8,00;23,00;17,00;2,00;6,00;19,00;4,00;9,00;5,00;9,00;11,00;8,00;4,00;3,00;1,00;6,00;3,00;0,50;1,00;1,00;1,00;0,50;0,50
2019-01-20;83,00;66,70;22,23;89,92;2,31;13,83;30,00;31,00;19,00;17,00;12,00;29,00;18,00;2,00;8,00;18,00;3,00;6,00;3,00;11,00;10,00;5,00;4,00;5,00;0,50;5,00;3,00;2,00;3,00;0,00;3,00;0,00;0,00
2019-01-27;100,00;76,47;23,53;65,91;2,27;15,91;23,00;26,00;19,00;15,00;14,00;17,00;20,00;2,00;5,00;15,00;3,00;9,00;2,00;7,00;10,00;4,00;6,00;3,00;0,50;4,00;5,00;2,00;1,00;1,00;2,00;0,00;0,00
2019-02-03;84,00;67,79;22,11;49,95;1,14;18,16;29,00;26,00;18,00;20,00;10,00;20,00;19,00;2,00;8,00;19,00;1,00;13,00;2,00;7,00;12,00;5,00;3,00;1,00;0,50;8,00;7,00;1,00;3,00;0,00;1,00;0,00;0,00
2019-02-10;80,00;82,96;25,19;59,43;1,14;18,29;22,00;18,00;14,00;21,00;13,00;17,00;28,00;1,00;8,00;16,00;4,00;11,00;2,00;9,00;7,00;3,00;3,00;1,00;0,50;3,00;4,00;2,00;4,00;1,00;0,00;0,00;0,00
2019-02-17;83,00;81,52;22,23;50,72;0,00;13,83;21,00;29,00;20,00;21,00;9,00;16,00;22,00;2,00;6,00;18,00;15,00;6,00;3,00;8,00;10,00;4,00;7,00;2,00;1,00;5,00;3,00;0,50;3,00;0,50;3,00;1,00;0,00
2019-02-24;89,00;74,17;29,67;59,33;1,14;20,54;23,00;21,00;12,00;21,00;8,00;16,00;22,00;1,00;3,00;23,00;5,00;11,00;3,00;6,00;7,00;5,00;5,00;3,00;0,50;4,00;5,00;1,00;1,00;0,00;2,00;0,00;1,00
2019-03-03;78,00;86,83;19,13;55,06;2,29;16,06;23,00;29,00;14,00;17,00;16,00;16,00;22,00;2,00;6,00;20,00;6,00;10,00;3,00;9,00;8,00;4,00;4,00;1,00;0,50;5,00;3,00;0,00;2,00;1,00;1,00;0,50;0,50
2019-03-10;74,00;82,88;26,64;60,55;1,12;22,42;22,00;25,00;10,00;21,00;12,00;13,00;26,00;1,00;3,00;22,00;4,00;7,00;2,00;5,00;8,00;5,00;7,00;1,00;0,50;8,00;5,00;3,00;3,00;0,50;0,50;0,00;1,00
2019-03-17;76,00;81,85;23,38;55,27;0,00;20,73;19,00;30,00;16,00;17,00;10,00;17,00;27,00;3,00;6,00;18,00;2,00;8,00;4,00;6,00;8,00;2,00;3,00;1,00;1,00;3,00;4,00;1,00;2,00;0,50;1,00;0,00;0,00
2019-03-24;86,00;81,55;20,76;45,26;1,13;22,63;20,00;31,00;20,00;19,00;7,00;12,00;23,00;3,00;6,00;25,00;5,00;13,00;2,00;10,00;6,00;3,00;3,00;2,00;1,00;6,00;3,00;2,00;3,00;0,00;2,00;0,00;1,00
2019-03-31;80,00;68,15;19,26;70,86;2,29;20,57;31,00;21,00;17,00;21,00;7,00;21,00;21,00;2,00;7,00;25,00;3,00;6,00;4,00;12,00;13,00;4,00;10,00;3,00;1,00;5,00;4,00;3,00;3,00;0,00;2,00;0,00;0,00
2019-04-07;77,00;78,48;22,21;67,94;1,13;22,65;30,00;25,00;16,00;19,00;8,00;23,00;19,00;1,00;8,00;19,00;4,00;9,00;2,00;5,00;8,00;6,00;9,00;7,00;1,00;5,00;3,00;1,00;0,50;0,00;0,50;0,00;1,00
2019-04-14;65,00;147,73;19,20;71,96;2,32;23,21;25,00;23,00;19,00;25,00;13,00;19,00;24,00;3,00;6,00;21,00;4,00;7,00;4,00;7,00;5,00;3,00;13,00;2,00;2,00;7,00;5,00;2,00;4,00;0,50;2,00;0,00;0,00
2019-04-21;60,00;61,46;20,49;71,54;1,15;16,15;25,00;21,00;18,00;18,00;10,00;15,00;17,00;2,00;5,00;19,00;2,00;6,00;6,00;7,00;7,00;4,00;6,00;4,00;2,00;5,00;5,00;2,00;4,00;0,00;1,00;0,00;1,00
2019-04-28;63,00;67,40;13,19;47,25;1,13;18,00;19,00;24,00;14,00;14,00;12,00;23,00;20,00;1,00;5,00;19,00;2,00;8,00;5,00;9,00;8,00;7,00;3,00;3,00;2,00;5,00;4,00;1,00;1,00;0,00;2,00;0,50;0,00
2019-05-05;68,00;66,52;20,70;70,27;1,13;18,13;26,00;24,00;16,00;17,00;8,00;22,00;21,00;4,00;8,00;17,00;3,00;16,00;6,00;10,00;4,00;8,00;5,00;4,00;1,00;4,00;4,00;1,00;2,00;0,50;1,00;0,00;0,50
2019-05-12;56,00;78,11;13,26;212,33;0,00;21,00;29,00;25,00;14,00;18,00;9,00;22,00;18,00;2,00;9,00;16,00;6,00;8,00;5,00;11,00;10,00;5,00;5,00;3,00;2,00;5,00;3,00;1,00;4,00;1,00;1,00;0,00;0,50
2019-05-19;65,00;72,39;19,20;102,14;2,32;18,57;24,00;21,00;22,00;19,00;7,00;16,00;18,00;2,00;9,00;17,00;4,00;8,00;4,00;10,00;7,00;5,00;5,00;2,00;0,00;5,00;3,00;3,00;1,00;1,00;2,00;0,00;0,00
2019-05-26;59,00;60,48;17,70;61,27;2,27;15,88;20,00;20,00;18,00;14,00;11,00;17,00;14,00;3,00;8,00;15,00;4,00;7,00;3,00;7,00;7,00;4,00;3,00;4,00;2,00;5,00;4,00;3,00;5,00;1,00;1,00;0,00;0,00
2019-06-02;58,00;68,41;22,31;55,68;0,00;18,56;23,00;20,00;20,00;15,00;8,00;34,00;17,00;6,00;11,00;22,00;3,00;5,00;4,00;7,00;10,00;2,00;8,00;4,00;0,50;6,00;3,00;3,00;4,00;0,50;1,00;0,50;1,00
2019-06-09;66,00;68,93;20,53;68,28;0,00;25,03;26,00;26,00;17,00;20,00;10,00;24,00;16,00;6,00;7,00;16,00;3,00;12,00;8,00;7,00;8,00;5,00;9,00;5,00;2,00;5,00;4,00;3,00;3,00;1,00;3,00;0,00;0,00
2019-06-16;73,00;67,04;23,84;63,88;1,14;20,53;25,00;24,00;17,00;21,00;10,00;22,00;19,00;1,00;9,00;14,00;3,00;7,00;7,00;8,00;8,00;5,00;8,00;3,00;1,00;5,00;4,00;1,00;3,00;1,00;1,00;0,00;0,00
2019-06-23;66,00;64,53;17,60;59,17;0,00;20,48;23,00;33,00;18,00;16,00;10,00;19,00;18,00;2,00;9,00;26,00;3,00;10,00;4,00;14,00;13,00;4,00;4,00;5,00;1,00;6,00;2,00;1,00;2,00;1,00;2,00;1,00;0,00
2019-06-30;79,00;68,57;25,34;67,71;1,13;24,83;30,00;24,00;17,00;15,00;11,00;25,00;17,00;7,00;7,00;24,00;4,00;10,00;5,00;9,00;9,00;7,00;9,00;5,00;1,00;9,00;6,00;3,00;4,00;1,00;0,50;0,00;0,50
2019-07-07;72,00;80,82;22,04;69,75;2,25;27,00;38,00;28,00;17,00;17,00;12,00;28,00;23,00;3,00;6,00;21,00;4,00;11,00;5,00;12,00;10,00;9,00;7,00;6,00;1,00;5,00;5,00;4,00;5,00;0,50;1,00;1,00;1,00
