Semaine;Nice (FR);Mallorca (ES);Benidorm (ES);reta (SI);Agadir (MA);Ibiza (ES);Djerba (TN);Lloret de Mar (ES);Corfu (GR);Santorini Island (GR);Marbella (ES);Faro (PT);Málaga (ES);Bodrum (TR);Mykonos (GR);Biarritz (FR);Ars en Ré (FR);Saint Malo (FR);Le Cap d Agde (FR);Cefalù (IT);Fréjus (FR);Amalfi (IT);Cannes (FR);Dubrovnik (HR);Antibes (FR);Le Touquet (BE);Torremolinos (ES);Le Barcarès (FR);Deauville (FR);Portofino (IT);Porto Vecchio (FR);Lacanau (FR);Palavas les Flots (FR);Sitges (ES);Argelès sur Mer (FR);Carnac (FR);Arcachon (FR);Le Grau du Roi (FR);Cap Ferret (FR);Biscarrosse (FR);La Baule Escoublac (FR);Saint Jean de Monts (FR);Plage de la Palmyre (FR)
2019-01-06;56,00;13,00;1,00;0,00;10,00;3,00;20,00;4,00;4,00;8,00;3,00;5,00;1,00;1,00;2,00;14,00;8,00;32,00;8,00;1,00;23,00;0,00;8,00;1,00;24,00;1,00;0,00;6,00;3,00;1,00;4,00;1,00;3,00;0,50;1,00;2,00;1,00;2,00;0,00;1,00;1,00;1,00;0,00
2019-01-13;54,00;16,00;1,00;0,00;14,00;2,00;22,00;4,00;5,00;9,00;2,00;6,00;1,00;2,00;2,00;15,00;7,00;28,00;12,00;2,00;27,00;0,00;12,00;1,00;22,00;1,00;0,00;5,00;4,00;0,50;5,00;3,00;3,00;1,00;1,00;1,00;2,00;2,00;1,00;0,50;1,00;0,00;0,00
2019-01-20;50,00;14,00;1,00;0,00;11,00;2,00;16,00;4,00;4,00;6,00;2,00;4,00;0,50;0,50;2,00;19,00;7,00;27,00;8,00;1,00;23,00;1,00;9,00;1,00;24,00;1,00;0,50;3,00;4,00;0,50;4,00;3,00;4,00;0,50;0,50;1,00;2,00;2,00;0,00;0,00;0,50;1,00;0,50
2019-01-27;49,00;17,00;2,00;0,00;11,00;3,00;13,00;4,00;6,00;8,00;2,00;7,00;1,00;1,00;1,00;24,00;11,00;29,00;10,00;2,00;24,00;0,00;11,00;0,50;22,00;2,00;0,00;3,00;5,00;1,00;5,00;3,00;3,00;0,50;1,00;1,00;3,00;2,00;0,50;1,00;1,00;1,00;0,00
2019-02-03;39,00;19,00;2,00;0,00;13,00;2,00;21,00;3,00;3,00;4,00;2,00;7,00;1,00;2,00;1,00;21,00;12,00;26,00;13,00;3,00;19,00;1,00;11,00;3,00;20,00;3,00;0,00;5,00;5,00;2,00;3,00;4,00;4,00;0,50;1,00;3,00;3,00;2,00;0,50;1,00;1,00;1,00;0,00
2019-02-10;44,00;14,00;1,00;0,00;11,00;3,00;24,00;5,00;4,00;7,00;1,00;6,00;1,00;0,50;1,00;24,00;13,00;34,00;13,00;2,00;25,00;0,00;9,00;3,00;30,00;3,00;0,00;3,00;5,00;1,00;5,00;4,00;6,00;1,00;1,00;2,00;3,00;2,00;1,00;0,50;1,00;1,00;0,00
2019-02-17;46,00;15,00;1,00;0,00;12,00;5,00;21,00;4,00;4,00;5,00;1,00;6,00;1,00;1,00;3,00;25,00;19,00;42,00;14,00;1,00;21,00;2,00;8,00;2,00;24,00;3,00;0,00;7,00;5,00;1,00;4,00;4,00;7,00;1,00;2,00;5,00;2,00;2,00;1,00;0,00;2,00;1,00;0,50
2019-02-24;50,00;19,00;2,00;0,00;15,00;5,00;25,00;4,00;5,00;7,00;2,00;8,00;2,00;1,00;3,00;27,00;22,00;31,00;12,00;1,00;20,00;0,50;13,00;1,00;28,00;2,00;0,00;4,00;6,00;0,50;5,00;6,00;5,00;0,00;2,00;2,00;3,00;4,00;0,50;1,00;1,00;1,00;0,50
2019-03-03;40,00;20,00;2,00;0,00;14,00;3,00;25,00;2,00;4,00;6,00;2,00;7,00;2,00;1,00;3,00;21,00;14,00;29,00;13,00;1,00;21,00;1,00;10,00;3,00;28,00;1,00;0,50;4,00;5,00;1,00;7,00;4,00;5,00;0,00;1,00;3,00;3,00;2,00;1,00;1,00;1,00;0,50;0,50
2019-03-10;44,00;18,00;2,00;0,00;8,00;5,00;24,00;3,00;6,00;6,00;2,00;4,00;2,00;1,00;3,00;22,00;13,00;29,00;10,00;1,00;26,00;0,00;11,00;2,00;24,00;1,00;0,00;5,00;5,00;1,00;6,00;4,00;5,00;1,00;1,00;3,00;3,00;1,00;0,50;0,50;2,00;0,50;0,00
2019-03-17;52,00;17,00;3,00;0,00;11,00;5,00;26,00;5,00;5,00;6,00;2,00;6,00;1,00;1,00;4,00;19,00;16,00;34,00;14,00;1,00;23,00;1,00;11,00;2,00;27,00;1,00;0,00;5,00;4,00;1,00;6,00;4,00;4,00;0,00;1,00;2,00;5,00;4,00;1,00;0,50;1,00;0,50;1,00
2019-03-24;45,00;19,00;3,00;0,00;13,00;3,00;25,00;5,00;4,00;6,00;1,00;4,00;1,00;2,00;2,00;22,00;14,00;33,00;10,00;1,00;25,00;1,00;9,00;3,00;27,00;2,00;0,50;4,00;8,00;1,00;6,00;5,00;7,00;0,50;1,00;4,00;3,00;2,00;1,00;0,00;2,00;0,00;0,00
2019-03-31;59,00;19,00;2,00;0,50;9,00;5,00;26,00;5,00;4,00;8,00;2,00;6,00;2,00;1,00;2,00;32,00;19,00;34,00;13,00;1,00;38,00;1,00;8,00;3,00;27,00;3,00;0,50;6,00;5,00;1,00;7,00;5,00;4,00;1,00;2,00;3,00;3,00;4,00;1,00;1,00;2,00;1,00;0,00
2019-04-07;69,00;18,00;1,00;0,50;8,00;4,00;25,00;5,00;4,00;10,00;2,00;8,00;2,00;2,00;2,00;34,00;28,00;40,00;21,00;2,00;35,00;3,00;10,00;3,00;34,00;3,00;0,50;9,00;6,00;2,00;10,00;6,00;5,00;0,00;0,50;3,00;3,00;6,00;0,50;1,00;3,00;1,00;0,50
2019-04-14;73,00;21,00;1,00;0,00;11,00;7,00;26,00;5,00;5,00;14,00;3,00;7,00;1,00;1,00;3,00;36,00;32,00;44,00;25,00;1,00;44,00;2,00;13,00;5,00;33,00;3,00;0,00;8,00;9,00;0,50;9,00;7,00;9,00;1,00;3,00;4,00;6,00;8,00;1,00;2,00;2,00;1,00;0,50
2019-04-21;70,00;21,00;2,00;0,00;9,00;3,00;28,00;6,00;5,00;11,00;3,00;5,00;1,00;2,00;3,00;35,00;32,00;38,00;24,00;3,00;38,00;2,00;15,00;3,00;38,00;4,00;0,00;7,00;9,00;1,00;8,00;6,00;10,00;0,50;3,00;4,00;4,00;10,00;2,00;1,00;3,00;1,00;0,00
2019-04-28;67,00;25,00;3,00;0,00;11,00;6,00;27,00;6,00;7,00;14,00;3,00;6,00;1,00;2,00;4,00;31,00;29,00;35,00;22,00;1,00;31,00;1,00;12,00;2,00;36,00;2,00;1,00;5,00;7,00;1,00;9,00;7,00;9,00;0,00;4,00;5,00;5,00;6,00;1,00;2,00;2,00;1,00;1,00
2019-05-05;64,00;22,00;3,00;0,00;6,00;5,00;22,00;5,00;5,00;13,00;2,00;4,00;1,00;1,00;3,00;32,00;24,00;36,00;18,00;3,00;28,00;1,00;14,00;5,00;33,00;3,00;0,50;4,00;2,00;0,00;6,00;5,00;6,00;0,50;1,00;4,00;3,00;3,00;1,00;0,50;1,00;1,00;0,00
2019-05-12;65,00;19,00;2,00;0,00;8,00;6,00;21,00;7,00;4,00;12,00;2,00;5,00;1,00;2,00;4,00;27,00;20,00;34,00;20,00;1,00;41,00;1,00;17,00;2,00;35,00;2,00;0,00;3,00;5,00;0,50;10,00;3,00;9,00;0,50;1,00;3,00;3,00;4,00;1,00;2,00;2,00;0,50;0,00
2019-05-19;71,00;22,00;2,00;0,00;9,00;4,00;26,00;6,00;5,00;13,00;3,00;5,00;1,00;2,00;3,00;26,00;24,00;36,00;26,00;2,00;33,00;1,00;19,00;3,00;35,00;3,00;0,50;7,00;5,00;1,00;11,00;8,00;7,00;0,00;3,00;2,00;4,00;4,00;0,50;1,00;2,00;1,00;0,00
2019-05-26;72,00;18,00;2,00;0,00;8,00;5,00;23,00;6,00;6,00;12,00;2,00;4,00;1,00;2,00;4,00;34,00;35,00;40,00;27,00;2,00;38,00;1,00;15,00;3,00;36,00;3,00;0,00;7,00;7,00;1,00;8,00;11,00;10,00;0,50;3,00;3,00;3,00;8,00;1,00;0,50;4,00;2,00;0,00
2019-06-02;70,00;19,00;3,00;0,00;6,00;5,00;21,00;8,00;7,00;10,00;2,00;7,00;1,00;1,00;3,00;29,00;32,00;33,00;38,00;2,00;37,00;2,00;16,00;4,00;37,00;4,00;0,00;7,00;6,00;2,00;10,00;5,00;8,00;0,50;1,00;3,00;3,00;5,00;1,00;2,00;2,00;1,00;0,50
2019-06-09;78,00;25,00;3,00;0,00;9,00;5,00;24,00;7,00;6,00;8,00;2,00;6,00;2,00;2,00;6,00;30,00;25,00;34,00;33,00;3,00;38,00;0,50;13,00;3,00;35,00;3,00;0,50;12,00;5,00;1,00;15,00;7,00;9,00;1,00;2,00;3,00;5,00;6,00;1,00;1,00;2,00;0,50;0,00
2019-06-16;83,00;18,00;3,00;0,00;8,00;5,00;21,00;5,00;8,00;13,00;2,00;6,00;1,00;3,00;7,00;26,00;24,00;34,00;33,00;3,00;45,00;2,00;15,00;2,00;36,00;2,00;0,50;11,00;7,00;0,00;12,00;7,00;13,00;0,50;3,00;2,00;4,00;6,00;1,00;2,00;2,00;2,00;0,00
2019-06-23;96,00;19,00;3,00;0,50;12,00;4,00;27,00;5,00;7,00;15,00;2,00;6,00;1,00;1,00;4,00;36,00;28,00;34,00;35,00;2,00;45,00;2,00;20,00;4,00;39,00;4,00;0,00;12,00;10,00;1,00;12,00;15,00;13,00;0,00;5,00;5,00;4,00;6,00;1,00;1,00;2,00;1,00;0,00
