Semaine;Nice (FR);Paris (FR);London (GB);Amsterdam (NL);Barcelona (ES);Roma (IT);Lille (FR);Madrid (ES);Lisbon (PT);Prague (CZ);Berlin (DE);Milano (IT);stanbul (TR);Budapest (HU);Venezia (IT);Wien (AT);Strasbourg (FR);Athens (GR);Dublin (IE);Lyon (FR);Frankfurt am Main (DE);Marseille (FR);München (DE);Stockholm (SE);Copenhagen (DK);Bordeaux (FR);Genève (CH);Tours (FR);Hamburg (DE);Toulouse (FR);Montpellier (FR);Nantes (FR);Avignon (FR);Monaco (MC);Dijon (FR);Aix en Provence (FR)
2019-01-06;56,00;398,22;56,00;18,67;24,89;28,00;46,00;21,00;26,00;13,00;10,00;10,00;13,00;5,60;22,40;6,72;60,48;7,47;9,96;93,33;7,47;61,74;4,31;2,87;4,31;59,00;14,00;30,00;1,00;49,21;25,45;47,52;8,48;3,00;11,00;6,00
2019-01-13;54,00;405,00;54,00;13,50;33,75;25,00;41,00;25,00;23,00;11,00;10,00;12,00;15,00;3,38;23,63;3,38;57,38;7,53;11,30;99,21;2,51;67,14;4,38;1,46;1,46;56,00;15,00;26,00;2,00;48,94;33,75;43,88;8,44;5,00;10,00;9,00
2019-01-20;50,00;393,75;43,75;18,75;25,00;30,00;46,00;23,00;23,00;14,00;9,00;10,00;9,00;4,55;15,91;5,68;62,50;3,75;8,75;101,25;6,25;61,43;4,29;4,29;1,43;57,00;18,00;31,00;4,00;48,28;29,31;55,17;6,90;4,00;8,00;8,00
2019-01-27;49,00;455,00;49,00;21,00;28,00;22,00;41,00;21,00;22,00;13,00;13,00;10,00;14,00;4,45;20,05;3,34;60,14;5,03;10,05;79,15;7,54;64,85;4,32;2,88;2,88;78,00;21,00;18,00;1,00;45,62;32,10;43,93;8,45;7,00;5,00;7,00
2019-02-03;39,00;435,50;52,00;19,50;26,00;26,00;38,00;28,00;21,00;12,00;16,00;12,00;13,00;4,46;18,94;3,34;57,94;6,29;11,32;80,52;7,55;65,00;2,89;2,89;2,89;65,00;20,00;21,00;4,00;52,57;28,83;45,78;10,17;4,00;8,00;7,00
2019-02-10;44,00;433,71;44,00;18,86;31,43;27,00;39,00;24,00;25,00;13,00;15,00;9,00;14,00;4,51;23,69;4,51;54,15;5,03;11,31;80,46;8,80;72,39;1,42;1,42;1,42;55,00;18,00;18,00;3,00;50,77;37,23;59,23;11,85;6,00;6,00;9,00
2019-02-17;46,00;460,00;52,57;26,29;32,86;31,00;40,00;23,00;31,00;12,00;10,00;11,00;17,00;5,61;22,44;5,61;62,83;6,39;11,50;77,94;8,94;77,63;2,88;5,75;1,44;59,00;20,00;13,00;2,00;52,81;34,07;51,11;10,22;5,00;6,00;8,00
2019-02-24;50,00;425,00;37,50;18,75;31,25;30,00;36,00;26,00;26,00;12,00;10,00;9,00;16,00;2,22;20,00;4,44;58,89;8,75;11,25;82,50;3,75;77,14;2,86;1,43;1,43;63,00;17,00;24,00;3,00;63,33;35,00;45,00;13,33;5,00;5,00;9,00
2019-03-03;40,00;433,33;46,67;20,00;26,67;27,00;33,00;26,00;28,00;15,00;11,00;9,00;15,00;4,57;22,86;2,29;64,00;7,74;12,90;72,26;6,45;77,14;2,86;4,29;2,86;51,00;15,00;18,00;3,00;53,91;40,00;46,96;12,17;8,00;6,00;8,00
2019-03-10;44,00;414,86;44,00;18,86;25,14;25,00;33,00;24,00;24,00;10,00;13,00;13,00;15,00;3,38;23,69;2,26;59,79;7,54;13,83;76,69;8,80;68,13;1,42;2,84;1,42;51,00;19,00;14,00;5,00;55,85;33,85;45,69;8,46;4,00;4,00;9,00
2019-03-17;52,00;435,50;45,50;13,00;26,00;26,00;36,00;27,00;24,00;9,00;14,00;10,00;13,00;4,52;21,48;3,39;56,52;10,15;10,15;76,10;7,61;73,67;5,78;2,89;2,89;55,00;16,00;19,00;1,00;46,97;35,23;45,29;10,06;5,00;8,00;8,00
2019-03-24;45,00;430,71;45,00;19,29;32,14;31,00;38,00;24,00;32,00;8,00;10,00;10,00;12,00;3,38;21,38;2,25;59,63;5,00;12,50;63,75;7,50;79,84;2,90;1,45;2,90;53,00;16,00;14,00;1,00;61,67;36,67;40,00;11,67;8,00;7,00;10,00
2019-03-31;59,00;458,89;39,33;19,67;32,78;41,00;45,00;24,00;31,00;10,00;11,00;15,00;17,00;4,54;20,42;3,40;62,40;7,53;10,04;87,87;7,53;79,15;2,88;4,32;1,44;58,00;14,00;36,00;2,00;47,20;35,40;62,37;11,80;6,00;8,00;9,00
2019-04-07;69,00;503,70;48,30;27,60;34,50;33,00;54,00;25,00;31,00;10,00;13,00;17,00;15,00;3,39;22,62;4,52;72,39;8,78;13,80;92,84;8,78;80,50;4,31;2,88;2,88;59,00;15,00;34,00;2,00;52,17;37,02;57,22;11,78;8,00;14,00;10,00
2019-04-14;73,00;663,64;46,45;13,27;39,82;25,00;54,00;24,00;27,00;7,00;12,00;17,00;16,00;4,49;23,58;4,49;62,89;10,07;12,59;96,91;8,81;91,61;4,29;2,86;2,86;60,00;13,00;36,00;4,00;54,33;35,65;74,70;13,58;8,00;12,00;8,00
2019-04-21;70,00;432,73;38,18;19,09;38,18;25,00;52,00;23,00;22,00;13,00;11,00;9,00;13,00;4,52;14,68;2,26;62,10;6,25;10,00;98,75;6,25;85,71;4,29;2,86;2,86;64,00;15,00;40,00;1,00;47,80;46,10;47,80;13,66;9,00;13,00;13,00
2019-04-28;67,00;435,50;33,50;20,10;33,50;25,00;45,00;21,00;28,00;9,00;11,00;17,00;13,00;4,47;18,98;2,23;68,12;8,85;11,38;89,75;5,06;86,96;4,28;2,85;1,43;56,00;18,00;37,00;5,00;48,58;31,83;40,20;10,05;6,00;14,00;12,00
2019-05-05;64,00;396,80;44,80;12,80;32,00;25,00;43,00;27,00;27,00;9,00;11,00;14,00;15,00;5,61;21,33;4,49;58,39;10,04;10,04;79,06;6,27;72,53;4,27;2,84;1,42;53,00;14,00;36,00;2,00;47,16;32,00;42,11;8,42;8,00;10,00;6,00
2019-05-12;65,00;422,50;32,50;13,00;32,50;23,00;44,00;23,00;21,00;7,00;12,00;12,00;13,00;4,48;16,81;3,36;50,43;8,75;12,50;97,50;7,50;83,78;4,33;1,44;2,89;59,00;14,00;34,00;2,00;43,33;36,67;36,67;11,67;5,00;13,00;11,00
2019-05-19;71,00;413,09;38,73;12,91;32,27;22,00;45,00;25,00;25,00;11,00;11,00;13,00;14,00;3,38;16,90;4,51;61,98;6,23;6,23;104,63;6,23;72,42;2,84;2,84;1,42;62,00;15,00;35,00;3,00;52,40;33,81;43,95;13,52;7,00;9,00;9,00
2019-05-26;72,00;445,09;39,27;19,64;39,27;22,00;43,00;19,00;21,00;8,00;11,00;12,00;12,00;5,63;18,00;3,38;56,25;6,32;8,84;88,42;6,32;92,16;5,76;2,88;1,44;60,00;15,00;34,00;3,00;46,88;35,16;41,86;15,07;7,00;10,00;11,00
2019-06-02;70,00;439,09;38,18;12,73;31,82;22,00;47,00;18,00;23,00;7,00;7,00;11,00;9,00;3,33;25,56;4,44;58,89;8,75;7,50;83,75;6,25;92,86;2,86;2,86;2,86;65,00;15,00;37,00;4,00;48,33;38,33;46,67;10,00;5,00;15,00;13,00
2019-06-09;78,00;455,00;32,50;13,00;32,50;25,00;48,00;20,00;22,00;8,00;11,00;13,00;15,00;3,34;20,06;5,57;59,06;8,81;8,81;90,58;6,29;87,93;4,25;2,84;2,84;57,00;13,00;39,00;5,00;47,48;45,78;42,39;16,96;10,00;13,00;10,00
2019-06-16;83,00;472,46;38,31;12,77;31,92;24,00;51,00;20,00;22,00;7,00;8,00;16,00;13,00;2,24;12,34;5,61;62,81;5,03;11,32;96,83;5,03;100,17;2,86;5,72;2,86;56,00;17,00;36,00;2,00;59,29;47,43;50,82;15,24;9,00;13,00;8,00
2019-06-23;96,00;486,40;32,00;12,80;38,40;23,00;49,00;20,00;18,00;5,00;12,00;12,00;14,00;3,39;24,85;3,39;72,28;6,32;7,58;96,00;6,32;98,87;4,30;2,87;1,43;63,00;15,00;36,00;3,00;48,84;42,11;42,11;15,16;9,00;13,00;11,00
2019-06-30;98,00;483,47;39,20;13,07;32,67;20,00;51,00;18,00;21,00;7,00;12,00;17,00;13,00;2,25;15,77;3,38;72,09;6,28;12,56;113,08;7,54;105,21;4,32;2,88;4,32;57,00;18,00;37,00;3,00;49,00;42,24;52,38;16,90;10,00;12,00;13,00
2019-07-07;91,00;468,00;39,00;19,50;39,00;20,00;53,00;19,00;20,00;8,00;9,00;13,00;11,00;3,37;15,73;4,49;65,16;6,32;11,38;102,38;7,58;105,44;2,89;4,33;1,44;68,00;18,00;35,00;2,00;55,61;47,19;53,93;21,91;11,00;14,00;14,00
2019-07-14;88,00;507,69;40,62;13,54;47,38;23,00;41,00;24,00;21,00;9,00;11,00;14,00;11,00;2,26;15,79;4,51;58,67;11,31;12,57;84,23;7,54;109,64;2,89;2,89;2,89;62,00;19,00;31,00;4,00;60,92;44,00;50,77;15,23;13,00;15,00;14,00
2019-07-21;97,00;510,87;38,80;12,93;38,80;24,00;50,00;23,00;24,00;8,00;14,00;17,00;14,00;3,38;20,30;2,26;74,44;8,82;8,82;97,00;7,56;116,97;2,85;4,28;4,28;74,00;15,00;34,00;2,00;59,56;54,46;57,86;22,12;12,00;12,00;8,00
2019-07-28;94,00;510,29;47,00;20,14;60,43;30,00;50,00;21,00;28,00;9,00;13,00;18,00;13,00;3,36;20,14;5,60;69,38;11,28;8,77;100,27;8,77;126,76;2,85;2,85;1,42;77,00;21,00;41,00;3,00;67,14;53,71;60,43;18,46;13,00;16,00;11,00
2019-08-04;96,00;512,00;51,20;19,20;57,60;25,00;58,00;20,00;30,00;8,00;11,00;18,00;14,00;4,47;20,09;5,58;65,86;8,73;11,22;104,73;12,47;137,55;4,30;2,87;1,43;80,00;20,00;38,00;2,00;64,00;62,32;57,26;16,84;14,00;15,00;19,00
2019-08-11;100,00;526,67;46,67;20,00;46,67;28,00;61,00;21,00;30,00;11,00;13,00;14,00;14,00;4,49;21,35;4,49;71,91;11,25;11,25;92,50;12,50;130,00;2,86;4,29;2,86;85,00;23,00;39,00;3,00;66,10;66,10;64,41;18,64;18,00;17,00;11,00
2019-08-18;95,00;481,79;40,71;20,36;47,50;24,00;52,00;21,00;19,00;8,00;11,00;12,00;12,00;4,47;14,53;4,47;83,82;7,50;8,75;100,00;30,00;104,93;2,84;2,84;4,25;74,00;21,00;33,00;2,00;61,67;56,67;51,67;15,00;16,00;14,00;11,00
2019-08-25;91,00;455,00;45,50;19,50;39,00;18,00;59,00;23,00;18,00;10,00;10,00;11,00;13,00;4,49;21,35;4,49;84,26;9,97;9,97;97,23;32,41;98,11;5,69;2,84;2,84;67,00;19,00;39,00;2,00;58,98;42,13;48,87;11,80;11,00;11,00;12,00
2019-09-01;84,00;439,38;45,23;12,92;32,31;26,00;57,00;22,00;24,00;8,00;11,00;12,00;17,00;3,36;19,04;5,60;67,20;7,52;8,78;96,54;8,78;81,15;2,85;2,85;2,85;58,00;15,00;33,00;2,00;53,76;40,32;50,40;10,08;7,00;13,00;9,00
2019-09-08;80,00;486,67;46,67;13,33;33,33;25,00;51,00;27,00;22,00;10,00;9,00;15,00;12,00;5,63;18,03;5,63;70,99;8,89;8,89;92,70;7,62;81,43;2,86;2,86;4,29;60,00;17,00;34,00;4,00;57,87;42,55;47,66;13,62;6,00;8,00;9,00
2019-09-15;70,00;426,36;44,55;12,73;25,45;24,00;51,00;32,00;18,00;11,00;9,00;13,00;15,00;4,52;16,94;4,52;72,26;6,25;8,75;88,75;6,25;81,43;4,29;1,43;1,43;58,00;15,00;33,00;2,00;59,76;39,27;51,22;10,24;10,00;12,00;12,00
2019-09-22;70,00;420,00;44,55;19,09;25,45;24,00;49,00;23,00;22,00;12,00;12,00;12,00;15,00;3,39;16,94;5,65;68,87;5,00;11,25;102,50;5,00;77,14;4,29;2,86;1,43;64,00;13,00;29,00;3,00;54,63;34,15;46,10;11,95;10,00;12,00;8,00
2019-09-29;68,00;455,60;54,40;20,40;27,20;23,00;46,00;23,00;19,00;9,00;12,00;17,00;13,00;3,40;17,00;5,67;77,07;6,30;10,07;86,89;7,56;78,13;5,79;1,45;2,89;56,00;13,00;38,00;3,00;47,60;39,10;40,80;8,50;8,00;9,00;9,00
2019-10-06;66,00;468,60;59,40;19,80;33,00;24,00;49,00;24,00;18,00;10,00;8,00;11,00;13,00;4,47;17,90;5,59;77,19;4,98;9,96;89,66;8,72;71,74;4,30;2,87;1,43;64,00;15,00;28,00;3,00;59,23;32,15;45,69;10,15;9,00;9,00;10,00
2019-10-13;69,00;462,30;55,20;20,70;34,50;22,00;54,00;22,00;21,00;12,00;14,00;15,00;13,00;4,45;16,69;5,56;74,56;5,02;10,04;104,13;7,53;74,75;2,88;2,88;1,44;56,00;19,00;32,00;3,00;48,80;28,61;48,80;15,15;8,00;11,00;8,00
2019-10-20;76,00;475,00;57,00;19,00;25,33;24,00;51,00;25,00;20,00;13,00;10,00;12,00;12,00;6,71;20,12;4,47;74,88;6,23;11,21;94,69;8,72;78,87;4,30;1,43;4,30;64,00;16,00;29,00;4,00;60,80;42,22;50,67;11,82;7,00;14,00;9,00
2019-10-27;64,00;460,80;51,20;19,20;25,60;20,00;51,00;23,00;24,00;11,00;13,00;12,00;12,00;3,37;15,72;6,74;67,37;3,76;10,04;99,14;6,27;86,76;2,84;2,84;4,27;65,00;12,00;32,00;1,00;47,16;35,37;52,21;8,42;7,00;13,00;8,00
2019-11-03;60,00;466,67;46,67;20,00;26,67;21,00;45,00;21,00;21,00;12,00;22,00;18,00;14,00;4,53;15,85;4,53;74,72;6,25;10,00;92,50;7,50;68,57;4,29;1,43;2,86;59,00;17,00;33,00;2,00;53,14;34,29;44,57;10,29;6,00;10,00;10,00
2019-11-10;52,00;396,50;45,50;19,50;52,00;21,00;40,00;22,00;17,00;11,00;11,00;11,00;13,00;6,64;18,81;4,43;66,38;3,71;9,90;100,29;4,95;62,11;2,89;2,89;2,89;52,00;14,00;30,00;3,00;55,35;30,19;45,29;8,39;6,00;12,00;6,00
2019-11-17;69,00;434,70;48,30;13,80;20,70;17,00;51,00;25,00;16,00;12,00;10,00;12,00;10,00;5,56;14,47;6,68;76,79;3,76;6,27;86,56;8,78;63,25;2,88;2,88;1,44;46,00;18,00;31,00;2,00;45,44;30,29;42,07;8,41;3,00;10,00;9,00
2019-11-24;50,00;368,75;43,75;12,50;18,75;18,00;48,00;25,00;14,00;10,00;9,00;10,00;11,00;5,56;13,33;5,56;111,11;3,75;6,25;116,25;5,00;61,43;2,86;1,43;2,86;47,00;12,00;30,00;2,00;43,33;28,33;38,33;8,33;7,00;10,00;10,00
