Semaine;Martinique (LC);Guadeloupe (GP);Saint Martin (ile d Amérique du nord) (MF);Republique Dominicaine (DO);Sainte Lucie (LC);Barbade (BB)
2019-01-06;65,00;85,39;3,82;14,02;1,27;2,00
2019-01-13;63,00;72,00;5,14;7,71;1,29;3,00
2019-01-20;53,00;69,80;2,59;9,05;1,29;2,00
2019-01-27;58,00;74,76;3,87;10,31;1,29;1,00
2019-02-03;60,00;84,26;7,66;11,49;5,11;1,00
2019-02-10;55,00;73,33;6,55;6,55;2,62;2,00
2019-02-17;68,00;74,54;6,54;9,15;1,31;3,00
2019-02-24;55,00;83,81;7,86;6,55;1,31;1,00
2019-03-03;53,00;68,51;3,88;7,76;3,88;2,00
2019-03-10;51,00;59,93;8,93;6,38;1,28;2,00
2019-03-17;48,00;59,68;6,49;5,19;0,65;2,00
2019-03-24;53,00;62,05;6,46;6,46;1,29;3,00
2019-03-31;45,00;61,71;2,57;9,00;1,29;3,00
2019-04-07;45,00;48,86;3,86;6,43;0,64;2,00
2019-04-14;45,00;47,57;2,57;5,14;1,29;0,00
2019-04-21;43,00;67,76;2,61;7,82;1,30;1,00
2019-04-28;42,00;43,27;3,82;6,36;1,27;1,00
2019-05-05;46,00;49,83;3,83;3,83;1,28;2,00
2019-05-12;36,00;46,29;6,43;7,71;2,57;2,00
2019-05-19;39,00;57,20;3,90;5,20;2,60;1,00
2019-05-26;32,00;43,52;5,12;2,56;0,00;2,00
2019-06-02;28,00;38,18;3,82;5,09;2,55;1,00
2019-06-09;35,00;45,37;2,59;7,78;1,30;2,00
2019-06-16;37,00;48,48;5,10;3,83;3,83;1,00
2019-06-23;40,00;56,77;2,58;2,58;0,65;1,00
2019-06-30;30,00;56,09;2,61;2,61;0,00;1,00
2019-07-07;36,00;41,14;3,86;2,57;1,29;1,00
2019-07-14;37,00;50,21;5,29;3,96;1,32;1,00
2019-07-21;45,00;48,86;9,00;5,14;0,64;3,00
2019-07-28;44,00;56,94;6,47;6,47;5,18;2,00
2019-08-04;45,00;60,43;3,86;6,43;2,57;3,00
2019-08-11;44,00;42,71;3,88;12,94;3,88;2,00
2019-08-18;47,00;57,44;3,92;6,53;2,61;2,00
2019-08-25;48,00;44,11;3,89;6,49;1,30;2,00
2019-09-01;45,00;50,14;5,14;5,14;3,86;0,00
2019-09-08;40,00;42,58;3,87;3,87;0,65;1,00
2019-09-15;37,00;46,25;6,61;7,93;2,64;0,00
2019-09-22;42,00;50,91;3,82;6,36;2,55;0,50
2019-09-29;35,00;44,07;3,89;7,78;1,30;0,50
2019-10-06;32,00;46,08;5,12;7,68;1,28;0,00
2019-10-13;37,00;47,21;2,55;3,83;1,28;2,00
2019-10-20;43,00;62,55;3,91;11,73;1,30;1,00
2019-10-27;49,00;55,45;3,87;3,87;1,29;1,00
2019-11-03;37,00;61,24;2,55;8,93;1,28;2,00
2019-11-10;51,00;64,08;2,62;5,23;0,00;0,50
2019-11-17;45,00;51,43;3,86;6,43;3,86;1,00
2019-11-24;54,00;54,00;5,14;5,14;2,57;1,00
2019-12-01;43,00;51,85;3,79;7,59;1,26;1,00
2019-12-08;41,00;55,55;5,29;3,97;7,94;0,00
2019-12-15;40,00;47,74;3,87;9,03;1,29;0,50
2019-12-22;53,00;69,80;2,59;7,76;3,88;2,00
2019-12-29;51,00;83,69;9,15;7,85;2,62;2,00
2020-01-05;67,00;65,71;3,87;7,73;1,29;4,00
2020-01-12;54,00;73,29;6,43;7,71;2,57;4,00
2020-01-19;54,00;75,86;3,86;7,71;5,14;3,00
2020-01-26;57,00;60,89;5,18;6,48;2,59;1,00
2020-02-02;49,00;69,63;5,16;5,16;1,29;1,00
2020-02-09;50,00;67,95;5,13;7,69;1,28;2,00
2020-02-16;51,00;68,85;5,10;10,20;1,28;2,00
2020-02-23;50,00;71,05;2,63;7,89;3,95;1,00
2020-03-01;50,00;61,54;3,85;5,13;2,56;3,00
2020-03-08;53,00;56,88;2,59;5,17;2,59;1,00
2020-03-15;31,00;52,96;1,29;3,88;0,65;1,00
2020-03-22;23,00;43,44;1,28;3,83;1,28;0,50
2020-03-29;17,00;27,46;1,31;2,62;2,62;1,00
2020-04-05;18,00;30,86;2,57;0,64;1,29;2,00
2020-04-12;22,00;29,76;1,29;2,59;0,65;1,00
2020-04-19;24,00;34,67;2,67;2,67;2,67;0,50
2020-04-26;22,00;37,53;2,59;1,29;1,29;2,00
2020-05-03;27,00;31,05;4,05;1,35;1,35;1,00
2020-05-10;19,00;32,93;3,80;1,27;1,27;2,00
2020-05-17;38,00;36,69;1,31;0,00;1,31;0,50
2020-05-24;27,00;43,71;2,57;1,29;1,29;0,00
2020-05-31;33,00;40,92;3,96;2,64;2,64;1,00
2020-06-07;27,00;38,57;1,29;2,57;1,29;2,00
2020-06-14;27,00;39,86;2,57;5,14;1,29;3,00
2020-06-21;35,00;47,96;5,19;2,59;1,30;0,50
2020-06-28;35,00;41,48;2,59;5,19;5,19;1,00
2020-07-05;30,00;41,74;1,30;3,91;0,00;1,00
2020-07-12;28,00;44,00;2,67;2,67;0,00;3,00
2020-07-19;30,00;37,83;5,22;1,30;1,30;1,00
2020-07-26;32,00;39,68;8,96;2,56;1,28;0,00
2020-08-02;27,00;41,14;3,86;2,57;2,57;0,50
2020-08-09;40,00;45,16;2,58;3,87;1,29;0,50
2020-08-16;34,00;43,15;3,92;3,92;2,62;1,00
2020-08-23;32,00;42,67;2,67;0,67;0,67;0,50
2020-08-30;35,00;40,19;2,59;1,30;2,59;0,50
2020-09-06;31,00;50,38;1,29;2,58;1,29;1,00
2020-09-13;36,00;50,14;5,14;2,57;0,64;3,00
2020-09-20;30,00;46,96;2,61;2,61;1,30;0,50
2020-09-27;28,00;42,00;3,82;2,55;0,00;2,00
2020-10-04;31,00;36,17;2,58;3,88;0,65;0,50
2020-10-11;37,00;50,21;2,64;3,96;2,64;1,00
2020-10-18;41,00;39,72;2,56;1,28;1,28;1,00
2020-10-25;32,00;50,67;4,00;2,67;1,33;1,00
2020-11-01;22,00;33,65;3,88;2,59;0,65;0,00
2020-11-08;22,00;32,35;2,59;3,88;1,29;1,00
2020-11-15;31,00;38,75;2,58;2,58;1,29;1,00
2020-11-22;34,00;51,00;3,92;3,92;1,31;4,00
2020-11-29;43,00;44,30;2,61;1,30;1,30;1,00
2020-12-06;59,00;84,65;8,98;1,28;2,57;1,00
2020-12-13;87,00;89,60;9,09;2,60;3,90;1,00
2020-12-20;57,00;86,80;9,07;6,48;1,30;2,00
2020-12-27;88,00;110,00;7,76;10,35;1,29;1,00
2021-01-03;100,00;127,27;9,09;9,09;1,30;3,00
2021-01-10;98,00;121,21;5,16;5,16;1,29;1,00
2021-01-17;80,00;113,55;6,45;7,74;1,29;2,00
2021-01-24;58,00;79,09;6,59;3,95;0,66;3,00
2021-01-31;45,00;81,00;5,14;1,29;0,64;1,00
2021-02-07;42,00;55,13;3,94;5,25;0,66;1,00
2021-02-14;37,00;54,86;2,55;3,83;1,28;1,00
2021-02-21;31,00;51,67;2,58;2,58;0,00;1,00
2021-02-28;36,00;46,29;1,29;3,86;1,29;1,00
2021-03-07;33,00;44,42;1,27;3,81;1,27;2,00
2021-03-14;33,00;44,42;3,81;2,54;0,00;0,00
2021-03-21;26,00;40,30;3,90;1,30;0,00;1,00
2021-03-28;22,00;40,12;2,59;1,29;0,65;3,00
2021-04-04;30,00;36,52;1,30;7,83;1,30;0,00
2021-04-11;32,00;32,00;6,40;5,12;2,56;2,00
2021-04-18;24,00;46,67;2,67;4,00;1,33;1,00
2021-04-25;31,00;45,21;3,88;5,17;1,29;1,00
2021-05-02;37,00;42,10;6,38;3,83;0,64;0,50
2021-05-09;36,00;43,71;3,86;2,57;1,29;0,50
2021-05-16;38,00;45,60;2,53;5,07;0,63;1,00
2021-05-23;38,00;51,93;2,53;3,80;1,27;1,00
2021-05-30;39,00;50,70;2,60;2,60;0,65;0,50
2021-06-06;39,00;54,60;7,80;6,50;2,60;2,00
2021-06-13;38,00;58,97;3,93;1,31;1,31;0,50
2021-06-20;41,00;51,25;5,13;5,13;0,64;1,00
2021-06-27;55,00;66,51;5,12;2,56;2,56;0,50
2021-07-04;39,00;50,70;3,90;3,90;0,00;0,00
2021-07-11;50,00;53,85;1,28;2,56;1,28;1,00
2021-07-18;46,00;54,94;3,83;6,39;1,28;1,00
2021-07-25;56,00;87,82;5,09;3,82;2,55;1,00
2021-08-01;43,00;84,70;7,82;3,91;1,30;3,00
2021-08-08;54,00;99,00;6,43;6,43;2,57;2,00
2021-08-15;38,00;59,53;5,07;5,07;1,27;1,00
2021-08-22;30,00;54,78;3,91;5,22;1,30;7,00
2021-08-29;28,00;45,82;2,55;3,82;1,27;3,00
2021-09-05;37,00;44,66;2,55;5,10;1,28;3,00
2021-09-12;26,00;46,80;6,50;3,90;1,30;1,00
2021-09-19;40,00;49,03;5,16;5,16;0,00;2,00
2021-09-26;33,00;56,76;2,64;6,60;1,32;2,00
2021-10-03;36,00;51,43;2,57;6,43;1,29;2,00
2021-10-10;35,00;47,96;1,30;7,78;0,65;4,00
2021-10-17;40,00;52,90;2,58;5,16;1,29;2,00
2021-10-24;39,00;59,13;3,77;5,03;1,26;3,00
2021-10-31;41,00;65,34;6,41;6,41;2,56;2,00
2021-11-07;50,00;71,05;6,58;9,21;0,66;2,00
2021-11-14;41,00;83,28;3,84;6,41;1,28;3,00
2021-11-21;47,00;130,56;2,61;9,14;1,31;2,00
2021-11-28;29,00;68,55;3,95;6,59;5,27;19,00
2021-12-05;30,00;52,17;2,61;3,91;5,22;3,00
2021-12-12;37,00;56,82;3,96;7,93;11,89;2,00
2021-12-19;48,00;49,30;2,59;6,49;5,19;2,00
2021-12-26;55,00;75,47;5,12;7,67;2,56;3,00
