Semaine;Polynesie (PF);Nouvelle Caledonie (NC);Fidji (FJ);Vanuatu (VU);Iles Cook (CK)
2019-01-06;45,00;15,00;9,00;2,00;0,00
2019-01-13;54,00;7,00;6,00;1,00;1,00
2019-01-20;45,00;6,00;9,00;3,00;0,00
2019-01-27;31,00;7,00;4,00;1,00;1,00
2019-02-03;52,00;12,00;5,00;0,00;0,00
2019-02-10;50,00;12,00;5,00;3,00;0,00
2019-02-17;55,00;6,00;8,00;2,00;0,00
2019-02-24;49,00;14,00;5,00;0,00;2,00
2019-03-03;37,00;11,00;6,00;2,00;2,00
2019-03-10;48,00;15,00;15,00;3,00;3,00
2019-03-17;46,00;16,00;14,00;2,00;2,00
2019-03-24;50,00;8,00;8,00;5,00;2,00
2019-03-31;47,00;13,00;7,00;0,00;0,00
2019-04-07;35,00;14,00;6,00;0,00;2,00
2019-04-14;33,00;11,00;3,00;2,00;3,00
2019-04-21;46,00;3,00;6,00;0,00;0,00
2019-04-28;36,00;10,00;10,00;1,00;3,00
2019-05-05;53,00;7,00;10,00;3,00;1,00
2019-05-12;44,00;10,00;4,00;1,00;3,00
2019-05-19;41,00;9,00;6,00;0,00;1,00
2019-05-26;40,00;6,00;12,00;4,00;3,00
2019-06-02;45,00;12,00;4,00;0,00;0,00
2019-06-09;44,00;8,00;8,00;0,00;0,00
2019-06-16;49,00;3,00;10,00;3,00;0,00
2019-06-23;54,00;7,00;12,00;1,00;0,00
2019-06-30;56,00;12,00;6,00;0,00;0,00
2019-07-07;65,00;9,00;6,00;0,00;0,00
2019-07-14;60,00;7,00;10,00;1,00;0,00
2019-07-21;58,00;2,00;5,00;2,00;0,00
2019-07-28;47,00;8,00;3,00;0,00;3,00
2019-08-04;94,00;9,00;14,00;0,00;2,00
2019-08-11;52,00;9,00;2,00;2,00;5,00
2019-08-18;71,00;11,00;3,00;2,00;0,00
2019-08-25;65,00;10,00;4,00;1,00;1,00
2019-09-01;31,00;17,00;7,00;1,00;0,00
2019-09-08;41,00;11,00;6,00;3,00;0,00
