Semaine;Réunion (RE);Mayotte (YT);Maurice (MU);Seychelles (SC);Zanzibar (TZ);Madagascar (MG)
2019-01-06;42,00;5,00;30,00;5,00;4,00;6,00
2019-01-13;45,00;5,00;28,00;7,00;2,00;4,00
2019-01-20;35,00;6,00;23,00;6,00;3,00;5,00
2019-01-27;33,00;4,00;25,00;7,00;2,00;4,00
2019-02-03;28,00;6,00;22,00;7,00;1,00;3,00
2019-02-10;33,00;5,00;28,00;8,00;2,00;4,00
2019-02-17;33,00;8,00;25,00;5,00;1,00;4,00
2019-02-24;35,00;7,00;22,00;5,00;1,00;4,00
2019-03-03;37,00;5,00;24,00;6,00;2,00;2,00
2019-03-10;30,00;8,00;22,00;5,00;1,00;3,00
2019-03-17;32,00;8,00;25,00;4,00;1,00;2,00
2019-03-24;30,00;6,00;19,00;4,00;1,00;3,00
2019-03-31;37,00;6,00;24,00;5,00;4,00;2,00
2019-04-07;39,00;6,00;23,00;3,00;3,00;4,00
2019-04-14;37,00;6,00;20,00;5,00;2,00;3,00
2019-04-21;37,00;7,00;18,00;4,00;5,00;5,00
2019-04-28;35,00;6,00;21,00;7,00;4,00;3,00
2019-05-05;38,00;6,00;19,00;5,00;3,00;4,00
2019-05-12;29,00;7,00;17,00;7,00;3,00;2,00
2019-05-19;40,00;6,00;19,00;5,00;2,00;2,00
2019-05-26;33,00;6,00;15,00;3,00;3,00;3,00
2019-06-02;32,00;7,00;17,00;3,00;2,00;4,00
2019-06-09;35,00;6,00;20,00;5,00;4,00;4,00
2019-06-16;35,00;6,00;22,00;5,00;5,00;3,00
2019-06-23;33,00;9,00;20,00;5,00;3,00;6,00
2019-06-30;37,00;7,00;21,00;4,00;4,00;7,00
2019-07-07;35,00;9,00;19,00;4,00;4,00;9,00
2019-07-14;36,00;5,00;17,00;7,00;3,00;6,00
2019-07-21;36,00;7,00;19,00;6,00;4,00;5,00
2019-07-28;42,00;7,00;24,00;7,00;4,00;7,00
2019-08-04;40,00;6,00;25,00;7,00;3,00;7,00
2019-08-11;46,00;8,00;28,00;9,00;4,00;4,00
2019-08-18;38,00;5,00;24,00;8,00;3,00;3,00
2019-08-25;36,00;6,00;24,00;6,00;5,00;3,00
2019-09-01;40,00;9,00;20,00;7,00;4,00;4,00
2019-09-08;32,00;4,00;23,00;5,00;4,00;4,00
2019-09-15;35,00;7,00;23,00;5,00;3,00;4,00
2019-09-22;29,00;6,00;20,00;4,00;5,00;3,00
2019-09-29;39,00;7,00;19,00;4,00;3,00;3,00
2019-10-06;33,00;8,00;23,00;7,00;3,00;6,00
2019-10-13;41,00;10,00;23,00;6,00;4,00;3,00
2019-10-20;49,00;22,00;24,00;6,00;3,00;4,00
2019-10-27;40,00;10,00;21,00;7,00;3,00;4,00
2019-11-03;42,00;8,00;24,00;4,00;3,00;2,00
2019-11-10;38,00;6,00;25,00;4,00;3,00;6,00
2019-11-17;35,00;7,00;17,00;3,00;5,00;4,00
2019-11-24;40,00;7,00;17,00;3,00;4,00;4,00
2019-12-01;37,00;7,00;21,00;5,00;3,00;3,00
2019-12-08;32,00;12,00;19,00;5,00;3,00;4,00
2019-12-15;38,00;5,00;23,00;5,00;3,00;2,00
2019-12-22;41,00;6,00;34,00;6,00;9,00;4,00
2019-12-29;52,00;6,00;33,00;7,00;6,00;4,00
2020-01-05;42,00;8,00;30,00;7,00;6,00;5,00
2020-01-12;42,00;8,00;30,00;7,00;6,00;5,00
2020-01-19;42,00;6,00;28,00;7,00;5,00;3,00
2020-01-26;44,00;9,00;36,00;5,00;4,00;5,00
2020-02-02;37,00;5,00;28,00;5,00;4,00;3,00
2020-02-09;44,00;12,00;26,00;7,00;4,00;5,00
2020-02-16;40,00;6,00;25,00;7,00;6,00;4,00
2020-02-23;33,00;8,00;23,00;5,00;4,00;3,00
2020-03-01;37,00;6,00;25,00;5,00;2,00;4,00
2020-03-08;43,00;6,00;25,00;4,00;2,00;6,00
2020-03-15;35,00;5,00;17,00;3,00;1,00;4,00
2020-03-22;30,00;8,00;15,00;2,00;1,00;2,00
2020-03-29;30,00;8,00;13,00;6,00;1,00;3,00
2020-04-05;29,00;8,00;9,00;3,00;0,50;2,00
2020-04-12;32,00;6,00;13,00;3,00;1,00;2,00
2020-04-19;26,00;6,00;9,00;3,00;1,00;3,00
2020-04-26;30,00;7,00;11,00;2,00;2,00;2,00
2020-05-03;27,00;13,00;11,00;1,00;2,00;2,00
2020-05-10;27,00;9,00;8,00;2,00;1,00;3,00
2020-05-17;31,00;8,00;10,00;1,00;1,00;2,00
2020-05-24;25,00;7,00;9,00;2,00;1,00;2,00
2020-05-31;24,00;9,00;11,00;2,00;0,50;3,00
2020-06-07;29,00;8,00;10,00;3,00;1,00;2,00
2020-06-14;37,00;8,00;12,00;3,00;1,00;3,00
2020-06-21;35,00;9,00;9,00;4,00;1,00;3,00
2020-06-28;33,00;9,00;10,00;2,00;0,50;3,00
2020-07-05;34,00;8,00;10,00;2,00;1,00;2,00
2020-07-12;34,00;8,00;10,00;5,00;0,00;3,00
2020-07-19;37,00;10,00;7,00;4,00;1,00;2,00
2020-07-26;34,00;8,00;10,00;4,00;0,50;2,00
