Semaine;Nice (FR);Mallorca (ES);Benidorm (ES);reta (SI);Agadir (MA);Ibiza (ES);Djerba (TN);Lloret de Mar (ES);Corfu (GR);Santorini Island (GR);Marbella (ES);Faro (PT);Málaga (ES);Bodrum (TR);Mykonos (GR);Biarritz (FR);Ars en Ré (FR);Saint Malo (FR);Le Cap d Agde (FR);Cefalù (IT);Fréjus (FR);Amalfi (IT);Cannes (FR);Dubrovnik (HR);Antibes (FR);Le Touquet (BE);Torremolinos (ES);Le Barcarès (FR);Deauville (FR);Portofino (IT);Porto Vecchio (FR);Lacanau (FR);Palavas les Flots (FR);Sitges (ES);Argelès sur Mer (FR);Carnac (FR);Arcachon (FR);Le Grau du Roi (FR);Cap Ferret (FR);Biscarrosse (FR);La Baule Escoublac (FR);Saint Jean de Monts (FR);Plage de la Palmyre (FR)
2019-01-06;43,00;319,43;497,57;0,00;43,00;144,18;5,06;45,53;106,24;129,00;68,80;86,00;25,80;31,00;57,00;15,00;6,00;15,00;5,00;3,00;3,00;35,00;12,00;32,00;2,00;2,00;11,00;0,00;2,00;3,00;0,00;0,00;0,00;5,00;2,00;3,00;2,00;0,00;0,00;0,00;0,00;2,00;0,00
2019-01-13;38,00;291,33;481,33;0,00;31,67;121,60;0,00;27,87;98,80;128,78;63,33;97,11;25,33;25,00;40,00;4,00;7,00;6,00;1,00;3,00;6,00;31,00;9,00;28,00;1,00;1,00;6,00;0,00;1,00;3,00;1,00;1,00;0,00;7,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-20;50,00;250,00;437,50;0,00;37,50;100,00;2,50;20,00;92,50;152,17;58,70;84,78;26,09;23,00;39,00;7,00;4,00;9,00;3,00;3,00;1,00;28,00;4,00;25,00;0,00;4,00;1,00;0,00;1,00;3,00;0,00;1,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-27;43,00;258,00;393,14;0,00;43,00;113,82;2,53;27,82;78,41;120,40;62,35;81,70;34,40;24,00;43,00;1,00;6,00;4,00;3,00;0,00;1,00;24,00;13,00;34,00;4,00;0,00;7,00;0,00;0,00;4,00;1,00;0,00;0,00;1,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-03;45,00;250,71;353,57;0,00;25,71;85,00;2,50;20,00;87,50;117,86;53,57;83,57;34,29;18,00;35,00;7,00;0,00;9,00;3,00;3,00;1,00;26,00;9,00;27,00;6,00;3,00;6,00;0,00;3,00;4,00;1,00;0,00;1,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00
2019-02-10;64,00;256,00;396,80;0,00;32,00;76,80;0,00;12,80;74,24;81,07;53,33;59,73;38,40;11,00;21,00;8,00;6,00;12,00;3,00;6,00;3,00;38,00;8,00;26,00;8,00;5,00;6,00;0,00;0,00;3,00;2,00;3,00;0,00;2,00;0,00;0,00;2,00;0,00;0,00;0,00;2,00;2,00;0,00
2019-02-17;53,00;344,50;450,50;0,00;19,88;88,33;0,00;17,67;80,76;121,46;44,17;81,71;28,71;27,00;42,00;6,00;8,00;11,00;2,00;3,00;0,00;27,00;2,00;23,00;6,00;2,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00
2019-02-24;42,00;252,00;378,00;0,00;18,00;101,29;0,00;27,18;93,88;128,21;42,00;84,00;35,37;15,00;36,00;6,00;6,00;15,00;0,00;2,00;2,00;48,00;3,00;23,00;11,00;2,00;5,00;0,00;0,00;3,00;0,00;0,00;0,00;5,00;0,00;2,00;2,00;0,00;2,00;0,00;0,00;0,00;0,00
2019-03-03;50,00;281,25;425,00;0,00;18,75;77,50;2,50;15,00;105,00;117,39;43,48;100,00;26,09;18,00;31,00;7,00;6,00;10,00;6,00;7,00;3,00;49,00;15,00;21,00;4,00;3,00;6,00;0,00;0,00;3,00;0,00;1,00;0,00;6,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-10;58,00;283,56;386,67;0,00;32,22;100,87;2,52;17,65;73,13;98,81;51,56;94,52;47,26;22,00;40,00;0,00;7,00;6,00;1,00;1,00;1,00;34,00;15,00;39,00;6,00;0,00;6,00;0,00;0,00;0,00;1,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00
