Semaine;Chamonix (FR);Val Thorens (FR);Alpe d Huez (FR);Les Deux Alpes (FR);Ischgl (AT);Tignes (FR);Les Arcs (FR);Saalbach (AT);Les Ménuires (FR);Avoriaz (FR);La Plagne (FR);Sankt Anton (AT);Zermatt (CH);Flachau (AT);La Clusaz (FR);Verbier (CH);Zillertal (AT);Morzine (FR);Châtel (FR);St Moritz (DE);Les Gets (FR);Val Cenis (FR);Courchevel (FR);Mayrhofen (AT);Val Gardena (IT);Serre Chevalier (FR);Samoëns (FR);Valloire (FR);Méribel (FR);Val d Isère (FR);Megève (FR);Kitzbuhel (AT);Vars (FR);Garmisch (DE);Schladming (AT);Grand Bornand (FR);Brixental (AT);Sestriere (IT);Gstaad (CH);Font Romeu (FR);St Lary (FR);Barèges (FR);La Mongie (FR);Peyragudes (FR)
2019-01-06;79,00;30,00;58,00;44,00;16,00;71,00;30,00;33,00;11,00;19,00;11,00;63,00;36,00;19,00;14,00;16,00;3,00;119,70;8,38;23,94;23,94;0,00;16,00;8,00;8,00;5,00;11,00;0,00;44,00;33,00;8,00;8,00;0,00;0,00;5,00;3,00;0,00;16,00;3,00;0,00;3,00;0,00;0,00;0,00
2019-01-13;67,00;46,00;27,00;46,00;3,00;51,00;24,00;27,00;16,00;19,00;3,00;86,00;30,00;3,00;3,00;24,00;3,00;70,65;8,53;19,49;13,40;0,00;29,00;8,00;0,00;3,00;19,00;0,00;27,00;24,00;11,00;19,00;0,00;0,00;3,00;0,00;0,00;3,00;0,00;3,00;0,00;0,00;0,00;0,00
2019-01-20;75,00;27,00;45,00;37,00;5,00;53,00;27,00;11,00;5,00;8,00;19,00;27,00;13,00;0,00;11,00;27,00;0,00;68,95;8,47;10,89;24,19;0,00;43,00;11,00;5,00;21,00;13,00;0,00;11,00;13,00;11,00;3,00;0,00;0,00;0,00;3,00;0,00;5,00;3,00;0,00;3,00;0,00;0,00;0,00
2019-01-27;49,00;23,00;39,00;31,00;8,00;18,00;39,00;5,00;5,00;10,00;5,00;29,00;29,00;0,00;10,00;36,00;3,00;76,49;0,00;15,54;20,32;0,00;5,00;5,00;0,00;5,00;8,00;0,00;18,00;5,00;13,00;8,00;0,00;0,00;3,00;0,00;0,00;13,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-03;75,00;26,00;52,00;18,00;5,00;44,00;36,00;15,00;0,00;5,00;3,00;31,00;31,00;0,00;21,00;18,00;5,00;77,42;4,84;22,98;25,40;0,00;18,00;3,00;3,00;5,00;10,00;0,00;26,00;15,00;5,00;23,00;0,00;0,00;3,00;3,00;0,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-10;50,00;22,00;25,00;28,00;11,00;33,00;17,00;17,00;11,00;8,00;3,00;25,00;31,00;6,00;8,00;22,00;0,00;53,66;10,98;17,07;8,54;3,00;19,00;11,00;3,00;8,00;6,00;0,00;33,00;19,00;14,00;0,00;0,00;0,00;3,00;6,00;0,00;6,00;0,00;0,00;0,00;0,00;3,00;0,00
2019-02-17;72,00;22,00;33,00;14,00;3,00;25,00;19,00;8,00;3,00;14,00;5,00;16,00;36,00;0,00;5,00;36,00;0,00;63,46;2,44;10,98;17,08;0,00;5,00;0,00;0,00;0,00;8,00;0,00;30,00;27,00;11,00;11,00;0,00;5,00;5,00;0,00;0,00;19,00;0,00;3,00;0,00;0,00;0,00;0,00
2019-02-24;41,00;27,00;47,00;33,00;3,00;25,00;16,00;5,00;8,00;14,00;3,00;22,00;14,00;3,00;5,00;11,00;0,00;73,56;2,41;21,71;21,71;0,00;19,00;8,00;0,00;8,00;5,00;0,00;30,00;11,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-03;40,00;32,00;29,00;19,00;11,00;43,00;24,00;11,00;5,00;11,00;3,00;24,00;21,00;3,00;0,00;21,00;0,00;66,67;0,00;10,91;13,33;0,00;13,00;3,00;0,00;13,00;11,00;0,00;40,00;8,00;0,00;3,00;0,00;3,00;3,00;0,00;0,00;5,00;3,00;0,00;0,00;0,00;0,00;3,00
2019-03-10;49,00;22,00;25,00;25,00;0,00;24,00;19,00;3,00;11,00;8,00;8,00;16,00;19,00;3,00;3,00;11,00;5,00;34,66;2,39;19,12;16,73;0,00;11,00;5,00;3,00;5,00;5,00;0,00;16,00;8,00;3,00;5,00;0,00;0,00;0,00;0,00;0,00;3,00;0,00;3,00;0,00;0,00;0,00;0,00
2019-03-17;49,00;19,00;27,00;25,00;0,00;22,00;16,00;3,00;5,00;11,00;3,00;27,00;14,00;0,00;8,00;11,00;8,00;40,63;0,00;19,12;10,76;0,00;5,00;8,00;0,00;0,00;5,00;0,00;27,00;14,00;5,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-24;31,00;17,00;17,00;11,00;3,00;31,00;23,00;6,00;6,00;6,00;8,00;14,00;14,00;0,00;3,00;11,00;0,00;31,00;2,38;8,35;2,38;3,00;14,00;3,00;0,00;0,00;6,00;0,00;14,00;8,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;6,00;0,00;3,00;0,00;0,00;0,00;0,00
2019-03-31;22,00;19,00;11,00;6,00;3,00;36,00;22,00;0,00;8,00;11,00;8,00;8,00;28,00;0,00;6,00;6,00;0,00;11,00;2,44;11,00;2,44;0,00;11,00;8,00;0,00;3,00;3,00;0,00;14,00;8,00;0,00;8,00;0,00;0,00;6,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-07;38,00;11,00;11,00;16,00;3,00;14,00;14,00;3,00;0,00;3,00;5,00;8,00;22,00;0,00;0,00;11,00;5,00;29,69;2,38;19,00;8,31;0,00;5,00;5,00;0,00;0,00;0,00;0,00;22,00;8,00;0,00;3,00;0,00;0,00;3,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-14;20,00;6,00;9,00;6,00;0,00;26,00;3,00;3,00;0,00;3,00;0,00;3,00;12,00;0,00;3,00;12,00;0,00;14,12;0,00;14,12;8,24;0,00;6,00;3,00;0,00;6,00;0,00;0,00;15,00;3,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-21;31,00;14,00;8,00;8,00;0,00;14,00;8,00;0,00;0,00;0,00;0,00;8,00;11,00;0,00;3,00;11,00;0,00;11,16;0,00;11,16;2,48;0,00;0,00;0,00;0,00;0,00;3,00;0,00;3,00;6,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-28;11,00;13,00;0,00;0,00;3,00;5,00;0,00;3,00;3,00;0,00;8,00;5,00;13,00;0,00;0,00;8,00;0,00;8,56;2,44;8,56;4,89;0,00;5,00;0,00;0,00;5,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-05-05;16,00;8,00;5,00;3,00;3,00;8,00;3,00;3,00;0,00;0,00;3,00;0,00;3,00;0,00;0,00;3,00;3,00;13,54;2,46;13,54;2,46;0,00;0,00;0,00;0,00;3,00;3,00;0,00;3,00;0,00;3,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-05-12;19,00;3,00;8,00;6,00;0,00;6,00;6,00;0,00;3,00;0,00;0,00;17,00;11,00;3,00;0,00;0,00;0,00;5,94;2,38;8,31;2,38;0,00;0,00;0,00;0,00;0,00;8,00;0,00;6,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3,00;0,00
2019-05-19;33,00;6,00;8,00;6,00;0,00;0,00;0,00;3,00;3,00;6,00;0,00;6,00;0,00;0,00;6,00;3,00;0,00;13,44;0,00;11,00;6,11;0,00;3,00;0,00;0,00;6,00;3,00;0,00;11,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-05-26;11,00;3,00;0,00;3,00;3,00;11,00;5,00;5,00;3,00;3,00;0,00;3,00;19,00;0,00;0,00;0,00;3,00;11,00;0,00;18,33;11,00;0,00;11,00;0,00;0,00;0,00;0,00;0,00;5,00;8,00;0,00;0,00;0,00;3,00;5,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-06-02;23,00;5,00;5,00;8,00;5,00;8,00;10,00;0,00;0,00;0,00;0,00;5,00;10,00;0,00;0,00;0,00;0,00;13,32;0,00;7,26;10,89;0,00;5,00;3,00;0,00;3,00;3,00;0,00;13,00;5,00;3,00;3,00;0,00;3,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-06-09;21,00;3,00;11,00;0,00;0,00;11,00;3,00;8,00;3,00;3,00;3,00;5,00;11,00;0,00;0,00;11,00;3,00;4,94;0,00;21,00;4,94;0,00;0,00;5,00;0,00;5,00;3,00;0,00;8,00;0,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-06-16;33,00;0,00;8,00;5,00;3,00;14,00;0,00;0,00;0,00;8,00;5,00;8,00;3,00;3,00;3,00;5,00;3,00;19,56;0,00;13,44;8,56;0,00;0,00;3,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00
