Semaine;Nice (FR);Paris (FR);Amsterdam (NL);Barcelona (ES);Roma (IT);Lille (FR);Madrid (ES);Lisbon (PT);Prague (CZ);Berlin (DE);Milano (IT);stanbul (TR);Budapest (HU);Venezia (IT);Wien (AT);Strasbourg (FR);Athens (GR);Dublin (IE);Lyon (FR);Frankfurt am Main (DE);Marseille (FR);München (DE);Stockholm (SE);Copenhagen (DK);Bordeaux (FR);Genève (CH);Tours (FR);Hamburg (DE);Toulouse (FR);Montpellier (FR);Nantes (FR);Avignon (FR);Monaco (MC);Dijon (FR);Aix en Provence (FR)
2019-01-06;43,00;440,75;440,75;376,25;204,25;10,75;150,50;96,75;154,41;132,91;82,09;103,59;86,00;242,36;54,73;3,91;69,88;467,63;21,50;43,00;15,00;30,00;41,00;51,00;26,00;88,00;6,00;26,00;12,00;6,00;8,00;5,00;8,00;0,00;0,00
2019-01-13;38,00;401,71;396,29;374,57;215,33;12,67;164,67;88,67;124,00;126,00;100,00;136,00;101,33;274,44;50,67;4,22;86,86;521,14;10,86;43,43;24,00;46,00;34,00;53,00;21,00;55,00;7,00;40,00;16,00;6,00;9,00;1,00;18,00;6,00;0,00
2019-01-20;50,00;366,67;366,67;355,56;237,50;12,50;175,00;125,00;128,00;122,00;74,00;98,00;83,33;225,00;58,33;8,33;77,78;461,11;11,11;38,89;12,00;44,00;35,00;34,00;21,00;75,00;4,00;28,00;21,00;6,00;19,00;3,00;6,00;4,00;1,00
2019-01-27;43,00;333,25;349,38;360,13;172,00;21,50;129,00;107,50;132,91;113,36;82,09;82,09;94,60;219,30;47,30;4,30;75,25;478,38;5,38;32,25;17,00;32,00;19,00;19,00;20,00;77,00;3,00;30,00;14,00;4,00;13,00;7,00;17,00;0,00;0,00
2019-02-03;45,00;360,00;298,13;388,13;225,00;11,25;157,50;78,75;121,30;131,09;80,22;125,22;77,73;225,00;40,91;8,18;67,50;444,38;16,88;33,75;11,00;37,00;26,00;26,00;33,00;53,00;3,00;30,00;20,00;13,00;9,00;4,00;6,00;3,00;0,00
2019-02-10;64,00;330,67;314,67;368,00;256,00;21,33;170,67;85,33;116,36;110,55;71,76;120,24;106,67;251,73;55,47;4,27;48,00;389,33;21,33;32,00;12,00;34,00;40,00;28,00;29,00;73,00;8,00;32,00;9,00;5,00;6,00;0,00;18,00;6,00;0,00
2019-02-17;53,00;318,00;302,10;392,20;201,40;10,60;159,00;74,20;117,78;106,00;92,26;137,41;77,46;191,62;48,92;8,15;53,00;492,90;15,90;37,10;14,00;30,00;39,00;47,00;20,00;39,00;17,00;27,00;17,00;6,00;9,00;5,00;12,00;3,00;0,00
2019-02-24;42,00;299,25;315,00;367,50;199,50;10,50;147,00;115,50;104,00;118,00;78,00;122,00;75,60;222,60;54,60;0,00;73,50;409,50;15,75;21,00;11,00;32,00;36,00;30,00;27,00;51,00;8,00;26,00;12,00;8,00;6,00;11,00;9,00;2,00;0,00
2019-03-03;50,00;333,33;288,89;394,44;225,00;12,50;200,00;112,50;102,00;106,00;52,00;132,00;79,17;233,33;37,50;4,17;61,11;461,11;11,11;44,44;21,00;37,00;31,00;41,00;19,00;40,00;7,00;10,00;16,00;9,00;7,00;4,00;7,00;1,00;1,00
2019-03-10;58,00;363,82;263,64;353,27;220,40;11,60;162,40;104,40;125,67;131,47;75,40;121,80;78,71;211,29;45,57;16,57;63,27;427,09;15,82;36,91;12,00;41,00;24,00;45,00;17,00;66,00;12,00;26,00;18,00;9,00;10,00;4,00;14,00;0,00;2,00
2019-03-17;60,00;398,18;261,82;430,91;216,00;24,00;156,00;108,00;100,65;116,13;79,35;127,74;72,00;176,00;36,00;4,00;60,00;360,00;16,36;38,18;21,00;24,00;18,00;23,00;20,00;57,00;8,00;26,00;15,00;3,00;8,00;3,00;14,00;0,00;5,00
2019-03-24;45,00;331,88;298,13;427,50;168,75;11,25;157,50;90,00;109,57;95,87;66,52;111,52;73,64;220,91;53,18;8,18;90,00;382,50;11,25;50,63;19,00;39,00;31,00;53,00;23,00;45,00;12,00;20,00;15,00;9,00;3,00;2,00;12,00;5,00;3,00
2019-03-31;61,00;377,09;266,18;432,55;172,83;10,17;142,33;81,33;98,39;145,61;104,29;153,48;69,13;231,80;52,87;8,13;105,36;404,82;16,64;44,36;31,00;45,00;32,00;28,00;18,00;37,00;11,00;23,00;23,00;6,00;9,00;3,00;9,00;0,00;2,00
2019-04-07;51,00;402,33;311,67;521,33;173,40;10,20;153,00;91,80;98,08;107,88;76,50;162,81;85,00;267,75;55,25;12,75;73,67;436,33;11,33;39,67;17,00;30,00;27,00;36,00;29,00;44,00;18,00;33,00;9,00;8,00;9,00;5,00;9,00;2,00;6,00
