Semaine;Martinique (LC);Guadeloupe (GP);Saint Martin (ile d Amérique du nord) (MF);Republique Dominicaine (DO);Sainte Lucie (LC);Barbade (BB)
2019-01-06;5,00;11,00;11,00;84,00;65,00;250,00
2019-01-13;7,00;23,00;12,00;91,00;77,00;318,50
2019-01-20;0,00;18,00;9,00;85,00;64,00;86,00
2019-01-27;12,00;9,00;3,00;43,00;38,00;207,00
2019-02-03;7,00;3,00;3,00;55,00;33,00;224,00
2019-02-10;6,00;11,00;4,00;53,00;46,00;174,00
2019-02-17;7,00;11,00;7,00;51,00;44,00;262,50
2019-02-24;4,00;16,00;9,00;60,00;47,00;220,00
2019-03-03;4,00;11,00;9,00;52,00;39,00;216,00
2019-03-10;7,00;4,00;2,00;45,00;36,00;178,50
2019-03-17;4,00;4,00;5,00;44,00;18,00;244,00
2019-03-24;6,00;11,00;2,00;43,00;37,00;192,00
2019-03-31;4,00;7,00;6,00;57,00;17,00;236,00
2019-04-07;9,00;5,00;11,00;56,00;34,00;150,00
2019-04-14;4,00;2,00;10,00;37,00;23,00;168,00
2019-04-21;6,00;7,00;2,00;46,00;46,00;138,00
2019-04-28;4,00;7,00;0,00;36,00;41,00;180,00
2019-05-05;2,00;4,00;5,00;48,00;36,00;90,00
2019-05-12;0,00;9,00;4,00;66,00;22,00;44,00
2019-05-19;6,00;6,00;0,00;46,00;26,00;138,00
2019-05-26;7,00;2,00;2,00;50,00;26,00;150,50
2019-06-02;5,00;3,00;3,00;43,00;26,00;122,50
2019-06-09;2,00;9,00;7,00;70,00;44,00;84,00
2019-06-16;4,00;0,00;7,00;67,00;42,00;188,00
2019-06-23;9,00;4,00;4,00;74,00;20,00;126,00
2019-06-30;2,00;5,00;2,00;52,00;21,00;84,00
2019-07-07;0,00;5,00;4,00;54,00;52,00;37,00
2019-07-14;5,00;7,00;4,00;46,00;28,00;107,50
2019-07-21;15,00;2,00;0,00;59,00;44,00;157,50
2019-07-28;4,00;0,00;7,00;59,00;37,00;168,00
2019-08-04;4,00;9,00;9,00;61,00;34,00;168,00
2019-08-11;2,00;7,00;4,00;58,00;32,00;90,00
2019-08-18;7,00;2,00;2,00;33,00;33,00;157,50
2019-08-25;0,00;5,00;9,00;41,00;27,00;54,00
2019-09-01;3,00;5,00;7,00;58,00;37,00;156,00
2019-09-08;9,00;12,00;5,00;38,00;52,00;99,00
2019-09-15;5,00;12,00;7,00;77,00;33,00;92,50
2019-09-22;13,00;3,00;5,00;59,00;41,00;169,00
2019-09-29;3,00;3,00;2,00;55,00;40,00;138,00
2019-10-06;3,00;7,00;5,00;51,00;38,00;132,00
2019-10-13;7,00;8,00;3,00;56,00;36,00;178,50
2019-10-20;8,00;8,00;7,00;39,00;29,00;204,00
2019-10-27;0,00;2,00;0,00;51,00;28,00;52,00
2019-11-03;8,00;10,00;10,00;40,00;43,00;172,00
2019-11-10;11,00;6,00;6,00;56,00;34,00;165,00
2019-11-17;8,00;5,00;5,00;39,00;23,00;188,00
2019-11-24;9,00;5,00;3,00;45,00;28,00;111,00
2019-12-01;5,00;0,00;6,00;40,00;29,00;200,00
2019-12-08;7,00;13,00;3,00;44,00;34,00;136,50
2019-12-15;5,00;8,00;0,00;41,00;34,00;185,00
2019-12-22;4,00;4,00;7,00;51,00;40,00;264,00
2019-12-29;10,00;13,00;10,00;100,00;72,00;253,33
2020-01-05;8,00;23,00;6,00;82,00;52,00;380,00
2020-01-12;11,00;9,00;9,00;85,00;54,00;286,00
2020-01-19;8,00;10,00;6,00;78,00;54,00;296,00
2020-01-26;6,00;8,00;3,00;51,00;64,00;186,00
2020-02-02;8,00;17,00;9,00;48,00;50,00;212,00
2020-02-09;5,00;14,00;17,00;49,00;40,00;265,00
2020-02-16;8,00;14,00;16,00;56,00;39,00;224,00
2020-02-23;13,00;16,00;6,00;46,00;36,00;182,00
2020-03-01;10,00;16,00;7,00;50,00;33,00;136,67
2020-03-08;3,00;10,00;10,00;55,00;43,00;174,00
2020-03-15;7,00;10,00;4,00;62,00;48,00;143,50
2020-03-22;6,00;3,00;1,00;17,00;22,00;87,00
2020-03-29;3,00;7,00;0,00;32,00;18,00;60,00
2020-04-05;3,00;11,00;7,00;24,00;14,00;87,00
2020-04-12;1,00;7,00;3,00;11,00;18,00;48,00
2020-04-19;3,00;7,00;4,00;25,00;22,00;57,00
2020-04-26;1,00;3,00;4,00;24,00;16,00;40,00
2020-05-03;6,00;5,00;4,00;22,00;14,00;66,00
2020-05-10;1,00;7,00;9,00;18,00;19,00;40,00
2020-05-17;5,00;14,00;1,00;34,00;22,00;55,00
2020-05-24;3,00;3,00;4,00;23,00;13,00;72,00
2020-05-31;5,00;8,00;5,00;33,00;20,00;55,00
2020-06-07;5,00;4,00;5,00;21,00;19,00;57,50
2020-06-14;5,00;5,00;1,00;23,00;15,00;62,50
2020-06-21;4,00;7,00;6,00;31,00;8,00;120,00
2020-06-28;5,00;7,00;4,00;19,00;22,00;70,00
2020-07-05;6,00;3,00;4,00;30,00;21,00;99,00
2020-07-12;0,00;5,00;3,00;19,00;15,00;31,00
2020-07-19;5,00;6,00;3,00;42,00;23,00;160,00
2020-07-26;6,00;8,00;8,00;22,00;17,00;114,00
2020-08-02;2,00;8,00;6,00;23,00;15,00;152,00
2020-08-09;14,00;11,00;3,00;43,00;18,00;112,00
2020-08-16;5,00;9,00;4,00;30,00;20,00;160,00
2020-08-23;8,00;8,00;2,00;35,00;23,00;128,00
2020-08-30;3,00;3,00;6,00;19,00;25,00;114,00
2020-09-06;5,00;11,00;5,00;34,00;17,00;165,00
2020-09-13;5,00;8,00;3,00;29,00;29,00;200,00
2020-09-20;3,00;9,00;2,00;23,00;24,00;84,00
2020-09-27;3,00;6,00;0,00;21,00;32,00;99,00
2020-10-04;3,00;3,00;0,00;46,00;35,00;84,00
2020-10-11;3,00;5,00;3,00;32,00;22,00;81,00
2020-10-18;5,00;5,00;2,00;40,00;40,00;150,00
2020-10-25;5,00;5,00;3,00;32,00;52,00;150,00
2020-11-01;5,00;5,00;4,00;17,00;5,00;125,00
2020-11-08;6,00;3,00;6,00;21,00;23,00;96,00
2020-11-15;5,00;2,00;2,00;20,00;24,00;150,00
2020-11-22;2,00;3,00;3,00;27,00;41,00;164,00
2020-11-29;5,00;6,00;2,00;28,00;28,00;180,00
2020-12-06;6,00;6,00;3,00;30,00;27,00;96,00
2020-12-13;8,00;5,00;2,00;24,00;23,00;156,00
2020-12-20;7,00;9,00;4,00;26,00;51,00;143,50
2020-12-27;2,00;6,00;5,00;24,00;43,00;196,00
2021-01-03;2,00;15,00;3,00;20,00;32,00;160,00
2021-01-10;6,00;8,00;2,00;21,00;26,00;114,00
2021-01-17;3,00;9,00;3,00;27,00;21,00;81,00
2021-01-24;8,00;15,00;8,00;20,00;15,00;124,00
2021-01-31;3,00;20,00;5,00;23,00;12,00;129,00
2021-02-07;2,00;17,00;0,00;20,00;37,00;112,00
2021-02-14;5,00;8,00;2,00;21,00;24,00;155,00
2021-02-21;6,00;8,00;3,00;20,00;21,00;102,00
2021-02-28;2,00;5,00;8,00;29,00;14,00;80,00
2021-03-07;5,00;10,00;5,00;26,00;19,00;140,00
2021-03-14;2,00;11,00;2,00;26,00;18,00;88,00
2021-03-21;3,00;11,00;3,00;16,00;11,00;93,00
2021-03-28;0,00;0,00;0,00;19,00;14,00;31,00
2021-04-04;7,00;3,00;0,00;23,00;12,00;126,00
2021-04-11;9,00;2,00;5,00;20,00;26,00;90,00
2021-04-18;0,00;2,00;2,00;24,00;16,00;25,00
2021-04-25;2,00;5,00;2,00;15,00;20,00;120,00
2021-05-02;2,00;3,00;2,00;27,00;21,00;120,00
2021-05-09;7,00;3,00;5,00;26,00;21,00;77,00
2021-05-16;3,00;3,00;0,00;29,00;15,00;75,00
2021-05-23;2,00;3,00;5,00;26,00;7,00;48,00
2021-05-30;9,00;5,00;2,00;18,00;31,00;78,00
2021-06-06;5,00;10,00;2,00;17,00;12,00;60,00
2021-06-13;0,00;2,00;0,00;17,00;12,00;17,00
2021-06-20;2,00;7,00;2,00;41,00;17,00;114,00
2021-06-27;0,00;2,00;8,00;20,00;12,00;43,00
2021-07-04;2,00;7,00;3,00;25,00;28,00;140,00
2021-07-11;7,00;5,00;5,00;33,00;14,00;129,50
2021-07-18;4,00;5,00;2,00;30,00;30,00;176,00
2021-07-25;3,00;2,00;0,00;40,00;34,00;132,00
2021-08-01;3,00;10,00;5,00;40,00;42,00;171,00
2021-08-08;4,00;5,00;0,00;28,00;35,00;220,00
2021-08-15;3,00;7,00;2,00;23,00;24,00;189,00
2021-08-22;2,00;8,00;4,00;22,00;47,00;118,00
2021-08-29;0,00;2,00;6,00;35,00;26,00;52,00
2021-09-05;2,00;2,00;7,00;24,00;28,00;106,00
2021-09-12;7,00;4,00;2,00;37,00;26,00;157,50
2021-09-19;5,00;4,00;5,00;23,00;41,00;130,00
2021-09-26;0,00;4,00;4,00;21,00;43,00;46,00
2021-10-03;0,00;6,00;4,00;37,00;30,00;60,00
2021-10-10;8,00;3,00;3,00;21,00;39,00;240,00
2021-10-17;3,00;6,00;0,00;30,00;28,00;192,00
2021-10-24;5,00;3,00;3,00;28,00;33,00;305,00
2021-10-31;4,00;6,00;1,00;40,00;41,00;244,00
2021-11-07;1,00;4,00;4,00;41,00;24,00;118,00
