Semaine;Polynesie (PF);Nouvelle Caledonie (NC);Fidji (FJ);Vanuatu (VU);Iles Cook (CK)
2019-01-06;14,00;4,00;53,00;6,00;4,00
2019-01-13;4,00;4,00;38,00;2,00;2,00
2019-01-20;12,00;0,00;30,00;2,00;4,00
2019-01-27;19,00;0,00;33,00;4,00;8,00
2019-02-03;8,00;2,00;31,00;2,00;15,00
2019-02-10;19,00;0,00;33,00;2,00;8,00
2019-02-17;8,00;4,00;26,00;0,00;4,00
2019-02-24;12,00;0,00;26,00;2,00;2,00
2019-03-03;10,00;2,00;34,00;0,00;22,00
2019-03-10;10,00;0,00;40,00;0,00;6,00
2019-03-17;6,00;0,00;43,00;4,00;0,00
2019-03-24;13,00;0,00;27,00;2,00;4,00
2019-03-31;14,00;6,00;37,00;4,00;4,00
2019-04-07;18,00;4,00;35,00;4,00;0,00
2019-04-14;4,00;0,00;43,00;2,00;2,00
2019-04-21;12,00;4,00;29,00;4,00;2,00
2019-04-28;18,00;0,00;32,00;0,00;4,00
2019-05-05;22,00;2,00;48,00;0,00;4,00
2019-05-12;19,00;0,00;31,00;4,00;0,00
2019-05-19;20,00;4,00;33,00;2,00;4,00
2019-05-26;18,00;6,00;49,00;2,00;2,00
2019-06-02;13,00;0,00;40,00;2,00;4,00
2019-06-09;14,00;6,00;49,00;4,00;2,00
2019-06-16;2,00;0,00;43,00;8,00;0,00
2019-06-23;22,00;0,00;43,00;2,00;0,00
2019-06-30;16,00;0,00;38,00;2,00;4,00
2019-07-07;12,00;0,00;42,00;0,00;0,00
2019-07-14;14,00;0,00;40,00;0,00;6,00
2019-07-21;17,00;2,00;39,00;2,00;4,00
2019-07-28;10,00;6,00;41,00;2,00;6,00
2019-08-04;8,00;0,00;44,00;2,00;0,00
2019-08-11;22,00;6,00;51,00;2,00;2,00
2019-08-18;12,00;0,00;28,00;2,00;4,00
2019-08-25;14,00;2,00;48,00;2,00;4,00
2019-09-01;10,00;0,00;51,00;4,00;4,00
2019-09-08;10,00;2,00;39,00;0,00;4,00
2019-09-15;2,00;2,00;88,00;4,00;2,00
2019-09-22;13,00;7,00;60,00;0,00;4,00
2019-09-29;15,00;4,00;60,00;4,00;4,00
2019-10-06;28,00;2,00;100,00;6,00;11,00
2019-10-13;13,00;4,00;44,00;6,00;2,00
2019-10-20;15,00;2,00;42,00;0,00;5,00
2019-10-27;13,00;2,00;41,00;2,00;2,00
2019-11-03;16,00;2,00;43,00;0,00;9,00
2019-11-10;9,00;2,00;32,00;0,00;2,00
2019-11-17;13,00;2,00;51,00;2,00;2,00
2019-11-24;7,00;2,00;29,00;3,00;7,00
2019-12-01;9,00;5,00;32,00;0,00;2,00
2019-12-08;15,00;2,00;33,00;2,00;0,00
2019-12-15;11,00;4,00;21,00;0,00;2,00
2019-12-22;21,00;4,00;55,00;2,00;10,00
2019-12-29;19,00;2,00;52,00;2,00;6,00
2020-01-05;5,00;0,00;47,00;2,00;7,00
2020-01-12;15,00;2,00;58,00;5,00;5,00
2020-01-19;5,00;2,00;48,00;2,00;2,00
2020-01-26;16,00;5,00;52,00;2,00;7,00
2020-02-02;9,00;2,00;52,00;0,00;0,00
2020-02-09;17,00;0,00;22,00;2,00;2,00
2020-02-16;10,00;2,00;47,00;2,00;2,00
2020-02-23;13,00;3,00;40,00;3,00;8,00
2020-03-01;15,00;7,00;43,00;7,00;5,00
2020-03-08;14,00;2,00;27,00;2,00;3,00
2020-03-15;11,00;3,00;29,00;3,00;2,00
2020-03-22;20,00;3,00;28,00;6,00;2,00
2020-03-29;11,00;3,00;36,00;9,00;2,00
2020-04-05;14,00;3,00;20,00;5,00;2,00
2020-04-12;14,00;5,00;30,00;2,00;2,00
2020-04-19;18,00;3,00;35,00;3,00;5,00
2020-04-26;23,00;1,00;35,00;0,00;8,00
2020-05-03;6,00;2,00;28,00;0,00;3,00
2020-05-10;11,00;2,00;18,00;2,00;0,00
2020-05-17;17,00;0,00;31,00;0,00;3,00
2020-05-24;7,00;3,00;29,00;5,00;7,00
2020-05-31;13,00;3,00;28,00;1,00;1,00
2020-06-07;15,00;1,00;32,00;1,00;3,00
2020-06-14;17,00;3,00;18,00;2,00;0,00
2020-06-21;22,00;3,00;20,00;2,00;2,00
2020-06-28;6,00;3,00;45,00;3,00;2,00
2020-07-05;14,00;2,00;29,00;0,00;2,00
2020-07-12;22,00;0,00;17,00;3,00;2,00
2020-07-19;10,00;3,00;29,00;2,00;8,00
2020-07-26;14,00;2,00;38,00;0,00;3,00
2020-08-02;22,00;2,00;26,00;2,00;7,00
2020-08-09;10,00;5,00;39,00;2,00;3,00
2020-08-16;19,00;3,00;37,00;3,00;3,00
2020-08-23;7,00;3,00;30,00;2,00;5,00
2020-08-30;9,00;2,00;38,00;0,00;2,00
2020-09-06;17,00;2,00;31,00;2,00;2,00
2020-09-13;17,00;2,00;31,00;2,00;0,00
2020-09-20;10,00;2,00;34,00;7,00;2,00
2020-09-27;5,00;0,00;29,00;0,00;2,00
2020-10-04;22,00;0,00;34,00;2,00;2,00
2020-10-11;9,00;0,00;32,00;2,00;2,00
2020-10-18;2,00;9,00;30,00;2,00;4,00
2020-10-25;9,00;2,00;21,00;0,00;2,00
2020-11-01;13,00;5,00;30,00;3,00;3,00
2020-11-08;10,00;2,00;20,00;0,00;0,00
2020-11-15;14,00;7,00;39,00;5,00;7,00
2020-11-22;7,00;2,00;25,00;0,00;0,00
2020-11-29;19,00;3,00;24,00;0,00;2,00
2020-12-06;2,00;0,00;30,00;0,00;0,00
2020-12-13;7,00;2,00;24,00;2,00;9,00
2020-12-20;16,00;2,00;28,00;4,00;4,00
2020-12-27;5,00;2,00;41,00;5,00;7,00
2021-01-03;12,00;3,00;34,00;5,00;2,00
2021-01-10;8,00;0,00;20,00;5,00;2,00
2021-01-17;24,00;3,00;39,00;2,00;3,00
2021-01-24;12,00;0,00;15,00;0,00;3,00
2021-01-31;15,00;3,00;17,00;2,00;2,00
2021-02-07;7,00;0,00;26,00;2,00;2,00
2021-02-14;9,00;2,00;19,00;0,00;2,00
2021-02-21;10,00;2,00;24,00;2,00;0,00
2021-02-28;12,00;0,00;16,00;5,00;7,00
2021-03-07;13,00;2,00;34,00;0,00;0,00
2021-03-14;14,00;0,00;21,00;0,00;0,00
2021-03-21;9,00;4,00;33,00;0,00;0,00
2021-03-28;12,00;0,00;31,00;2,00;8,00
2021-04-04;18,00;0,00;15,00;4,00;0,00
2021-04-11;4,00;0,00;21,00;6,00;2,00
2021-04-18;6,00;0,00;19,00;0,00;0,00
2021-04-25;6,00;0,00;11,00;0,00;0,00
2021-05-02;13,00;0,00;29,00;0,00;2,00
2021-05-09;6,00;2,00;18,00;2,00;2,00
2021-05-16;4,00;0,00;20,00;0,00;2,00
2021-05-23;11,00;2,00;15,00;2,00;0,00
2021-05-30;6,00;0,00;12,00;0,00;2,00
2021-06-06;10,00;0,00;10,00;4,00;0,00
2021-06-13;9,00;0,00;17,00;0,00;2,00
2021-06-20;4,00;2,00;13,00;2,00;0,00
2021-06-27;11,00;4,00;20,00;0,00;0,00
2021-07-04;4,00;6,00;13,00;0,00;0,00
2021-07-11;12,00;2,00;29,00;0,00;0,00
2021-07-18;6,00;0,00;30,00;0,00;6,00
2021-07-25;19,00;0,00;66,00;0,00;2,00
2021-08-01;6,00;0,00;25,00;2,00;2,00
2021-08-08;12,00;0,00;14,00;0,00;0,00
2021-08-15;16,00;4,00;14,00;4,00;0,00
2021-08-22;9,00;7,00;24,00;0,00;0,00
2021-08-29;14,00;2,00;31,00;0,00;6,00
2021-09-05;10,00;2,00;10,00;0,00;0,00
