Semaine;Nice (FR);Mallorca (ES);Benidorm (ES);reta (SI);Agadir (MA);Ibiza (ES);Djerba (TN);Lloret de Mar (ES);Corfu (GR);Santorini Island (GR);Marbella (ES);Faro (PT);Málaga (ES);Bodrum (TR);Mykonos (GR);Biarritz (FR);Ars en Ré (FR);Saint Malo (FR);Le Cap d Agde (FR);Fréjus (FR);Cannes (FR);Dubrovnik (HR);Antibes (FR);Le Touquet (BE);Torremolinos (ES);Le Barcarès (FR);Deauville (FR);Porto Vecchio (FR);Lacanau (FR);Palavas les Flots (FR);Sitges (ES);Argelès sur Mer (FR);Carnac (FR);Arcachon (FR);Le Grau du Roi (FR);Cap Ferret (FR);Biscarrosse (FR);La Baule Escoublac (FR);Saint Jean de Monts (FR);Plage de la Palmyre (FR)
2019-01-06;33,00;111,00;9,00;0,00;3,00;78,38;4,13;12,38;61,88;69,30;6,60;6,60;9,90;5,21;38,21;5,21;0,00;8,00;5,00;0,00;0,00;8,00;8,00;0,00;0,00;0,00;0,00;10,00;0,00;0,00;0,00;3,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-13;35,00;85,91;9,55;0,00;3,18;97,22;11,67;7,78;89,44;108,50;3,50;3,50;7,00;0,00;66,50;5,25;1,75;0,00;7,00;0,00;5,00;10,00;7,00;0,00;2,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-20;33,00;96,00;9,00;0,00;3,00;90,75;16,50;12,38;66,00;102,30;0,00;3,30;6,60;0,00;53,84;1,74;0,00;0,00;2,00;0,00;2,00;9,00;7,00;0,00;0,00;0,00;2,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-27;24,00;109,71;3,43;0,00;10,29;48,00;12,00;12,00;64,00;130,29;3,43;3,43;3,43;0,00;59,08;1,85;0,00;0,00;9,00;2,00;7,00;12,00;7,00;0,00;0,00;0,00;0,00;12,00;0,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-03;10,00;106,67;16,67;0,00;6,67;85,00;20,00;25,00;75,00;86,67;0,00;10,00;3,33;1,67;21,67;1,67;1,67;2,00;15,00;0,00;2,00;12,00;2,00;0,00;0,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-10;25,00;115,63;6,25;0,00;3,13;79,17;8,33;12,50;50,00;100,00;7,14;14,29;3,57;7,14;32,14;1,79;0,00;0,00;10,00;0,00;5,00;10,00;2,00;0,00;3,00;0,00;0,00;12,00;0,00;0,00;3,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-17;28,00;124,44;0,00;0,00;0,00;64,00;16,00;8,00;96,00;147,00;7,00;17,50;7,00;5,25;68,25;7,00;0,00;3,00;8,00;0,00;3,00;20,00;5,00;0,00;0,00;0,00;3,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-24;17,00;104,83;5,67;0,00;5,67;119,00;17,00;8,50;93,50;108,80;3,40;13,60;3,40;1,70;39,10;1,70;1,70;0,00;5,00;3,00;7,00;7,00;10,00;0,00;0,00;0,00;0,00;15,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-03;24,00;133,71;34,29;0,00;3,43;72,00;12,00;32,00;80,00;123,43;6,86;27,43;13,71;5,54;51,69;5,54;0,00;5,00;5,00;8,00;13,00;21,00;8,00;0,00;3,00;0,00;0,00;8,00;3,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-10;25,00;128,13;15,63;0,00;0,00;87,50;4,17;25,00;108,33;100,00;10,71;7,14;7,14;1,79;69,64;0,00;0,00;3,00;5,00;10,00;3,00;18,00;3,00;0,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-17;23,00;147,86;23,00;0,00;6,57;80,50;7,67;15,33;76,67;111,71;3,29;16,43;0,00;5,31;53,08;1,77;1,77;3,00;8,00;0,00;3,00;16,00;5,00;0,00;0,00;0,00;0,00;8,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-24;13,00;162,50;22,75;0,00;6,50;121,33;21,67;60,67;86,67;110,50;9,75;9,75;9,75;1,86;92,86;11,14;1,86;0,00;18,00;3,00;10,00;23,00;10,00;0,00;0,00;0,00;0,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-31;48,00;131,20;6,40;0,00;6,40;112,00;32,00;24,00;96,00;123,43;20,57;3,43;13,71;0,00;71,11;10,67;0,00;3,00;5,00;0,00;8,00;13,00;20,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-07;42,00;151,85;19,38;0,00;3,23;113,40;25,20;33,60;105,00;143,50;7,00;10,50;3,50;17,50;57,75;0,00;0,00;2,00;0,00;5,00;5,00;24,00;15,00;0,00;0,00;0,00;0,00;7,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-14;69,00;131,73;21,95;0,00;3,14;138,00;24,35;20,29;97,41;124,20;6,90;6,90;0,00;15,92;72,54;7,08;1,77;3,00;5,00;0,00;26,00;10,00;13,00;0,00;3,00;0,00;3,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-21;81,00;115,27;18,69;0,00;6,23;117,45;16,20;28,35;105,30;135,00;3,38;10,13;10,13;3,52;70,43;0,00;3,52;0,00;11,00;3,00;21,00;40,00;29,00;0,00;0,00;0,00;0,00;11,00;0,00;3,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-28;53,00;159,00;0,00;0,00;3,12;138,62;12,23;28,54;106,00;149,06;3,31;3,31;6,63;10,60;67,13;0,00;0,00;3,00;5,00;8,00;3,00;35,00;13,00;0,00;0,00;0,00;0,00;15,00;0,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-05-05;43,00;153,57;6,14;0,00;0,00;136,82;15,64;19,55;101,64;165,38;3,31;13,23;19,85;7,17;80,63;0,00;1,79;0,00;2,00;0,00;14,00;19,00;10,00;0,00;0,00;0,00;0,00;12,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-05-12;43,00;150,50;24,57;0,00;3,07;132,91;15,64;11,73;109,45;132,31;3,31;6,62;13,23;5,38;46,58;0,00;0,00;0,00;12,00;2,00;2,00;7,00;19,00;2,00;0,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-05-19;57,00;167,83;6,33;0,00;0,00;114,00;20,36;32,57;89,57;181,06;6,71;13,41;3,35;7,13;62,34;1,78;5,34;0,00;5,00;2,00;12,00;33,00;12,00;0,00;2,00;0,00;0,00;19,00;0,00;0,00;5,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-05-26;49,00;156,80;6,53;0,00;3,27;142,92;28,58;20,42;106,17;164,50;7,00;14,00;14,00;7,00;66,50;1,75;1,75;5,00;2,00;0,00;7,00;16,00;12,00;0,00;0,00;0,00;0,00;9,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-06-02;63,00;198,45;9,45;0,00;6,30;226,80;25,20;29,40;163,80;169,11;3,32;3,32;0,00;7,00;122,50;5,25;0,00;0,00;10,00;3,00;23,00;28,00;15,00;0,00;3,00;0,00;0,00;8,00;0,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-06-09;62,00;192,20;3,10;0,00;6,20;194,27;28,93;24,80;165,33;192,89;10,33;13,78;13,78;10,63;79,71;1,77;1,77;8,00;23,00;3,00;15,00;43,00;15,00;0,00;0,00;0,00;0,00;12,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-06-16;60,00;243,16;15,79;0,00;12,63;188,00;28,00;8,00;176,00;256,67;3,33;13,33;13,33;1,76;155,29;1,76;0,00;0,00;10,00;3,00;10,00;18,00;20,00;0,00;0,00;0,00;0,00;27,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-06-23;60,00;221,05;12,63;0,00;6,32;232,00;24,00;20,00;144,00;206,67;3,33;3,33;6,67;7,06;128,82;1,76;0,00;0,00;13,00;5,00;20,00;35,00;25,00;0,00;0,00;3,00;0,00;15,00;0,00;0,00;0,00;0,00;0,00;3,00;0,00;3,00;0,00;0,00;0,00;0,00
2019-06-30;92,00;253,79;6,34;0,00;3,17;196,00;32,00;28,00;180,00;252,15;6,81;10,22;6,81;23,00;123,85;1,77;5,31;0,00;5,00;3,00;28,00;31,00;18,00;0,00;0,00;0,00;3,00;15,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-07-07;54,00;254,12;15,88;0,00;9,53;253,38;37,38;20,77;216,00;286,88;10,13;3,38;3,38;12,19;127,16;0,00;1,74;2,00;12,00;2,00;17,00;32,00;17,00;2,00;0,00;0,00;7,00;29,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-07-14;73,00;244,39;9,52;0,00;6,35;243,33;32,44;52,72;210,89;232,27;9,95;3,32;6,64;10,43;119,93;12,17;1,74;3,00;10,00;3,00;18,00;46,00;38,00;0,00;0,00;0,00;0,00;23,00;0,00;0,00;0,00;3,00;3,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-07-21;85,00;267,59;12,59;0,00;15,74;275,24;44,52;52,62;190,24;282,20;13,60;13,60;13,60;31,88;171,77;1,77;5,31;0,00;18,00;16,00;23,00;41,00;21,00;0,00;0,00;0,00;0,00;23,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-07-28;52,00;269,75;29,25;0,00;9,75;252,00;52,00;60,00;216,00;346,67;17,33;6,93;10,40;7,17;152,41;1,79;7,17;0,00;10,00;3,00;23,00;47,00;28,00;0,00;3,00;0,00;0,00;23,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
