Semaine;Chamonix (FR);Val Thorens (FR);Alpe d Huez (FR);Les Deux Alpes (FR);Ischgl (AT);Tignes (FR);Les Arcs (FR);Saalbach (AT);Les Ménuires (FR);Avoriaz (FR);La Plagne (FR);Sankt Anton (AT);Zermatt (CH);Flachau (AT);La Clusaz (FR);Verbier (CH);Zillertal (AT);Morzine (FR);Châtel (FR);St Moritz (DE);Les Gets (FR);Val Cenis (FR);Courchevel (FR);Mayrhofen (AT);Serre Chevalier (FR);Samoëns (FR);Valloire (FR);Méribel (FR);Val d Isère (FR);Megève (FR);Kitzbuhel (AT);Vars (FR);Garmisch (DE);Schladming (AT);Grand Bornand (FR);Brixental (AT);Gstaad (CH);Font Romeu (FR);St Lary (FR);Barèges (FR);La Mongie (FR);Peyragudes (FR)
2019-01-06;51,00;13,00;0,00;6,00;13,00;0,00;0,00;19,00;0,00;0,00;0,00;32,45;18,55;38,00;0,00;13,00;6,00;0,00;0,00;89,25;0,00;0,00;6,00;6,00;6,00;0,00;0,00;0,00;0,00;13,00;6,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-13;43,00;6,00;19,00;0,00;12,00;6,00;0,00;12,00;0,00;0,00;0,00;6,79;31,68;0,00;0,00;19,00;6,00;0,00;0,00;68,80;0,00;0,00;0,00;0,00;12,00;0,00;0,00;0,00;0,00;0,00;19,00;6,00;0,00;0,00;0,00;0,00;12,00;0,00;0,00;0,00;0,00;0,00
2019-01-20;47,00;0,00;6,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;6,71;22,38;6,00;0,00;0,00;6,00;0,00;0,00;76,91;0,00;0,00;6,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;12,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-27;41,00;18,00;0,00;24,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;6,83;29,61;6,00;6,00;0,00;6,00;6,47;0,00;43,16;6,47;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;12,00;0,00;0,00;6,00;12,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00
2019-02-03;31,00;6,00;0,00;0,00;19,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;17,71;0,00;6,00;12,00;0,00;0,00;0,00;64,21;0,00;0,00;6,00;0,00;12,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;6,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-10;31,00;0,00;0,00;31,00;12,00;6,00;0,00;0,00;0,00;0,00;0,00;13,29;6,64;0,00;6,00;6,00;13,00;0,00;0,00;55,80;0,00;0,00;6,00;13,00;13,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00
2019-02-17;13,00;0,00;6,00;6,00;0,00;0,00;0,00;0,00;0,00;6,50;0,00;0,00;17,33;0,00;0,00;0,00;0,00;0,00;0,00;58,50;0,00;0,00;6,00;0,00;0,00;6,00;6,00;0,00;0,00;0,00;6,00;6,00;0,00;13,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-24;19,00;0,00;12,00;12,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;7,13;26,13;0,00;0,00;6,00;6,00;6,33;0,00;54,89;0,00;0,00;6,00;0,00;12,00;0,00;0,00;0,00;13,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-03;26,00;7,00;0,00;0,00;13,00;0,00;0,00;13,00;0,00;0,00;0,00;6,50;26,00;0,00;0,00;0,00;7,00;6,50;0,00;41,17;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;7,00;0,00;0,00;0,00;7,00;0,00;0,00;0,00;7,00;13,00;0,00;0,00;0,00;0,00
2019-03-10;25,00;0,00;0,00;0,00;0,00;0,00;0,00;13,00;0,00;0,00;0,00;6,82;18,18;0,00;6,00;6,00;0,00;0,00;0,00;68,75;0,00;0,00;0,00;0,00;13,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-17;13,00;0,00;13,00;0,00;26,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;6,50;0,00;7,00;13,00;0,00;0,00;0,00;60,67;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-24;13,00;6,00;6,00;6,00;6,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;19,50;0,00;0,00;0,00;0,00;0,00;0,00;58,50;6,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;6,00;0,00
2019-03-31;25,00;6,00;13,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;6,82;31,82;0,00;0,00;6,00;0,00;0,00;0,00;43,75;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;6,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-07;55,00;12,00;0,00;0,00;0,00;6,00;0,00;6,00;0,00;0,00;0,00;0,00;18,33;0,00;0,00;0,00;0,00;6,35;0,00;35,96;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-14;6,00;6,00;6,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;12,00;0,00;0,00;0,00;13,00;0,00;0,00;24,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;6,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-21;27,00;0,00;0,00;13,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;13,50;7,00;0,00;0,00;0,00;0,00;0,00;6,23;0,00;0,00;7,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;7,00;0,00;0,00;7,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00
2019-04-28;6,00;0,00;6,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;6,00;6,00;0,00;0,00;6,00;0,00;0,00;0,00;30,00;0,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-05-05;24,00;0,00;0,00;6,00;0,00;12,00;0,00;0,00;0,00;0,00;0,00;0,00;24,00;0,00;0,00;0,00;6,00;6,55;0,00;74,18;0,00;0,00;0,00;0,00;0,00;6,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00
2019-05-12;6,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;6,00;12,00;0,00;6,00;6,00;12,00;0,00;16,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-05-19;0,00;0,00;12,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3,00;8,00;0,00;6,00;0,00;0,00;0,00;0,00;14,00;0,00;0,00;0,00;0,00;0,00;6,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00
2019-05-26;29,00;0,00;6,00;12,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;11,15;0,00;0,00;0,00;0,00;0,00;0,00;45,57;0,00;0,00;6,00;6,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00
2019-06-02;38,00;0,00;6,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;6,71;13,41;0,00;0,00;0,00;0,00;0,00;0,00;50,67;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-06-09;19,00;0,00;6,00;6,00;0,00;0,00;0,00;0,00;0,00;7,13;0,00;0,00;7,13;0,00;6,00;6,00;0,00;6,33;0,00;38,00;6,33;0,00;13,00;0,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-06-16;38,00;0,00;0,00;25,00;12,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;17,88;6,00;0,00;0,00;0,00;0,00;0,00;31,67;0,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;6,00;0,00;13,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-06-23;13,00;0,00;0,00;25,00;0,00;0,00;0,00;0,00;0,00;6,50;0,00;13,00;6,50;0,00;0,00;13,00;0,00;6,50;0,00;26,00;0,00;0,00;13,00;6,00;0,00;0,00;6,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-06-30;19,00;0,00;0,00;32,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;40,38;26,13;6,00;6,00;6,00;0,00;0,00;0,00;38,00;0,00;0,00;0,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;6,00;0,00;6,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-07-07;37,00;0,00;6,00;6,00;0,00;6,00;0,00;6,00;0,00;0,00;0,00;0,00;11,56;0,00;0,00;0,00;18,00;0,00;0,00;43,53;0,00;0,00;0,00;12,00;0,00;6,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;6,00;0,00;6,00;6,00;0,00;0,00;0,00;0,00;0,00
2019-07-14;63,00;13,00;13,00;32,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;13,50;45,00;13,00;0,00;19,00;13,00;12,60;0,00;50,40;0,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;6,00;0,00;19,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-07-21;58,00;19,00;0,00;19,00;6,00;19,00;0,00;6,00;0,00;0,00;0,00;6,69;223,08;6,00;0,00;0,00;19,00;0,00;0,00;58,00;0,00;0,00;0,00;0,00;0,00;0,00;6,00;0,00;0,00;6,00;6,00;0,00;0,00;6,00;6,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-07-28;65,00;0,00;0,00;6,00;13,00;0,00;0,00;0,00;0,00;6,96;0,00;25,54;92,86;6,00;6,00;0,00;26,00;0,00;0,00;58,50;0,00;0,00;6,00;0,00;0,00;13,00;0,00;0,00;0,00;0,00;32,00;6,00;13,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00
2019-08-04;47,00;7,00;13,00;13,00;7,00;14,00;7,00;0,00;0,00;0,00;0,00;6,71;20,14;7,00;0,00;7,00;7,00;0,00;0,00;40,59;0,00;0,00;0,00;0,00;0,00;0,00;0,00;14,00;0,00;7,00;14,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-08-11;91,00;0,00;14,00;7,00;0,00;0,00;0,00;7,00;0,00;0,00;0,00;13,65;43,23;7,00;0,00;0,00;0,00;6,35;0,00;48,67;0,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;14,00;7,00;0,00;0,00;0,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00
2019-08-18;39,00;0,00;7,00;7,00;7,00;7,00;0,00;0,00;0,00;6,88;0,00;6,88;80,29;0,00;0,00;13,00;13,00;0,00;0,00;80,17;0,00;0,00;7,00;0,00;0,00;0,00;0,00;7,00;13,00;7,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
