Semaine;London (GB);Paris (FR);Amsterdam (NL);Barcelona (ES);Lille (FR);Madrid (ES);Lisbon (PT);Prague (CZ);Berlin (DE);stanbul (TR);Budapest (HU);Wien (AT);Strasbourg (FR);Athens (GR);Dublin (IE);Lyon (FR);Frankfurt am Main (DE);Marseille (FR);München (DE);Stockholm (SE);Copenhagen (DK);Bordeaux (FR);Genève (CH);Tours (FR);Hamburg (DE);Toulouse (FR);Montpellier (FR);Nantes (FR);Avignon (FR);Monaco (MC);Dijon (FR);Aix en Provence (FR)
2019-01-06;97,00;112,65;40,68;28,16;1,00;23,00;10,00;19,00;22,00;10,00;11,00;11,00;2,00;9,00;8,00;1,00;6,00;3,00;15,00;5,00;12,00;1,00;3,00;1,00;1,00;2,00;1,00;0,50;0,50;2,00;0,50;0,00
2019-01-13;89,00;70,59;33,76;24,55;0,00;30,00;13,00;16,00;22,00;8,00;13,00;13,00;1,00;13,00;11,00;1,00;6,00;2,00;9,00;7,00;8,00;1,00;4,00;0,50;3,00;2,00;0,50;1,00;0,50;2,00;1,00;1,00
2019-01-20;84,00;77,78;34,22;24,89;0,00;26,00;12,00;21,00;23,00;7,00;14,00;10,00;0,50;10,00;6,00;1,00;9,00;3,00;8,00;6,00;9,00;2,00;2,00;0,50;2,00;2,00;0,50;1,00;1,00;2,00;0,00;0,00
2019-01-27;88,00;47,14;28,29;22,00;0,00;29,00;11,00;13,00;24,00;12,00;12,00;10,00;1,00;12,00;5,00;1,00;9,00;2,00;10,00;5,00;9,00;1,00;2,00;0,50;4,00;1,00;1,00;0,50;1,00;6,00;0,00;0,00
2019-02-03;87,00;55,93;24,86;18,64;0,00;26,00;15,00;11,00;26,00;11,00;16,00;11,00;1,00;12,00;7,00;2,00;7,00;2,00;7,00;7,00;10,00;1,00;1,00;0,50;1,00;0,00;0,00;1,00;0,00;8,00;0,00;0,00
2019-02-10;78,00;46,80;21,84;21,84;0,50;25,00;14,00;13,00;22,00;11,00;12,00;12,00;2,00;12,00;9,00;1,00;6,00;2,00;8,00;6,00;9,00;2,00;3,00;0,00;3,00;0,50;1,00;0,00;0,50;8,00;0,00;0,00
2019-02-17;92,00;49,07;27,60;30,67;0,50;31,00;18,00;14,00;25,00;6,00;10,00;15,00;3,00;12,00;8,00;2,00;8,00;2,00;7,00;7,00;10,00;2,00;2,00;0,50;2,00;0,00;1,00;1,00;0,50;7,00;0,00;0,00
2019-02-24;83,00;55,33;24,59;27,67;0,00;28,00;13,00;17,00;25,00;9,00;14,00;13,00;3,00;11,00;10,00;1,00;7,00;2,00;6,00;7,00;12,00;2,00;3,00;0,50;2,00;1,00;0,50;2,00;0,50;7,00;0,50;0,00
2019-03-03;88,00;50,29;28,29;28,29;0,50;27,00;18,00;16,00;25,00;8,00;15,00;13,00;3,00;12,00;4,00;1,00;8,00;3,00;8,00;7,00;10,00;3,00;2,00;0,00;3,00;1,00;0,00;2,00;0,00;6,00;0,00;0,00
2019-03-10;82,00;56,77;28,38;22,08;0,00;32,00;11,00;15,00;22,00;9,00;11,00;12,00;0,50;12,00;11,00;1,00;10,00;2,00;10,00;6,00;10,00;1,00;3,00;0,50;2,00;0,50;1,00;1,00;0,00;8,00;0,00;0,00
2019-03-17;84,00;49,78;34,22;24,89;0,00;28,00;12,00;14,00;18,00;12,00;12,00;13,00;3,00;13,00;10,00;2,00;5,00;2,00;9,00;6,00;6,00;2,00;1,00;0,50;2,00;0,50;1,00;1,00;1,00;5,00;0,00;0,00
2019-03-24;75,00;50,00;25,00;25,00;0,50;26,00;12,00;14,00;20,00;12,00;14,00;10,00;3,00;14,00;9,00;1,00;9,00;2,00;10,00;4,00;9,00;2,00;2,00;0,50;4,00;1,00;1,00;1,00;1,00;8,00;0,00;1,00
2019-03-31;80,00;64,00;22,40;28,80;0,00;27,00;11,00;21,00;22,00;13,00;13,00;11,00;4,00;12,00;8,00;1,00;6,00;4,00;12,00;7,00;5,00;1,00;2,00;0,50;4,00;1,00;1,00;1,00;0,50;4,00;0,00;0,00
2019-04-07;78,00;62,40;24,96;28,08;1,00;21,00;11,00;24,00;24,00;12,00;11,00;15,00;2,00;12,00;11,00;4,00;9,00;5,00;17,00;5,00;9,00;1,00;3,00;0,50;3,00;1,00;0,00;0,00;0,00;4,00;0,00;1,00
2019-04-14;83,00;307,41;21,52;30,74;1,00;25,00;11,00;18,00;17,00;11,00;12,00;12,00;1,00;13,00;7,00;4,00;9,00;3,00;12,00;8,00;11,00;1,00;2,00;1,00;7,00;2,00;1,00;1,00;1,00;4,00;0,00;0,50
2019-04-21;87,00;77,68;24,86;27,96;1,00;21,00;15,00;17,00;20,00;10,00;14,00;15,00;3,00;15,00;6,00;2,00;8,00;5,00;11,00;9,00;13,00;3,00;2,00;1,00;5,00;1,00;0,50;1,00;1,00;6,00;0,00;1,00
2019-04-28;81,00;62,31;24,92;34,27;0,50;27,00;16,00;16,00;23,00;11,00;12,00;11,00;2,00;10,00;10,00;4,00;7,00;4,00;26,00;7,00;10,00;1,00;2,00;1,00;3,00;1,00;0,50;2,00;1,00;6,00;0,00;1,00
2019-05-05;74,00;61,67;30,83;30,83;0,50;27,00;9,00;14,00;22,00;10,00;10,00;8,00;2,00;11,00;9,00;2,00;8,00;2,00;12,00;6,00;9,00;2,00;2,00;2,00;2,00;2,00;1,00;1,00;0,50;6,00;0,50;0,00
2019-05-12;69,00;56,45;18,82;25,09;0,50;26,00;11,00;13,00;15,00;12,00;9,00;10,00;2,00;12,00;11,00;3,00;6,00;3,00;9,00;7,00;8,00;1,00;1,00;1,00;3,00;1,00;1,00;1,00;0,00;3,00;0,00;0,50
2019-05-19;61,00;61,00;21,35;30,50;0,50;23,00;11,00;16,00;21,00;10,00;7,00;9,00;2,00;7,00;6,00;6,00;7,00;2,00;9,00;5,00;8,00;5,00;5,00;1,00;1,00;2,00;1,00;0,50;0,00;3,00;1,00;0,00
2019-05-26;52,00;55,06;21,41;27,53;1,00;20,00;10,00;10,00;18,00;6,00;11,00;11,00;3,00;11,00;8,00;2,00;6,00;3,00;9,00;4,00;11,00;1,00;1,00;2,00;2,00;1,00;1,00;1,00;1,00;5,00;0,00;0,50
2019-06-02;67,00;57,43;22,33;28,71;1,00;22,00;11,00;16,00;20,00;8,00;11,00;8,00;0,00;15,00;8,00;4,00;10,00;2,00;12,00;5,00;11,00;2,00;2,00;0,00;1,00;1,00;0,50;1,00;0,50;4,00;0,00;0,50
2019-06-09;71,00;61,74;21,61;30,87;1,00;22,00;11,00;16,00;18,00;7,00;11,00;12,00;0,00;13,00;10,00;1,00;7,00;4,00;15,00;8,00;10,00;3,00;4,00;0,00;4,00;2,00;0,50;1,00;1,00;3,00;0,00;0,50
2019-06-16;66,00;66,00;18,86;28,29;0,00;28,00;9,00;15,00;19,00;8,00;7,00;8,00;1,00;13,00;12,00;3,00;7,00;5,00;14,00;8,00;9,00;2,00;4,00;1,00;5,00;1,00;1,00;1,00;0,00;4,00;1,00;0,00
2019-06-23;77,00;70,84;21,56;27,72;0,50;22,00;13,00;12,00;22,00;11,00;10,00;16,00;2,00;13,00;9,00;3,00;8,00;6,00;12,00;8,00;9,00;1,00;3,00;1,00;3,00;2,00;2,00;1,00;0,00;3,00;0,00;0,50
2019-06-30;66,00;59,71;22,00;25,14;1,00;19,00;12,00;15,00;21,00;13,00;9,00;12,00;3,00;15,00;18,00;2,00;8,00;5,00;10,00;8,00;12,00;3,00;3,00;1,00;2,00;0,50;0,50;0,50;1,00;2,00;0,50;1,00
2019-07-07;70,00;57,27;22,27;35,00;1,00;21,00;10,00;17,00;21,00;12,00;12,00;13,00;2,00;12,00;10,00;4,00;8,00;5,00;14,00;9,00;12,00;3,00;5,00;1,00;2,00;2,00;1,00;2,00;1,00;4,00;0,50;1,00
2019-07-14;76,00;63,33;25,33;41,17;0,00;26,00;14,00;19,00;21,00;10,00;8,00;10,00;1,00;19,00;13,00;4,00;6,00;3,00;14,00;7,00;13,00;3,00;3,00;1,00;4,00;2,00;0,50;2,00;0,50;4,00;1,00;0,00
2019-07-21;88,00;69,14;31,43;40,86;1,00;28,00;17,00;22,00;21,00;11,00;14,00;9,00;3,00;13,00;11,00;3,00;7,00;7,00;18,00;14,00;12,00;3,00;3,00;1,00;5,00;1,00;1,00;2,00;1,00;2,00;0,50;0,00
2019-07-28;86,00;64,50;27,64;33,79;3,00;32,00;18,00;23,00;30,00;16,00;13,00;14,00;2,00;16,00;14,00;2,00;11,00;8,00;13,00;9,00;14,00;2,00;3,00;2,00;3,00;1,00;1,00;2,00;0,50;3,00;0,50;0,50
2019-08-04;96,00;80,52;34,06;40,26;1,00;30,00;15,00;32,00;30,00;14,00;14,00;14,00;3,00;17,00;15,00;4,00;8,00;8,00;22,00;13,00;17,00;2,00;3,00;1,00;4,00;4,00;0,50;1,00;1,00;3,00;0,00;0,50
2019-08-11;98,00;79,03;34,77;34,77;1,00;58,00;12,00;27,00;26,00;14,00;15,00;19,00;1,00;12,00;11,00;5,00;7,00;6,00;19,00;9,00;15,00;4,00;2,00;1,00;3,00;3,00;1,00;2,00;0,50;4,00;0,00;0,00
2019-08-18;84,00;77,78;31,11;34,22;0,00;29,00;13,00;26,00;27,00;12,00;18,00;18,00;3,00;15,00;12,00;2,00;11,00;3,00;19,00;11,00;11,00;1,00;3,00;1,00;3,00;0,50;1,00;1,00;2,00;3,00;0,00;0,50
2019-08-25;78,00;68,64;31,20;37,44;0,00;30,00;12,00;20,00;26,00;16,00;14,00;15,00;2,00;10,00;10,00;2,00;10,00;5,00;24,00;8,00;12,00;4,00;1,00;1,00;4,00;1,00;0,00;1,00;1,00;5,00;0,50;1,00
