Semaine;Nice (FR);Mallorca (ES);Benidorm (ES);reta (SI);Agadir (MA);Ibiza (ES);Djerba (TN);Lloret de Mar (ES);Corfu (GR);Santorini Island (GR);Marbella (ES);Faro (PT);Málaga (ES);Bodrum (TR);Mykonos (GR);Biarritz (FR);Ars en Ré (FR);Saint Malo (FR);Le Cap d Agde (FR);Cefalù (IT);Fréjus (FR);Amalfi (IT);Cannes (FR);Dubrovnik (HR);Antibes (FR);Le Touquet (BE);Torremolinos (ES);Le Barcarès (FR);Deauville (FR);Portofino (IT);Porto Vecchio (FR);Lacanau (FR);Palavas les Flots (FR);Sitges (ES);Argelès sur Mer (FR);Carnac (FR);Arcachon (FR);Le Grau du Roi (FR);Cap Ferret (FR);Biscarrosse (FR);La Baule Escoublac (FR);Saint Jean de Monts (FR);Plage de la Palmyre (FR)
2019-01-06;39,00;258,38;82,88;0,00;58,50;160,88;0,00;73,13;136,50;110,84;18,47;78,00;39,00;0,00;45,16;6,16;13,34;0,00;6,88;0,00;0,00;0,00;0,00;13,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-13;45,00;235,00;110,00;0,00;40,00;210,00;5,00;60,00;125,00;69,55;24,55;45,00;24,55;12,56;51,28;6,28;0,00;0,00;13,50;13,50;20,25;13,00;0,00;25,00;0,00;0,00;19,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-20;37,00;245,13;64,75;0,00;46,25;148,00;13,88;60,13;83,25;49,33;0,00;61,67;24,67;0,00;30,83;0,00;6,17;0,00;6,53;6,53;0,00;31,00;25,00;6,00;6,00;0,00;6,00;0,00;0,00;6,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-27;19,00;251,75;85,50;0,00;28,50;142,50;4,75;28,50;42,75;90,78;38,00;57,00;44,33;19,00;38,00;6,33;0,00;0,00;19,00;7,13;14,25;13,00;6,00;13,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-03;13,00;238,33;121,33;0,00;52,00;125,67;0,00;21,67;69,33;101,83;47,67;54,17;54,17;6,50;20,58;14,08;0,00;0,00;13,00;13,00;6,50;0,00;6,00;6,00;6,00;0,00;32,00;0,00;13,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-10;33,00;188,57;61,29;0,00;42,43;198,00;4,71;51,86;75,43;33,00;12,38;92,81;33,00;6,19;6,19;6,19;0,00;6,60;6,60;13,20;13,20;7,00;7,00;13,00;0,00;0,00;20,00;0,00;0,00;0,00;0,00;0,00;0,00;7,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-17;34,00;174,86;77,71;0,00;14,57;140,86;0,00;4,86;72,86;48,88;27,63;76,50;27,63;0,00;34,00;0,00;7,21;0,00;6,80;13,60;0,00;7,00;0,00;20,00;0,00;0,00;20,00;0,00;0,00;0,00;7,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-24;13,00;190,67;73,67;0,00;34,67;104,00;0,00;21,67;34,67;97,50;34,67;75,83;21,67;19,00;19,00;0,00;0,00;0,00;0,00;13,00;0,00;0,00;0,00;26,00;13,00;0,00;13,00;0,00;7,00;13,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-03;39,00;199,88;112,13;0,00;34,13;156,00;0,00;39,00;39,00;53,37;65,68;71,84;32,84;13,34;0,00;6,16;0,00;0,00;13,00;0,00;13,00;20,00;7,00;20,00;7,00;0,00;7,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-10;6,00;258,00;102,00;0,00;48,00;216,00;6,00;18,00;54,00;44,00;32,00;62,00;62,00;6,00;12,00;19,00;6,00;0,00;0,00;6,00;12,00;13,00;6,00;19,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
