Semaine;Chamonix (FR);Val Thorens (FR);Alpe d Huez (FR);Les Deux Alpes (FR);Ischgl (AT);Tignes (FR);Les Arcs (FR);Saalbach (AT);Les Ménuires (FR);Avoriaz (FR);La Plagne (FR);Sankt Anton (AT);Zermatt (CH);Flachau (AT);La Clusaz (FR);Verbier (CH);Zillertal (AT);Morzine (FR);Châtel (FR);St Moritz (DE);Les Gets (FR);Val Cenis (FR);Courchevel (FR);Mayrhofen (AT);Val Gardena (IT);Serre Chevalier (FR);Samoëns (FR);Valloire (FR);Méribel (FR);Val d Isère (FR);Megève (FR);Kitzbuhel (AT);Vars (FR);Garmisch (DE);Schladming (AT);Grand Bornand (FR);Brixental (AT);Sestriere (IT);Gstaad (CH);Font Romeu (FR);St Lary (FR);Barèges (FR);La Mongie (FR);Peyragudes (FR)
2019-01-06;57,00;119,70;45,60;28,50;176,70;12,21;28,50;407,14;0,00;13,41;13,41;291,71;30,18;282,00;15,00;15,00;114,00;58,16;13,96;13,96;13,96;0,00;28,00;28,00;14,00;0,00;0,00;14,00;0,00;0,00;14,00;28,00;0,00;28,50;28,50;0,00;158,33;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-13;42,00;105,00;78,75;68,25;94,50;12,60;42,00;298,20;54,60;29,08;29,08;96,92;54,92;165,00;0,00;27,00;84,00;14,00;14,00;14,00;28,00;28,00;0,00;69,00;0,00;0,00;0,00;0,00;14,00;28,00;0,00;28,00;0,00;14,00;14,00;14,00;110,44;0,00;14,00;0,00;0,00;0,00;0,00;0,00
2019-01-20;27,00;54,00;64,80;81,00;91,80;11,57;27,00;138,86;0,00;13,50;40,50;70,88;57,38;120,00;12,00;54,00;66,00;0,00;27,00;13,50;13,50;0,00;40,00;27,00;13,00;0,00;0,00;0,00;14,00;0,00;0,00;14,00;0,00;14,29;0,00;14,29;27,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-27;41,00;35,88;51,25;41,00;76,88;53,30;28,70;287,00;28,70;25,23;12,62;78,85;12,62;79,07;0,00;14,64;79,07;13,67;13,67;13,67;13,67;0,00;0,00;95,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;27,00;0,00;41,00;14,19;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-03;14,00;14,00;60,67;37,33;60,67;14,00;14,00;238,00;0,00;14,00;45,50;105,00;14,00;196,00;0,00;0,00;78,40;0,00;43,17;0,00;0,00;0,00;0,00;42,00;0,00;14,00;14,00;14,00;0,00;0,00;0,00;28,00;0,00;14,00;14,00;0,00;28,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-10;29,00;75,40;63,80;29,00;121,80;29,00;12,43;273,43;0,00;12,89;41,89;83,78;58,00;322,22;16,11;0,00;122,44;0,00;15,08;29,00;0,00;0,00;0,00;43,00;14,00;0,00;0,00;0,00;0,00;0,00;14,00;29,00;0,00;14,50;14,50;14,50;29,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-17;15,00;40,00;40,00;25,00;55,00;15,00;0,00;202,50;15,00;0,00;15,00;81,00;15,00;147,00;0,00;30,00;45,00;0,00;30,00;30,00;15,00;0,00;0,00;58,00;0,00;0,00;0,00;0,00;15,00;0,00;0,00;0,00;0,00;15,00;31,67;15,00;141,67;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-24;29,00;46,40;75,40;63,80;92,80;29,00;12,43;232,00;29,00;0,00;12,89;128,89;41,89;208,80;0,00;29,00;69,60;15,08;29,00;15,08;15,08;29,00;0,00;57,00;0,00;0,00;0,00;14,00;0,00;0,00;14,00;29,00;0,00;0,00;14,50;0,00;29,00;0,00;0,00;0,00;14,00;0,00;0,00;0,00
2019-03-03;86,00;86,00;69,88;43,00;53,75;28,67;28,67;114,67;12,29;59,54;13,23;145,54;13,23;205,79;15,36;15,36;73,71;0,00;0,00;14,91;14,91;14,00;0,00;0,00;0,00;0,00;29,00;14,00;14,00;0,00;0,00;0,00;0,00;14,07;0,00;0,00;28,15;29,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-10;42,00;52,50;68,25;15,75;120,75;0,00;0,00;172,20;0,00;0,00;29,08;113,08;12,92;69,00;27,00;15,00;57,00;0,00;28,38;0,00;0,00;14,00;0,00;42,00;0,00;14,00;0,00;0,00;0,00;0,00;0,00;28,00;0,00;0,00;14,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
