Semaine;Nice (FR);Paris (FR);London (GB);Barcelona (ES);Roma (IT);Lille (FR);Madrid (ES);Lisbon (PT);Prague (CZ);Berlin (DE);Milano (IT);stanbul (TR);Budapest (HU);Venezia (IT);Wien (AT);Strasbourg (FR);Athens (GR);Dublin (IE);Lyon (FR);Frankfurt am Main (DE);Marseille (FR);München (DE);Stockholm (SE);Copenhagen (DK);Bordeaux (FR);Genève (CH);Tours (FR);Hamburg (DE);Toulouse (FR);Montpellier (FR);Nantes (FR);Avignon (FR);Monaco (MC);Dijon (FR);Aix en Provence (FR)
2019-01-06;39,00;468,00;585,00;442,00;190,13;19,50;170,63;165,75;113,10;226,20;58,50;124,80;72,43;91,93;97,50;13,93;97,50;150,00;13,50;45,00;18,65;89,87;94,96;76,30;32,31;13,37;6,69;39,00;26,00;7,00;7,00;7,00;13,00;0,00;0,00
2019-01-13;45,00;382,50;573,75;348,75;189,00;13,50;180,00;139,50;63,75;198,75;45,00;191,25;64,69;39,38;70,31;19,69;70,50;63,00;12,00;37,50;12,12;57,12;50,19;50,19;6,92;39,23;32,31;12,69;6,00;0,00;6,00;0,00;25,00;6,00;0,00
2019-01-20;37,00;468,67;394,67;382,33;143,38;32,38;180,38;60,13;85,10;173,90;85,10;88,80;62,62;51,23;68,31;0,00;74,00;111,00;25,16;105,08;11,77;60,55;42,05;42,05;19,06;31,39;49,33;61,67;6,00;0,00;31,00;0,00;6,00;0,00;0,00
2019-01-27;19,00;342,00;351,50;237,50;104,50;14,25;85,50;104,50;76,00;224,20;49,40;174,80;54,29;67,86;78,71;5,43;67,23;97,92;5,85;30,69;24,18;93,27;43,18;31,09;12,29;62,59;19,00;68,18;0,00;13,00;0,00;0,00;12,00;6,00;0,00
2019-02-03;13,00;507,00;637,00;351,00;125,67;26,00;216,67;195,00;169,00;225,33;65,00;169,00;46,80;65,00;46,80;23,40;31,78;80,89;0,00;80,89;48,29;83,57;48,29;76,14;40,18;20,09;0,00;54,36;6,00;19,00;6,00;0,00;0,00;0,00;0,00
2019-02-10;33,00;429,00;385,00;242,00;117,86;37,71;174,43;66,00;55,00;143,00;36,67;124,67;66,00;66,00;85,25;5,50;39,00;112,50;33,00;52,50;33,00;59,05;46,89;59,05;20,48;20,48;0,00;60,31;0,00;0,00;0,00;0,00;13,00;0,00;0,00
2019-02-17;34,00;544,00;532,67;317,33;131,14;0,00;145,71;155,43;86,89;185,11;94,44;113,33;39,67;73,67;96,33;19,83;69,55;55,64;61,82;89,64;21,47;84,11;34,00;41,16;0,00;40,80;0,00;47,60;14,00;7,00;0,00;0,00;20,00;7,00;7,00
2019-02-24;13,00;611,00;611,00;481,00;177,67;26,00;221,00;117,00;52,00;277,33;91,00;255,67;91,00;36,40;49,40;5,20;70,78;76,56;18,78;50,56;30,88;55,25;37,38;55,25;26,00;37,92;0,00;37,92;27,00;7,00;0,00;7,00;7,00;0,00;0,00
2019-03-03;39,00;380,25;419,25;282,75;112,13;14,63;199,88;146,25;113,10;167,70;66,30;167,70;97,50;97,50;78,00;13,93;46,50;46,50;13,50;33,00;25,43;57,65;45,78;57,65;20,06;39,00;0,00;25,63;26,00;0,00;0,00;0,00;7,00;0,00;0,00
2019-03-10;6,00;234,00;264,00;174,00;234,00;42,00;216,00;210,00;36,00;192,00;39,00;156,00;27,00;63,00;63,00;15,00;78,00;129,00;25,50;45,00;10,50;100,50;49,50;10,50;29,00;52,00;6,00;34,00;6,00;6,00;0,00;6,00;32,00;0,00;0,00
