Semaine;Nice (FR);Mallorca (ES);Benidorm (ES);reta (SI);Agadir (MA);Ibiza (ES);Djerba (TN);Lloret de Mar (ES);Corfu (GR);Santorini Island (GR);Marbella (ES);Faro (PT);Málaga (ES);Bodrum (TR);Mykonos (GR);Biarritz (FR);Ars en Ré (FR);Saint Malo (FR);Le Cap d Agde (FR);Cefalù (IT);Fréjus (FR);Amalfi (IT);Cannes (FR);Dubrovnik (HR);Antibes (FR);Le Touquet (BE);Torremolinos (ES);Le Barcarès (FR);Deauville (FR);Portofino (IT);Porto Vecchio (FR);Lacanau (FR);Palavas les Flots (FR);Sitges (ES);Argelès sur Mer (FR);Carnac (FR);Arcachon (FR);Le Grau du Roi (FR);Cap Ferret (FR);Biscarrosse (FR);La Baule Escoublac (FR);Saint Jean de Monts (FR);Plage de la Palmyre (FR)
2019-01-06;33,00;37,30;7,17;0,00;1,43;19,00;0,00;0,00;17,00;159,92;15,23;17,77;10,15;4,30;80,35;0,00;1,43;4,00;4,00;2,00;0,00;72,88;1,38;22,00;0,00;0,00;2,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-13;40,00;38,57;1,43;0,00;0,00;17,00;0,00;2,00;8,00;146,67;10,67;5,33;2,67;1,48;66,67;4,44;0,00;6,00;6,00;4,00;0,00;70,34;8,28;15,17;4,14;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-20;30,00;45,71;0,00;0,00;1,43;17,00;0,00;4,00;8,00;137,50;2,50;7,50;2,50;5,71;45,71;4,29;4,29;6,00;0,00;6,00;0,00;77,73;8,18;19,09;1,36;0,00;0,00;0,00;0,00;6,00;0,00;2,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-27;34,00;29,75;4,25;0,00;0,00;19,00;4,00;0,00;13,00;151,69;5,23;7,85;2,62;1,48;60,61;0,00;0,00;6,00;4,00;7,00;0,00;73,44;6,80;1,36;5,44;0,00;0,00;0,00;0,00;13,00;0,00;0,00;0,00;2,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-03;22,00;28,88;5,50;0,00;0,00;18,00;2,00;0,00;17,00;102,67;14,67;9,78;2,44;1,47;74,80;4,40;0,00;6,00;6,00;4,00;0,00;82,50;1,38;20,63;5,50;0,00;0,00;0,00;0,00;9,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-10;41,00;45,24;7,07;0,00;4,24;15,00;0,00;0,00;6,00;102,50;10,25;5,13;2,56;5,86;65,89;4,39;0,00;7,00;4,00;2,00;2,00;91,57;5,47;6,83;1,37;0,00;2,00;0,00;0,00;7,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-17;45,00;28,13;4,22;0,00;0,00;21,00;2,00;2,00;15,00;127,06;15,88;10,59;2,65;1,45;52,26;0,00;1,45;0,00;2,00;11,00;0,00;92,73;8,18;19,09;0,00;0,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00;2,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-24;26,00;31,78;11,56;0,00;0,00;22,00;2,00;2,00;2,00;143,00;10,40;10,40;2,60;5,78;59,22;5,78;0,00;7,00;2,00;2,00;0,00;84,84;6,84;6,84;1,37;0,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00;2,00;0,00;4,00;2,00;0,00;0,00;0,00;2,00;0,00;0,00
2019-03-03;49,00;30,80;1,40;0,00;1,40;30,00;0,00;2,00;9,00;131,53;10,32;15,47;10,32;0,00;46,03;7,42;0,00;6,00;2,00;7,00;0,00;70,78;8,17;24,50;1,36;0,00;0,00;0,00;0,00;7,00;0,00;0,00;0,00;2,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-10;30,00;47,14;1,43;0,00;1,43;40,00;2,00;2,00;19,00;122,50;20,00;15,00;5,00;7,14;51,43;1,43;1,43;4,00;2,00;11,00;0,00;92,73;13,64;19,09;4,09;2,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-17;35,00;53,20;1,40;0,00;4,20;23,00;0,00;0,00;10,00;188,46;10,77;8,08;8,08;7,29;75,83;4,38;0,00;0,00;0,00;8,00;0,00;87,50;8,08;12,12;1,35;0,00;2,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-24;47,00;31,33;4,27;0,00;5,70;29,00;2,00;2,00;23,00;130,56;20,89;5,22;5,22;1,47;76,38;4,41;0,00;4,00;0,00;0,00;2,00;89,97;14,77;17,46;0,00;0,00;0,00;0,00;2,00;12,00;0,00;0,00;0,00;4,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-31;47,00;56,97;0,00;0,00;1,42;23,00;4,00;0,00;16,00;159,28;13,06;10,44;2,61;1,47;58,75;7,34;1,47;4,00;2,00;4,00;0,00;98,03;1,34;17,46;4,03;0,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00;2,00;0,00;0,00
