Semaine;Chamonix (FR);Val Thorens (FR);Alpe d Huez (FR);Les Deux Alpes (FR);Ischgl (AT);Tignes (FR);Les Arcs (FR);Saalbach (AT);Les Ménuires (FR);Avoriaz (FR);La Plagne (FR);Sankt Anton (AT);Zermatt (CH);Flachau (AT);La Clusaz (FR);Verbier (CH);Zillertal (AT);Morzine (FR);Châtel (FR);St Moritz (DE);Les Gets (FR);Val Cenis (FR);Courchevel (FR);Mayrhofen (AT);Val Gardena (IT);Serre Chevalier (FR);Samoëns (FR);Valloire (FR);Méribel (FR);Val d Isère (FR);Megève (FR);Kitzbuhel (AT);Vars (FR);Garmisch (DE);Schladming (AT);Grand Bornand (FR);Brixental (AT);Sestriere (IT);Gstaad (CH);Font Romeu (FR);St Lary (FR);Barèges (FR);La Mongie (FR);Peyragudes (FR)
2019-01-06;43,00;12,00;0,00;0,00;0,00;0,00;12,00;0,00;0,00;6,45;0,00;31,18;43,00;12,00;0,00;25,00;0,00;0,00;0,00;19,00;6,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-13;42,00;0,00;18,00;6,00;12,00;12,00;6,00;0,00;0,00;11,85;0,00;30,15;30,15;6,00;0,00;12,00;0,00;6,00;0,00;24,00;6,00;0,00;12,00;0,00;0,00;6,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;6,00;6,00;0,00;0,00;0,00;0,00
2019-01-20;42,00;0,00;0,00;0,00;0,00;6,00;12,00;0,00;0,00;18,31;0,00;11,85;60,31;0,00;0,00;24,00;0,00;6,00;0,00;42,00;0,00;0,00;12,00;0,00;0,00;0,00;0,00;0,00;0,00;6,00;0,00;6,00;0,00;6,00;0,00;0,00;0,00;0,00;12,00;0,00;0,00;0,00;0,00;0,00
2019-01-27;71,00;6,00;6,00;0,00;0,00;24,00;0,00;6,00;12,00;0,00;0,00;11,66;41,33;0,00;0,00;18,00;0,00;6,00;6,00;48,00;0,00;0,00;0,00;0,00;0,00;6,00;0,00;0,00;12,00;0,00;0,00;12,00;0,00;6,00;6,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00
2019-02-03;47,00;0,00;6,00;0,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;11,75;40,59;6,00;0,00;12,00;0,00;6,00;0,00;24,00;0,00;0,00;12,00;0,00;0,00;0,00;0,00;6,00;6,00;18,00;6,00;6,00;0,00;0,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-10;36,00;0,00;12,00;0,00;0,00;12,00;6,00;0,00;0,00;0,00;6,55;18,55;85,09;0,00;0,00;12,00;0,00;0,00;0,00;18,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;6,00;6,00;6,00;6,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-17;48,00;0,00;0,00;6,00;0,00;6,00;12,00;0,00;0,00;11,73;6,40;6,40;35,20;0,00;0,00;6,00;6,00;18,00;6,00;6,00;6,00;0,00;12,00;0,00;0,00;0,00;0,00;0,00;6,00;6,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-24;35,00;12,00;0,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;23,33;29,70;0,00;0,00;6,00;0,00;6,00;0,00;24,00;0,00;0,00;18,00;0,00;0,00;0,00;0,00;0,00;0,00;18,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-03;30,00;0,00;6,00;6,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;30,00;0,00;0,00;6,00;0,00;0,00;0,00;36,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;6,00;18,00;0,00;0,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00
2019-03-10;30,00;0,00;18,00;0,00;6,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;66,43;6,00;0,00;12,00;0,00;12,00;0,00;18,00;0,00;0,00;12,00;0,00;0,00;6,00;0,00;0,00;0,00;6,00;6,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-17;12,00;0,00;12,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;50,18;0,00;0,00;12,00;0,00;0,00;0,00;25,00;0,00;0,00;0,00;0,00;0,00;6,00;6,00;0,00;0,00;0,00;12,00;12,00;0,00;6,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-24;56,00;12,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;6,46;0,00;0,00;56,00;0,00;0,00;19,00;0,00;6,00;0,00;31,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;6,00;6,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
