Semaine;Nice (FR);Paris (FR);London (GB);Amsterdam (NL);Barcelona (ES);Roma (IT);Lille (FR);Madrid (ES);Lisbon (PT);Prague (CZ);Berlin (DE);Milano (IT);stanbul (TR);Budapest (HU);Venezia (IT);Wien (AT);Strasbourg (FR);Athens (GR);Dublin (IE);Lyon (FR);Frankfurt am Main (DE);Marseille (FR);München (DE);Stockholm (SE);Copenhagen (DK);Bordeaux (FR);Genève (CH);Tours (FR);Hamburg (DE);Toulouse (FR);Montpellier (FR);Nantes (FR);Avignon (FR);Monaco (MC);Dijon (FR);Aix en Provence (FR)
2019-01-06;33,00;671,00;814,00;165,00;418,00;346,50;8,25;231,00;99,00;69,30;82,50;105,60;138,60;41,25;280,50;49,50;8,25;193,29;339,43;18,86;94,29;11,00;84,86;33,00;36,14;15,47;24,75;40,22;13,41;6,00;0,00;0,00;2,00;29,00;2,00;4,00
2019-01-13;40,00;813,33;893,33;186,67;426,67;420,00;10,00;340,00;80,00;70,00;106,67;140,00;126,67;40,00;260,00;60,00;10,00;220,00;370,00;10,00;105,00;12,80;83,20;24,00;36,80;16,41;9,23;18,46;16,41;6,00;2,00;0,00;4,00;9,00;4,00;4,00
2019-01-20;30,00;855,00;990,00;195,00;480,00;345,00;7,50;255,00;45,00;73,33;100,00;100,00;156,67;40,00;290,00;40,00;10,00;210,00;380,00;20,00;80,00;15,79;56,84;25,26;31,58;7,00;29,00;37,00;13,00;8,00;4,00;8,00;4,00;15,00;2,00;4,00
2019-01-27;34,00;589,33;702,67;124,67;396,67;357,00;0,00;272,00;68,00;85,00;108,80;102,00;105,40;25,50;229,50;51,00;8,50;238,00;262,29;14,57;92,29;17,81;51,81;27,52;46,95;16,48;25,76;22,67;16,48;7,00;7,00;2,00;4,00;13,00;2,00;0,00
2019-02-03;22,00;594,00;682,00;143,00;385,00;440,00;11,00;308,00;88,00;72,29;91,14;91,14;125,71;44,00;341,00;77,00;11,00;193,60;286,00;8,80;83,60;15,71;50,29;36,14;44,00;21,00;27,00;37,00;14,00;6,00;2,00;4,00;4,00;9,00;0,00;2,00
2019-02-10;41,00;738,00;929,33;205,00;492,00;430,50;10,25;307,50;102,50;58,08;68,33;129,83;174,25;41,00;278,80;41,00;8,20;186,78;305,22;22,78;72,89;12,62;69,38;28,38;44,15;22,55;27,68;33,83;11,28;7,00;6,00;6,00;7,00;15,00;4,00;2,00
2019-02-17;45,00;675,00;753,75;123,75;450,00;472,50;11,25;382,50;112,50;90,00;107,31;131,54;159,23;27,00;297,00;63,00;18,00;189,00;292,50;18,00;99,00;19,29;64,29;24,11;51,43;18,41;22,50;22,50;20,45;0,00;8,00;0,00;0,00;23,00;2,00;2,00
2019-02-24;26,00;741,00;923,00;143,00;507,00;572,00;13,00;416,00;130,00;52,00;74,75;110,50;149,50;34,67;268,67;52,00;8,67;203,67;294,67;8,67;82,33;11,38;61,75;29,25;39,00;9,36;28,08;35,36;18,72;4,00;2,00;2,00;9,00;13,00;2,00;4,00
2019-03-03;49,00;759,50;808,50;159,25;441,00;375,67;8,17;343,00;65,33;81,67;91,47;124,13;156,80;49,00;343,00;68,60;9,80;210,70;396,90;4,90;93,10;14,23;58,48;37,94;53,74;13,55;34,40;32,32;18,77;9,00;0,00;6,00;2,00;15,00;4,00;4,00
2019-03-10;30,00;945,00;1050,00;195,00;555,00;315,00;7,50;285,00;75,00;63,33;90,00;123,33;176,67;40,00;360,00;60,00;10,00;200,00;440,00;20,00;115,00;17,37;66,32;37,89;37,89;20,69;30,00;43,45;15,52;2,00;8,00;4,00;9,00;15,00;2,00;0,00
2019-03-17;35,00;700,00;840,00;140,00;443,33;402,50;8,75;350,00;70,00;87,50;112,00;108,50;147,00;26,25;306,25;43,75;8,75;245,00;400,00;10,00;135,00;14,32;73,18;38,18;42,95;13,38;28,82;35,00;19,56;12,00;6,00;2,00;17,00;35,00;0,00;4,00
2019-03-24;47,00;646,25;787,25;164,50;434,75;540,50;0,00;399,50;94,00;83,93;104,07;151,07;167,86;56,40;347,80;75,20;18,80;230,30;352,50;14,10;84,60;10,97;73,63;39,17;42,30;11,49;25,07;42,82;8,36;2,00;6,00;0,00;8,00;14,00;0,00;6,00
2019-03-31;47,00;763,75;763,75;176,25;505,25;540,50;11,75;423,00;117,50;80,57;94,00;147,71;167,86;37,60;338,40;65,80;18,80;206,80;357,20;23,50;112,80;15,67;67,37;42,30;39,17;11,24;24,52;36,78;19,41;6,00;4,00;0,00;12,00;20,00;2,00;0,00
2019-04-07;31,00;961,00;1100,50;186,00;542,50;325,50;7,75;248,00;62,00;82,67;99,89;110,22;168,78;51,67;392,67;51,67;10,33;199,29;274,57;17,71;93,00;9,79;68,53;63,63;40,79;22,73;28,93;31,00;15,50;12,00;6,00;2,00;10,00;25,00;2,00;6,00
2019-04-14;40,00;1333,33;1026,67;186,67;546,67;480,00;10,00;280,00;80,00;76,67;76,67;116,67;150,00;40,00;340,00;50,00;30,00;248,89;275,56;26,67;80,00;17,60;60,80;40,00;56,00;15,38;43,08;53,33;35,90;6,00;4,00;2,00;6,00;20,00;0,00;8,00
2019-04-21;55,00;770,00;935,00;206,25;467,50;458,33;0,00;275,00;73,33;90,59;61,47;80,88;171,47;27,50;293,33;55,00;9,17;220,00;252,08;4,58;87,08;17,29;66,00;42,43;37,71;19,35;19,35;36,67;13,24;6,00;6,00;2,00;6,00;14,00;4,00;2,00
2019-04-28;40,00;800,00;946,67;160,00;520,00;440,00;10,00;360,00;100,00;70,00;113,33;110,00;146,67;20,00;360,00;60,00;20,00;271,11;280,00;17,78;66,67;20,80;78,40;33,60;49,60;17,44;28,72;33,85;17,44;2,00;8,00;2,00;6,00;17,00;6,00;6,00
2019-05-05;41,00;833,67;1011,33;150,33;560,33;471,50;10,25;2050,00;102,50;95,67;102,50;112,75;160,58;41,00;338,25;71,75;20,50;227,78;291,56;18,22;113,89;7,88;86,73;41,00;61,50;17,43;32,80;63,55;21,53;10,00;4,00;2,00;6,00;14,00;4,00;4,00
2019-05-12;70,00;746,67;840,00;140,00;455,00;420,00;8,75;525,00;87,50;93,33;100,00;156,67;143,33;43,75;332,50;70,00;8,75;266,00;322,00;18,67;102,67;12,73;98,64;39,77;38,18;13,38;19,56;36,03;25,74;8,00;4,00;2,00;12,00;18,00;0,00;4,00
2019-05-19;52,00;936,00;988,00;182,00;572,00;433,33;8,67;364,00;86,67;69,33;142,13;152,53;142,13;34,67;416,00;60,67;8,67;264,73;359,27;37,82;108,73;26,79;64,61;39,39;31,52;10,40;32,24;35,36;17,68;14,00;6,00;0,00;16,00;20,00;0,00;0,00
2019-05-26;49,00;857,50;931,00;220,50;563,50;441,00;0,00;392,00;98,00;91,47;133,93;156,80;192,73;49,00;382,20;68,60;9,80;289,10;362,60;34,30;137,20;14,23;99,58;83,77;44,26;12,51;36,49;38,57;14,60;10,00;2,00;2,00;4,00;33,00;2,00;2,00
2019-06-02;50,00;862,50;987,50;175,00;525,00;366,67;0,00;400,00;66,67;106,67;113,33;110,00;153,33;50,00;690,00;60,00;10,00;250,00;309,09;18,18;109,09;29,03;70,97;41,94;45,16;19,79;21,88;37,50;30,21;10,00;4,00;2,00;2,00;24,00;0,00;2,00
2019-06-09;44,00;759,00;880,00;154,00;462,00;528,00;11,00;418,00;132,00;101,54;98,15;132,00;182,77;44,00;352,00;61,60;8,80;229,78;376,44;9,78;97,78;22,00;70,71;37,71;37,71;8,38;26,19;32,48;15,71;4,00;4,00;0,00;6,00;24,00;2,00;0,00
