Semaine;Martinique (LC);Guadeloupe (GP);Saint Martin (ile d Amérique du nord) (MF);Republique Dominicaine (DO);Sainte Lucie (LC);Barbade (BB)
2019-01-06;12,00;7,20;12,00;86,40;45,60;43,00
2019-01-13;5,00;7,50;15,00;75,00;35,00;46,00
2019-01-20;8,00;6,00;14,00;70,00;26,00;37,00
2019-01-27;8,00;4,00;12,00;60,00;34,00;33,00
2019-02-03;6,00;4,00;12,00;58,00;22,00;35,00
2019-02-10;6,00;6,00;10,00;68,00;28,00;41,00
2019-02-17;7,00;7,00;11,67;72,33;35,00;33,00
2019-02-24;6,00;2,00;12,00;74,00;34,00;31,00
2019-03-03;5,00;7,50;10,00;85,00;30,00;39,00
2019-03-10;4,00;4,00;8,00;62,00;28,00;38,00
2019-03-17;7,00;4,67;9,33;77,00;32,67;30,00
2019-03-24;3,00;1,50;6,00;46,50;15,00;31,00
2019-03-31;4,00;4,00;8,00;58,00;28,00;31,00
2019-04-07;6,00;2,00;10,00;64,00;20,00;32,00
2019-04-14;7,00;2,33;11,67;58,33;25,67;27,00
2019-04-21;5,00;5,00;12,50;67,50;27,50;23,00
2019-04-28;4,00;4,00;8,00;48,00;28,00;32,00
2019-05-05;2,00;2,00;4,00;50,00;26,00;33,00
2019-05-12;3,00;3,00;12,00;87,00;42,00;26,00
2019-05-19;3,00;3,00;15,00;75,00;33,00;33,00
2019-05-26;4,00;2,00;10,00;70,00;18,00;39,00
2019-06-02;4,00;4,00;8,00;152,00;24,00;34,00
2019-06-09;5,00;2,50;12,50;247,50;35,00;30,00
2019-06-16;9,00;2,25;13,50;225,00;31,50;29,00
2019-06-23;18,00;6,75;11,25;135,00;33,75;35,00
2019-06-30;4,00;6,00;10,00;58,00;30,00;39,00
2019-07-07;3,00;6,00;12,00;66,00;51,00;32,00
2019-07-14;4,00;2,00;12,00;46,00;30,00;36,00
2019-07-21;5,00;2,50;15,00;65,00;40,00;36,00
2019-07-28;5,00;3,33;8,33;31,67;26,67;35,00
2019-08-04;4,00;2,00;12,00;42,00;22,00;32,00
2019-08-11;4,00;4,00;8,00;36,00;30,00;32,00
2019-08-18;2,00;2,00;8,00;36,00;22,00;34,00
2019-08-25;5,00;2,50;10,00;47,50;22,50;35,00
2019-09-01;4,00;2,00;10,00;38,00;22,00;32,00
2019-09-08;1,00;1,00;4,00;17,00;12,00;23,00
2019-09-15;7,00;2,33;11,67;35,00;25,67;33,00
2019-09-22;6,00;4,00;8,00;42,00;22,00;30,00
2019-09-29;7,00;4,67;11,67;46,67;25,67;23,00
2019-10-06;5,00;2,50;10,00;40,00;20,00;25,00
2019-10-13;6,00;2,00;8,00;30,00;18,00;25,00
2019-10-20;7,00;4,67;9,33;46,67;21,00;30,00
2019-10-27;6,00;4,00;8,00;32,00;18,00;28,00
2019-11-03;4,00;4,00;8,00;40,00;20,00;27,00
2019-11-10;5,00;2,50;10,00;50,00;27,50;25,00
2019-11-17;4,00;4,00;10,00;38,00;18,00;33,00
2019-11-24;4,00;6,00;10,00;28,00;22,00;32,00
2019-12-01;5,00;2,50;10,00;52,50;35,00;30,00
2019-12-08;6,00;6,00;6,00;42,00;20,00;21,00
2019-12-15;2,00;4,00;10,00;34,00;24,00;32,00
2019-12-22;7,00;4,67;11,67;42,00;32,67;31,00
2019-12-29;7,00;4,67;16,33;49,00;44,33;41,00
2020-01-05;7,00;7,00;14,00;60,67;39,67;44,00
2020-01-12;10,00;4,00;16,00;50,00;30,00;39,00
2020-01-19;8,00;4,00;12,00;50,00;32,00;39,00
2020-01-26;4,00;6,00;10,00;42,00;22,00;46,00
2020-02-02;8,00;4,00;14,00;42,00;30,00;38,00
2020-02-09;7,00;7,00;11,67;56,00;53,67;45,00
2020-02-16;6,00;4,00;10,00;60,00;32,00;31,00
2020-02-23;6,00;6,00;12,00;54,00;24,00;30,00
2020-03-01;6,00;6,00;8,00;50,00;28,00;34,00
2020-03-08;5,00;7,50;12,50;87,50;32,50;28,00
2020-03-15;4,00;4,00;6,00;56,00;14,00;22,00
2020-03-22;4,00;4,00;4,00;34,00;12,00;15,00
2020-03-29;3,00;3,00;6,00;51,00;15,00;14,00
2020-04-05;5,00;2,50;5,00;25,00;10,00;20,00
2020-04-12;4,00;2,00;4,00;30,00;10,00;16,00
2020-04-19;5,00;5,00;5,00;35,00;12,50;20,00
2020-04-26;4,00;2,00;4,00;28,00;10,00;15,00
2020-05-03;3,00;6,00;6,00;42,00;21,00;16,00
2020-05-10;4,00;2,00;4,00;30,00;12,00;22,00
2020-05-17;4,00;6,00;6,00;32,00;18,00;15,00
2020-05-24;4,00;2,00;4,00;34,00;14,00;18,00
2020-05-31;4,00;2,00;4,00;42,00;14,00;23,00
2020-06-07;5,00;5,00;7,50;45,00;17,50;19,00
2020-06-14;4,00;6,00;4,00;28,00;18,00;21,00
2020-06-21;3,00;1,50;4,50;25,50;12,00;21,00
2020-06-28;4,00;6,00;4,00;34,00;10,00;16,00
2020-07-05;4,00;4,00;4,00;38,00;10,00;28,00
2020-07-12;5,00;5,00;7,50;42,50;20,00;27,00
2020-07-19;5,00;5,00;5,00;42,50;17,50;28,00
2020-07-26;3,00;6,00;9,00;48,00;21,00;30,00
2020-08-02;3,00;6,00;6,00;48,00;27,00;25,00
2020-08-09;4,00;4,00;4,00;34,00;18,00;30,00
2020-08-16;3,00;6,00;12,00;48,00;18,00;21,00
2020-08-23;6,00;4,00;8,00;36,00;14,00;21,00
2020-08-30;5,00;5,00;7,50;45,00;15,00;22,00
2020-09-06;5,00;5,00;5,00;40,00;17,50;21,00
2020-09-13;5,00;5,00;5,00;42,50;22,50;21,00
2020-09-20;3,00;3,00;6,00;51,00;21,00;20,00
2020-09-27;5,00;5,00;5,00;37,50;22,50;22,00
2020-10-04;2,00;4,00;2,00;36,00;20,00;18,00
2020-10-11;4,00;4,00;4,00;42,00;14,00;21,00
2020-10-18;7,00;4,67;7,00;39,67;21,00;18,00
2020-10-25;5,00;5,00;2,50;42,50;17,50;20,00
2020-11-01;4,00;4,00;4,00;32,00;14,00;15,00
2020-11-08;6,00;6,00;2,00;36,00;14,00;23,00
2020-11-15;5,00;5,00;7,50;37,50;20,00;21,00
2020-11-22;3,00;3,00;3,00;28,50;18,00;16,00
2020-11-29;2,00;4,00;6,00;34,00;10,00;13,00
2020-12-06;4,00;4,00;8,00;36,00;14,00;18,00
2020-12-13;2,00;4,00;4,00;38,00;16,00;17,00
2020-12-20;3,00;6,00;15,00;63,00;27,00;19,00
2020-12-27;4,00;2,00;8,00;40,00;18,00;21,00
2021-01-03;4,00;4,00;10,00;44,00;26,00;20,00
2021-01-10;6,00;2,00;8,00;44,00;24,00;24,00
2021-01-17;1,00;1,00;3,00;19,00;11,00;19,00
2021-01-24;3,00;6,00;12,00;63,00;33,00;18,00
2021-01-31;4,00;2,00;6,00;42,00;14,00;20,00
2021-02-07;4,00;4,00;2,00;40,00;18,00;24,00
2021-02-14;5,00;2,50;10,00;55,00;27,50;18,00
2021-02-21;2,00;2,00;8,00;58,00;18,00;19,00
2021-02-28;6,00;2,00;10,00;48,00;24,00;18,00
2021-03-07;6,00;4,00;6,00;54,00;24,00;22,00
2021-03-14;3,00;6,00;15,00;99,00;39,00;24,00
2021-03-21;4,00;4,00;8,00;60,00;18,00;21,00
2021-03-28;6,00;6,00;10,00;58,00;30,00;27,00
2021-04-04;7,00;4,67;7,00;74,67;28,00;20,00
2021-04-11;7,00;7,00;9,33;72,33;30,33;26,00
2021-04-18;7,00;7,00;11,67;70,00;37,33;29,00
2021-04-25;5,00;5,00;15,00;65,00;32,50;23,00
2021-05-02;6,00;4,00;8,00;66,00;24,00;27,00
2021-05-09;3,00;3,00;7,50;46,50;24,00;28,00
2021-05-16;8,00;8,00;10,00;74,00;28,00;29,00
2021-05-23;7,00;4,67;14,00;77,00;32,67;27,00
2021-05-30;4,00;4,00;10,00;66,00;36,00;30,00
2021-06-06;5,00;7,50;17,50;67,50;42,50;28,00
2021-06-13;3,00;3,00;6,00;48,00;22,50;23,00
2021-06-20;5,00;5,00;15,00;80,00;40,00;32,00
2021-06-27;5,00;5,00;15,00;70,00;37,50;36,00
2021-07-04;6,00;6,00;6,00;70,00;34,00;33,00
2021-07-11;20,00;10,00;10,00;60,00;26,00;26,00
2021-07-18;9,00;2,25;11,25;60,75;36,00;25,00
2021-07-25;5,00;2,50;7,50;67,50;27,50;25,00
2021-08-01;4,00;4,00;10,00;50,00;22,00;27,00
2021-08-08;4,00;6,00;8,00;56,00;26,00;27,00
2021-08-15;5,00;7,50;10,00;62,50;30,00;21,00
2021-08-22;3,00;6,00;15,00;69,00;27,00;20,00
2021-08-29;4,00;4,00;8,00;52,00;16,00;25,00
2021-09-05;4,00;2,00;8,00;46,00;18,00;25,00
2021-09-12;3,00;9,00;12,00;75,00;21,00;30,00
2021-09-19;4,00;2,00;6,00;58,00;16,00;21,00
2021-09-26;6,00;4,00;10,00;46,00;16,00;20,00
