Semaine;Polynesie (PF);Nouvelle Caledonie (NC);Fidji (FJ);Vanuatu (VU);Iles Cook (CK)
2019-01-06;27,00;1,00;49,00;2,00;2,00
2019-01-13;20,00;0,00;37,00;1,00;1,00
2019-01-20;21,00;0,50;42,00;1,00;4,00
2019-01-27;18,00;1,00;35,00;1,00;1,00
2019-02-03;18,00;0,50;36,00;2,00;0,50
2019-02-10;19,00;2,00;34,00;1,00;3,00
2019-02-17;26,00;0,50;43,00;1,00;2,00
2019-02-24;21,00;1,00;34,00;1,00;2,00
2019-03-03;29,00;1,00;41,00;0,50;3,00
2019-03-10;23,00;1,00;38,00;2,00;1,00
2019-03-17;21,00;0,50;36,00;0,50;0,00
2019-03-24;26,00;2,00;31,00;3,00;1,00
2019-03-31;20,00;3,00;33,00;2,00;3,00
2019-04-07;11,00;1,00;32,00;1,00;1,00
2019-04-14;17,00;2,00;36,00;1,00;2,00
2019-04-21;22,00;1,00;35,00;2,00;1,00
2019-04-28;20,00;0,00;37,00;1,00;2,00
2019-05-05;21,00;1,00;34,00;1,00;2,00
2019-05-12;20,00;3,00;36,00;1,00;2,00
2019-05-19;20,00;1,00;35,00;0,50;3,00
2019-05-26;20,00;2,00;44,00;0,00;3,00
2019-06-02;19,00;0,50;100,00;1,00;1,00
2019-06-09;20,00;1,00;56,00;2,00;1,00
2019-06-16;20,00;1,00;37,00;0,50;2,00
2019-06-23;17,00;1,00;33,00;1,00;1,00
2019-06-30;25,00;1,00;29,00;2,00;2,00
2019-07-07;16,00;1,00;38,00;1,00;3,00
2019-07-14;16,00;2,00;38,00;1,00;4,00
2019-07-21;20,00;2,00;33,00;1,00;4,00
2019-07-28;18,00;0,50;32,00;2,00;3,00
2019-08-04;21,00;3,00;35,00;1,00;1,00
2019-08-11;23,00;1,00;29,00;3,00;1,00
2019-08-18;21,00;1,00;34,00;0,50;2,00
2019-08-25;27,00;1,00;32,00;1,00;1,00
2019-09-01;17,00;1,00;30,00;2,00;2,00
2019-09-08;19,00;1,00;26,00;2,00;2,00
2019-09-15;18,00;1,00;28,00;0,50;1,00
2019-09-22;19,00;1,00;29,00;2,00;1,00
2019-09-29;16,00;1,00;27,00;1,00;2,00
2019-10-06;18,00;1,00;29,00;1,00;2,00
2019-10-13;18,00;2,00;29,00;0,50;3,00
2019-10-20;18,00;2,00;29,00;2,00;1,00
2019-10-27;18,00;1,00;26,00;1,00;2,00
2019-11-03;19,00;2,00;27,00;2,00;2,00
2019-11-10;20,00;1,00;25,00;3,00;2,00
2019-11-17;16,00;2,00;28,00;2,00;4,00
2019-11-24;15,00;2,00;29,00;1,00;1,00
2019-12-01;14,00;2,00;28,00;1,00;1,00
2019-12-08;16,00;1,00;30,00;3,00;1,00
2019-12-15;16,00;2,00;33,00;1,00;1,00
2019-12-22;17,00;3,00;38,00;2,00;3,00
2019-12-29;21,00;3,00;37,00;1,00;1,00
2020-01-05;17,00;1,00;50,00;2,00;3,00
2020-01-12;23,00;2,00;40,00;2,00;4,00
2020-01-19;22,00;1,00;40,00;5,00;6,00
2020-01-26;22,00;2,00;33,00;1,00;2,00
2020-02-02;17,00;3,00;33,00;3,00;2,00
2020-02-09;20,00;1,00;33,00;2,00;2,00
2020-02-16;19,00;3,00;36,00;2,00;2,00
2020-02-23;16,00;0,50;33,00;2,00;5,00
2020-03-01;17,00;1,00;28,00;2,00;3,00
2020-03-08;17,00;2,00;34,00;1,00;2,00
2020-03-15;14,00;2,00;28,00;2,00;2,00
2020-03-22;11,00;0,50;24,00;0,00;2,00
2020-03-29;9,00;1,00;19,00;1,00;2,00
2020-04-05;14,00;2,00;31,00;7,00;3,00
2020-04-12;13,00;1,00;25,00;3,00;1,00
2020-04-19;14,00;1,00;30,00;2,00;3,00
2020-04-26;12,00;2,00;28,00;1,00;2,00
2020-05-03;14,00;2,00;30,00;2,00;1,00
2020-05-10;12,00;1,00;30,00;2,00;3,00
2020-05-17;12,00;2,00;30,00;0,00;1,00
2020-05-24;12,00;1,00;23,00;3,00;2,00
2020-05-31;12,00;1,00;26,00;0,50;2,00
2020-06-07;13,00;0,00;27,00;2,00;1,00
2020-06-14;10,00;1,00;25,00;0,50;2,00
2020-06-21;14,00;1,00;31,00;1,00;3,00
2020-06-28;14,00;1,00;27,00;2,00;1,00
2020-07-05;12,00;1,00;24,00;1,00;1,00
2020-07-12;16,00;1,00;24,00;1,00;2,00
2020-07-19;11,00;1,00;20,00;1,00;1,00
2020-07-26;15,00;1,00;21,00;1,00;1,00
2020-08-02;21,00;1,00;20,00;0,50;1,00
2020-08-09;20,00;1,00;29,00;1,00;1,00
2020-08-16;14,00;1,00;32,00;1,00;1,00
2020-08-23;15,00;1,00;27,00;2,00;1,00
2020-08-30;14,00;1,00;23,00;1,00;1,00
2020-09-06;14,00;1,00;22,00;1,00;1,00
2020-09-13;15,00;2,00;21,00;1,00;2,00
2020-09-20;11,00;1,00;21,00;1,00;3,00
2020-09-27;12,00;2,00;28,00;2,00;2,00
2020-10-04;13,00;3,00;22,00;7,00;1,00
2020-10-11;15,00;1,00;19,00;0,50;0,50
2020-10-18;12,00;3,00;23,00;1,00;1,00
2020-10-25;14,00;0,50;22,00;1,00;1,00
2020-11-01;8,00;1,00;13,00;1,00;1,00
2020-11-08;13,00;1,00;17,00;2,00;2,00
2020-11-15;9,00;1,00;15,00;1,00;2,00
2020-11-22;12,00;1,00;16,00;3,00;1,00
2020-11-29;13,00;1,00;22,00;0,50;1,00
2020-12-06;18,00;1,00;25,00;1,00;2,00
2020-12-13;16,00;1,00;20,00;1,00;1,00
2020-12-20;11,00;1,00;22,00;1,00;2,00
2020-12-27;15,00;3,00;33,00;1,00;2,00
2021-01-03;16,00;0,50;21,00;2,00;2,00
2021-01-10;17,00;1,00;20,00;1,00;1,00
2021-01-17;13,00;1,00;19,00;1,00;2,00
2021-01-24;14,00;1,00;25,00;1,00;1,00
2021-01-31;15,00;2,00;26,00;1,00;3,00
2021-02-07;9,00;2,00;23,00;1,00;1,00
2021-02-14;13,00;2,00;24,00;1,00;1,00
2021-02-21;12,00;1,00;20,00;1,00;1,00
2021-02-28;12,00;0,50;24,00;2,00;1,00
2021-03-07;13,00;0,50;23,00;2,00;1,00
2021-03-14;14,00;2,00;23,00;2,00;2,00
2021-03-21;19,00;0,50;22,00;2,00;3,00
2021-03-28;10,00;1,00;28,00;0,50;1,00
2021-04-04;13,00;1,00;27,00;2,00;1,00
2021-04-11;18,00;1,00;29,00;2,00;1,00
2021-04-18;15,00;2,00;34,00;4,00;2,00
2021-04-25;13,00;1,00;27,00;4,00;2,00
2021-05-02;22,00;2,00;28,00;3,00;2,00
2021-05-09;19,00;1,00;31,00;2,00;1,00
2021-05-16;21,00;2,00;21,00;2,00;2,00
2021-05-23;15,00;2,00;27,00;1,00;2,00
2021-05-30;17,00;0,50;23,00;3,00;2,00
2021-06-06;15,00;1,00;25,00;3,00;3,00
2021-06-13;20,00;1,00;19,00;1,00;1,00
2021-06-20;17,00;1,00;22,00;1,00;2,00
2021-06-27;21,00;3,00;24,00;1,00;1,00
2021-07-04;19,00;2,00;23,00;2,00;1,00
2021-07-11;18,00;2,00;23,00;0,50;3,00
2021-07-18;19,00;2,00;27,00;2,00;4,00
2021-07-25;17,00;1,00;29,00;1,00;2,00
2021-08-01;16,00;3,00;27,00;2,00;1,00
2021-08-08;20,00;1,00;26,00;1,00;2,00
2021-08-15;21,00;1,00;19,00;1,00;3,00
2021-08-22;18,00;1,00;95,00;1,00;1,00
2021-08-29;15,00;1,00;38,00;1,00;2,00
2021-09-05;13,00;2,00;27,00;1,00;0,00
2021-09-12;13,00;1,00;27,00;0,50;1,00
2021-09-19;17,00;1,00;24,00;2,00;2,00
2021-09-26;10,00;1,00;26,00;0,50;1,00
2021-10-03;10,00;2,00;20,00;1,00;1,00
2021-10-10;16,00;2,00;23,00;2,00;2,00
2021-10-17;14,00;2,00;20,00;1,00;1,00
2021-10-24;12,00;1,00;23,00;1,00;2,00
2021-10-31;13,00;1,00;17,00;1,00;1,00
2021-11-07;15,00;1,00;25,00;1,00;1,00
2021-11-14;10,00;1,00;19,00;0,50;0,50
2021-11-21;14,00;2,00;18,00;1,00;1,00
2021-11-28;12,00;2,00;24,00;1,00;2,00
2021-12-05;13,00;3,00;25,00;1,00;1,00
2021-12-12;12,00;9,00;23,00;1,00;2,00
2021-12-19;17,00;1,00;22,00;2,00;2,00
2021-12-26;13,00;3,00;28,00;0,50;2,00
