Semaine;Val de Loire (FR);Chateaux Loire (US);Bourgogne (FR);Drome (FR);Vaucluse (FR);Ardeche (FR);Baie de Somme (FR);Montagne du Luberon (FR);Auvergne (FR);Perigord (FR);Alsace (FR);Provence (FR);Morbihan (US);Gers (FR);Massif Central (FR);Normandie (FR);Cévennes (FR);Morvan (FR);Vosges (FR);Chantilly (FR);Languedoc Roussillon (FR)
2019-01-06;0,00;0,00;0,00;0,00;17,00;16,00;8,00;0,00;8,00;0,00;40,00;70,00;10,00;0,00;0,00;0,00;0,00;0,00;33,00;0,00;17,00
2019-01-13;0,00;0,00;0,00;0,00;0,00;24,00;8,00;8,00;8,00;0,00;0,00;20,00;0,00;0,00;0,00;35,00;0,00;100,00;50,00;17,00;33,00
2019-01-20;83,00;83,00;0,00;0,00;0,00;48,95;0,00;0,00;0,00;0,00;67,44;100,29;32,85;0,00;0,00;0,00;0,00;0,00;16,60;16,60;49,80
2019-01-27;0,00;17,00;0,00;0,00;0,00;8,00;0,00;0,00;0,00;0,00;40,00;10,00;0,00;0,00;0,00;0,00;9,00;16,00;65,00;0,00;0,00
2019-02-03;36,00;18,00;0,00;0,00;0,00;18,00;0,00;0,00;18,00;0,00;17,14;36,00;0,00;0,00;0,00;0,00;0,00;0,00;90,00;0,00;0,00
2019-02-10;18,00;18,00;0,00;0,00;0,00;18,00;36,00;18,00;18,00;18,00;37,80;55,80;0,00;0,00;0,00;0,00;0,00;0,00;36,00;0,00;0,00
2019-02-17;53,00;53,00;0,00;0,00;18,00;16,96;16,96;0,00;0,00;17,10;53,00;53,00;0,00;0,00;17,67;53,00;0,00;0,00;17,67;0,00;17,67
2019-02-24;18,00;18,00;0,00;0,00;18,00;56,25;36,00;0,00;0,00;0,00;55,80;37,80;0,00;0,00;0,00;90,00;0,00;0,00;54,00;0,00;0,00
2019-03-03;18,00;18,00;0,00;18,00;0,00;0,00;56,25;0,00;18,00;0,00;55,80;111,60;0,00;0,00;0,00;0,00;0,00;0,00;36,00;0,00;0,00
2019-03-10;0,00;0,00;0,00;0,00;0,00;16,00;8,00;0,00;8,00;10,00;20,00;41,00;0,00;0,00;0,00;18,00;0,00;0,00;17,00;0,00;0,00
2019-03-17;0,00;18,00;18,00;0,00;0,00;17,00;42,00;0,00;0,00;0,00;42,00;21,00;0,00;0,00;0,00;28,00;0,00;0,00;35,00;0,00;0,00
2019-03-24;18,00;18,00;18,00;18,00;0,00;34,00;0,00;16,00;0,00;0,00;34,36;52,36;18,00;0,00;0,00;56,00;38,00;0,00;0,00;0,00;18,00
2019-03-31;17,00;35,00;0,00;17,00;17,00;17,00;17,00;17,00;0,00;0,00;34,00;68,00;0,00;0,00;0,00;83,11;0,00;0,00;50,00;17,00;50,00
2019-04-07;55,00;37,00;0,00;18,00;0,00;17,60;0,00;0,00;0,00;18,91;110,00;0,00;0,00;0,00;0,00;147,32;0,00;0,00;36,32;0,00;18,68
2019-04-14;0,00;0,00;19,00;0,00;19,00;26,00;0,00;0,00;0,00;0,00;44,00;11,00;0,00;0,00;0,00;29,00;0,00;0,00;36,00;0,00;0,00
2019-04-21;18,00;18,00;18,00;36,00;0,00;18,00;38,25;0,00;0,00;0,00;55,80;18,00;0,00;0,00;0,00;18,00;0,00;0,00;0,00;18,00;0,00
