Semaine;Nice (FR);Biarritz (FR);Ars en Ré (FR);Saint Malo (FR);Le Cap d Agde (FR);Fréjus (FR);Cannes (FR);Antibes (FR);Le Touquet (BE);Le Barcarès (FR);Deauville (FR);Porto Vecchio (FR);Lacanau (FR);Palavas les Flots (FR);Argelès sur Mer (FR);Carnac (FR);Arcachon (FR);Le Grau du Roi (FR);Cap Ferret (FR);Biscarrosse (FR);La Baule Escoublac (FR)
2019-01-06;44,00;19,56;12,22;6,11;19,56;19,00;0,00;12,00;6,00;12,00;6,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-13;38,00;6,13;12,26;6,13;31,87;6,00;6,00;6,00;0,00;19,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-20;48,00;0,00;24,00;0,00;12,00;6,00;0,00;6,00;6,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-27;31,00;6,20;18,60;6,20;0,00;6,00;6,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-03;32,00;0,00;32,00;18,96;5,93;0,00;0,00;6,00;6,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-10;38,00;24,94;19,00;0,00;24,94;0,00;13,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-17;32,00;13,04;5,93;0,00;5,93;13,00;0,00;6,00;6,00;0,00;6,00;19,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-24;64,00;6,04;19,32;13,28;13,28;6,00;0,00;0,00;6,00;6,00;6,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-03;39,00;0,00;6,09;25,59;19,50;6,00;6,00;13,00;19,00;6,00;6,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;6,00;0,00
2019-03-10;32,00;6,15;19,69;0,00;13,54;6,00;6,00;6,00;0,00;6,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-17;33,00;0,00;39,11;6,11;0,00;13,00;0,00;0,00;0,00;0,00;7,00;7,00;0,00;0,00;0,00;13,00;0,00;0,00;7,00;0,00;0,00
2019-03-24;7,00;22,40;22,40;30,80;7,00;7,00;0,00;13,00;7,00;7,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-31;63,00;19,38;31,50;6,06;31,50;25,00;13,00;0,00;6,00;6,00;0,00;0,00;13,00;0,00;0,00;0,00;0,00;6,00;0,00;0,00;6,00
2019-04-07;79,00;19,15;32,32;13,17;26,33;13,00;7,00;7,00;13,00;7,00;0,00;7,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-14;34,00;13,36;61,93;27,93;13,36;7,00;14,00;0,00;0,00;7,00;0,00;7,00;0,00;0,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00
2019-04-21;58,00;19,33;32,63;19,33;19,33;13,00;6,00;6,00;6,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;6,00
2019-04-28;42,00;6,00;18,00;12,00;6,00;18,00;18,00;6,00;6,00;0,00;0,00;12,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;6,00
2019-05-05;42,00;12,00;24,00;6,00;30,00;0,00;12,00;0,00;0,00;6,00;6,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-05-12;81,00;12,09;31,43;18,13;37,48;12,00;6,00;12,00;6,00;6,00;0,00;6,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-05-19;42,00;6,00;18,00;30,00;0,00;18,00;12,00;6,00;0,00;6,00;0,00;0,00;0,00;0,00;6,00;0,00;6,00;0,00;0,00;0,00;0,00
2019-05-26;30,00;12,00;6,00;12,00;30,00;12,00;6,00;12,00;6,00;18,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-06-02;62,00;16,69;22,65;5,96;16,69;17,00;11,00;6,00;6,00;0,00;6,00;6,00;11,00;0,00;6,00;0,00;11,00;6,00;0,00;0,00;0,00
2019-06-09;65,00;28,89;12,04;12,04;22,87;29,00;0,00;23,00;6,00;12,00;0,00;12,00;0,00;12,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-06-16;73,00;11,97;17,95;5,98;11,97;12,00;6,00;0,00;0,00;6,00;6,00;12,00;0,00;12,00;0,00;0,00;0,00;12,00;0,00;0,00;6,00
2019-06-23;26,00;18,91;44,91;5,91;31,91;13,00;20,00;13,00;7,00;7,00;0,00;7,00;13,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-06-30;92,00;19,37;46,00;32,68;52,05;39,00;13,00;7,00;7,00;0,00;0,00;7,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;7,00
2019-07-07;84,00;0,00;38,96;25,57;38,96;32,00;6,00;13,00;6,00;13,00;0,00;13,00;0,00;13,00;0,00;0,00;13,00;6,00;0,00;6,00;0,00
2019-07-14;68,00;7,29;47,36;34,00;54,64;41,00;14,00;14,00;7,00;20,00;7,00;7,00;14,00;7,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00
2019-07-21;100,00;36,14;71,08;14,46;28,92;21,00;14,00;7,00;7,00;0,00;0,00;7,00;7,00;7,00;0,00;0,00;0,00;0,00;7,00;0,00;0,00
2019-07-28;76,00;34,98;34,98;27,75;41,02;49,00;7,00;7,00;7,00;21,00;0,00;0,00;0,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00
2019-08-04;67,00;26,32;46,66;26,32;20,34;13,00;33,00;13,00;7,00;13,00;7,00;7,00;7,00;0,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00
2019-08-11;45,00;0,00;45,00;32,84;38,92;6,00;6,00;0,00;0,00;13,00;0,00;13,00;0,00;0,00;0,00;6,00;6,00;0,00;0,00;0,00;6,00
2019-08-18;60,00;46,80;7,20;26,40;52,80;40,00;20,00;13,00;7,00;0,00;13,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
