Semaine;Chamonix (FR);Val Thorens (FR);Alpe d Huez (FR);Les Deux Alpes (FR);Tignes (FR);Les Arcs (FR);Les Ménuires (FR);Avoriaz (FR);La Plagne (FR);La Clusaz (FR);Morzine (FR);Châtel (FR);Les Gets (FR);Val Cenis (FR);Courchevel (FR);Serre Chevalier (FR);Samoëns (FR);Valloire (FR);Méribel (FR);Val d Isère (FR);Megève (FR);Vars (FR);Grand Bornand (FR);Font Romeu (FR);St Lary (FR);Barèges (FR);La Mongie (FR);Peyragudes (FR)
2019-01-06;50,00;70,21;79,79;50,00;79,79;99,00;49,00;50,00;30,00;40,00;30,00;30,00;20,00;20,00;20,00;20,00;10,00;30,00;20,00;0,00;0,00;0,00;10,00;0,00;0,00;0,00;0,00;0,00
2019-01-13;100,00;40,00;49,47;69,47;29,47;89,00;79,00;20,00;20,00;40,00;20,00;20,00;10,00;0,00;0,00;20,00;0,00;10,00;10,00;30,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-20;29,00;97,74;77,33;48,33;19,33;28,00;28,00;10,00;29,00;0,00;19,00;48,00;19,00;0,00;10,00;19,00;10,00;0,00;10,00;0,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-27;20,00;68,42;68,42;58,95;38,95;51,58;30,53;51,58;21,05;39,00;10,00;10,00;0,00;10,00;10,00;0,00;10,00;10,00;10,00;20,00;39,00;0,00;0,00;10,00;0,00;0,00;0,00;0,00
2019-02-03;10,00;58,00;48,00;58,00;19,00;41,00;10,00;20,00;31,00;31,00;20,00;10,00;20,00;10,00;0,00;0,00;31,00;20,00;20,00;0,00;10,00;0,00;10,00;0,00;0,00;0,00;0,00;0,00
2019-02-10;0,00;29,00;67,00;58,00;19,00;10,00;20,00;20,00;10,00;0,00;10,00;20,00;0,00;0,00;10,00;10,00;20,00;10,00;0,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-17;31,00;41,69;41,69;41,69;10,69;10,00;20,00;10,00;0,00;10,00;21,00;10,00;0,00;20,00;0,00;0,00;10,00;0,00;0,00;0,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-24;20,00;71,58;50,53;0,00;70,53;81,00;81,00;31,00;0,00;41,00;20,00;51,00;10,00;0,00;20,00;41,00;0,00;10,00;10,00;20,00;20,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-03;0,00;29,00;88,00;58,00;29,00;41,00;71,00;31,00;31,00;31,00;0,00;21,00;10,00;0,00;10,00;10,00;0,00;0,00;21,00;31,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-10;20,00;40,00;90,53;81,05;60,00;70,00;60,00;20,00;30,00;0,00;10,00;0,00;0,00;0,00;10,00;10,00;0,00;10,00;0,00;0,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-17;21,00;30,45;21,00;0,00;51,45;41,00;21,00;10,00;0,00;0,00;10,00;21,00;0,00;0,00;10,00;0,00;21,00;10,00;10,00;0,00;0,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-24;32,00;21,33;10,67;10,67;21,33;10,00;0,00;0,00;11,00;21,00;11,00;0,00;0,00;11,00;11,00;21,00;21,00;0,00;0,00;0,00;11,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-31;10,00;52,22;0,00;31,11;21,11;59,00;10,00;30,00;10,00;20,00;10,00;10,00;0,00;0,00;0,00;20,00;10,00;10,00;10,00;0,00;0,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-07;42,00;31,50;52,50;84,00;21,00;52,00;52,00;0,00;32,00;32,00;0,00;11,00;0,00;0,00;21,00;0,00;0,00;0,00;0,00;0,00;0,00;11,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-14;11,00;11,00;0,00;0,00;0,00;0,00;11,00;11,00;0,00;11,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;11,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
