Semaine;Tahiti (PF);Guadeloupe (GP);Martinique (LC);Réunion (RE);Guyane (GF);St Barthélémy (BL);Mayotte (YT);Saint Martin (ile d Amérique du nord) (MF);Nouvelle Caledonie (NC)
2019-01-06;17,00;82,57;82,57;114,14;0,00;0,00;0,00;34,00;0,00
2019-01-13;17,00;48,57;17,00;165,14;0,00;0,00;0,00;17,00;0,00
2019-01-20;0,00;6,00;6,00;13,00;0,00;0,00;0,00;0,00;0,00
2019-01-27;17,00;80,14;48,57;48,57;0,00;17,00;17,00;34,00;0,00
2019-02-03;35,00;70,00;35,00;70,00;0,00;0,00;18,00;0,00;0,00
2019-02-10;35,00;52,50;17,50;35,00;0,00;0,00;0,00;35,00;0,00
2019-02-17;0,00;41,00;14,00;21,00;0,00;0,00;0,00;18,00;0,00
2019-02-24;53,00;103,48;0,00;70,67;17,67;0,00;0,00;18,00;0,00
2019-03-03;0,00;35,00;14,00;42,00;0,00;18,00;0,00;18,00;0,00
2019-03-10;17,00;48,57;48,57;165,14;0,00;0,00;0,00;35,00;0,00
2019-03-17;36,00;18,00;36,00;72,00;0,00;0,00;0,00;0,00;0,00
2019-03-24;18,00;54,00;36,00;36,00;0,00;18,00;18,00;18,00;0,00
2019-03-31;0,00;27,00;34,00;27,00;0,00;0,00;0,00;17,00;0,00
2019-04-07;55,00;112,62;55,00;112,62;0,00;18,00;0,00;0,00;0,00
2019-04-14;19,00;19,00;0,00;78,71;0,00;0,00;37,00;0,00;19,00
2019-04-21;35,00;35,00;87,50;17,50;0,00;0,00;0,00;18,00;0,00
2019-04-28;33,00;33,00;0,00;81,23;0,00;0,00;0,00;0,00;0,00
2019-05-05;33,00;33,00;15,23;33,00;0,00;0,00;16,00;0,00;0,00
2019-05-12;17,00;65,57;31,57;128,71;0,00;0,00;0,00;17,00;17,00
2019-05-19;17,00;110,50;53,83;90,67;17,00;0,00;0,00;17,00;0,00
2019-05-26;0,00;26,00;0,00;33,00;0,00;0,00;17,00;0,00;0,00
2019-06-02;0,00;18,00;12,00;43,00;6,00;0,00;0,00;16,00;0,00
2019-06-09;16,00;66,67;16,00;117,33;0,00;0,00;0,00;0,00;0,00
2019-06-16;17,00;80,14;17,00;48,57;0,00;0,00;17,00;0,00;0,00
2019-06-23;18,00;72,00;54,00;108,00;0,00;0,00;18,00;0,00;18,00
2019-06-30;18,00;54,00;36,00;54,00;0,00;0,00;0,00;0,00;0,00
2019-07-07;35,00;85,00;17,50;120,00;0,00;0,00;0,00;18,00;18,00
2019-07-14;56,00;112,00;73,82;94,18;0,00;0,00;0,00;0,00;0,00
2019-07-21;59,00;59,00;38,48;138,52;0,00;0,00;0,00;20,00;20,00
2019-07-28;19,00;59,71;59,71;59,71;0,00;0,00;0,00;0,00;0,00
2019-08-04;37,00;37,00;18,50;95,14;0,00;18,00;37,00;0,00;0,00
2019-08-11;35,00;52,50;52,50;120,00;0,00;0,00;18,00;0,00;0,00
2019-08-18;0,00;14,00;7,00;21,00;0,00;0,00;0,00;18,00;0,00
2019-08-25;52,00;70,20;52,00;143,00;0,00;17,00;17,00;0,00;0,00
