Semaine;Nice (FR);Paris (FR);Lille (FR);Strasbourg (FR);Lyon (FR);Marseille (FR);Bordeaux (FR);Tours (FR);Toulouse (FR);Montpellier (FR);Nantes (FR);Avignon (FR);Dijon (FR)
2019-01-06;44,00;330,00;110,00;22,00;44,00;6,60;25,30;12,10;18,70;12,00;6,00;12,00;6,00
2019-01-13;38,00;361,00;95,00;57,00;38,00;38,00;0,00;18,46;11,94;13,00;13,00;0,00;6,00
2019-01-20;48,00;320,00;96,00;32,00;16,00;54,55;17,45;12,00;12,00;0,00;18,00;6,00;0,00
2019-01-27;31,00;201,50;62,00;7,75;15,50;18,82;37,64;0,00;6,64;0,00;6,00;0,00;0,00
2019-02-03;32,00;256,00;48,00;32,00;48,00;26,48;19,86;6,62;6,62;13,00;6,00;6,00;6,00
2019-02-10;38,00;247,00;133,00;38,00;19,00;13,03;13,03;0,00;31,49;19,00;0,00;19,00;0,00
2019-02-17;32,00;304,00;96,00;16,00;16,00;19,86;13,24;13,24;6,62;19,00;26,00;6,00;0,00
2019-02-24;64,00;362,67;64,00;42,67;21,33;37,97;37,97;6,51;6,51;0,00;13,00;6,00;6,00
2019-03-03;39,00;351,00;78,00;19,50;39,00;39,00;26,00;0,00;6,50;19,00;6,00;19,00;0,00
2019-03-10;32,00;272,00;80,00;48,00;32,00;32,00;18,76;0,00;6,62;0,00;13,00;13,00;6,00
2019-03-17;33,00;247,50;66,00;16,50;33,00;33,00;0,00;0,00;13,20;13,00;7,00;6,00;0,00
2019-03-24;7,00;280,00;84,00;14,00;14,00;43,17;42,00;7,00;14,00;0,00;0,00;26,00;0,00
2019-03-31;63,00;378,00;105,00;21,00;42,00;38,02;24,98;24,98;6,52;0,00;0,00;6,00;0,00
2019-04-07;79,00;493,75;177,75;59,25;39,50;38,96;32,47;6,49;6,49;7,00;7,00;26,00;0,00
2019-04-14;34,00;1700,00;102,00;17,00;17,00;27,42;27,42;13,16;13,16;7,00;14,00;27,00;0,00
2019-04-21;58,00;270,67;135,33;19,33;19,33;51,43;51,43;13,13;13,13;6,00;13,00;0,00;13,00
2019-04-28;42,00;294,00;126,00;21,00;21,00;23,69;52,77;11,85;11,85;6,00;12,00;18,00;12,00
2019-05-05;42,00;315,00;105,00;21,00;21,00;23,69;5,38;5,38;0,00;12,00;0,00;24,00;12,00
2019-05-12;81,00;344,25;101,25;20,25;20,25;55,82;49,26;0,00;25,18;0,00;6,00;6,00;6,00
2019-05-19;42,00;315,00;105,00;21,00;42,00;35,54;30,15;11,85;18,31;12,00;0,00;12,00;0,00
2019-05-26;30,00;225,00;90,00;30,00;30,00;41,79;30,00;11,79;23,57;36,00;6,00;6,00;0,00
2019-06-02;62,00;310,00;82,67;41,33;41,33;45,68;10,88;22,84;17,40;34,00;23,00;11,00;17,00
2019-06-09;65,00;276,25;65,00;16,25;32,50;53,98;41,86;35,25;17,63;6,00;6,00;18,00;18,00
2019-06-16;73,00;273,75;91,25;18,25;18,25;54,48;49,03;6,54;42,49;24,00;6,00;24,00;12,00
2019-06-23;26,00;338,00;130,00;52,00;26,00;65,00;32,50;6,50;6,50;7,00;20,00;7,00;0,00
2019-06-30;92,00;386,40;92,00;36,80;18,40;52,57;39,43;19,71;59,14;20,00;7,00;39,00;26,00
2019-07-07;84,00;336,00;117,60;33,60;33,60;70,91;44,73;19,64;31,64;26,00;26,00;38,00;6,00
2019-07-14;68,00;340,00;170,00;17,00;34,00;48,26;13,16;20,84;34,00;14,00;7,00;27,00;20,00
2019-07-21;100,00;440,00;120,00;20,00;40,00;78,26;14,13;7,61;28,26;21,00;14,00;14,00;29,00
2019-07-28;76,00;361,00;114,00;38,00;19,00;48,86;55,37;6,51;0,00;14,00;28,00;21,00;7,00
2019-08-04;67,00;268,00;134,00;50,25;50,25;81,28;40,64;13,18;34,05;7,00;20,00;33,00;13,00
2019-08-11;45,00;495,00;225,00;45,00;45,00;51,59;31,83;0,00;19,76;13,00;19,00;6,00;13,00
2019-08-18;60,00;400,00;120,00;20,00;60,00;53,45;13,09;26,18;19,64;33,00;13,00;7,00;0,00
2019-08-25;57,00;285,00;95,00;19,00;38,00;31,79;13,15;6,58;6,58;44,00;6,00;6,00;6,00
2019-09-01;93,00;372,00;111,60;18,60;37,20;55,80;12,04;25,16;6,56;6,00;19,00;0,00;0,00
2019-09-08;75,00;337,50;93,75;37,50;18,75;44,12;68,38;18,75;12,13;25,00;6,00;25,00;0,00
2019-09-15;43,00;408,50;150,50;64,50;21,50;56,23;18,74;12,13;6,62;6,00;6,00;6,00;0,00
2019-09-22;47,00;329,00;62,67;15,67;31,33;47,00;34,98;17,49;0,00;12,00;24,00;6,00;6,00
2019-09-29;77,00;385,00;115,50;19,25;57,75;41,80;17,60;17,60;0,00;6,00;23,00;18,00;0,00
2019-10-06;30,00;210,00;90,00;15,00;15,00;30,00;30,00;5,56;5,56;6,00;18,00;0,00;0,00
2019-10-13;53,00;300,33;141,33;53,00;17,67;34,61;5,41;5,41;11,90;6,00;0,00;0,00;12,00
2019-10-20;18,00;414,00;144,00;36,00;18,00;37,13;5,63;0,00;12,38;0,00;6,00;12,00;6,00
2019-10-27;30,00;375,00;90,00;15,00;30,00;12,22;17,78;5,56;24,44;6,00;12,00;0,00;0,00
2019-11-03;17,00;340,00;85,00;17,00;34,00;34,00;5,31;5,31;5,31;6,00;6,00;0,00;6,00
2019-11-10;41,00;533,00;82,00;61,50;20,50;17,26;23,74;0,00;5,39;0,00;0,00;0,00;6,00
2019-11-17;41,00;287,00;82,00;61,50;20,50;17,26;23,74;5,39;11,87;0,00;18,00;0,00;0,00
2019-11-24;23,00;368,00;115,00;69,00;23,00;56,95;10,95;5,48;10,95;0,00;11,00;0,00;11,00
2019-12-01;35,00;227,50;87,50;52,50;35,00;35,00;12,03;17,50;22,97;6,00;12,00;12,00;0,00
2019-12-08;40,00;320,00;100,00;40,00;20,00;33,51;22,70;10,81;5,41;23,00;6,00;0,00;6,00
2019-12-15;45,00;450,00;135,00;67,50;45,00;38,57;5,36;38,57;22,50;0,00;11,00;6,00;0,00
2019-12-22;43,00;430,00;129,00;43,00;21,50;30,10;6,45;0,00;0,00;0,00;0,00;0,00;0,00
2019-12-29;42,00;420,00;63,00;21,00;21,00;23,69;23,69;0,00;11,85;18,00;12,00;18,00;6,00
2020-01-05;38,00;304,00;76,00;38,00;38,00;32,57;38,00;5,43;10,86;11,00;0,00;5,00;11,00
2020-01-12;32,00;304,00;96,00;16,00;16,00;22,07;5,52;22,07;26,48;11,00;5,00;5,00;5,00
2020-01-19;22,00;374,00;110,00;44,00;22,00;45,10;16,50;11,00;5,50;11,00;6,00;17,00;22,00
2020-01-26;22,00;462,00;176,00;44,00;22,00;45,10;44,00;16,50;16,50;6,00;0,00;11,00;6,00
2020-02-02;55,00;256,67;110,00;18,33;18,33;10,78;37,75;5,39;16,18;6,00;22,00;6,00;17,00
2020-02-09;49,00;326,67;32,67;32,67;32,67;22,27;11,14;27,84;16,70;5,00;11,00;5,00;11,00
2020-02-16;65,00;260,00;81,25;16,25;48,75;43,33;16,25;5,42;5,42;0,00;11,00;5,00;5,00
2020-02-23;48,00;224,00;80,00;32,00;16,00;48,00;26,18;10,91;5,45;5,00;5,00;5,00;5,00
2020-03-01;27,00;378,00;81,00;27,00;54,00;58,32;27,00;27,00;16,20;11,00;16,00;11,00;5,00
2020-03-08;48,00;224,00;64,00;16,00;16,00;20,73;20,73;0,00;5,45;5,00;5,00;5,00;5,00
2020-03-15;26,00;234,00;13,00;26,00;26,00;20,58;5,42;0,00;15,17;21,00;11,00;0,00;0,00
2020-03-22;5,00;70,00;5,00;5,00;5,00;19,00;5,00;0,00;0,00;0,00;0,00;0,00;5,00
2020-03-29;35,00;140,00;17,50;8,75;8,75;5,30;5,30;0,00;0,00;10,00;5,00;0,00;5,00
2020-04-05;11,00;55,00;11,00;11,00;0,00;11,00;5,50;15,40;0,00;5,00;5,00;5,00;0,00
2020-04-12;10,00;50,00;10,00;0,00;10,00;10,00;5,56;0,00;0,00;5,00;0,00;0,00;0,00
2020-04-19;15,00;60,00;15,00;15,00;0,00;15,00;0,00;5,36;9,64;5,00;10,00;0,00;0,00
2020-04-26;5,00;60,00;10,00;10,00;5,00;16,25;0,00;11,25;0,00;0,00;0,00;0,00;5,00
2020-05-03;15,00;30,00;30,00;7,50;15,00;0,00;0,00;9,64;0,00;5,00;0,00;5,00;0,00
2020-05-10;20,00;80,00;20,00;20,00;10,00;15,56;10,00;0,00;10,00;0,00;5,00;0,00;5,00
2020-05-17;16,00;48,00;16,00;8,00;16,00;21,71;16,00;0,00;5,71;0,00;0,00;0,00;0,00
2020-05-24;35,00;87,50;17,50;17,50;17,50;25,16;0,00;9,84;25,16;0,00;10,00;10,00;10,00
2020-05-31;38,00;95,00;76,00;19,00;38,00;28,23;14,11;0,00;14,11;14,00;10,00;19,00;0,00
2020-06-07;33,00;115,50;33,00;16,50;33,00;28,60;28,60;0,00;9,90;5,00;5,00;5,00;0,00
2020-06-14;44,00;132,00;44,00;44,00;66,00;63,80;24,20;14,30;24,20;29,00;0,00;5,00;25,00
2020-06-21;52,00;225,33;52,00;17,33;17,33;42,04;30,98;15,49;0,00;10,00;5,00;21,00;5,00
2020-06-28;66,00;198,00;82,50;33,00;49,50;71,50;46,20;19,80;15,40;25,00;0,00;30,00;25,00
2020-07-05;70,00;227,50;140,00;35,00;35,00;75,47;37,19;10,94;31,72;21,00;5,00;11,00;5,00
2020-07-12;69,00;276,00;69,00;17,25;69,00;92,00;33,95;5,48;5,48;0,00;86,00;17,00;11,00
2020-07-19;60,00;260,00;100,00;40,00;20,00;72,00;17,45;17,45;5,45;18,00;36,00;0,00;12,00
2020-07-26;40,00;220,00;80,00;20,00;20,00;50,81;28,11;5,41;0,00;11,00;46,00;11,00;6,00
2020-08-02;55,00;201,67;73,33;36,67;55,00;44,22;32,35;10,78;10,78;17,00;17,00;28,00;11,00
2020-08-09;15,00;165,00;45,00;15,00;15,00;40,71;35,36;9,64;9,64;31,00;5,00;15,00;5,00
2020-08-16;32,00;160,00;48,00;16,00;16,00;107,03;43,03;5,52;5,52;21,00;5,00;21,00;0,00
2020-08-23;53,00;159,00;53,00;17,67;17,67;25,96;25,96;0,00;16,22;27,00;11,00;5,00;5,00
2020-08-30;26,00;234,00;104,00;26,00;13,00;36,83;5,42;0,00;0,00;5,00;5,00;5,00;16,00
2020-09-06;16,00;112,00;48,00;16,00;16,00;16,00;32,00;10,67;10,67;16,00;0,00;5,00;5,00
2020-09-13;33,00;115,50;33,00;16,50;16,50;27,50;16,50;11,00;5,50;0,00;0,00;0,00;0,00
2020-09-20;16,00;96,00;48,00;16,00;16,00;5,33;20,27;5,33;10,67;0,00;16,00;0,00;0,00
2020-09-27;27,00;189,00;81,00;27,00;27,00;36,72;0,00;0,00;5,40;0,00;0,00;5,00;5,00
2020-10-04;33,00;115,50;66,00;8,25;16,50;16,50;16,50;0,00;5,50;5,00;0,00;0,00;5,00
2020-10-11;0,00;6,00;3,00;1,00;1,00;0,00;11,00;0,00;11,00;12,00;0,00;6,00;0,00
2020-10-18;0,00;8,00;2,00;0,00;1,00;5,00;0,00;0,00;0,00;0,00;6,00;6,00;0,00
2020-10-25;49,00;98,00;16,33;0,00;16,33;5,44;16,33;5,44;10,89;0,00;0,00;5,00;0,00
2020-11-01;0,00;5,00;1,00;1,00;0,50;14,00;9,00;0,00;0,00;15,00;0,00;0,00;0,00
2020-11-08;5,00;50,00;5,00;10,00;10,00;5,00;0,00;5,00;5,00;5,00;0,00;0,00;0,00
2020-11-15;16,00;64,00;16,00;0,00;16,00;10,67;0,00;0,00;0,00;0,00;0,00;5,00;0,00
2020-11-22;5,00;70,00;20,00;5,00;10,00;5,00;0,00;0,00;0,00;11,00;0,00;0,00;0,00
2020-11-29;16,00;112,00;16,00;0,00;16,00;21,33;5,33;0,00;0,00;0,00;11,00;11,00;0,00
2020-12-06;5,00;40,00;20,00;10,00;5,00;15,00;15,00;0,00;0,00;5,00;0,00;0,00;0,00
2020-12-13;6,00;84,00;12,00;6,00;12,00;24,00;18,00;24,00;0,00;11,00;0,00;6,00;0,00
2020-12-20;12,00;84,00;24,00;6,00;24,00;17,45;5,45;5,45;12,00;0,00;6,00;12,00;6,00
2020-12-27;17,00;153,00;34,00;0,00;0,00;27,63;5,31;0,00;5,31;17,00;6,00;6,00;0,00
2021-01-03;5,00;30,00;10,00;0,00;10,00;15,00;15,00;0,00;5,00;5,00;0,00;0,00;5,00
2021-01-10;5,00;60,00;10,00;5,00;10,00;15,00;5,00;5,00;0,00;5,00;5,00;0,00;0,00
2021-01-17;27,00;135,00;54,00;13,50;13,50;5,40;16,20;5,40;0,00;0,00;5,00;5,00;5,00
2021-01-24;11,00;44,00;11,00;5,50;5,50;5,50;5,50;5,50;0,00;0,00;0,00;5,00;0,00
2021-01-31;11,00;44,00;11,00;0,00;11,00;16,50;11,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-02-07;16,00;80,00;32,00;16,00;8,00;5,33;5,33;5,33;0,00;16,00;16,00;0,00;0,00
2021-02-14;17,00;68,00;34,00;17,00;8,50;17,00;0,00;5,67;0,00;6,00;0,00;0,00;0,00
2021-02-21;11,00;66,00;11,00;0,00;0,00;5,50;0,00;0,00;0,00;0,00;0,00;6,00;0,00
2021-02-28;17,00;102,00;17,00;17,00;17,00;22,67;5,67;0,00;0,00;0,00;6,00;0,00;6,00
2021-03-07;27,00;162,00;54,00;81,00;0,00;21,60;5,40;0,00;21,60;11,00;0,00;0,00;0,00
2021-03-14;10,00;50,00;20,00;10,00;10,00;14,00;5,00;5,00;0,00;5,00;5,00;0,00;0,00
2021-03-21;0,00;4,00;1,00;0,00;0,00;10,00;5,00;5,00;5,00;0,00;5,00;5,00;0,00
2021-03-28;6,00;48,00;24,00;0,00;12,00;13,20;6,00;0,00;0,00;6,00;0,00;12,00;0,00
2021-04-04;16,00;80,00;32,00;16,00;16,00;21,33;5,33;10,67;0,00;5,00;0,00;5,00;0,00
2021-04-11;16,00;64,00;48,00;8,00;16,00;16,00;0,00;10,67;10,67;16,00;0,00;5,00;0,00
2021-04-18;6,00;60,00;12,00;12,00;0,00;13,20;19,20;6,00;6,00;11,00;17,00;0,00;0,00
2021-04-25;17,00;85,00;17,00;0,00;17,00;11,33;11,33;11,33;11,33;11,00;0,00;0,00;0,00
2021-05-02;32,00;80,00;48,00;8,00;0,00;20,97;26,48;0,00;0,00;11,00;5,00;16,00;0,00
2021-05-09;39,00;117,00;39,00;19,50;19,50;27,86;16,71;5,57;5,57;11,00;11,00;5,00;0,00
2021-05-16;43,00;215,00;21,50;43,00;43,00;38,59;22,05;16,54;0,00;16,00;16,00;16,00;0,00
2021-05-23;39,00;175,50;58,50;9,75;19,50;56,33;5,42;5,42;10,83;28,00;0,00;11,00;6,00
2021-05-30;40,00;220,00;80,00;20,00;20,00;23,33;23,33;0,00;11,11;17,00;0,00;11,00;6,00
2021-06-06;51,00;221,00;68,00;8,50;8,50;103,11;11,09;0,00;11,09;6,00;11,00;22,00;6,00
2021-06-13;33,00;198,00;99,00;16,50;8,25;110,00;33,00;11,00;5,50;5,00;5,00;22,00;11,00
2021-06-20;78,00;214,50;78,00;19,50;19,50;72,51;27,46;5,49;10,99;17,00;11,00;39,00;6,00
2021-06-27;22,00;220,00;66,00;0,00;44,00;56,10;33,00;11,00;5,50;17,00;6,00;11,00;11,00
2021-07-04;82,00;307,50;102,50;20,50;41,00;87,39;22,66;17,26;17,26;29,00;18,00;23,00;0,00
2021-07-11;72,00;180,00;126,00;18,00;36,00;84,00;41,45;17,45;18,55;36,00;12,00;36,00;18,00
2021-07-18;82,00;328,00;61,50;20,50;20,50;95,12;40,45;27,33;6,56;14,00;7,00;27,00;14,00
2021-07-25;74,00;296,00;92,50;18,50;37,00;43,53;25,03;18,50;6,53;37,00;12,00;31,00;19,00
2021-08-01;43,00;236,50;86,00;21,50;43,00;48,38;30,10;24,73;36,55;6,00;6,00;25,00;25,00
2021-08-08;70,00;455,00;70,00;17,50;17,50;25,16;18,59;13,13;6,56;19,00;13,00;32,00;26,00
2021-08-15;49,00;245,00;81,67;32,67;32,67;54,44;18,51;18,51;18,51;12,00;12,00;12,00;6,00
2021-08-22;39,00;273,00;97,50;9,75;39,00;79,11;13,37;20,06;6,69;6,00;6,00;6,00;0,00
2021-08-29;39,00;292,50;58,50;19,50;39,00;6,50;19,50;6,50;6,50;19,00;13,00;32,00;13,00
2021-09-05;20,00;320,00;100,00;60,00;40,00;27,78;6,67;13,33;6,67;13,00;7,00;13,00;7,00
2021-09-12;52,00;260,00;86,67;17,33;34,67;26,00;6,50;0,00;26,00;13,00;6,00;26,00;7,00
2021-09-19;13,00;221,00;78,00;26,00;13,00;45,50;19,50;6,50;19,50;7,00;0,00;13,00;13,00
2021-09-26;25,00;425,00;125,00;50,00;50,00;44,57;18,48;13,04;6,52;6,00;6,00;25,00;0,00
2021-10-03;32,00;240,00;48,00;16,00;16,00;32,00;13,24;4,41;4,41;9,00;9,00;5,00;0,00
