Semaine;Val de Loire (FR);Chateaux Loire (US);Bourgogne (FR);Drome (FR);Vaucluse (FR);Ardeche (FR);Baie de Somme (FR);Montagne du Luberon (FR);Auvergne (FR);Perigord (FR);Alsace (FR);Provence (FR);Morbihan (US);Gers (FR);Massif Central (FR);Normandie (FR);Cévennes (FR);Morvan (FR);Vosges (FR);Chantilly (FR);Languedoc Roussillon (FR)
2019-01-06;25,00;25,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;25,00;25,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;25,00
2019-01-13;0,00;25,00;0,00;0,00;0,00;22,00;0,00;0,00;22,00;0,00;45,00;0,00;0,00;0,00;0,00;25,00;0,00;0,00;0,00;0,00;0,00
2019-01-20;0,00;25,00;25,00;25,00;0,00;0,00;22,00;0,00;0,00;0,00;0,00;30,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-27;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;22,00;0,00;30,00;30,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-03;0,00;26,00;0,00;0,00;0,00;46,00;0,00;0,00;23,00;0,00;0,00;31,00;0,00;0,00;0,00;0,00;0,00;0,00;18,00;0,00;0,00
2019-02-10;27,00;27,00;0,00;27,00;0,00;0,00;0,00;27,00;0,00;0,00;79,31;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;27,00
2019-02-17;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;32,00;16,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-24;27,00;27,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;106,31;27,00;0,00;0,00;0,00;0,00;0,00;0,00;27,00;0,00;0,00
2019-03-03;51,00;51,00;0,00;25,00;0,00;51,00;0,00;0,00;0,00;0,00;25,50;0,00;0,00;0,00;0,00;76,00;0,00;0,00;0,00;0,00;0,00
2019-03-10;26,00;26,00;52,00;0,00;0,00;0,00;0,00;0,00;26,00;0,00;50,38;24,38;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;53,44
2019-03-17;54,00;54,00;0,00;0,00;27,00;54,00;0,00;0,00;0,00;0,00;27,00;54,00;0,00;0,00;0,00;27,00;0,00;0,00;0,00;0,00;27,00
2019-03-24;54,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;54,00;27,00;0,00;0,00;0,00;27,00;0,00;0,00;0,00;0,00;0,00
2019-03-31;26,00;26,00;0,00;0,00;0,00;52,00;0,00;0,00;26,00;26,00;26,00;26,00;0,00;0,00;0,00;0,00;26,00;0,00;0,00;0,00;0,00
2019-04-07;0,00;0,00;24,00;24,00;0,00;0,00;0,00;0,00;65,00;0,00;29,00;58,00;14,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-14;29,00;29,00;0,00;29,00;29,00;58,00;0,00;0,00;0,00;0,00;58,00;58,00;29,00;0,00;0,00;0,00;0,00;29,00;0,00;0,00;0,00
2019-04-21;28,00;28,00;28,00;0,00;0,00;28,00;0,00;0,00;0,00;0,00;56,00;84,00;0,00;0,00;0,00;57,00;0,00;0,00;0,00;0,00;0,00
2019-04-28;50,00;50,00;0,00;25,00;0,00;25,00;0,00;0,00;0,00;0,00;98,33;123,33;25,00;0,00;0,00;25,00;0,00;24,29;0,00;0,00;0,00
2019-05-05;0,00;0,00;25,00;0,00;0,00;22,00;0,00;0,00;0,00;0,00;0,00;74,00;30,00;0,00;0,00;25,00;0,00;0,00;0,00;0,00;0,00
2019-05-12;0,00;25,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;60,00;0,00;0,00;25,00;51,00;51,00;0,00;0,00;0,00;0,00
2019-05-19;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;45,00;0,00;0,00;0,00;0,00;25,00;25,00;0,00;35,00;0,00;0,00
2019-05-26;0,00;0,00;55,00;27,00;0,00;72,00;0,00;0,00;48,00;0,00;65,00;49,00;0,00;0,00;0,00;0,00;0,00;0,00;19,00;0,00;19,00
2019-06-02;26,00;26,00;0,00;0,00;0,00;26,00;0,00;0,00;0,00;0,00;26,00;26,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
