Semaine;Nice (FR);Biarritz (FR);Ars en Ré (FR);Saint Malo (FR);Le Cap d Agde (FR);Fréjus (FR);Cannes (FR);Antibes (FR);Le Touquet (BE);Le Barcarès (FR);Deauville (FR);Porto Vecchio (FR);Lacanau (FR);Palavas les Flots (FR);Argelès sur Mer (FR);Carnac (FR);Arcachon (FR);Le Grau du Roi (FR);Cap Ferret (FR);Biscarrosse (FR);La Baule Escoublac (FR)
2019-01-06;30,00;6,00;12,00;6,00;6,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00
2019-01-13;35,00;6,00;0,00;0,00;6,00;6,00;12,00;0,00;0,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-20;41,00;0,00;6,00;6,00;0,00;6,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-27;18,00;18,00;6,00;6,00;12,00;12,00;6,00;12,00;0,00;6,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-03;31,00;6,00;6,00;0,00;6,00;6,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00
2019-02-10;12,00;12,00;12,00;0,00;0,00;0,00;6,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00
2019-02-17;38,00;0,00;0,00;0,00;13,00;6,00;0,00;6,00;0,00;6,00;0,00;0,00;6,00;0,00;0,00;6,00;0,00;6,00;0,00;0,00;0,00
2019-02-24;6,00;19,00;0,00;0,00;19,00;0,00;6,00;19,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00
2019-03-03;0,00;6,00;0,00;0,00;6,00;0,00;0,00;6,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-10;24,00;12,00;0,00;12,00;0,00;6,00;12,00;6,00;0,00;0,00;0,00;6,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-17;32,00;6,00;0,00;0,00;13,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-24;25,00;0,00;6,00;12,00;6,00;0,00;0,00;6,00;0,00;0,00;0,00;12,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-31;42,00;12,00;12,00;12,00;30,00;6,00;18,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-07;40,00;11,00;6,00;6,00;34,00;0,00;0,00;11,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-14;100,00;20,00;7,00;0,00;20,00;13,00;40,00;20,00;0,00;0,00;0,00;20,00;0,00;0,00;0,00;0,00;0,00;7,00;0,00;0,00;0,00
2019-04-21;60,00;0,00;0,00;27,00;13,00;13,00;20,00;7,00;0,00;0,00;0,00;13,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-28;41,00;17,00;17,00;6,00;12,00;6,00;12,00;6,00;0,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;6,00;0,00
2019-05-05;29,00;6,00;12,00;6,00;23,00;6,00;6,00;12,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-05-12;36,00;12,00;18,00;6,00;18,00;6,00;12,00;6,00;0,00;0,00;6,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-05-19;35,00;12,00;6,00;6,00;30,00;12,00;6,00;12,00;0,00;0,00;0,00;18,00;0,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00
2019-05-26;57,00;0,00;0,00;0,00;38,00;0,00;13,00;26,00;0,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00
2019-06-02;54,00;0,00;12,00;6,00;30,00;0,00;24,00;18,00;0,00;0,00;0,00;12,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-06-09;42,00;12,00;18,00;6,00;12,00;6,00;18,00;24,00;0,00;0,00;0,00;18,00;0,00;12,00;0,00;0,00;6,00;6,00;0,00;0,00;0,00
2019-06-16;49,00;6,00;0,00;6,00;12,00;0,00;43,00;12,00;6,00;0,00;0,00;6,00;6,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-06-23;90,00;19,00;19,00;13,00;19,00;0,00;6,00;13,00;0,00;0,00;6,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-06-30;57,00;19,00;6,00;13,00;19,00;13,00;6,00;32,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00
2019-07-07;63,00;19,00;6,00;6,00;31,00;6,00;13,00;0,00;0,00;0,00;0,00;13,00;0,00;13,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00
2019-07-14;89,00;14,00;7,00;21,00;41,00;27,00;21,00;0,00;0,00;0,00;0,00;7,00;0,00;7,00;7,00;0,00;0,00;0,00;7,00;0,00;0,00
2019-07-21;73,00;15,00;15,00;15,00;44,00;15,00;29,00;15,00;0,00;7,00;0,00;22,00;7,00;0,00;0,00;7,00;0,00;7,00;0,00;0,00;0,00
2019-07-28;58,00;15,00;22,00;7,00;22,00;15,00;7,00;22,00;0,00;0,00;0,00;22,00;7,00;0,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00
2019-08-04;34,00;13,00;13,00;7,00;34,00;0,00;34,00;13,00;0,00;0,00;0,00;13,00;13,00;7,00;0,00;0,00;0,00;7,00;0,00;0,00;0,00
2019-08-11;43,00;12,00;12,00;6,00;19,00;6,00;19,00;12,00;0,00;0,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00
2019-08-18;42,00;48,00;18,00;12,00;6,00;12,00;12,00;6,00;0,00;0,00;0,00;6,00;0,00;6,00;0,00;0,00;6,00;0,00;0,00;0,00;6,00
2019-08-25;30,00;36,00;6,00;0,00;18,00;6,00;0,00;18,00;0,00;0,00;0,00;12,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-09-01;23,00;17,00;0,00;11,00;11,00;6,00;6,00;11,00;0,00;0,00;0,00;11,00;6,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00
2019-09-08;30,00;12,00;6,00;0,00;6,00;6,00;12,00;0,00;0,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-09-15;18,00;24,00;6,00;0,00;24,00;18,00;0,00;12,00;0,00;0,00;0,00;12,00;6,00;0,00;0,00;0,00;6,00;6,00;0,00;0,00;0,00
2019-09-22;41,00;6,00;6,00;6,00;6,00;0,00;12,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;6,00;6,00;0,00;0,00
2019-09-29;36,00;24,00;0,00;6,00;12,00;6,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;6,00;0,00;6,00;0,00;0,00;0,00;0,00
2019-10-06;30,00;6,00;6,00;6,00;0,00;0,00;24,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-10-13;42,00;6,00;0,00;0,00;6,00;24,00;12,00;0,00;0,00;0,00;0,00;18,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-10-20;23,00;6,00;11,00;6,00;11,00;6,00;6,00;6,00;0,00;0,00;0,00;11,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;6,00
2019-10-27;52,00;0,00;0,00;11,00;17,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;6,00;6,00;0,00;0,00;0,00
2019-11-03;17,00;6,00;0,00;0,00;11,00;0,00;11,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-11-10;23,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-11-17;17,00;17,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-11-24;11,00;11,00;0,00;0,00;6,00;6,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;6,00;0,00;0,00
2019-12-01;34,00;6,00;6,00;0,00;6,00;17,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00
2019-12-08;11,00;0,00;0,00;0,00;0,00;0,00;6,00;11,00;0,00;0,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-12-15;46,00;0,00;6,00;0,00;6,00;6,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
