Semaine;Chamonix (FR);Val Thorens (FR);Alpe d Huez (FR);Les Deux Alpes (FR);Tignes (FR);Les Arcs (FR);Les Ménuires (FR);Avoriaz (FR);La Plagne (FR);La Clusaz (FR);Morzine (FR);Châtel (FR);Les Gets (FR);Val Cenis (FR);Courchevel (FR);Serre Chevalier (FR);Samoëns (FR);Valloire (FR);Méribel (FR);Val d Isère (FR);Megève (FR);Vars (FR);Grand Bornand (FR);Font Romeu (FR);St Lary (FR);Barèges (FR);La Mongie (FR);Peyragudes (FR)
2019-01-06;20,00;10,00;5,00;0,00;0,00;0,00;0,00;5,00;5,00;15,00;10,00;10,00;0,00;0,00;5,00;0,00;0,00;0,00;5,00;5,00;5,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00
2019-01-13;61,00;5,00;5,00;0,00;5,00;10,00;5,00;20,00;0,00;15,00;15,00;15,00;10,00;0,00;10,00;0,00;5,00;0,00;5,00;5,00;25,00;0,00;5,00;5,00;0,00;0,00;0,00;0,00
2019-01-20;71,00;0,00;0,00;0,00;0,00;0,00;0,00;20,00;0,00;25,00;15,00;10,00;15,00;0,00;0,00;0,00;5,00;0,00;5,00;5,00;20,00;0,00;5,00;0,00;0,00;5,00;0,00;0,00
2019-01-27;46,00;0,00;5,00;0,00;0,00;0,00;0,00;20,00;0,00;15,00;10,00;10,00;5,00;0,00;10,00;0,00;5,00;0,00;5,00;5,00;25,00;0,00;10,00;0,00;0,00;0,00;0,00;0,00
2019-02-03;63,00;5,00;5,00;0,00;10,00;0,00;0,00;5,00;0,00;0,00;16,00;5,00;5,00;5,00;5,00;5,00;5,00;0,00;0,00;10,00;26,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-10;43,00;0,00;0,00;0,00;0,00;11,00;0,00;5,00;11,00;16,00;5,00;11,00;5,00;0,00;0,00;5,00;0,00;0,00;0,00;5,00;11,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-17;43,00;11,00;5,00;0,00;11,00;0,00;0,00;21,00;0,00;16,00;5,00;21,00;11,00;0,00;0,00;5,00;16,00;0,00;11,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-24;53,00;0,00;5,00;0,00;0,00;11,00;0,00;21,00;0,00;5,00;0,00;16,00;11,00;0,00;0,00;0,00;16,00;0,00;5,00;0,00;11,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-03;25,00;10,00;20,00;0,00;0,00;10,00;0,00;15,00;5,00;15,00;15,00;5,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;20,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-10;42,00;0,00;0,00;0,00;0,00;5,00;0,00;16,00;0,00;5,00;16,00;16,00;5,00;0,00;5,00;0,00;10,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-17;54,00;5,00;0,00;5,00;5,00;0,00;0,00;11,00;0,00;11,00;11,00;5,00;0,00;5,00;5,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-24;16,00;0,00;16,00;0,00;0,00;0,00;5,00;5,00;0,00;11,00;11,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-31;57,00;0,00;10,00;5,00;0,00;0,00;0,00;16,00;0,00;5,00;5,00;5,00;5,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-07;44,00;0,00;0,00;0,00;0,00;0,00;0,00;15,00;0,00;5,00;10,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-14;40,00;0,00;0,00;0,00;6,00;6,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-21;28,00;0,00;11,00;0,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-28;20,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-05-05;20,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-05-12;20,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-05-19;35,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-05-26;49,00;0,00;0,00;0,00;11,00;0,00;0,00;0,00;0,00;11,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-06-02;46,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-06-09;26,00;0,00;0,00;5,00;0,00;5,00;0,00;0,00;0,00;0,00;5,00;5,00;0,00;0,00;5,00;0,00;15,00;0,00;0,00;5,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-06-16;52,00;0,00;0,00;5,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00
2019-06-23;66,00;6,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;6,00;11,00;0,00;6,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-06-30;87,00;0,00;22,00;16,00;0,00;0,00;0,00;5,00;0,00;5,00;32,00;5,00;0,00;0,00;0,00;0,00;11,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-07-07;38,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;11,00;11,00;5,00;0,00;5,00;5,00;5,00;0,00;0,00;5,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-07-14;47,00;0,00;12,00;0,00;6,00;0,00;0,00;0,00;0,00;6,00;0,00;0,00;12,00;0,00;0,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00
2019-07-21;57,00;0,00;13,00;0,00;0,00;0,00;6,00;0,00;0,00;6,00;13,00;19,00;6,00;0,00;0,00;0,00;6,00;0,00;0,00;6,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-07-28;69,00;0,00;0,00;6,00;6,00;0,00;0,00;6,00;0,00;6,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-08-04;69,00;0,00;0,00;0,00;6,00;6,00;0,00;17,00;0,00;6,00;23,00;12,00;0,00;0,00;0,00;0,00;0,00;6,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-08-11;26,00;0,00;5,00;0,00;0,00;11,00;0,00;0,00;0,00;5,00;5,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-08-18;41,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;10,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-08-25;61,00;0,00;5,00;5,00;0,00;0,00;0,00;0,00;0,00;5,00;5,00;5,00;5,00;0,00;10,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00
2019-09-01;34,00;0,00;0,00;0,00;0,00;10,00;0,00;5,00;0,00;0,00;0,00;10,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-09-08;41,00;0,00;0,00;15,00;0,00;0,00;5,00;5,00;0,00;0,00;0,00;5,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-09-15;35,00;0,00;5,00;0,00;0,00;5,00;5,00;0,00;0,00;0,00;15,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-09-22;40,00;0,00;5,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;5,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-09-29;31,00;0,00;5,00;0,00;5,00;0,00;0,00;0,00;0,00;5,00;0,00;5,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-10-06;51,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;5,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-10-13;26,00;10,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-10-20;29,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-10-27;39,00;0,00;0,00;5,00;0,00;0,00;5,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;15,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-11-03;62,00;0,00;0,00;5,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;10,00;10,00;0,00;0,00;0,00;10,00;0,00;0,00;0,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-11-10;15,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;10,00;5,00;5,00;0,00;0,00;0,00;5,00;0,00;0,00;5,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00
2019-11-17;39,00;19,00;5,00;0,00;5,00;0,00;0,00;0,00;0,00;15,00;5,00;10,00;0,00;0,00;5,00;5,00;5,00;0,00;0,00;10,00;10,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00
2019-11-24;43,00;0,00;0,00;0,00;0,00;0,00;5,00;10,00;0,00;14,00;0,00;5,00;0,00;5,00;5,00;0,00;0,00;0,00;0,00;0,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
