Semaine;Tahiti (PF);Guadeloupe (GP);Martinique (LC);Réunion (RE);Guyane (GF);St Barthélémy (BL);Mayotte (YT);Saint Martin (ile d Amérique du nord) (MF);Nouvelle Caledonie (NC)
2019-01-06;54,00;54,00;71,36;17,36;0,00;36,00;0,00;0,00;0,00
2019-01-13;54,00;71,36;17,36;71,36;0,00;0,00;0,00;36,00;18,00
2019-01-20;36,00;36,00;0,00;36,00;0,00;0,00;0,00;0,00;0,00
2019-01-27;36,00;92,00;74,00;56,00;0,00;18,00;18,00;18,00;18,00
2019-02-03;37,00;17,53;54,53;74,00;0,00;0,00;0,00;56,00;19,00
2019-02-10;57,00;19,66;37,34;57,00;0,00;0,00;19,00;0,00;19,00
2019-02-17;19,00;0,00;0,00;36,10;0,00;0,00;19,00;19,00;0,00
2019-02-24;57,00;0,00;37,34;37,34;19,66;0,00;0,00;19,00;0,00
2019-03-03;36,00;18,00;56,00;36,00;18,00;0,00;0,00;0,00;18,00
2019-03-10;0,00;0,00;19,00;28,00;0,00;0,00;37,00;37,00;0,00
2019-03-17;0,00;10,00;10,00;39,00;0,00;0,00;0,00;0,00;0,00
2019-03-24;76,00;19,49;37,03;76,00;0,00;0,00;19,00;57,00;19,00
2019-03-31;19,00;59,11;40,11;139,33;0,00;19,00;0,00;0,00;0,00
2019-04-07;52,00;34,67;0,00;84,74;0,00;0,00;18,00;0,00;0,00
2019-04-14;0,00;10,00;10,00;41,00;0,00;0,00;0,00;0,00;20,00
2019-04-21;61,00;41,32;41,32;41,32;0,00;0,00;0,00;0,00;0,00
2019-04-28;18,00;54,00;36,00;54,00;0,00;0,00;0,00;18,00;0,00
2019-05-05;54,00;0,00;18,00;90,00;18,00;18,00;0,00;0,00;0,00
2019-05-12;18,00;18,00;36,00;128,00;0,00;0,00;0,00;0,00;0,00
2019-05-19;18,00;36,00;36,00;36,00;0,00;0,00;0,00;0,00;18,00
2019-05-26;20,00;20,00;0,00;80,00;0,00;0,00;0,00;20,00;20,00
2019-06-02;18,00;0,00;0,00;92,00;0,00;0,00;0,00;0,00;0,00
2019-06-09;18,00;0,00;0,00;74,00;0,00;18,00;0,00;0,00;0,00
