Semaine;Nice (FR);Paris (FR);Lille (FR);Strasbourg (FR);Lyon (FR);Marseille (FR);Bordeaux (FR);Tours (FR);Toulouse (FR);Montpellier (FR);Nantes (FR);Avignon (FR);Dijon (FR)
2019-01-06;30,00;220,00;10,00;30,00;45,00;6,00;0,00;0,00;12,00;6,00;6,00;0,00;6,00
2019-01-13;35,00;170,00;5,00;35,00;25,00;6,00;18,00;0,00;24,00;12,00;6,00;18,00;6,00
2019-01-20;41,00;205,00;5,13;15,38;25,63;18,00;18,00;0,00;12,00;0,00;12,00;6,00;0,00
2019-01-27;18,00;318,00;0,00;36,00;36,00;18,00;6,00;0,00;6,00;0,00;0,00;0,00;0,00
2019-02-03;31,00;222,17;0,00;41,33;62,00;24,00;31,00;6,00;6,00;0,00;0,00;0,00;6,00
2019-02-10;12,00;342,00;12,00;42,00;36,00;37,00;6,00;0,00;12,00;6,00;6,00;6,00;0,00
2019-02-17;38,00;298,57;0,00;54,29;32,57;0,00;6,00;0,00;0,00;0,00;6,00;6,00;6,00
2019-02-24;6,00;222,00;0,00;48,00;72,00;12,00;6,00;0,00;6,00;6,00;0,00;0,00;0,00
2019-03-03;0,00;49,00;2,00;11,00;10,00;12,00;12,00;0,00;6,00;24,00;12,00;6,00;6,00
2019-03-10;24,00;273,60;0,00;52,80;38,40;18,00;24,00;0,00;0,00;0,00;0,00;6,00;6,00
2019-03-17;32,00;154,67;5,33;26,67;42,67;32,00;13,00;0,00;6,00;19,00;0,00;0,00;13,00
2019-03-24;25,00;215,00;0,00;10,00;60,00;25,00;13,00;6,00;0,00;6,00;6,00;6,00;0,00
2019-03-31;42,00;262,50;0,00;42,00;36,75;18,00;18,00;6,00;0,00;18,00;18,00;0,00;0,00
2019-04-07;40,00;260,00;5,00;65,00;75,00;23,00;17,00;17,00;6,00;11,00;6,00;6,00;11,00
2019-04-14;100,00;526,32;5,26;47,37;57,89;13,00;53,00;13,00;13,00;13,00;0,00;7,00;20,00
2019-04-21;60,00;321,82;16,36;60,00;60,00;33,00;33,00;20,00;0,00;7,00;27,00;7,00;13,00
2019-04-28;41,00;297,25;0,00;41,00;20,50;12,00;12,00;0,00;0,00;0,00;12,00;6,00;6,00
2019-05-05;29,00;314,17;0,00;38,67;38,67;47,00;29,00;0,00;12,00;0,00;23,00;12,00;0,00
2019-05-12;36,00;267,43;0,00;46,29;46,29;18,00;18,00;24,00;6,00;0,00;6,00;0,00;0,00
2019-05-19;35,00;200,00;10,00;45,00;45,00;18,00;24,00;12,00;6,00;24,00;12,00;0,00;6,00
2019-05-26;57,00;305,73;0,00;103,64;67,36;13,00;19,00;6,00;26,00;19,00;0,00;6,00;6,00
2019-06-02;54,00;275,40;0,00;43,20;48,60;24,00;12,00;6,00;0,00;6,00;18,00;0,00;12,00
2019-06-09;42,00;278,25;5,25;15,75;73,50;36,00;12,00;0,00;18,00;24,00;0,00;0,00;6,00
2019-06-16;49,00;288,56;5,44;38,11;38,11;18,00;6,00;6,00;12,00;0,00;6,00;6,00;6,00
2019-06-23;90,00;217,06;0,00;10,59;47,65;19,00;13,00;13,00;13,00;6,00;6,00;13,00;19,00
2019-06-30;57,00;238,36;10,36;25,91;62,18;44,00;32,00;0,00;25,00;19,00;0,00;6,00;0,00
2019-07-07;63,00;278,25;5,25;42,00;68,25;13,00;25,00;13,00;19,00;6,00;13,00;6,00;0,00
2019-07-14;89,00;287,94;15,71;15,71;41,88;21,00;14,00;0,00;7,00;14,00;7,00;0,00;0,00
2019-07-21;73,00;328,50;5,21;36,50;52,14;29,00;0,00;29,00;15,00;0,00;7,00;22,00;0,00
2019-07-28;58,00;216,18;0,00;42,18;73,82;22,00;22,00;7,00;7,00;15,00;36,00;0,00;0,00
2019-08-04;34,00;266,33;0,00;34,00;68,00;27,00;34,00;0,00;0,00;13,00;0,00;7,00;7,00
2019-08-11;43,00;193,50;10,75;59,13;32,25;37,00;19,00;6,00;6,00;6,00;0,00;12,00;19,00
2019-08-18;42,00;204,75;0,00;63,00;68,25;12,00;18,00;0,00;6,00;6,00;6,00;0,00;0,00
2019-08-25;30,00;260,00;5,00;5,00;55,00;6,00;12,00;0,00;6,00;6,00;12,00;24,00;12,00
2019-09-01;23,00;385,25;5,75;69,00;74,75;17,00;28,00;6,00;0,00;6,00;0,00;6,00;0,00
2019-09-08;30,00;285,00;5,00;45,00;70,00;18,00;12,00;12,00;0,00;6,00;12,00;12,00;6,00
2019-09-15;18,00;348,00;18,00;60,00;42,00;24,00;18,00;0,00;6,00;12,00;6,00;0,00;0,00
2019-09-22;41,00;333,13;10,25;35,88;41,00;41,00;18,00;0,00;23,00;12,00;6,00;0,00;18,00
2019-09-29;36,00;288,00;0,00;92,57;30,86;18,00;12,00;6,00;0,00;0,00;12,00;6,00;0,00
2019-10-06;30,00;315,00;0,00;100,00;50,00;36,00;18,00;18,00;12,00;12,00;0,00;6,00;0,00
2019-10-13;42,00;262,50;0,00;26,25;42,00;24,00;12,00;0,00;18,00;6,00;6,00;6,00;24,00
2019-10-20;23,00;368,00;0,00;57,50;28,75;29,00;17,00;6,00;6,00;17,00;6,00;0,00;6,00
2019-10-27;52,00;291,20;5,20;36,40;57,20;23,00;6,00;17,00;0,00;0,00;12,00;6,00;0,00
2019-11-03;17,00;345,67;5,67;68,00;56,67;28,00;6,00;0,00;0,00;6,00;6,00;6,00;6,00
2019-11-10;23,00;258,75;5,75;57,50;69,00;11,00;23,00;0,00;6,00;0,00;11,00;6,00;0,00
2019-11-17;17,00;260,67;5,67;39,67;62,33;6,00;11,00;0,00;11,00;6,00;11,00;0,00;17,00
2019-11-24;11,00;236,50;0,00;55,00;77,00;0,00;0,00;11,00;11,00;6,00;6,00;0,00;0,00
2019-12-01;34,00;170,00;0,00;43,71;14,57;23,00;17,00;6,00;17,00;6,00;6,00;0,00;11,00
2019-12-08;11,00;231,00;5,50;60,50;49,50;17,00;6,00;0,00;11,00;0,00;6,00;11,00;0,00
2019-12-15;46,00;311,78;5,11;40,89;66,44;12,00;6,00;0,00;0,00;12,00;6,00;0,00;17,00
2019-12-22;27,00;253,80;5,40;27,00;48,60;20,00;27,00;0,00;7,00;0,00;0,00;20,00;0,00
2019-12-29;19,00;237,50;9,50;66,50;9,50;6,00;19,00;0,00;0,00;0,00;13,00;0,00;19,00
2020-01-05;22,00;236,50;5,50;33,00;27,50;33,00;11,00;0,00;16,00;5,00;5,00;0,00;5,00
2020-01-12;11,00;346,50;0,00;38,50;27,50;16,00;16,00;5,00;5,00;5,00;0,00;5,00;0,00
2020-01-19;27,00;199,80;5,40;21,60;59,40;16,00;32,00;22,00;0,00;5,00;16,00;0,00;0,00
2020-01-26;32,00;240,00;5,33;48,00;16,00;11,00;22,00;0,00;5,00;0,00;11,00;5,00;0,00
2020-02-02;32,00;250,67;10,67;37,33;37,33;5,00;27,00;5,00;0,00;5,00;5,00;0,00;5,00
2020-02-09;32,00;229,33;0,00;42,67;26,67;22,00;5,00;11,00;0,00;16,00;11,00;0,00;11,00
2020-02-16;33,00;214,50;5,50;33,00;71,50;28,00;6,00;6,00;17,00;6,00;6,00;6,00;11,00
2020-02-23;57,00;181,36;0,00;31,09;46,64;26,00;15,00;0,00;5,00;10,00;0,00;0,00;15,00
