Semaine;Val de Loire (FR);Chateaux Loire (US);Bourgogne (FR);Drome (FR);Vaucluse (FR);Ardeche (FR);Baie de Somme (FR);Montagne du Luberon (FR);Auvergne (FR);Perigord (FR);Alsace (FR);Provence (FR);Morbihan (US);Gers (FR);Massif Central (FR);Normandie (FR);Cévennes (FR);Morvan (FR);Vosges (FR);Chantilly (FR);Languedoc Roussillon (FR)
2019-01-06;0,00;0,00;20,00;0,00;0,00;75,00;0,00;0,00;25,00;0,00;38,00;54,00;0,00;0,00;0,00;15,00;0,00;0,00;10,00;10,00;0,00
2019-01-13;24,00;48,00;24,00;24,00;0,00;74,00;0,00;0,00;0,00;0,00;51,43;130,29;0,00;0,00;0,00;126,86;24,00;0,00;24,00;24,00;48,00
2019-01-20;49,00;0,00;24,50;0,00;0,00;49,00;0,00;0,00;0,00;0,00;26,13;124,13;0,00;0,00;0,00;169,87;22,87;0,00;51,58;0,00;25,79
2019-01-27;25,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;168,75;46,88;0,00;0,00;0,00;71,88;0,00;0,00;50,00;0,00;25,00
2019-02-03;26,00;26,00;26,00;26,00;0,00;0,00;0,00;0,00;0,00;26,00;0,00;104,00;0,00;0,00;0,00;74,75;0,00;0,00;54,60;0,00;26,00
2019-02-10;26,00;79,30;79,30;0,00;0,00;26,00;0,00;0,00;26,00;0,00;52,00;104,00;26,00;0,00;0,00;100,75;0,00;0,00;54,60;0,00;54,60
2019-02-17;26,00;26,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;26,00;78,00;52,00;0,00;0,00;0,00;52,00;0,00;0,00;54,60;0,00;0,00
2019-02-24;54,00;54,00;0,00;0,00;0,00;54,00;0,00;0,00;0,00;27,00;57,38;84,38;0,00;0,00;0,00;0,00;0,00;0,00;110,57;0,00;28,29
2019-03-03;77,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;157,35;103,78;0,00;0,00;0,00;77,00;0,00;0,00;24,84;0,00;0,00
2019-03-10;26,00;26,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;26,00;78,00;0,00;0,00;0,00;52,00;0,00;0,00;54,60;0,00;26,00
2019-03-17;53,00;26,50;26,50;0,00;0,00;54,00;0,00;0,00;0,00;0,00;53,00;162,31;0,00;0,00;0,00;53,00;26,50;0,00;27,76;0,00;27,76
2019-03-24;80,00;27,10;0,00;0,00;0,00;27,00;0,00;0,00;0,00;26,67;163,33;136,67;0,00;0,00;0,00;106,67;0,00;0,00;80,00;0,00;0,00
2019-03-31;0,00;0,00;0,00;0,00;0,00;52,00;0,00;0,00;0,00;0,00;47,00;47,00;0,00;0,00;0,00;23,00;8,00;0,00;51,00;0,00;0,00
2019-04-07;26,00;0,00;0,00;0,00;0,00;52,00;0,00;0,00;26,00;0,00;130,00;26,00;0,00;0,00;0,00;0,00;0,00;0,00;106,60;26,00;0,00
2019-04-14;0,00;0,00;22,00;0,00;22,00;28,00;0,00;0,00;0,00;0,00;34,00;17,00;0,00;0,00;0,00;8,00;8,00;0,00;11,00;0,00;0,00
2019-04-21;27,00;0,00;0,00;0,00;0,00;55,00;0,00;0,00;0,00;0,00;172,13;27,00;0,00;0,00;0,00;27,00;0,00;0,00;27,00;0,00;0,00
2019-04-28;25,00;25,00;25,00;0,00;0,00;0,00;0,00;0,00;50,00;25,00;193,75;96,88;0,00;0,00;0,00;143,75;25,00;0,00;50,00;0,00;100,00
2019-05-05;25,00;101,32;0,00;0,00;0,00;25,00;0,00;0,00;0,00;0,00;71,88;140,63;0,00;0,00;0,00;25,00;25,00;0,00;50,00;0,00;0,00
2019-05-12;26,00;0,00;0,00;0,00;0,00;78,00;0,00;26,00;0,00;0,00;130,00;78,00;0,00;0,00;0,00;52,00;0,00;0,00;80,60;26,00;0,00
2019-05-19;25,00;50,00;25,00;0,00;25,00;0,00;0,00;0,00;25,00;50,00;193,75;96,88;0,00;0,00;0,00;25,00;0,00;0,00;127,50;25,00;25,00
2019-05-26;0,00;20,00;81,00;0,00;0,00;26,00;0,00;0,00;26,00;0,00;24,00;32,00;0,00;0,00;0,00;0,00;0,00;0,00;10,00;0,00;0,00
2019-06-02;51,00;76,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;277,31;200,81;0,00;0,00;0,00;197,63;0,00;0,00;104,55;0,00;51,00
2019-06-09;52,00;52,00;52,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;104,00;130,00;26,00;0,00;0,00;52,00;26,00;0,00;180,76;0,00;0,00
2019-06-16;52,00;52,00;78,63;52,00;0,00;26,00;26,00;0,00;0,00;26,00;263,25;237,25;0,00;0,00;26,00;130,00;0,00;0,00;104,00;0,00;0,00
2019-06-23;0,00;20,00;0,00;0,00;20,00;52,00;0,00;0,00;52,00;8,00;48,00;56,00;0,00;0,00;0,00;24,00;0,00;0,00;42,00;0,00;10,00
2019-06-30;77,00;25,25;0,00;25,25;0,00;0,00;0,00;0,00;0,00;25,67;202,13;128,33;0,00;0,00;0,00;99,46;0,00;0,00;0,00;0,00;0,00
