Semaine;Nice (FR);Biarritz (FR);Ars en Ré (FR);Saint Malo (FR);Le Cap d Agde (FR);Fréjus (FR);Cannes (FR);Antibes (FR);Le Touquet (BE);Le Barcarès (FR);Deauville (FR);Porto Vecchio (FR);Lacanau (FR);Palavas les Flots (FR);Argelès sur Mer (FR);Carnac (FR);Arcachon (FR);Le Grau du Roi (FR);Cap Ferret (FR);Biscarrosse (FR);La Baule Escoublac (FR)
2019-01-06;48,00;0,00;3,13;10,43;7,30;7,00;14,00;10,00;0,00;0,00;0,00;7,00;14,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-13;47,00;10,22;0,00;3,07;3,07;3,00;13,00;7,00;0,00;0,00;0,00;3,00;7,00;0,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00
2019-01-20;54,00;16,62;10,38;10,38;6,23;7,00;0,00;7,00;0,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-27;62,00;0,00;17,57;3,10;10,33;7,00;3,00;14,00;0,00;0,00;3,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-03;21,00;7,00;3,00;3,00;3,00;4,00;11,00;14,00;0,00;0,00;7,00;0,00;4,00;0,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00
2019-02-10;32,00;7,23;7,23;0,00;17,55;0,00;7,00;0,00;0,00;0,00;7,00;0,00;7,00;0,00;0,00;4,00;4,00;0,00;0,00;0,00;0,00
2019-02-17;29,00;14,50;3,11;7,25;0,00;0,00;7,00;14,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00
2019-02-24;18,00;4,00;4,00;7,00;11,00;0,00;11,00;0,00;0,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-03;39,00;10,26;0,00;0,00;14,37;0,00;18,00;4,00;0,00;4,00;4,00;4,00;4,00;4,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00
2019-03-10;32,00;7,23;3,10;0,00;0,00;7,00;14,00;7,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00
2019-03-17;11,00;7,00;4,00;11,00;7,00;4,00;0,00;4,00;0,00;4,00;4,00;4,00;0,00;0,00;0,00;4,00;4,00;0,00;0,00;0,00;0,00
2019-03-24;33,00;7,22;7,22;7,22;4,13;4,00;7,00;0,00;0,00;0,00;0,00;4,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-31;50,00;0,00;0,00;3,13;0,00;4,00;4,00;7,00;0,00;7,00;4,00;0,00;7,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-07;60,00;3,10;0,00;17,59;7,24;0,00;14,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-14;54,00;4,15;7,27;15,58;4,15;15,00;15,00;4,00;0,00;0,00;8,00;4,00;11,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-21;91,00;22,75;4,14;15,51;4,14;4,00;11,00;11,00;0,00;0,00;0,00;8,00;11,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-28;55,00;7,13;7,13;3,06;3,06;10,00;10,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;3,00;0,00;0,00
2019-05-05;71,00;13,38;0,00;7,20;3,09;0,00;13,00;3,00;0,00;0,00;0,00;3,00;10,00;0,00;3,00;0,00;3,00;0,00;0,00;0,00;0,00
2019-05-12;75,00;14,58;0,00;7,29;10,42;14,00;35,00;14,00;0,00;4,00;0,00;0,00;4,00;0,00;0,00;4,00;4,00;0,00;0,00;0,00;0,00
2019-05-19;42,00;0,00;0,00;17,85;10,50;0,00;14,00;3,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00
2019-05-26;75,00;25,00;0,00;17,71;10,42;11,00;4,00;14,00;0,00;4,00;0,00;4,00;4,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-06-02;46,00;10,45;35,55;7,32;7,32;7,00;28,00;7,00;0,00;0,00;4,00;18,00;11,00;0,00;4,00;0,00;7,00;4,00;0,00;0,00;0,00
2019-06-09;79,00;43,09;10,26;14,36;17,44;14,00;14,00;4,00;4,00;0,00;4,00;7,00;4,00;0,00;0,00;7,00;7,00;4,00;0,00;0,00;0,00
2019-06-16;72,00;18,51;11,31;10,29;7,20;18,00;25,00;25,00;4,00;0,00;0,00;7,00;0,00;0,00;4,00;0,00;0,00;0,00;4,00;0,00;0,00
2019-06-23;83,00;7,26;14,53;10,38;21,79;7,00;21,00;18,00;0,00;4,00;4,00;14,00;14,00;0,00;0,00;4,00;0,00;0,00;4,00;0,00;0,00
2019-06-30;82,00;7,27;32,18;24,91;10,38;4,00;21,00;4,00;4,00;0,00;0,00;4,00;7,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-07-07;87,00;13,46;7,25;3,11;20,71;21,00;14,00;14,00;0,00;0,00;0,00;3,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-07-14;77,00;11,45;14,57;14,57;11,45;7,00;7,00;7,00;0,00;0,00;0,00;7,00;15,00;4,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-07-21;57,00;26,46;19,34;18,32;7,13;11,00;19,00;8,00;0,00;0,00;8,00;4,00;8,00;0,00;0,00;0,00;4,00;0,00;4,00;0,00;0,00
2019-07-28;81,00;14,35;7,18;4,10;4,10;11,00;4,00;18,00;4,00;0,00;0,00;4,00;15,00;0,00;0,00;0,00;7,00;0,00;0,00;4,00;0,00
2019-08-04;74,00;14,39;44,19;18,50;14,39;7,00;7,00;15,00;0,00;0,00;0,00;4,00;22,00;0,00;0,00;4,00;7,00;0,00;0,00;0,00;0,00
2019-08-11;50,00;17,71;21,88;0,00;21,88;4,00;14,00;0,00;0,00;0,00;7,00;7,00;0,00;0,00;0,00;0,00;11,00;4,00;0,00;0,00;4,00
2019-08-18;80,00;58,46;11,28;11,28;11,28;14,00;22,00;22,00;0,00;0,00;0,00;4,00;14,00;4,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00
2019-08-25;96,00;103,23;21,68;10,32;17,55;7,00;11,00;14,00;0,00;4,00;0,00;4,00;11,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-09-01;100,00;13,40;10,31;10,31;7,22;17,00;14,00;7,00;0,00;3,00;0,00;7,00;3,00;3,00;0,00;7,00;0,00;0,00;0,00;0,00;3,00
2019-09-08;69,00;7,21;13,39;10,30;10,30;7,00;14,00;17,00;3,00;0,00;0,00;14,00;14,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00
2019-09-15;56,00;3,11;10,37;0,00;7,26;3,00;21,00;7,00;7,00;0,00;0,00;3,00;14,00;3,00;0,00;0,00;0,00;7,00;0,00;3,00;0,00
2019-09-22;74,00;10,28;10,28;13,36;7,19;0,00;20,00;7,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00
2019-09-29;65,00;13,41;13,41;3,10;10,32;7,00;10,00;0,00;0,00;3,00;3,00;3,00;3,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-10-06;37,00;10,28;3,08;7,19;10,28;3,00;7,00;0,00;0,00;0,00;0,00;7,00;10,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00
2019-10-13;41,00;3,08;3,08;0,00;3,08;0,00;7,00;10,00;0,00;3,00;0,00;3,00;3,00;0,00;0,00;0,00;0,00;0,00;3,00;3,00;0,00
2019-10-20;40,00;0,00;3,08;3,08;6,15;7,00;7,00;7,00;0,00;3,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;3,00;0,00
2019-10-27;16,00;6,00;3,00;6,00;10,00;0,00;7,00;3,00;0,00;3,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-11-03;26,00;0,00;0,00;3,12;3,12;0,00;0,00;3,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-11-10;23,00;6,27;3,14;3,14;0,00;0,00;10,00;3,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00
2019-11-17;13,00;3,00;3,00;3,00;3,00;0,00;6,00;3,00;0,00;0,00;3,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-11-24;25,00;9,00;6,00;0,00;3,00;3,00;6,00;13,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;3,00;0,00
2019-12-01;39,00;3,08;3,08;0,00;0,00;10,00;13,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3,00;3,00;0,00;0,00;0,00
2019-12-08;36,00;6,17;3,09;3,09;6,17;6,00;6,00;6,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00
2019-12-15;23,00;10,00;3,00;0,00;3,00;3,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00
2019-12-22;53,00;7,27;4,16;11,43;11,43;7,00;11,00;15,00;0,00;0,00;11,00;4,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-12-29;49,00;10,21;14,29;3,06;10,21;0,00;4,00;4,00;0,00;7,00;4,00;4,00;7,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-01-05;44,00;6,29;12,57;0,00;9,43;6,00;6,00;3,00;0,00;3,00;0,00;3,00;6,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-01-12;45,00;0,00;3,07;6,14;6,14;0,00;6,00;12,00;0,00;0,00;0,00;9,00;9,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-01-19;62,00;15,50;3,10;9,30;9,30;3,00;9,00;6,00;0,00;0,00;0,00;0,00;9,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00
2020-01-26;44,00;6,14;9,21;9,21;9,21;0,00;6,00;0,00;0,00;0,00;0,00;16,00;0,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00
2020-02-02;24,00;6,00;3,00;6,00;3,00;0,00;3,00;9,00;3,00;0,00;0,00;3,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-02-09;63,00;6,20;6,20;9,30;6,20;3,00;9,00;9,00;0,00;0,00;0,00;3,00;6,00;0,00;0,00;0,00;3,00;0,00;3,00;0,00;0,00
2020-02-16;47,00;9,20;0,00;3,07;0,00;0,00;3,00;3,00;3,00;3,00;0,00;3,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-02-23;58,00;9,32;6,21;6,21;3,11;0,00;9,00;15,00;0,00;3,00;3,00;3,00;9,00;3,00;0,00;3,00;3,00;3,00;0,00;0,00;3,00
2020-03-01;51,00;9,37;6,24;6,24;6,24;3,00;3,00;3,00;0,00;3,00;3,00;0,00;0,00;0,00;0,00;0,00;3,00;3,00;0,00;0,00;0,00
2020-03-08;37,00;6,17;0,00;3,08;22,61;3,00;3,00;3,00;0,00;3,00;6,00;3,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-03-15;17,00;0,00;0,00;3,00;3,00;6,00;6,00;3,00;0,00;0,00;0,00;0,00;0,00;3,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00
2020-03-22;6,00;0,00;0,00;3,60;3,60;3,00;3,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-03-29;8,00;0,00;3,00;3,00;3,00;0,00;6,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00
2020-04-05;19,00;0,00;3,17;0,00;3,17;3,00;3,00;3,00;0,00;0,00;0,00;3,00;3,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00
2020-04-12;9,00;3,00;6,00;3,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;3,00;3,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-04-19;12,00;0,00;18,55;6,55;6,55;3,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00
2020-04-26;8,00;3,00;0,00;0,00;3,00;0,00;11,00;0,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-05-03;17,00;3,19;0,00;5,31;5,31;3,00;8,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-05-10;11,00;0,00;3,00;0,00;3,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;6,00
2020-05-17;12,00;9,00;3,00;6,00;6,00;6,00;6,00;3,00;0,00;0,00;0,00;3,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-05-24;21,00;3,15;9,45;0,00;0,00;6,00;3,00;3,00;0,00;0,00;0,00;0,00;6,00;0,00;3,00;0,00;0,00;0,00;3,00;0,00;0,00
2020-05-31;11,00;0,00;8,00;0,00;8,00;3,00;3,00;6,00;0,00;0,00;0,00;3,00;8,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00
2020-06-07;26,00;6,24;26,00;5,20;5,20;6,00;8,00;3,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-06-14;40,00;0,00;14,36;5,13;8,21;3,00;14,00;8,00;0,00;0,00;0,00;6,00;3,00;3,00;6,00;0,00;3,00;0,00;0,00;0,00;3,00
2020-06-21;21,00;15,00;9,00;0,00;3,00;6,00;9,00;12,00;0,00;3,00;0,00;3,00;3,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00
2020-06-28;46,00;0,00;6,13;0,00;6,13;6,00;12,00;9,00;0,00;3,00;3,00;6,00;9,00;3,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00
2020-07-05;87,00;9,21;20,47;20,47;17,40;27,00;15,00;6,00;3,00;0,00;0,00;9,00;6,00;0,00;6,00;6,00;0,00;0,00;3,00;0,00;0,00
2020-07-12;63,00;38,21;18,59;9,30;12,39;19,00;35,00;13,00;0,00;0,00;6,00;0,00;16,00;3,00;3,00;6,00;0,00;0,00;0,00;3,00;0,00
2020-07-19;74,00;13,36;31,86;25,69;6,17;13,00;19,00;29,00;0,00;0,00;3,00;16,00;13,00;0,00;0,00;0,00;0,00;0,00;0,00;3,00;0,00
2020-07-26;48,00;9,19;31,66;12,26;3,06;10,00;10,00;19,00;6,00;0,00;3,00;0,00;6,00;3,00;6,00;6,00;3,00;3,00;0,00;3,00;0,00
2020-08-02;35,00;19,56;22,65;6,18;12,35;10,00;10,00;10,00;0,00;3,00;6,00;3,00;3,00;3,00;0,00;3,00;3,00;0,00;0,00;3,00;0,00
2020-08-09;56,00;12,44;9,33;9,33;6,22;12,00;12,00;6,00;0,00;3,00;0,00;3,00;6,00;3,00;0,00;6,00;3,00;0,00;0,00;0,00;0,00
2020-08-16;28,00;6,22;6,22;12,44;18,67;19,00;19,00;6,00;0,00;0,00;0,00;0,00;6,00;0,00;3,00;0,00;0,00;6,00;0,00;0,00;0,00
2020-08-23;53,00;12,23;15,29;3,06;65,23;0,00;3,00;6,00;0,00;0,00;0,00;12,00;16,00;6,00;6,00;0,00;6,00;0,00;0,00;0,00;0,00
2020-08-30;34,00;9,27;12,36;6,18;12,36;6,00;6,00;0,00;0,00;3,00;3,00;0,00;12,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00
2020-09-06;16,00;3,20;61,87;6,40;9,60;6,00;9,00;6,00;0,00;0,00;3,00;0,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
