Semaine;Tahiti (PF);Guadeloupe (GP);Martinique (LC);Réunion (RE);Guyane (GF);St Barthélémy (BL);Mayotte (YT);Saint Martin (ile d Amérique du nord) (MF);Nouvelle Caledonie (NC)
2019-01-06;28,00;22,81;28,00;64,30;4,15;5,00;5,00;19,00;0,00
2019-01-13;27,00;9,35;40,50;72,69;0,00;0,00;5,00;9,00;9,00
2019-01-20;32,00;32,00;26,84;62,97;0,00;0,00;5,00;9,00;5,00
2019-01-27;23,00;28,23;13,59;18,82;4,18;0,00;9,00;24,00;0,00
2019-02-03;5,00;46,00;23,00;37,00;0,00;0,00;0,00;14,00;5,00
2019-02-10;34,00;24,44;24,44;54,19;0,00;0,00;0,00;19,00;0,00
2019-02-17;34,00;43,27;9,27;19,58;0,00;0,00;5,00;20,00;5,00
2019-02-24;25,00;30,21;14,58;44,79;14,58;0,00;5,00;15,00;10,00
2019-03-03;14,00;27,00;32,00;46,00;5,00;10,00;5,00;29,00;10,00
2019-03-10;24,00;18,78;29,22;33,39;0,00;5,00;10,00;19,00;5,00
2019-03-17;10,00;19,00;24,00;19,00;5,00;10,00;5,00;20,00;5,00
2019-03-24;10,00;24,00;43,00;43,00;0,00;0,00;5,00;15,00;10,00
2019-03-31;24,00;24,00;9,39;24,00;0,00;0,00;10,00;10,00;0,00
2019-04-07;24,00;14,61;14,61;42,78;5,22;0,00;0,00;15,00;5,00
2019-04-14;10,00;5,00;0,00;100,00;0,00;0,00;5,00;5,00;0,00
2019-04-21;10,00;25,00;10,00;54,00;0,00;0,00;0,00;15,00;10,00
2019-04-28;19,00;23,22;23,22;28,50;0,00;0,00;9,00;9,00;0,00
2019-05-05;23,00;32,41;9,41;41,82;4,18;0,00;14,00;5,00;9,00
2019-05-12;19,00;19,00;14,78;24,28;0,00;0,00;15,00;15,00;0,00
2019-05-19;14,00;14,00;9,00;45,00;0,00;5,00;5,00;9,00;5,00
2019-05-26;24,00;9,39;9,39;62,61;0,00;5,00;5,00;5,00;5,00
2019-06-02;19,00;19,00;5,28;58,06;0,00;0,00;10,00;10,00;0,00
2019-06-09;24,00;19,83;9,39;49,04;0,00;0,00;0,00;5,00;10,00
2019-06-16;24,00;9,39;43,83;73,04;0,00;0,00;0,00;15,00;0,00
2019-06-23;20,00;0,00;20,00;44,21;0,00;0,00;5,00;10,00;20,00
2019-06-30;24,00;14,61;18,78;72,00;5,22;5,00;0,00;15,00;0,00
2019-07-07;14,00;14,00;27,00;63,00;0,00;0,00;9,00;14,00;0,00
2019-07-14;25,00;19,79;14,58;30,21;0,00;0,00;5,00;5,00;0,00
2019-07-21;31,00;10,33;20,67;25,83;0,00;5,00;0,00;21,00;5,00
2019-07-28;15,00;51,43;25,71;36,43;5,36;10,00;0,00;5,00;5,00
2019-08-04;15,00;25,71;25,71;51,43;0,00;0,00;5,00;5,00;5,00
2019-08-11;24,00;9,39;18,78;53,22;0,00;0,00;0,00;0,00;0,00
2019-08-18;20,00;20,00;34,74;54,74;0,00;0,00;20,00;5,00;10,00
2019-08-25;29,00;23,82;14,50;33,14;0,00;5,00;5,00;0,00;15,00
2019-09-01;14,00;9,69;9,69;43,08;0,00;0,00;14,00;9,00;0,00
2019-09-08;24,00;28,17;9,39;61,57;0,00;5,00;0,00;5,00;5,00
2019-09-15;5,00;14,00;18,00;41,00;0,00;5,00;5,00;0,00;5,00
2019-09-22;37,00;9,51;23,26;37,00;0,00;0,00;5,00;9,00;5,00
2019-09-29;23,00;18,82;28,23;93,05;0,00;0,00;5,00;9,00;0,00
2019-10-06;28,00;41,48;13,48;50,81;4,15;5,00;9,00;5,00;0,00
2019-10-13;28,00;32,15;28,00;37,33;0,00;0,00;0,00;9,00;9,00
2019-10-20;22,00;30,00;9,00;34,00;0,00;5,00;0,00;0,00;0,00
2019-10-27;13,00;38,00;9,00;60,00;0,00;0,00;0,00;4,00;9,00
2019-11-03;4,00;21,00;8,00;67,00;0,00;0,00;0,00;9,00;0,00
2019-11-10;13,00;25,00;17,00;72,00;4,00;0,00;4,00;9,00;4,00
2019-11-17;4,00;13,00;17,00;42,00;4,00;0,00;13,00;9,00;4,00
2019-11-24;26,00;30,16;4,16;52,00;0,00;0,00;4,00;4,00;4,00
2019-12-01;9,00;19,13;28,13;33,75;0,00;4,00;4,00;4,00;4,00
2019-12-08;18,00;22,24;18,00;36,00;0,00;0,00;4,00;0,00;9,00
2019-12-15;18,00;31,76;23,29;37,06;4,24;5,00;9,00;5,00;0,00
2019-12-22;15,00;49,00;20,00;73,00;10,00;0,00;0,00;5,00;5,00
2019-12-29;34,00;34,00;39,31;78,63;0,00;10,00;5,00;10,00;10,00
2020-01-05;21,00;37,80;16,80;93,45;0,00;8,00;13,00;8,00;17,00
2020-01-12;29,00;25,78;25,78;50,48;0,00;0,00;8,00;4,00;8,00
2020-01-19;21,00;42,00;21,00;85,05;4,20;4,00;4,00;0,00;4,00
2020-01-26;13,00;21,67;17,33;40,08;0,00;0,00;13,00;4,00;0,00
2020-02-02;17,00;21,25;21,25;42,50;0,00;0,00;21,00;4,00;8,00
2020-02-09;16,00;16,00;8,00;31,00;0,00;0,00;4,00;0,00;4,00
2020-02-16;21,00;47,25;34,65;30,45;0,00;0,00;4,00;0,00;4,00
2020-02-23;8,00;36,00;12,00;36,00;4,00;0,00;0,00;4,00;0,00
