Semaine;Nice (FR);Paris (FR);Lille (FR);Strasbourg (FR);Lyon (FR);Marseille (FR);Bordeaux (FR);Tours (FR);Toulouse (FR);Montpellier (FR);Nantes (FR);Avignon (FR);Dijon (FR)
2019-01-06;48,00;504,00;12,00;72,00;12,00;27,00;14,00;17,00;21,00;14,00;7,00;3,00;0,00
2019-01-13;47,00;587,50;23,50;141,00;35,25;40,00;10,00;13,00;13,00;17,00;7,00;0,00;0,00
2019-01-20;54,00;464,40;10,80;151,20;10,80;30,00;17,00;0,00;10,00;7,00;7,00;3,00;3,00
2019-01-27;62,00;444,33;0,00;124,00;20,67;31,00;10,00;10,00;28,00;21,00;3,00;3,00;0,00
2019-02-03;21,00;420,00;0,00;94,50;21,00;28,00;28,00;7,00;14,00;0,00;4,00;4,00;0,00
2019-02-10;32,00;448,00;0,00;138,67;10,67;25,00;11,00;0,00;7,00;18,00;11,00;7,00;0,00
2019-02-17;29,00;464,00;4,83;154,67;48,33;29,00;25,00;0,00;11,00;14,00;0,00;11,00;4,00
2019-02-24;18,00;405,00;0,00;135,00;18,00;30,00;26,00;4,00;18,00;11,00;11,00;11,00;0,00
2019-03-03;39,00;507,00;9,75;126,75;19,50;32,00;25,00;0,00;21,00;4,00;18,00;11,00;11,00
2019-03-10;32,00;618,67;10,67;170,67;21,33;35,00;32,00;7,00;14,00;0,00;18,00;0,00;0,00
2019-03-17;11,00;638,00;5,50;154,00;22,00;59,00;26,00;15,00;15,00;11,00;7,00;15,00;4,00
2019-03-24;33,00;561,00;11,00;242,00;22,00;26,00;33,00;4,00;22,00;7,00;7,00;0,00;4,00
2019-03-31;50,00;470,00;5,00;150,00;20,00;64,00;21,00;0,00;14,00;11,00;0,00;0,00;0,00
2019-04-07;60,00;580,00;10,00;180,00;20,00;39,00;18,00;18,00;14,00;18,00;11,00;4,00;0,00
2019-04-14;54,00;1080,00;0,00;259,20;64,80;35,00;27,00;8,00;11,00;23,00;11,00;8,00;8,00
2019-04-21;91,00;625,63;5,69;216,13;22,75;30,00;11,00;15,00;23,00;11,00;4,00;4,00;11,00
2019-04-28;55,00;539,00;11,00;176,00;5,50;28,00;28,00;14,00;27,00;7,00;7,00;0,00;0,00
2019-05-05;71,00;466,57;5,07;152,14;30,43;58,00;37,00;14,00;17,00;7,00;0,00;10,00;0,00
2019-05-12;75,00;525,00;10,71;192,86;21,43;29,00;18,00;7,00;11,00;18,00;11,00;0,00;0,00
2019-05-19;42,00;483,00;0,00;189,00;42,00;28,00;38,00;14,00;24,00;17,00;7,00;10,00;0,00
2019-05-26;75,00;492,86;5,36;214,29;21,43;50,00;18,00;21,00;21,00;25,00;11,00;7,00;7,00
2019-06-02;46,00;644,00;11,50;184,00;34,50;18,00;14,00;14,00;25,00;18,00;11,00;7,00;14,00
2019-06-09;79,00;609,43;22,57;248,29;22,57;43,00;32,00;11,00;22,00;18,00;11,00;7,00;4,00
2019-06-16;72,00;534,86;5,14;226,29;20,57;54,00;22,00;33,00;22,00;25,00;4,00;4,00;4,00
2019-06-23;83,00;612,13;5,19;197,13;31,13;54,00;47,00;29,00;14,00;22,00;18,00;0,00;7,00
2019-06-30;82,00;451,00;10,25;123,00;41,00;60,00;43,00;14,00;21,00;11,00;7,00;11,00;0,00
2019-07-07;87,00;663,38;10,88;184,88;43,50;42,00;31,00;14,00;17,00;14,00;10,00;17,00;3,00
2019-07-14;77,00;539,00;5,50;231,00;33,00;37,00;37,00;7,00;18,00;15,00;15,00;7,00;18,00
2019-07-21;57,00;547,20;5,70;205,20;22,80;46,00;54,00;8,00;42,00;19,00;11,00;8,00;0,00
2019-07-28;81,00;627,75;10,13;182,25;10,13;44,00;37,00;7,00;18,00;26,00;11,00;4,00;4,00
2019-08-04;74,00;581,43;10,57;232,57;10,57;37,00;30,00;19,00;4,00;19,00;4,00;7,00;11,00
2019-08-11;50,00;500,00;10,00;170,00;20,00;68,00;25,00;7,00;14,00;11,00;7,00;11,00;4,00
2019-08-18;80,00;548,57;11,43;445,71;11,43;44,00;25,00;18,00;33,00;11,00;7,00;11,00;0,00
2019-08-25;96,00;469,33;10,67;554,67;21,33;28,00;25,00;11,00;11,00;7,00;11,00;4,00;4,00
2019-09-01;100,00;544,44;11,11;188,89;33,33;41,00;21,00;10,00;3,00;17,00;7,00;7,00;7,00
2019-09-08;69,00;598,00;0,00;218,50;34,50;49,00;24,00;14,00;21,00;10,00;10,00;0,00;7,00
2019-09-15;56,00;627,20;11,20;190,40;22,40;31,00;14,00;3,00;24,00;7,00;10,00;7,00;0,00
2019-09-22;74,00;592,00;10,57;296,00;21,14;44,00;10,00;10,00;17,00;3,00;10,00;3,00;3,00
2019-09-29;65,00;650,00;10,83;314,17;10,83;38,00;45,00;3,00;7,00;10,00;3,00;7,00;3,00
2019-10-06;37,00;653,67;6,17;271,33;12,33;27,00;10,00;3,00;27,00;10,00;3,00;17,00;3,00
2019-10-13;41,00;625,25;5,13;205,00;20,50;21,00;27,00;3,00;17,00;7,00;0,00;0,00;3,00
2019-10-20;40,00;490,00;20,00;180,00;10,00;40,00;27,00;13,00;13,00;10,00;3,00;3,00;0,00
2019-10-27;16,00;424,00;8,00;168,00;16,00;26,00;20,00;0,00;7,00;7,00;13,00;13,00;13,00
2019-11-03;26,00;546,00;13,00;234,00;39,00;19,00;19,00;6,00;13,00;13,00;10,00;0,00;6,00
2019-11-10;23,00;483,00;11,50;115,00;23,00;29,00;6,00;10,00;16,00;13,00;0,00;0,00;6,00
2019-11-17;13,00;559,00;13,00;156,00;13,00;29,00;10,00;6,00;16,00;3,00;6,00;3,00;0,00
2019-11-24;25,00;512,50;12,50;225,00;37,50;25,00;25,00;10,00;19,00;13,00;3,00;3,00;0,00
2019-12-01;39,00;448,50;4,88;165,75;29,25;26,00;16,00;3,00;19,00;0,00;3,00;0,00;0,00
2019-12-08;36,00;528,00;12,00;240,00;24,00;39,00;36,00;13,00;19,00;10,00;0,00;0,00;0,00
2019-12-15;23,00;586,50;11,50;230,00;11,50;30,00;20,00;13,00;17,00;3,00;3,00;7,00;0,00
2019-12-22;53,00;699,60;0,00;275,60;10,60;57,00;8,00;11,00;15,00;7,00;7,00;0,00;4,00
2019-12-29;49,00;617,40;4,90;215,60;9,80;21,00;21,00;11,00;21,00;11,00;7,00;4,00;0,00
2020-01-05;44,00;627,00;11,00;121,00;11,00;44,00;16,00;9,00;3,00;12,00;6,00;3,00;3,00
2020-01-12;45,00;663,75;11,25;112,50;11,25;33,00;18,00;6,00;18,00;3,00;6,00;3,00;3,00
2020-01-19;62,00;475,33;10,33;103,33;20,67;63,00;25,00;6,00;16,00;6,00;3,00;0,00;0,00
2020-01-26;44,00;473,00;11,00;121,00;22,00;32,00;38,00;6,00;22,00;6,00;6,00;3,00;6,00
2020-02-02;24,00;456,00;12,00;156,00;24,00;28,00;6,00;15,00;18,00;9,00;6,00;6,00;0,00
2020-02-09;63,00;451,50;5,25;147,00;10,50;27,00;12,00;3,00;21,00;12,00;0,00;3,00;3,00
2020-02-16;47,00;575,75;0,00;223,25;23,50;19,00;28,00;6,00;6,00;9,00;3,00;13,00;3,00
2020-02-23;58,00;487,20;11,60;197,20;34,80;40,00;15,00;15,00;12,00;6,00;6,00;0,00;3,00
2020-03-01;51,00;397,80;10,20;132,60;10,20;36,00;18,00;12,00;12,00;15,00;9,00;6,00;3,00
2020-03-08;37,00;444,00;12,33;160,33;12,33;20,00;9,00;11,00;6,00;11,00;0,00;3,00;0,00
2020-03-15;17,00;195,50;4,25;34,00;8,50;14,00;14,00;9,00;3,00;8,00;0,00;0,00;6,00
2020-03-22;6,00;126,00;0,00;54,00;6,00;23,00;0,00;11,00;3,00;6,00;3,00;0,00;0,00
2020-03-29;8,00;152,00;0,00;24,00;8,00;9,00;14,00;0,00;6,00;6,00;0,00;0,00;0,00
2020-04-05;19,00;152,00;0,00;38,00;9,50;12,00;6,00;9,00;12,00;6,00;0,00;9,00;0,00
2020-04-12;9,00;126,00;4,50;36,00;9,00;12,00;9,00;6,00;6,00;6,00;3,00;6,00;0,00
2020-04-19;12,00;120,00;0,00;36,00;6,00;12,00;9,00;3,00;0,00;3,00;0,00;0,00;0,00
2020-04-26;8,00;88,00;4,00;24,00;8,00;14,00;8,00;3,00;14,00;0,00;0,00;0,00;3,00
2020-05-03;17,00;119,00;4,25;25,50;4,25;11,00;3,00;6,00;0,00;0,00;3,00;0,00;0,00
2020-05-10;11,00;143,00;5,50;22,00;11,00;3,00;3,00;9,00;0,00;6,00;6,00;6,00;0,00
2020-05-17;12,00;108,00;0,00;48,00;12,00;24,00;6,00;3,00;3,00;0,00;0,00;0,00;3,00
2020-05-24;21,00;136,50;0,00;42,00;10,50;6,00;18,00;3,00;9,00;3,00;3,00;0,00;0,00
2020-05-31;11,00;187,00;5,50;44,00;11,00;26,00;6,00;6,00;17,00;11,00;3,00;0,00;0,00
2020-06-07;26,00;273,00;13,00;52,00;6,50;17,00;40,00;6,00;3,00;8,00;6,00;6,00;9,00
2020-06-14;40,00;210,00;10,00;80,00;10,00;40,00;28,00;0,00;0,00;8,00;3,00;8,00;3,00
2020-06-21;21,00;231,00;5,25;115,50;10,50;18,00;9,00;9,00;9,00;9,00;3,00;0,00;6,00
2020-06-28;46,00;322,00;11,50;149,50;23,00;44,00;26,00;0,00;9,00;3,00;3,00;6,00;9,00
2020-07-05;87,00;315,38;5,44;174,00;32,63;15,00;36,00;0,00;12,00;9,00;6,00;0,00;3,00
2020-07-12;63,00;336,00;0,00;136,50;21,00;28,00;22,00;13,00;22,00;6,00;60,00;6,00;13,00
2020-07-19;74,00;359,43;5,29;179,71;21,14;32,00;26,00;3,00;10,00;23,00;19,00;6,00;3,00
2020-07-26;48,00;336,00;6,00;228,00;36,00;39,00;10,00;10,00;3,00;6,00;6,00;10,00;3,00
2020-08-02;35,00;350,00;5,83;163,33;35,00;23,00;26,00;6,00;3,00;16,00;6,00;3,00;3,00
2020-08-09;56,00;224,00;11,20;212,80;22,40;12,00;12,00;6,00;3,00;12,00;6,00;6,00;3,00
2020-08-16;28,00;280,00;9,33;121,33;4,67;31,00;22,00;0,00;16,00;13,00;6,00;3,00;0,00
2020-08-23;53,00;275,60;5,30;137,80;10,60;16,00;13,00;0,00;3,00;3,00;6,00;3,00;6,00
2020-08-30;34,00;181,33;5,67;170,00;11,33;3,00;28,00;0,00;19,00;9,00;9,00;3,00;0,00
2020-09-06;16,00;272,00;16,00;224,00;32,00;9,00;13,00;13,00;3,00;6,00;6,00;3,00;0,00
2020-09-13;16,00;288,00;0,00;160,00;8,00;22,00;3,00;3,00;0,00;6,00;3,00;3,00;0,00
2020-09-20;9,00;144,00;0,00;81,00;9,00;15,00;9,00;0,00;9,00;0,00;3,00;3,00;0,00
2020-09-27;22,00;187,00;5,50;99,00;11,00;9,00;3,00;3,00;0,00;3,00;0,00;0,00;0,00
2020-10-04;16,00;240,00;8,00;144,00;8,00;3,00;3,00;3,00;9,00;3,00;0,00;3,00;0,00
2020-10-11;3,00;90,00;3,00;54,00;6,00;10,00;3,00;3,00;0,00;0,00;0,00;0,00;3,00
2020-10-18;16,00;176,00;0,00;64,00;8,00;3,00;0,00;0,00;3,00;3,00;3,00;3,00;6,00
2020-10-25;22,00;121,00;5,50;44,00;11,00;9,00;6,00;3,00;6,00;3,00;0,00;6,00;3,00
2020-11-01;17,00;76,50;4,25;17,00;4,25;3,00;3,00;0,00;0,00;3,00;0,00;3,00;0,00
2020-11-08;3,00;60,00;0,00;18,00;3,00;19,00;6,00;0,00;3,00;3,00;3,00;3,00;0,00
2020-11-15;3,00;72,00;3,00;24,00;6,00;19,00;3,00;3,00;3,00;0,00;3,00;3,00;0,00
2020-11-22;12,00;96,00;0,00;48,00;12,00;6,00;6,00;0,00;3,00;3,00;0,00;0,00;0,00
2020-11-29;9,00;99,00;0,00;36,00;9,00;3,00;6,00;0,00;9,00;3,00;6,00;3,00;0,00
2020-12-06;15,00;240,00;0,00;45,00;7,50;3,00;6,00;6,00;0,00;3,00;9,00;0,00;0,00
2020-12-13;6,00;60,00;0,00;24,00;3,00;3,00;3,00;3,00;6,00;0,00;0,00;0,00;0,00
2020-12-20;4,00;88,00;0,00;56,00;4,00;18,00;4,00;0,00;4,00;4,00;0,00;0,00;0,00
2020-12-27;10,00;140,00;0,00;50,00;0,00;10,00;3,00;0,00;3,00;3,00;0,00;0,00;0,00
2021-01-03;3,00;72,00;0,00;18,00;0,00;6,00;9,00;0,00;0,00;3,00;0,00;3,00;0,00
2021-01-10;9,00;117,00;4,50;36,00;9,00;3,00;3,00;6,00;3,00;3,00;0,00;0,00;3,00
2021-01-17;12,00;132,00;0,00;36,00;6,00;15,00;3,00;0,00;0,00;3,00;3,00;3,00;0,00
