Semaine;Val de Loire (FR);Chateaux Loire (US);Bourgogne (FR);Drome (FR);Vaucluse (FR);Ardeche (FR);Baie de Somme (FR);Montagne du Luberon (FR);Auvergne (FR);Perigord (FR);Alsace (FR);Provence (FR);Morbihan (US);Gers (FR);Massif Central (FR);Normandie (FR);Cévennes (FR);Morvan (FR);Vosges (FR);Chantilly (FR);Languedoc Roussillon (FR)
2019-01-06;17,00;32,87;17,00;0,00;0,00;0,00;0,00;0,00;0,00;34,00;51,00;34,00;0,00;0,00;0,00;32,45;17,00;0,00;0,00;0,00;0,00
2019-01-13;16,00;0,00;0,00;0,00;0,00;16,00;0,00;0,00;16,00;0,00;30,22;30,22;0,00;0,00;0,00;80,00;0,00;0,00;0,00;0,00;0,00
2019-01-20;46,00;46,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;29,44;60,72;0,00;0,00;0,00;46,00;0,00;0,00;0,00;0,00;15,00
2019-01-27;16,00;30,86;0,00;0,00;0,00;16,00;0,00;0,00;16,00;0,00;0,00;68,00;0,00;16,00;0,00;32,00;0,00;0,00;0,00;0,00;16,00
2019-02-03;0,00;29,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;9,00;18,00;0,00;0,00;0,00;11,00;0,00;0,00;0,00;0,00;0,00
2019-02-10;50,00;16,28;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;33,33;16,67;0,00;0,00;0,00;33,87;16,13;0,00;0,00;0,00;17,00
2019-02-17;17,00;35,21;0,00;0,00;0,00;17,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;35,70;0,00;0,00;17,00;0,00;0,00
2019-02-24;0,00;14,00;0,00;0,00;0,00;33,00;0,00;0,00;0,00;0,00;35,00;26,00;0,00;0,00;0,00;10,00;0,00;0,00;0,00;0,00;0,00
2019-03-03;17,00;32,87;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;17,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-10;17,00;51,00;0,00;0,00;0,00;0,00;0,00;0,00;17,00;17,00;0,00;17,00;0,00;0,00;0,00;49,45;0,00;0,00;0,00;0,00;0,00
2019-03-17;0,00;15,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;9,00;27,00;46,00;0,00;0,00;0,00;11,00;0,00;0,00;0,00;0,00;0,00
2019-03-24;51,00;68,39;0,00;0,00;0,00;0,00;0,00;0,00;0,00;17,00;0,00;86,89;17,00;0,00;0,00;33,47;17,53;0,00;0,00;0,00;0,00
2019-03-31;16,00;46,86;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;30,22;46,22;0,00;0,00;0,00;64,00;0,00;0,00;0,00;0,00;0,00
2019-04-07;32,00;46,86;0,00;0,00;0,00;16,00;0,00;0,00;0,00;16,94;48,94;64,00;16,94;0,00;0,00;48,00;0,00;0,00;0,00;0,00;0,00
2019-04-14;17,00;17,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;17,00;68,00;68,00;0,00;0,00;0,00;32,45;0,00;0,00;0,00;0,00;0,00
2019-04-21;16,00;32,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;30,22;16,00;76,44;0,00;0,00;0,00;112,00;0,00;0,00;0,00;0,00;16,00
2019-04-28;16,00;0,00;16,00;0,00;0,00;0,00;0,00;0,00;16,00;0,00;32,00;32,00;0,00;0,00;0,00;115,20;0,00;0,00;0,00;16,00;33,00
2019-05-05;0,00;67,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;34,00;42,00;0,00;0,00;10,00;29,00;0,00;0,00;0,00;0,00;0,00
2019-05-12;32,00;48,00;0,00;0,00;0,00;0,00;0,00;0,00;16,00;0,00;48,94;82,82;0,00;0,00;0,00;48,00;0,00;0,00;0,00;0,00;16,00
2019-05-19;0,00;41,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;9,00;26,00;26,00;0,00;0,00;0,00;30,00;0,00;0,00;0,00;0,00;0,00
2019-05-26;16,00;30,86;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;34,00;102,00;0,00;0,00;0,00;94,40;16,00;0,00;0,00;0,00;16,00
2019-06-02;93,00;109,28;31,39;0,00;0,00;0,00;0,00;0,00;16,00;0,00;31,62;31,62;0,00;16,03;0,00;155,53;0,00;0,00;0,00;0,00;0,00
2019-06-09;47,00;31,73;0,00;0,00;15,28;16,00;0,00;0,00;0,00;0,00;47,00;47,00;0,00;0,00;0,00;110,21;0,00;0,00;0,00;0,00;0,00
2019-06-16;16,00;16,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;78,22;124,44;0,00;0,00;0,00;147,20;0,00;0,00;0,00;0,00;16,00
2019-06-23;17,00;35,21;0,00;0,00;0,00;17,00;0,00;0,00;0,00;0,00;34,00;151,11;0,00;0,00;0,00;158,10;0,00;0,00;0,00;0,00;17,00
2019-06-30;50,00;116,28;0,00;0,00;0,00;17,00;0,00;0,00;0,00;0,00;66,67;114,81;0,00;0,00;0,00;50,00;0,00;0,00;0,00;0,00;0,00
2019-07-07;80,00;80,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;111,63;111,63;0,00;0,00;0,00;160,00;0,00;0,00;0,00;0,00;0,00
2019-07-14;100,00;16,28;33,72;0,00;0,00;0,00;0,00;0,00;17,00;16,67;150,00;83,33;0,00;0,00;0,00;117,74;0,00;0,00;0,00;17,00;33,00
2019-07-21;51,00;84,61;0,00;17,39;0,00;51,00;0,00;0,00;0,00;0,00;34,00;85,00;0,00;0,00;0,00;133,88;0,00;0,00;17,00;0,00;17,00
2019-07-28;52,00;69,33;0,00;0,00;0,00;17,00;0,00;0,00;0,00;0,00;104,00;52,00;0,00;0,00;0,00;69,88;17,88;0,00;0,00;0,00;17,00
2019-08-04;35,00;86,33;0,00;0,00;17,50;0,00;0,00;0,00;0,00;16,58;51,58;171,32;0,00;0,00;0,00;154,32;0,00;0,00;17,00;17,00;0,00
2019-08-11;35,00;52,50;0,00;0,00;0,00;0,00;0,00;0,00;17,00;0,00;119,74;171,32;0,00;0,00;0,00;103,41;0,00;0,00;17,00;0,00;52,00
2019-08-18;34,00;17,59;0,00;0,00;0,00;17,00;0,00;0,00;0,00;0,00;85,00;85,00;0,00;0,00;0,00;136,00;0,00;0,00;0,00;17,00;34,00
2019-08-25;16,00;0,00;0,00;0,00;0,00;16,00;0,00;0,00;0,00;0,00;62,22;16,00;0,00;0,00;0,00;48,00;0,00;0,00;0,00;0,00;16,00
2019-09-01;15,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;15,00;121,88;76,88;0,00;0,00;0,00;85,50;0,00;0,00;0,00;0,00;0,00
2019-09-08;15,00;30,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;15,00;30,00;0,00;0,00;0,00;15,00;0,00;0,00;0,00;0,00;0,00
2019-09-15;0,00;13,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;8,00;24,00;32,00;0,00;0,00;0,00;28,00;0,00;0,00;0,00;30,00;0,00
2019-09-22;30,00;45,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;75,00;60,00;0,00;0,00;0,00;14,21;14,21;0,00;0,00;15,00;0,00
2019-09-29;0,00;0,00;0,00;0,00;0,00;0,00;0,00;15,00;0,00;0,00;49,00;0,00;0,00;0,00;0,00;10,00;0,00;0,00;0,00;0,00;15,00
