Semaine;Chamonix (FR);Val Thorens (FR);Alpe d Huez (FR);Les Deux Alpes (FR);Tignes (FR);Les Arcs (FR);Les Ménuires (FR);Avoriaz (FR);La Plagne (FR);La Clusaz (FR);Morzine (FR);Châtel (FR);Les Gets (FR);Val Cenis (FR);Courchevel (FR);Serre Chevalier (FR);Samoëns (FR);Valloire (FR);Méribel (FR);Val d Isère (FR);Megève (FR);Vars (FR);Grand Bornand (FR);Font Romeu (FR);St Lary (FR);Barèges (FR);La Mongie (FR);Peyragudes (FR)
2019-01-06;98,00;56,42;13,36;28,21;13,36;14,00;14,00;14,00;0,00;0,00;14,00;0,00;0,00;0,00;42,00;28,00;0,00;0,00;0,00;0,00;28,00;13,75;13,75;98,00;13,75;0,00;0,00;0,00
2019-01-13;67,00;0,00;13,40;0,00;0,00;0,00;0,00;13,00;0,00;0,00;13,00;13,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;13,00;0,00;0,00;67,00;0,00;27,00;0,00;0,00
2019-01-20;63,00;0,00;13,19;0,00;13,19;0,00;0,00;25,00;0,00;0,00;0,00;0,00;0,00;0,00;13,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;126,00;11,92;13,00;25,00;0,00
2019-01-27;52,00;0,00;0,00;52,00;38,63;0,00;0,00;0,00;0,00;0,00;13,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;78,00;0,00;0,00;26,00;26,00
2019-02-03;42,00;13,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;68,88;26,88;0,00;56,00;0,00
2019-02-10;55,00;0,00;13,38;13,38;28,24;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;14,00;0,00;0,00;14,00;14,00;0,00;0,00;68,75;27,50;0,00;14,00;14,00
2019-02-17;28,00;0,00;13,26;0,00;13,26;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;14,00;0,00;0,00;70,00;14,00;0,00;28,00;14,00
2019-02-24;27,00;13,50;0,00;13,50;0,00;0,00;0,00;0,00;0,00;14,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;27,00;13,50;0,00;14,00;0,00
2019-03-03;42,00;0,00;14,48;27,52;0,00;0,00;0,00;14,00;14,00;14,00;0,00;0,00;0,00;0,00;14,00;0,00;0,00;0,00;0,00;0,00;14,00;0,00;0,00;55,44;26,88;0,00;0,00;14,00
2019-03-10;0,00;0,00;48,00;10,00;10,00;14,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;14,00;0,00;0,00;0,00;8,00;8,00;0,00;43,00;0,00
2019-03-17;14,00;14,00;0,00;0,00;0,00;0,00;0,00;14,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;28,00;28,00;0,00;0,00;14,00
2019-03-24;28,00;13,26;13,26;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;14,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;14,00;0,00;0,00;0,00
2019-03-31;53,00;0,00;0,00;13,25;13,25;0,00;0,00;0,00;0,00;0,00;13,00;0,00;0,00;0,00;0,00;0,00;0,00;13,00;0,00;0,00;0,00;0,00;0,00;25,65;0,00;0,00;0,00;0,00
2019-04-07;53,00;26,50;0,00;13,25;26,50;0,00;0,00;13,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;39,32;0,00;0,00;0,00;0,00
2019-04-14;42,00;0,00;42,00;0,00;0,00;0,00;0,00;28,00;0,00;0,00;0,00;0,00;0,00;0,00;14,00;0,00;0,00;0,00;14,00;0,00;0,00;0,00;0,00;26,88;0,00;0,00;0,00;14,00
2019-04-21;13,00;0,00;13,00;13,00;26,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;13,00;0,00;0,00;0,00;0,00;0,00;13,00;0,00;0,00;0,00
2019-04-28;14,00;0,00;14,00;0,00;14,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;14,00;0,00;0,00;0,00;0,00;28,00;0,00;0,00;0,00;0,00
2019-05-05;26,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-05-12;27,00;0,00;13,50;27,00;13,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;13,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;27,00;0,00;0,00;0,00;0,00
2019-05-19;92,00;0,00;0,00;26,71;13,35;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;13,00;0,00;0,00;0,00;13,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-05-26;26,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;26,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;13,00;0,00;0,00;0,00;0,00;13,87;0,00;0,00;0,00;0,00
2019-06-02;0,00;0,00;17,00;0,00;0,00;0,00;0,00;0,00;13,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;13,00;0,00;0,00;0,00;8,00;0,00;0,00;0,00;0,00
2019-06-09;90,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;13,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;25,47;13,58;0,00;0,00;0,00
2019-06-16;54,00;0,00;13,50;40,50;0,00;13,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;27,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-06-23;41,00;0,00;13,18;13,18;13,18;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;27,33;0,00;0,00;0,00;0,00
2019-06-30;41,00;0,00;13,18;26,36;13,18;0,00;0,00;14,00;0,00;0,00;14,00;14,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;27,33;0,00;0,00;0,00;0,00
2019-07-07;66,00;13,20;26,40;0,00;0,00;0,00;0,00;27,00;13,00;0,00;0,00;13,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;13,54;0,00;0,00;0,00
2019-07-14;69,00;0,00;13,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;41,00;0,00;14,00;0,00;0,00;0,00;0,00;0,00;14,00;0,00;0,00;13,80;0,00;0,00;0,00;0,00
2019-07-21;70,00;28,30;41,70;28,30;13,40;0,00;0,00;14,00;0,00;14,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;14,00;0,00;0,00;0,00;0,00;0,00;27,32;0,00;0,00;0,00;0,00
2019-07-28;71,00;0,00;42,90;14,79;28,10;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;14,00;0,00;0,00;0,00;0,00;28,74;13,52;0,00;0,00;0,00
2019-08-04;100,00;0,00;14,93;0,00;0,00;0,00;14,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;14,00;0,00;0,00;43,10;0,00;0,00;0,00;0,00
2019-08-11;86,00;0,00;0,00;14,83;0,00;14,00;0,00;0,00;0,00;0,00;14,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;14,00;0,00;0,00;0,00;43,00;13,76;0,00;14,00;0,00
2019-08-18;56,00;13,26;0,00;0,00;28,00;0,00;0,00;14,00;0,00;0,00;14,00;0,00;0,00;0,00;14,00;14,00;0,00;14,00;0,00;0,00;0,00;0,00;0,00;0,00;13,58;0,00;0,00;0,00
2019-08-25;93,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;13,00;0,00;0,00;0,00;0,00;0,00;0,00;27,00;0,00;0,00;0,00;0,00;0,00;0,00;13,78;13,78;0,00;0,00;0,00
2019-09-01;38,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;25,00;0,00;0,00;0,00;13,00;0,00;0,00;0,00;0,00;25,00;13,00;0,00;0,00;12,09;0,00;0,00;0,00;0,00
2019-09-08;49,00;0,00;25,24;0,00;37,12;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;12,00;0,00;12,00;0,00;0,00;11,83;0,00;0,00;0,00;12,00
2019-09-15;12,00;12,00;25,50;12,00;0,00;0,00;0,00;0,00;0,00;0,00;12,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;12,00;0,00;0,00;12,00;0,00;0,00;0,00;0,00
2019-09-22;25,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;12,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-09-29;38,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;13,00;0,00;13,00;0,00;0,00;25,00;0,00;0,00;0,00;0,00;0,00;13,00;0,00;0,00;12,09;25,91;0,00;13,00;0,00
2019-10-06;13,00;13,00;0,00;0,00;13,00;25,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;12,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-10-13;49,00;0,00;0,00;11,88;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;12,00;0,00;0,00;0,00;0,00;12,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-10-20;24,00;36,00;12,00;24,00;49,50;12,00;0,00;0,00;0,00;12,00;12,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;12,00;0,00;12,00;0,00
