Semaine;Tahiti (PF);Guadeloupe (GP);Martinique (LC);Réunion (RE);Guyane (GF);St Barthélémy (BL);Mayotte (YT);Saint Martin (ile d Amérique du nord) (MF);Nouvelle Caledonie (NC)
2019-01-06;75,00;12,69;25,38;25,38;12,69;0,00;0,00;13,00;13,00
2019-01-13;36,00;0,00;11,61;47,61;0,00;0,00;0,00;0,00;0,00
2019-01-20;11,00;0,00;31,90;31,90;11,00;0,00;11,00;34,00;11,00
2019-01-27;23,00;11,50;0,00;34,50;0,00;0,00;12,00;0,00;12,00
2019-02-03;25,00;0,00;48,86;25,00;0,00;0,00;0,00;13,00;0,00
2019-02-10;25,00;13,10;13,10;13,10;0,00;0,00;0,00;25,00;0,00
2019-02-17;25,00;13,10;63,10;13,10;0,00;0,00;12,00;12,00;0,00
2019-02-24;12,00;12,00;25,20;12,00;12,00;12,00;24,00;0,00;0,00
2019-03-03;51,00;12,75;76,50;51,00;0,00;0,00;13,00;13,00;0,00
2019-03-10;38,00;0,00;38,00;25,33;0,00;0,00;0,00;26,00;0,00
2019-03-17;13,00;13,00;13,00;13,00;0,00;0,00;0,00;0,00;13,00
2019-03-24;63,00;12,83;0,00;12,83;0,00;13,00;0,00;0,00;13,00
2019-03-31;12,00;0,00;12,00;24,00;0,00;0,00;0,00;12,00;0,00
2019-04-07;36,00;0,00;59,23;24,39;0,00;0,00;0,00;0,00;12,00
2019-04-14;38,00;25,33;12,67;12,67;0,00;0,00;0,00;25,00;13,00
2019-04-21;24,00;11,43;35,43;46,86;0,00;0,00;12,00;24,00;0,00
2019-04-28;24,00;11,43;11,43;48,00;0,00;0,00;0,00;0,00;0,00
2019-05-05;0,00;10,00;100,00;20,00;0,00;0,00;12,00;12,00;0,00
2019-05-12;48,00;0,00;24,59;24,59;0,00;0,00;12,00;12,00;48,00
2019-05-19;47,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;12,00
2019-05-26;70,00;11,67;11,67;46,67;0,00;12,00;12,00;12,00;12,00
2019-06-02;58,00;11,60;0,00;23,20;0,00;12,00;12,00;0,00;0,00
2019-06-09;12,00;12,00;24,00;24,00;0,00;0,00;0,00;0,00;0,00
2019-06-16;85,00;0,00;36,10;36,10;0,00;0,00;12,00;12,00;0,00
2019-06-23;62,00;0,00;24,57;0,00;0,00;0,00;12,00;0,00;0,00
2019-06-30;37,00;12,72;48,56;48,56;0,00;0,00;0,00;0,00;0,00
2019-07-07;95,00;11,59;11,59;11,59;0,00;0,00;12,00;24,00;0,00
2019-07-14;74,00;24,28;37,00;37,00;12,72;12,00;25,00;12,00;12,00
2019-07-21;100,00;12,79;37,21;37,21;0,00;0,00;12,00;12,00;0,00
2019-07-28;38,00;0,00;12,67;50,67;0,00;0,00;0,00;0,00;0,00
2019-08-04;51,00;25,50;25,50;25,50;0,00;0,00;0,00;13,00;0,00
2019-08-11;64,00;12,80;38,40;25,60;0,00;13,00;13,00;26,00;51,00
2019-08-18;63,00;37,33;37,33;63,00;0,00;12,00;0,00;12,00;12,00
2019-08-25;48,00;24,59;48,00;36,29;0,00;12,00;0,00;12,00;0,00
2019-09-01;68,00;11,72;22,28;22,28;11,72;11,00;23,00;0,00;11,00
2019-09-08;55,00;11,46;11,46;33,23;0,00;0,00;22,00;22,00;0,00
2019-09-15;22,00;22,00;22,00;44,00;0,00;0,00;11,00;0,00;0,00
2019-09-22;33,00;0,00;33,00;43,24;0,00;0,00;11,00;11,00;0,00
2019-09-29;11,00;11,00;31,90;22,00;22,00;0,00;23,00;11,00;0,00
2019-10-06;0,00;10,00;39,00;29,00;0,00;0,00;0,00;0,00;22,00
2019-10-13;22,00;22,00;22,00;44,00;10,42;0,00;0,00;11,00;0,00
2019-10-20;22,00;22,00;42,84;54,42;0,00;11,00;0,00;0,00;11,00
2019-10-27;44,00;22,00;11,58;22,00;0,00;0,00;0,00;0,00;11,00
2019-11-03;43,00;22,08;32,54;32,54;10,46;0,00;0,00;0,00;11,00
2019-11-10;33,00;33,00;22,39;10,61;0,00;0,00;11,00;11,00;11,00
2019-11-17;11,00;11,00;11,00;101,44;0,00;0,00;0,00;11,00;0,00
2019-11-24;21,00;0,00;0,00;64,17;21,00;0,00;0,00;11,00;11,00
2019-12-01;33,00;11,38;11,38;21,62;0,00;0,00;11,00;0,00;0,00
2019-12-08;46,00;57,79;11,79;46,00;0,00;0,00;0,00;23,00;23,00
2019-12-15;22,00;0,00;0,00;10,42;10,42;0,00;0,00;0,00;0,00
2019-12-22;0,00;20,00;51,00;10,00;0,00;24,00;0,00;59,00;0,00
2019-12-29;36,00;11,61;0,00;11,61;11,61;0,00;12,00;35,00;12,00
2020-01-05;66,00;22,00;22,00;44,00;0,00;0,00;0,00;0,00;11,00
2020-01-12;10,00;10,00;38,89;38,89;0,00;0,00;10,00;0,00;10,00
2020-01-19;50,00;19,77;30,23;10,47;0,00;0,00;0,00;10,00;10,00
2020-01-26;10,00;0,00;10,00;20,00;0,00;0,00;0,00;0,00;10,00
2020-02-02;21,00;0,00;10,50;52,50;0,00;10,00;10,00;21,00;10,00
2020-02-09;21,00;0,00;31,50;10,50;10,50;0,00;0,00;0,00;10,00
2020-02-16;61,00;10,36;40,28;10,36;0,00;0,00;0,00;0,00;0,00
2020-02-23;30,00;10,38;0,00;10,38;0,00;0,00;0,00;10,00;0,00
2020-03-01;40,00;0,00;30,59;40,00;10,59;0,00;0,00;20,00;0,00
