Semaine;Nice (FR);Paris (FR);Lille (FR);Strasbourg (FR);Lyon (FR);Marseille (FR);Bordeaux (FR);Tours (FR);Toulouse (FR);Montpellier (FR);Nantes (FR);Avignon (FR);Dijon (FR)
2019-01-06;25,00;483,33;0,00;16,67;25,00;25,00;19,00;13,00;28,00;2,27;15,91;0,00;0,00
2019-01-13;18,00;450,00;9,00;18,00;18,00;33,00;24,00;6,00;18,00;2,25;9,00;9,00;2,25
2019-01-20;6,00;270,00;6,00;6,00;12,00;20,00;23,00;3,00;17,00;12,00;16,00;0,00;0,00
2019-01-27;18,00;468,00;9,00;18,00;18,00;15,00;41,00;3,00;32,00;15,75;9,00;6,75;0,00
2019-02-03;13,00;598,00;13,00;26,00;13,00;13,00;22,00;3,00;44,00;8,67;21,67;0,00;0,00
2019-02-10;3,00;336,00;3,00;6,00;18,00;15,00;19,00;3,00;25,00;18,00;36,00;9,00;0,00
2019-02-17;6,00;330,00;0,00;6,00;60,00;19,00;44,00;6,00;19,00;2,00;20,00;2,00;6,00
2019-02-24;21,00;525,00;5,25;10,50;31,50;21,00;33,00;3,00;30,00;6,30;6,30;0,00;0,00
2019-03-03;6,00;354,00;6,00;12,00;24,00;22,00;25,00;3,00;22,00;0,00;14,00;6,00;2,00
2019-03-10;13,00;728,00;13,00;13,00;39,00;13,00;45,00;3,00;32,00;21,67;21,67;2,17;0,00
2019-03-17;6,00;336,00;0,00;12,00;6,00;28,00;19,00;6,00;25,00;6,00;12,00;2,00;0,00
2019-03-24;16,00;440,00;4,00;16,00;24,00;16,00;22,00;10,00;22,00;16,00;22,86;0,00;0,00
2019-03-31;15,00;345,00;7,50;15,00;15,00;24,00;62,00;9,00;27,00;17,14;17,14;0,00;0,00
2019-04-07;21,00;556,50;5,25;10,50;21,00;15,00;57,00;9,00;18,00;9,33;2,33;0,00;0,00
2019-04-14;35,00;875,00;8,75;17,50;26,25;28,00;85,00;16,00;34,00;13,13;28,44;2,19;0,00
2019-04-21;27,00;378,00;4,50;9,00;9,00;39,00;36,00;12,00;33,00;11,25;24,75;0,00;0,00
2019-04-28;30,00;460,00;5,00;10,00;10,00;33,00;21,00;12,00;27,00;8,57;6,43;0,00;2,14
2019-05-05;20,00;450,00;10,00;30,00;20,00;41,00;35,00;9,00;23,00;8,89;15,56;2,22;0,00
2019-05-12;24,00;636,00;0,00;24,00;48,00;33,00;33,00;12,00;21,00;8,73;24,00;6,55;0,00
2019-05-19;32,00;522,67;10,67;10,67;32,00;26,00;35,00;0,00;21,00;19,20;8,53;6,40;0,00
2019-05-26;18,00;369,00;18,00;18,00;18,00;17,00;18,00;15,00;26,00;18,00;31,50;6,75;0,00
2019-06-02;17,00;391,00;0,00;34,00;17,00;26,00;52,00;3,00;20,00;19,13;25,50;2,13;2,13
2019-06-09;38,00;446,50;0,00;38,00;19,00;52,00;58,00;15,00;23,00;17,88;20,12;8,94;0,00
2019-06-16;24,00;360,00;4,00;8,00;16,00;45,00;55,00;6,00;27,00;8,73;17,45;8,73;0,00
2019-06-23;22,00;484,00;0,00;11,00;22,00;25,00;25,00;9,00;15,00;8,80;15,40;6,60;6,60
2019-06-30;25,00;383,33;8,33;41,67;25,00;31,00;62,00;6,00;40,00;18,18;27,27;9,09;0,00
2019-07-07;39,00;536,25;19,50;19,50;29,25;30,00;48,00;9,00;33,00;27,53;29,82;2,29;6,88
2019-07-14;34,00;450,50;4,25;17,00;25,50;34,00;68,00;19,00;40,00;18,13;22,67;6,80;0,00
2019-07-21;25,00;466,67;8,33;8,33;16,67;34,00;44,00;9,00;31,00;15,91;15,91;2,27;0,00
2019-07-28;42,00;556,50;5,25;21,00;31,50;64,00;81,00;13,00;38,00;6,63;15,47;2,21;2,21
2019-08-04;45,00;495,00;9,00;9,00;27,00;77,00;77,00;10,00;29,00;29,25;20,25;0,00;0,00
2019-08-11;29,00;570,33;4,83;38,67;29,00;35,00;100,00;3,00;45,00;15,62;26,77;6,69;0,00
2019-08-18;41,00;522,75;5,13;30,75;30,75;53,00;85,00;16,00;37,00;9,11;25,06;13,67;0,00
2019-08-25;18,00;513,00;18,00;18,00;9,00;36,00;48,00;18,00;27,00;18,00;9,00;9,00;0,00
2019-09-01;23,00;540,50;5,75;23,00;34,50;34,00;40,00;8,00;31,00;13,80;41,40;2,30;0,00
2019-09-08;19,00;494,00;9,50;19,00;19,00;22,00;31,00;11,00;44,00;12,67;21,11;2,11;0,00
2019-09-15;31,00;609,67;5,17;31,00;31,00;28,00;61,00;11,00;33,00;13,29;26,57;0,00;0,00
2019-09-22;28,00;457,33;9,33;18,67;18,67;25,00;36,00;14,00;28,00;8,62;21,54;0,00;6,46
2019-09-29;14,00;700,00;14,00;56,00;28,00;34,00;54,00;14,00;14,00;2,33;21,00;2,33;0,00
2019-10-06;34,00;484,50;4,25;17,00;25,50;20,00;45,00;14,00;28,00;11,33;20,40;6,80;0,00
2019-10-13;22,00;473,00;11,00;33,00;33,00;22,00;44,00;11,00;38,00;11,00;13,20;0,00;0,00
2019-10-20;27,00;405,00;9,00;27,00;9,00;19,00;38,00;3,00;32,00;9,00;27,00;2,25;0,00
2019-10-27;14,00;980,00;14,00;28,00;42,00;33,00;56,00;17,00;28,00;14,00;21,00;0,00;2,33
2019-11-03;8,00;424,00;4,00;24,00;24,00;22,00;49,00;5,00;19,00;12,00;18,00;2,00;0,00
2019-11-10;8,00;376,00;0,00;24,00;16,00;35,00;38,00;5,00;22,00;12,00;4,00;0,00;2,00
2019-11-17;16,00;400,00;4,00;40,00;8,00;21,00;43,00;5,00;29,00;4,57;2,29;2,29;0,00
2019-11-24;16,00;448,00;8,00;16,00;16,00;16,00;37,00;5,00;32,00;4,57;20,57;4,57;0,00
2019-12-01;11,00;649,00;11,00;33,00;11,00;14,00;53,00;3,00;39,00;2,20;17,60;2,20;2,20
2019-12-08;23,00;437,00;5,75;34,50;11,50;17,00;32,00;9,00;11,00;0,00;23,00;0,00;2,30
2019-12-15;11,00;506,00;5,50;22,00;22,00;16,00;47,00;5,00;14,00;11,00;11,00;0,00;0,00
2019-12-22;12,00;552,00;12,00;36,00;24,00;24,00;47,00;0,00;32,00;9,60;12,00;2,40;2,40
2019-12-29;24,00;588,00;6,00;24,00;36,00;21,00;51,00;12,00;24,00;15,27;17,45;8,73;0,00
2020-01-05;14,00;770,00;0,00;14,00;14,00;30,00;44,00;6,00;16,00;2,33;11,67;2,33;0,00
2020-01-12;33,00;583,00;5,50;22,00;22,00;20,00;41,00;3,00;28,00;6,60;17,60;4,40;2,20
2020-01-19;10,00;460,00;5,00;20,00;20,00;13,00;25,00;3,00;23,00;2,00;20,00;2,00;0,00
2020-01-26;21,00;525,00;10,50;21,00;42,00;31,00;32,00;8,00;34,00;14,00;42,00;0,00;0,00
2020-02-02;18,00;495,00;9,00;27,00;18,00;29,00;74,00;11,00;29,00;13,50;24,75;0,00;0,00
2020-02-09;31,00;485,67;5,17;10,33;5,17;26,00;29,00;16,00;31,00;13,29;28,79;0,00;0,00
2020-02-16;10,00;530,00;10,00;10,00;30,00;38,00;49,00;8,00;10,00;6,00;12,00;4,00;0,00
2020-02-23;10,00;380,00;10,00;20,00;20,00;20,00;23,00;5,00;15,00;4,00;10,00;6,00;0,00
2020-03-01;0,00;35,00;0,50;1,00;2,00;5,00;55,00;2,00;17,00;3,00;3,00;0,00;0,00
2020-03-08;12,00;396,00;0,00;24,00;12,00;17,00;20,00;2,00;22,00;4,00;14,00;2,00;0,00
2020-03-15;14,00;266,00;7,00;0,00;7,00;5,00;12,00;5,00;5,00;4,67;14,00;2,33;0,00
2020-03-22;2,00;56,00;0,00;0,00;2,00;5,00;7,00;7,00;0,00;2,00;0,00;0,00;0,00
2020-03-29;7,00;105,00;3,50;7,00;7,00;11,00;7,00;0,00;9,00;2,33;0,00;2,33;0,00
2020-04-05;2,00;60,00;2,00;0,00;2,00;7,00;10,00;7,00;2,00;2,00;4,00;2,00;0,00
2020-04-12;2,00;60,00;0,00;2,00;0,00;7,00;2,00;0,00;0,00;0,00;0,00;2,00;0,00
2020-04-19;5,00;120,00;0,00;0,00;5,00;4,00;7,00;5,00;4,00;2,50;2,50;5,00;0,00
2020-04-26;7,00;84,00;0,00;0,00;3,50;2,00;5,00;0,00;2,00;0,00;0,00;4,67;0,00
2020-05-03;0,00;10,00;0,00;0,50;0,00;9,00;5,00;5,00;7,00;1,00;3,00;0,00;1,00
2020-05-10;0,00;12,00;0,00;1,00;1,00;5,00;9,00;2,00;7,00;1,00;1,00;0,00;0,00
2020-05-17;2,00;52,00;2,00;0,00;4,00;7,00;5,00;5,00;5,00;2,00;2,00;0,00;0,00
2020-05-24;7,00;56,00;0,00;7,00;7,00;12,00;2,00;7,00;5,00;0,00;11,67;4,67;0,00
2020-05-31;2,00;52,00;0,00;2,00;2,00;7,00;7,00;5,00;9,00;8,00;0,00;2,00;0,00
2020-06-07;2,00;60,00;0,00;2,00;2,00;19,00;7,00;2,00;7,00;2,00;0,00;4,00;0,00
2020-06-14;10,00;110,00;10,00;10,00;20,00;22,00;20,00;2,00;17,00;0,00;2,50;0,00;0,00
2020-06-21;8,00;112,00;4,00;8,00;8,00;10,00;16,00;0,00;10,00;0,00;8,00;2,00;0,00
2020-06-28;5,00;75,00;5,00;5,00;10,00;21,00;36,00;3,00;18,00;12,50;12,50;0,00;0,00
2020-07-05;11,00;165,00;0,00;5,50;11,00;3,00;32,00;3,00;16,00;11,00;8,80;0,00;0,00
2020-07-12;3,00;126,00;0,00;6,00;6,00;20,00;20,00;0,00;11,00;0,00;300,00;3,00;0,00
2020-07-19;14,00;252,00;0,00;0,00;28,00;20,00;26,00;14,00;3,00;7,00;72,33;0,00;0,00
2020-07-26;6,00;126,00;6,00;3,00;6,00;14,00;40,00;9,00;11,00;2,00;28,00;0,00;0,00
2020-08-02;14,00;266,00;7,00;28,00;28,00;32,00;23,00;3,00;14,00;11,67;9,33;9,33;0,00
2020-08-09;3,00;144,00;3,00;6,00;6,00;20,00;42,00;0,00;20,00;3,00;0,00;3,00;0,00
2020-08-16;20,00;230,00;5,00;10,00;30,00;12,00;12,00;0,00;34,00;8,89;26,67;2,22;0,00
2020-08-23;17,00;212,50;8,50;4,25;8,50;11,00;17,00;6,00;11,00;2,13;6,38;0,00;10,63
2020-08-30;22,00;231,00;5,50;11,00;11,00;25,00;17,00;8,00;19,00;8,80;2,20;0,00;0,00
2020-09-06;11,00;198,00;0,00;11,00;22,00;24,00;11,00;3,00;24,00;4,40;2,20;8,80;0,00
2020-09-13;5,00;110,00;0,00;5,00;10,00;23,00;34,00;5,00;13,00;2,50;2,50;0,00;2,50
2020-09-20;8,00;184,00;0,00;8,00;8,00;13,00;13,00;5,00;24,00;2,00;2,00;0,00;2,00
2020-09-27;8,00;152,00;4,00;4,00;8,00;18,00;19,00;0,00;18,00;10,00;0,00;2,00;0,00
2020-10-04;3,00;120,00;6,00;0,00;6,00;14,00;14,00;5,00;16,00;18,00;3,00;0,00;0,00
2020-10-11;0,00;19,00;0,00;0,50;0,50;6,00;17,00;0,00;6,00;3,00;3,00;0,00;0,00
2020-10-18;5,00;75,00;0,00;2,50;5,00;3,00;17,00;0,00;5,00;5,00;0,00;0,00;0,00
2020-10-25;25,00;116,67;0,00;8,33;8,33;14,00;17,00;3,00;14,00;9,09;2,27;0,00;0,00
2020-11-01;3,00;138,00;3,00;6,00;6,00;10,00;8,00;5,00;5,00;0,00;3,00;3,00;0,00
2020-11-08;8,00;112,00;4,00;8,00;8,00;14,00;3,00;3,00;6,00;2,00;0,00;2,00;0,00
2020-11-15;0,00;9,00;0,50;1,00;0,00;3,00;3,00;0,00;14,00;1,00;1,00;0,00;0,00
2020-11-22;16,00;96,00;0,00;8,00;8,00;16,00;11,00;0,00;8,00;0,00;4,57;0,00;0,00
2020-11-29;3,00;66,00;0,00;6,00;6,00;14,00;8,00;0,00;3,00;3,00;3,00;3,00;0,00
2020-12-06;3,00;78,00;3,00;6,00;3,00;0,00;14,00;3,00;5,00;3,00;12,00;0,00;0,00
2020-12-13;8,00;88,00;0,00;0,00;8,00;8,00;3,00;3,00;3,00;2,00;0,00;0,00;0,00
2020-12-20;6,00;66,00;3,00;6,00;6,00;17,00;0,00;0,00;3,00;6,00;8,00;0,00;0,00
2020-12-27;3,00;102,00;0,00;3,00;6,00;6,00;18,00;0,00;3,00;3,00;9,00;0,00;0,00
2021-01-03;13,00;195,00;0,00;13,00;6,50;3,00;3,00;3,00;5,00;2,17;2,17;0,00;0,00
2021-01-10;3,00;96,00;3,00;0,00;3,00;3,00;11,00;3,00;11,00;3,00;0,00;0,00;0,00
2021-01-17;0,00;13,00;0,00;1,00;1,00;5,00;11,00;0,00;5,00;1,00;0,00;0,00;0,00
2021-01-24;0,00;10,00;0,00;1,00;1,00;11,00;3,00;3,00;3,00;0,00;0,00;0,00;0,00
2021-01-31;0,00;11,00;0,50;1,00;1,00;8,00;8,00;3,00;0,00;0,00;1,00;1,00;0,00
2021-02-07;0,00;14,00;0,00;1,00;1,00;5,00;11,00;3,00;3,00;0,00;0,00;1,00;0,00
2021-02-14;3,00;120,00;0,00;6,00;0,00;14,00;14,00;3,00;8,00;9,00;9,00;0,00;3,00
2021-02-21;19,00;104,50;0,00;9,50;9,50;6,00;6,00;0,00;3,00;0,00;0,00;0,00;0,00
2021-02-28;6,00;84,00;6,00;3,00;6,00;14,00;11,00;3,00;6,00;6,00;6,00;0,00;0,00
2021-03-07;6,00;102,00;3,00;6,00;6,00;14,00;8,00;6,00;0,00;6,00;8,00;0,00;0,00
2021-03-14;3,00;66,00;6,00;3,00;3,00;5,00;11,00;8,00;13,00;3,00;12,00;3,00;0,00
