Semaine;Val de Loire (FR);Chateaux Loire (US);Bourgogne (FR);Drome (FR);Vaucluse (FR);Ardeche (FR);Baie de Somme (FR);Montagne du Luberon (FR);Auvergne (FR);Perigord (FR);Alsace (FR);Provence (FR);Morbihan (US);Gers (FR);Massif Central (FR);Normandie (FR);Cévennes (FR);Morvan (FR);Vosges (FR);Chantilly (FR);Languedoc Roussillon (FR)
2019-01-06;26,00;22,00;6,00;19,00;14,00;52,00;1,53;1,53;16,82;2,89;46,22;46,22;11,56;1,30;9,10;32,50;2,60;11,70;13,00;24,70;16,90
2019-01-13;37,00;34,00;3,00;25,00;5,00;37,00;4,63;1,54;16,96;7,12;44,12;55,50;9,96;7,66;5,10;34,45;3,83;47,21;12,76;22,97;11,48
2019-01-20;26,00;23,00;3,00;21,00;11,00;29,06;3,06;3,06;3,06;0,00;50,56;54,89;13,00;12,38;7,43;65,62;3,71;18,20;3,90;15,60;24,70
2019-01-27;36,00;19,00;4,00;20,00;6,00;32,87;3,13;3,13;17,22;5,76;48,96;51,84;10,08;1,29;7,71;56,57;3,86;4,00;21,33;6,67;17,33
2019-02-03;38,00;27,00;5,00;18,00;1,00;38,00;4,75;1,58;30,08;1,46;52,62;52,62;4,38;3,93;11,79;61,59;1,31;1,31;35,38;6,55;7,86
2019-02-10;50,00;31,00;3,00;15,00;0,00;48,44;10,94;1,56;29,69;5,71;54,29;67,14;10,00;5,13;6,41;37,18;6,41;2,63;39,47;5,26;13,16
2019-02-17;54,00;36,00;1,00;19,00;3,00;50,91;16,97;1,54;13,89;5,68;51,16;63,95;5,68;6,43;3,86;66,86;10,29;2,57;50,14;6,43;10,29
2019-02-24;54,00;34,00;7,00;14,00;4,00;44,74;6,17;4,63;23,14;8,53;56,84;69,63;11,37;7,71;1,29;46,29;2,57;2,57;25,71;11,57;7,71
2019-03-03;47,00;34,00;3,00;12,00;4,00;39,42;15,16;3,03;18,19;7,12;44,15;78,33;7,12;0,00;1,27;48,27;6,35;1,31;28,72;6,53;13,06
2019-03-10;47,00;30,00;5,00;14,00;4,00;42,45;4,55;4,55;12,13;5,70;32,76;74,06;9,97;5,08;2,54;35,57;5,08;2,54;43,19;7,62;5,08
2019-03-17;65,00;49,00;5,00;8,00;8,00;49,52;10,83;4,64;18,57;16,96;38,15;48,04;9,89;6,37;2,55;56,08;6,37;0,00;26,00;9,10;10,40
2019-03-24;69,00;43,00;10,00;23,00;1,00;41,40;13,80;6,13;21,47;5,75;56,06;73,31;12,94;3,83;2,56;46,00;14,06;3,91;28,64;5,21;18,23
2019-03-31;49,00;32,00;6,00;17,00;5,00;44,41;15,31;3,06;16,84;18,74;31,71;67,74;20,18;2,58;0,00;46,42;2,58;6,45;10,32;15,47;18,05
2019-04-07;51,00;26,00;8,00;27,00;21,00;49,45;4,64;3,09;24,73;16,03;43,71;83,06;24,77;6,38;2,55;51,00;2,55;2,62;2,62;22,23;17,00
2019-04-14;72,00;46,00;8,00;34,00;16,00;61,28;10,72;3,06;15,32;7,06;48,00;66,35;21,18;6,32;3,79;65,68;2,53;7,71;3,86;30,86;21,86
