Semaine;Chamonix (FR);Val Thorens (FR);Alpe d Huez (FR);Les Deux Alpes (FR);Tignes (FR);Les Arcs (FR);Les Ménuires (FR);Avoriaz (FR);La Plagne (FR);La Clusaz (FR);Morzine (FR);Châtel (FR);Les Gets (FR);Val Cenis (FR);Courchevel (FR);Serre Chevalier (FR);Samoëns (FR);Valloire (FR);Méribel (FR);Val d Isère (FR);Megève (FR);Vars (FR);Grand Bornand (FR);Font Romeu (FR);St Lary (FR);Barèges (FR);La Mongie (FR);Peyragudes (FR)
2019-01-06;43,00;31,00;45,00;30,00;32,00;34,00;16,00;14,00;14,00;31,00;18,00;6,00;13,00;0,00;14,00;16,00;14,00;8,00;10,00;5,00;7,00;15,00;7,00;24,00;12,00;3,00;9,00;11,00
2019-01-13;51,00;22,00;52,00;34,00;26,00;29,00;20,00;17,00;14,00;34,00;14,00;10,00;15,00;1,00;10,00;19,00;13,00;9,00;6,00;11,00;13,00;7,00;9,00;24,00;14,00;1,00;7,00;7,00
2019-01-20;43,00;25,00;47,00;32,00;23,00;33,00;16,00;20,00;11,00;26,00;19,00;12,00;17,00;2,00;22,00;17,00;12,00;8,00;16,00;5,00;12,00;12,00;7,00;34,00;22,00;4,00;11,00;12,00
2019-01-27;51,00;30,00;52,00;41,00;27,00;37,00;23,00;18,00;19,00;26,00;13,00;10,00;13,00;6,00;12,00;26,00;19,00;8,00;11,00;11,00;10,00;8,00;7,00;31,00;14,00;1,00;14,00;15,00
2019-02-03;45,00;29,00;53,00;36,00;43,00;32,00;27,00;14,00;16,00;25,00;20,00;13,00;14,00;7,00;17,00;21,00;17,00;8,00;10,00;13,00;18,00;6,00;6,00;30,00;17,00;4,00;9,00;15,00
2019-02-10;60,00;23,00;49,00;40,00;31,00;28,00;21,00;18,00;10,00;32,00;10,00;12,00;17,00;6,00;19,00;29,00;12,00;6,00;14,00;12,00;18,00;4,00;8,00;15,00;24,00;3,00;13,00;7,00
2019-02-17;54,00;24,00;47,00;36,00;32,00;41,00;19,00;18,00;15,00;29,00;15,00;25,00;16,00;12,00;14,00;44,00;10,00;9,00;12,00;7,00;16,00;3,00;9,00;29,00;20,00;1,00;10,00;7,00
2019-02-24;52,00;19,00;37,00;32,00;34,00;37,00;33,00;19,00;12,00;23,00;16,00;13,00;14,00;7,00;14,00;24,00;14,00;7,00;19,00;8,00;9,00;5,00;10,00;20,00;10,00;0,00;8,00;7,00
2019-03-03;50,00;23,00;28,00;36,00;39,00;28,00;25,00;15,00;11,00;24,00;17,00;8,00;16,00;9,00;13,00;15,00;16,00;5,00;13,00;8,00;12,00;5,00;5,00;23,00;18,00;0,00;5,00;8,00
2019-03-10;52,00;23,00;39,00;28,00;29,00;33,00;29,00;18,00;12,00;26,00;19,00;7,00;9,00;6,00;10,00;20,00;13,00;3,00;14,00;9,00;11,00;3,00;7,00;9,00;6,00;3,00;5,00;5,00
