Semaine;Tahiti (PF);Guadeloupe (GP);Martinique (LC);Réunion (RE);Guyane (GF);St Barthélémy (BL);Mayotte (YT);Saint Martin (ile d Amérique du nord) (MF);Nouvelle Caledonie (NC)
2019-01-06;30,00;150,00;111,43;180,00;4,29;6,00;23,00;6,00;10,00
2019-01-13;36,00;130,50;112,50;202,50;9,00;1,00;23,00;9,00;5,00
2019-01-20;30,00;120,00;90,00;150,00;4,29;8,00;29,00;4,00;4,00
2019-01-27;21,00;126,00;96,60;138,60;8,40;4,00;20,00;8,00;5,00
2019-02-03;34,00;148,75;102,00;119,00;4,25;8,00;25,00;14,00;8,00
2019-02-10;33,00;136,71;103,71;155,57;4,71;7,00;22,00;11,00;8,00
2019-02-17;37,00;138,75;124,88;152,63;4,63;8,00;36,00;13,00;4,00
2019-02-24;33,00;155,57;103,71;165,00;4,71;7,00;31,00;14,00;9,00
2019-03-03;24,00;129,60;100,80;177,60;4,80;3,00;23,00;8,00;7,00
2019-03-10;32,00;109,71;96,00;137,14;9,14;4,00;35,00;16,00;10,00
2019-03-17;31,00;106,29;84,14;141,71;4,43;4,00;35,00;13,00;10,00
2019-03-24;33,00;117,86;99,00;141,43;2,36;4,00;25,00;12,00;5,00
2019-03-31;31,00;110,71;79,71;163,86;2,21;6,00;29,00;4,00;9,00
2019-04-07;23,00;92,00;82,80;179,40;2,30;2,00;28,00;8,00;9,00
2019-04-14;22,00;83,60;79,20;162,80;8,80;3,00;27,00;5,00;7,00
2019-04-21;31,00;119,57;75,29;163,86;4,43;4,00;32,00;5,00;2,00
2019-04-28;24,00;86,40;81,60;168,00;14,40;5,00;27,00;7,00;7,00
2019-05-05;35,00;87,50;83,13;166,25;8,75;5,00;27,00;8,00;5,00
2019-05-12;30,00;81,43;64,29;124,29;2,14;5,00;33,00;13,00;7,00
2019-05-19;28,00;107,33;74,67;186,67;2,33;2,00;29,00;7,00;6,00
2019-05-26;27,00;81,00;58,50;148,50;4,50;3,00;26,00;10,00;4,00
2019-06-02;30,00;64,29;47,14;137,14;8,57;5,00;30,00;7,00;8,00
2019-06-09;29,00;74,57;58,00;145,00;4,14;3,00;28,00;6,00;6,00
2019-06-16;33,00;94,29;70,71;165,00;4,71;4,00;27,00;9,00;2,00
2019-06-23;36,00;103,50;72,00;148,50;4,50;3,00;42,00;6,00;5,00
2019-06-30;37,00;101,75;55,50;171,13;9,25;3,00;33,00;5,00;8,00
2019-07-07;44,00;74,80;66,00;154,00;4,40;2,00;40,00;8,00;6,00
2019-07-14;40,00;88,89;66,67;160,00;8,89;4,00;24,00;9,00;5,00
2019-07-21;39,00;86,67;78,00;156,00;2,17;6,00;31,00;16,00;1,00
2019-07-28;31,00;101,86;79,71;186,00;4,43;8,00;31,00;11,00;5,00
2019-08-04;63,00;112,50;81,00;180,00;4,50;9,00;28,00;6,00;6,00
2019-08-11;34,00;72,25;76,50;195,50;2,13;8,00;34,00;7,00;6,00
2019-08-18;47,00;108,10;89,30;178,60;4,70;5,00;24,00;8,00;7,00
2019-08-25;43,00;77,40;81,70;154,80;4,30;6,00;28,00;7,00;7,00
2019-09-01;21,00;84,00;75,60;168,00;8,40;8,00;39,00;9,00;11,00
2019-09-08;27,00;76,50;72,00;144,00;4,50;2,00;20,00;7,00;7,00
2019-09-15;29,00;87,00;72,50;169,17;4,83;4,00;33,00;11,00;1,00
2019-09-22;30,00;90,00;72,86;124,29;4,29;4,00;29,00;8,00;2,00
2019-09-29;31,00;75,29;62,00;172,71;4,43;5,00;31,00;8,00;4,00
2019-10-06;27,00;85,50;58,50;148,50;4,50;3,00;35,00;9,00;4,00
2019-10-13;25,00;79,17;62,50;170,83;8,33;5,00;45,00;4,00;5,00
2019-10-20;28,00;116,67;79,33;228,67;4,67;2,00;100,00;7,00;5,00
2019-10-27;32,00;105,14;91,43;182,86;2,29;5,00;47,00;8,00;6,00
2019-11-03;45,00;112,50;67,50;189,00;2,25;2,00;38,00;4,00;6,00
2019-11-10;26,00;108,33;86,67;164,67;4,33;4,00;26,00;5,00;7,00
2019-11-17;38,00;99,75;85,50;166,25;4,75;4,00;32,00;8,00;7,00
2019-11-24;26,00;95,33;95,33;173,33;8,67;7,00;34,00;9,00;3,00
2019-12-01;21,00;88,20;71,40;155,40;4,20;2,00;30,00;7,00;8,00
2019-12-08;44,00;96,80;70,40;140,80;4,40;4,00;56,00;10,00;4,00
2019-12-15;36,00;85,50;72,00;171,00;4,50;2,00;20,00;7,00;11,00
2019-12-22;43,00;133,78;100,33;195,89;2,39;9,00;27,00;4,00;4,00
2019-12-29;41,00;150,33;91,11;236,89;9,11;3,00;26,00;16,00;22,00
2020-01-05;42,00;126,00;126,00;196,00;9,33;4,00;35,00;8,00;10,00
2020-01-12;25,00;120,83;91,67;175,00;2,08;6,00;37,00;12,00;4,00
2020-01-19;37,00;138,75;101,75;194,25;4,63;6,00;25,00;7,00;11,00
2020-01-26;30,00;102,86;98,57;188,57;8,57;4,00;42,00;10,00;5,00
2020-02-02;36,00;126,00;90,00;166,50;4,50;6,00;24,00;9,00;9,00
2020-02-09;35,00;122,50;87,50;192,50;4,38;3,00;52,00;9,00;11,00
