Semaine;Nice (FR);Paris (FR);Lille (FR);Strasbourg (FR);Lyon (FR);Marseille (FR);Bordeaux (FR);Tours (FR);Toulouse (FR);Montpellier (FR);Nantes (FR);Avignon (FR);Dijon (FR)
2019-01-06;39,00;277,33;30,33;39,00;60,67;43,00;41,00;21,00;34,00;17,73;33,09;5,91;7,09
2019-01-13;37,00;277,50;27,75;41,63;69,38;46,00;39,00;18,00;34,00;23,13;30,06;5,78;6,94
2019-01-20;35,00;275,63;30,63;39,38;65,63;43,00;40,00;22,00;33,00;20,52;38,62;4,83;6,03
2019-01-27;34,00;315,71;29,14;43,71;58,29;45,00;55,00;12,00;32,00;22,28;30,48;5,86;3,52
2019-02-03;27,00;301,50;27,00;40,50;54,00;45,00;46,00;14,00;37,00;19,96;31,70;7,04;5,87
2019-02-10;31,00;305,57;26,57;35,43;53,14;51,00;39,00;13,00;35,00;26,23;41,73;8,35;4,77
2019-02-17;32,00;320,00;27,43;45,71;54,86;54,00;41,00;9,00;37,00;23,70;35,56;7,11;4,74
2019-02-24;35,00;297,50;21,88;39,38;56,88;54,00;44,00;17,00;45,00;24,50;31,50;9,33;3,50
2019-03-03;28,00;303,33;23,33;42,00;51,33;54,00;36,00;13,00;36,00;28,00;32,87;8,52;4,87
2019-03-10;31,00;292,29;22,14;39,86;53,14;48,00;35,00;10,00;39,00;23,85;32,19;5,96;2,38
2019-03-17;36,00;301,50;22,50;40,50;49,50;51,00;38,00;13,00;34,00;24,39;31,35;6,97;4,65
2019-03-24;31,00;296,71;26,57;39,86;44,29;55,00;37,00;10,00;44,00;25,26;27,56;8,04;4,59
2019-03-31;41,00;318,89;31,89;41,00;59,22;55,00;41,00;25,00;33,00;24,60;43,34;8,20;5,86
2019-04-07;48,00;350,40;38,40;52,80;67,20;56,00;41,00;24,00;37,00;25,76;39,80;8,20;9,37
2019-04-14;51,00;463,64;37,09;46,36;69,55;64,00;42,00;25,00;38,00;24,91;52,19;9,49;8,30
2019-04-21;49,00;302,91;35,64;40,09;66,82;60,00;44,00;28,00;33,00;32,27;33,46;9,56;9,56
2019-04-28;47,00;305,50;32,90;47,00;61,10;61,00;39,00;26,00;35,00;22,33;28,20;7,05;9,40
2019-05-05;45,00;279,00;27,00;40,50;54,00;51,00;37,00;25,00;33,00;22,50;29,61;5,92;7,11
2019-05-12;45,00;292,50;31,50;36,00;67,50;58,00;42,00;24,00;30,00;25,38;25,38;8,08;8,08
2019-05-19;50,00;290,91;31,82;40,91;72,73;51,00;43,00;25,00;37,00;23,81;30,95;9,52;7,14
2019-05-26;50,00;309,09;31,82;36,36;59,09;64,00;42,00;24,00;33,00;24,42;29,07;10,47;6,98
2019-06-02;49,00;307,36;31,18;40,09;57,91;65,00;45,00;26,00;35,00;26,83;32,67;7,00;10,50
