Semaine;Val de Loire (FR);Chateaux Loire (US);Bourgogne (FR);Drome (FR);Vaucluse (FR);Ardeche (FR);Baie de Somme (FR);Montagne du Luberon (FR);Auvergne (FR);Perigord (FR);Alsace (FR);Provence (FR);Morbihan (US);Gers (FR);Massif Central (FR);Normandie (FR);Cévennes (FR);Morvan (FR);Vosges (FR);Chantilly (FR);Languedoc Roussillon (FR)
2019-01-06;29,00;0,00;0,00;0,00;0,00;10,00;0,00;0,00;19,00;0,00;10,09;10,09;10,09;0,00;0,00;29,00;0,00;0,00;29,00;10,00;0,00
2019-01-13;47,00;0,00;0,00;9,00;0,00;0,00;0,00;0,00;0,00;8,89;8,89;47,00;0,00;0,00;0,00;18,08;0,00;0,00;0,00;0,00;9,00
2019-01-20;47,00;9,00;0,00;0,00;0,00;9,00;0,00;0,00;0,00;0,00;0,00;27,95;0,00;0,00;0,00;47,00;0,00;0,00;0,00;9,00;19,00
2019-01-27;37,00;9,00;9,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;8,93;0,00;0,00;0,00;18,50;0,00;0,00;0,00;9,00;0,00
2019-02-03;64,00;9,00;9,00;0,00;0,00;9,00;0,00;0,00;0,00;0,00;8,96;17,92;8,96;0,00;0,00;45,71;0,00;0,00;0,00;27,00;9,00
2019-02-10;59,00;0,00;0,00;10,00;0,00;10,00;0,00;10,00;0,00;0,00;19,24;10,26;0,00;0,00;0,00;38,72;0,00;0,00;10,00;0,00;0,00
2019-02-17;29,00;0,00;0,00;0,00;0,00;10,00;0,00;0,00;0,00;0,00;0,00;37,83;0,00;9,06;0,00;38,06;0,00;0,00;0,00;10,00;0,00
2019-02-24;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;8,00;30,00;0,00;0,00;0,00;16,00;0,00;0,00;10,00;0,00;10,00
2019-03-03;94,00;9,00;0,00;0,00;9,00;0,00;0,00;0,00;0,00;0,00;8,89;19,05;0,00;0,00;0,00;56,04;0,00;9,00;19,00;0,00;0,00
2019-03-10;19,00;0,00;10,00;0,00;0,00;10,00;0,00;0,00;10,00;0,00;10,13;48,13;0,00;0,00;0,00;63,91;0,00;0,00;0,00;0,00;0,00
2019-03-17;48,00;0,00;19,00;0,00;10,00;0,00;0,00;0,00;0,00;0,00;18,95;48,00;0,00;0,00;0,00;65,78;0,00;0,00;0,00;0,00;10,00
2019-03-24;40,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00;20,00;0,00;20,65;40,00;0,00;0,00;9,09;40,00;0,00;0,00;0,00;0,00;10,00
2019-03-31;49,00;0,00;0,00;0,00;10,00;0,00;0,00;0,00;0,00;0,00;10,05;28,90;0,00;0,00;0,00;29,04;9,07;0,00;0,00;0,00;10,00
2019-04-07;48,00;10,00;0,00;0,00;0,00;10,00;0,00;0,00;0,00;0,00;0,00;18,95;0,00;8,89;0,00;48,00;0,00;0,00;0,00;0,00;10,00
2019-04-14;92,00;0,00;10,00;0,00;0,00;0,00;10,00;0,00;10,00;0,00;0,00;20,16;0,00;0,00;0,00;70,35;0,00;0,00;0,00;20,00;0,00
2019-04-21;59,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;38,91;0,00;0,00;0,00;67,94;0,00;0,00;0,00;0,00;20,00
2019-04-28;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;15,00;15,00;0,00;0,00;0,00;21,00;0,00;0,00;0,00;19,00;0,00
2019-05-05;38,00;0,00;0,00;0,00;0,00;0,00;0,00;10,00;0,00;0,00;19,00;27,87;0,00;9,05;0,00;56,10;0,00;0,00;9,00;9,00;9,00
2019-05-12;29,00;0,00;10,00;10,00;0,00;20,00;0,00;10,00;0,00;0,00;0,00;68,09;0,00;0,00;0,00;97,88;0,00;0,00;10,00;0,00;10,00
2019-05-19;88,00;0,00;19,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;19,13;98,20;0,00;0,00;0,00;88,00;0,00;0,00;10,00;10,00;0,00
2019-05-26;38,00;0,00;0,00;0,00;0,00;9,00;0,00;0,00;19,00;0,00;8,87;38,00;0,00;0,00;0,00;56,10;0,00;9,00;0,00;0,00;0,00
2019-06-02;100,00;0,00;18,00;0,00;0,00;0,00;0,00;9,00;9,00;0,00;8,86;126,58;0,00;0,00;0,00;181,82;0,00;0,00;0,00;0,00;0,00
2019-06-09;28,00;0,00;9,00;0,00;0,00;0,00;0,00;0,00;28,00;8,91;19,09;8,91;0,00;0,00;0,00;143,73;0,00;0,00;9,00;0,00;0,00
2019-06-16;77,00;0,00;10,00;0,00;0,00;10,00;0,00;10,00;0,00;0,00;10,10;37,87;0,00;0,00;0,00;58,67;0,00;0,00;0,00;0,00;0,00
2019-06-23;48,00;0,00;0,00;0,00;0,00;10,00;0,00;0,00;0,00;0,00;10,11;66,95;0,00;0,00;0,00;68,31;9,23;0,00;0,00;0,00;29,00
2019-06-30;67,00;19,00;0,00;0,00;0,00;19,00;0,00;0,00;0,00;8,85;8,85;37,92;0,00;0,00;0,00;85,11;0,00;0,00;0,00;0,00;0,00
2019-07-07;86,00;29,00;0,00;0,00;0,00;10,00;0,00;0,00;0,00;0,00;10,12;48,06;0,00;0,00;0,00;67,70;0,00;0,00;29,00;0,00;0,00
2019-07-14;57,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;8,87;55,73;0,00;0,00;9,19;57,00;18,39;0,00;0,00;0,00;28,00
2019-07-21;79,00;0,00;0,00;0,00;0,00;29,00;0,00;0,00;10,00;0,00;39,50;87,92;0,00;0,00;0,00;29,40;0,00;10,00;0,00;10,00;20,00
2019-07-28;39,00;0,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00;18,87;0,00;28,94;0,00;0,00;0,00;59,43;0,00;0,00;0,00;0,00;0,00
2019-08-04;85,00;28,00;0,00;0,00;0,00;9,00;0,00;0,00;0,00;0,00;19,03;19,03;0,00;0,00;0,00;132,02;0,00;0,00;9,00;9,00;0,00
2019-08-11;84,00;9,00;19,00;0,00;0,00;0,00;0,00;0,00;9,00;0,00;0,00;47,09;0,00;0,00;9,13;47,48;0,00;0,00;0,00;0,00;19,00
2019-08-18;39,00;0,00;10,00;0,00;0,00;10,00;0,00;0,00;0,00;0,00;10,40;59,80;0,00;0,00;0,00;167,14;0,00;0,00;0,00;0,00;19,00
2019-08-25;48,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;8,84;37,89;56,84;8,84;0,00;0,00;68,31;9,23;0,00;0,00;0,00;9,00
2019-09-01;37,00;9,00;0,00;9,00;0,00;9,00;0,00;0,00;9,00;0,00;0,00;37,00;0,00;0,00;0,00;27,75;0,00;0,00;0,00;0,00;0,00
2019-09-08;27,00;0,00;18,00;0,00;0,00;9,00;0,00;0,00;0,00;0,00;8,59;61,36;0,00;0,00;0,00;27,00;0,00;0,00;0,00;0,00;0,00
2019-09-15;37,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;28,07;0,00;0,00;0,00;57,35;9,25;0,00;0,00;0,00;19,00
2019-09-22;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;14,00;27,00;0,00;0,00;0,00;14,00;0,00;0,00;0,00;0,00;0,00
2019-09-29;44,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;61,60;0,00;0,00;0,00;27,50;0,00;0,00;0,00;0,00;9,00
2019-10-06;26,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;50,76;0,00;0,00;0,00;26,00;0,00;0,00;9,00;0,00;9,00
2019-10-13;44,00;9,00;9,00;9,00;0,00;9,00;9,00;0,00;0,00;0,00;18,12;71,18;0,00;0,00;9,17;34,83;0,00;0,00;9,00;0,00;9,00
2019-10-20;43,00;0,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;17,71;34,15;0,00;8,96;0,00;51,96;0,00;0,00;0,00;0,00;9,00
2019-10-27;44,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;8,80;26,40;0,00;0,00;0,00;34,83;0,00;0,00;0,00;0,00;0,00
2019-11-03;34,00;9,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;8,81;25,19;0,00;0,00;0,00;34,00;0,00;0,00;9,00;0,00;9,00
