Semaine;Nice (FR);Biarritz (FR);Ars en Ré (FR);Saint Malo (FR);Le Cap d Agde (FR);Fréjus (FR);Cannes (FR);Antibes (FR);Le Touquet (BE);Le Barcarès (FR);Deauville (FR);Porto Vecchio (FR);Lacanau (FR);Palavas les Flots (FR);Argelès sur Mer (FR);Carnac (FR);Arcachon (FR);Le Grau du Roi (FR);Cap Ferret (FR);Biscarrosse (FR);La Baule Escoublac (FR)
2019-01-06;43,00;15,00;6,00;15,00;5,00;3,00;12,00;2,00;2,00;0,00;2,00;0,00;0,00;0,00;2,00;3,00;2,00;0,00;0,00;0,00;0,00
2019-01-13;38,00;4,00;7,00;6,00;1,00;6,00;9,00;1,00;1,00;0,00;1,00;1,00;1,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00
2019-01-20;50,00;7,00;4,00;9,00;3,00;1,00;4,00;0,00;4,00;0,00;1,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-27;43,00;1,00;6,00;4,00;3,00;1,00;13,00;4,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00
2019-02-03;45,00;7,00;0,00;9,00;3,00;1,00;9,00;6,00;3,00;0,00;3,00;1,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00
2019-02-10;64,00;8,00;6,00;12,00;3,00;3,00;8,00;8,00;5,00;0,00;0,00;2,00;3,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00;2,00
2019-02-17;53,00;6,00;8,00;11,00;2,00;0,00;2,00;6,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00
2019-02-24;42,00;6,00;6,00;15,00;0,00;2,00;3,00;11,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;2,00;2,00;0,00;2,00;0,00;0,00
2019-03-03;50,00;7,00;6,00;10,00;6,00;3,00;15,00;4,00;3,00;0,00;0,00;0,00;1,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-10;58,00;0,00;7,00;6,00;1,00;1,00;15,00;6,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00
2019-03-17;60,00;8,00;6,00;6,00;3,00;2,00;11,00;8,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-24;45,00;5,00;6,00;2,00;0,00;3,00;11,00;9,00;2,00;0,00;2,00;0,00;3,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00
